andrés	αντρές
garai	ατμός
garai	ατμό
garai	ατμού
garai	ατμός
garai	ατμών
suzuki	suzuki
gineso	γκίνες
sekretoriato	γραμματεία
talentas	ταλέντο
talentas	ταλέντα
melodijų	μελωδίες
iškasti	σκάψιμο
clarke	κλαρκ
kardinolai	καρδινάλιοι
botev	μπότεφ
mare	φοράδα
piktų	κοσμική
draudžiamas	απαγορεύονται
draudžiamas	απαγορευμένο
draudžiamas	απαγορευμένη
draudžiamas	απαγορεύεται
pamyro	παμίρ
bendrabutis	ξενώνας
bendrabutis	ξενώνα
interscope	interscope
amber	κεχριμπάρι
amber	amber
amber	άμπερ
tre	tre
lazerio	λέιζερ
pokalbiai	συνομιλίες
energetika	ενέργειας
energetika	ενέργεια
rudar	ρούνταρ
žinant	ξέροντας
žinant	γνωρίζοντας
voldemortas	βόλντεμορτ
grąžinimo	αποπληρωμή
grąžinimo	εξόφληση
peizažo	τοπίο
peizažo	σκηνικά
bizkit	bizkit
nottingham	νότιγχαμ
transformacija	μεταμόρφωση
transformacija	μετατρέψει
transformacija	μεταμόρφωση
geometrija	γεωμετρία
geometrija	γεωμετρικό
branduolinis	πυρηνικός
branduolinis	πυρηνικά
branduolinis	πυρηνική
klinikoje	κλινική
investuoti	επενδύσει
investuoti	επένδυσε
matrica	μήτρα
matrica	μάτριξ
stavropolio	σταυρούπολης
anastasija	αναστασία
žygiavo	διαδήλωσαν
semionas	συμεών
sapnai	ονειρα
sapnai	όνειρα
kirilica	κυριλλικά
gerina	βελτιώνει
gerina	βελτιώνεται
nicola	νικόλα
nicola	νίκολα
mechaninis	μηχανικά
mechaninis	μηχανικό
mielių	ζύμες
mielių	μαγιά
nuosmukis	ύφεση
pakrikštytas	βαφτιστεί
herman	herman
herman	χέρμαν
įkalinimo	φυλάκιση
drambliai	ελέφαντες
leonė	λεόνε
geometrijos	γεωμετρία
rokoko	ροκοκό
anglys	κάρβουνο
anglys	άνθρακας
anglys	άνθρακα
tekėjo	έρεε
irma	ίρμα
klr	λδκ
sirupas	σιρόπι
santuokų	γάμους
santuokų	γάμοι
konrad	konrad
che	τσε
rūkymas	κάπνισμα
sąmokslo	συνωμοσία
sąmokslo	συνομωσία
paklusti	υπάκουσε
pėdomis	βήματα
limp	κουτσαίνει
stebėjimai	παρατηρήσεις
stebėjimai	παρατήρηση
tretjakovo	tretyakov
nurodymai	οδηγίες
bundesarchiv	bundesarchiv
pieva	λιβάδι
powell	πάουελ
pasaulietinės	κοσμικό
pasaulietinės	κοσμική
japonica	japonica
orlaiviai	αεροσκάφος
orlaiviai	αεροσκαφών
orlaiviai	αεροσκάφη
privatizavimo	ιδιωτικοποίηση
privatizavimo	ιδιωτικοποιήσεις
įvaizdžio	τελειότητα
tikslios	ακριβής
tikslios	ακριβές
tikslios	ακριβή
tikslios	ακριβείς
drėkinimo	άρδευση
genai	γονιδίων
genai	γονίδια
šieno	σανό
nissan	nissan
baptiste	μπαπτίστ
xxiii	xxiii
nervai	νεύρα
nėščia	έγκυος
tostring	tostring
tomė	τομέ
euras	ευρω
euras	euro
euras	ευρώ
atsistatydinimo	παραίτηση
švyturio	φάρο
švyturio	φάρος
susitarimai	ρυθμίσεις
susitarimai	συμφωνίες
sunkvežimis	φορτηγάκι
sunkvežimis	φορτηγό
sunkvežimis	φορτηγό
eto	eto
kalifatas	χαλιφάτο
genesis	γένεση
drėgnumas	υγρασία
drėgnumas	υγρασία
genetiniai	γενετικό
genetiniai	γενετική
kenneth	κένεθ
okupuotoje	κατεχόμενα
ism	ism
programuotojas	προγραμματιστής
programuotojas	εργολάβος
skandalas	σκάνδαλα
skandalas	σκάνδαλο
vertinga	πολύτιμος
vertinga	πολύτιμο
vertinga	πολύτιμες
vertinga	πολύτιμη
kapitolijaus	καπιτώλιο
