πυροβόλο	火器
κεραίες	觸角
κεραίες	天線
παρτίδα	批次
παρτίδα	分批
ανταγωνισμός	競爭
ανταγωνισμός	競賽
συμφέρον	興趣
συμφέρον	利息
οδήγηση	開車
οδήγηση	駕駛
οδήγηση	駕駛
διαγωνισμούς	競賽
ορμή	勢頭
γουάιτ	wyatt
δημοκρατίες	民主政體
ενδυμασία	裝束
ενδυμασία	服飾
ενδυμασία	衣著
αναβίωση	復興
αναβίωση	復蘇
αναβίωση	振興
περιορισμοί	限制
περιορισμοί	限制
δυσαρέσκεια	不滿
δυσαρέσκεια	怨恨
δυσαρέσκεια	不滿
λουτρό	浴
λουτρό	洗澡
εφικτό	可行
ουγγρική	匈牙利
ουγγρική	匈牙利語
εξάμηνο	學期
διόδωρος	diodorus
καστ	石膏
καστ	投
καστ	演員
σενεγάλη	塞內加爾
σκοράρει	分數
κυκλώματα	電路
αποκλεισμός	排除
αποκλεισμός	排斥
αποκλεισμός	禁止
φάντασμα	鬼魂
φάντασμα	鬼
φάντασμα	幽靈
φάντασμα	幻影
κράματα	合金
σκεύη	用具
παρομοίως	同樣
αιτήματα	請求
αιτήματα	要求
αιτήματα	要求
απόσυρση	撤回
σιδηρόδρομος	鐵路
σιδηρόδρομος	鐵道
σιδηρόδρομος	鐵路
σιδηρόδρομος	鐵道
σιδηρόδρομος	鐵路
χλώριο	氯
ασβέστιο	鈣
μαυσωλείο	皇陵
μαυσωλείο	陵
μαυσωλείο	陵墓
χθες	昨天
χθες	昨日
ελευσίνα	eleusis
ατμοσφαιρική	大氣
βροχοπτώσεις	降雨量
βροχοπτώσεις	雨量
βροχοπτώσεις	降雨
διπλός	雙
διπλός	雙重
διπλός	雙倍
διπλός	加倍
ύπατος	領事
ύπατος	執政官
ραντ	rand
δέκατη	第十
σίδηρο	鋼鐵
σίδηρο	鐵
βιολογική	生物
βιολογική	生物學
ιδανική	理想
τσάι	茶葉
τσάι	茶
περιφερειών	區域
πειραματικά	實驗
όγδοο	第八
πρωτοβουλίες	倡議
ασυνήθιστα	異常
ασυνήθιστα	不尋常
αφίσες	海報
σοπράνο	soprano
σοπράνο	女高音
δάνεια	借款
δάνεια	貸款
πρωτεΐνη	蛋白質
πρωτεΐνη	蛋白
συλλογικά	集體
εκτεταμένο	廣泛
εκτεταμένο	延伸
εκτεταμένο	擴展
εκτεταμένο	延長
γραφές	著作
γραφές	經文
γραφές	經文
πόροι	資源
χουσεΐν	hussein
σίλβα	silva
στιλ	style
στιλ	樣式
στιλ	風格
συνθετικό	合成
εισαγγελέα	檢察官
εναλλακτικό	候補
τεχνίτες	工匠
τεχνίτες	工匠
απότομη	陡
απότομη	陡峭
δόκτωρ	醫師
δόκτωρ	醫生
δόκτωρ	博士
κατασκευάζει	製成品
πολλαπλά	多重
πολλαπλά	多種
πολλαπλά	多個
ντένις	dennis
μποντ	保證金
μποντ	鍵
μποντ	債券
μποντ	龐德
όουεν	owen
όουεν	歐文
βομβαρδιστικά	轟炸機
γκυ	guy
γκαρσία	加西亞
ροές	流
ροές	溪流
έρνεστ	ernest
μουσουλμανική	穆斯林
σύνηθες	平時
συλληφθεί	被俘
πολύτιμο	珍貴
πολύτιμο	珍寶
πολύτιμο	寶貴
πολύτιμο	寶貴
οργανικά	有機
λοιμώξεις	感染
επιθεωρητής	督察
στρατηγικές	戰略
καθημερινές	平日
καθημερινές	每日
καθημερινές	平日
ραντεβού	任用
ραντεβού	任命
ραντεβού	預約
ραντεβού	日期
ραντεβού	約會
ελικόπτερο	直升機
ελικόπτερο	直升飛機
ελικόπτερο	直升機
πολυπλοκότητα	複雜
πολυπλοκότητα	複雜性
ακέραιο	整數
ιβ	夏娃
ιβ	eve
βράχος	岩
βράχος	岩石
βράχος	石頭
βράχος	rock
βράχος	搖滾
συνέχειες	續集
στάσεις	態度
προϋπολογισμού	預算
κατασκευαστής	製造商
κατασκευαστής	廠商
κατασκευαστής	製造廠商
σουρινάμ	蘇利南
ρότερνταμ	鹿特丹
ρέμα	流
ρέμα	溪流
χορν	牛角
χορν	喇叭
χορν	號角
δάνειο	借款
δάνειο	貸款
δάνειο	借貸
βέλη	箭頭
βέλη	箭
βέλη	飛鏢
γκράχαμ	graham
δοκιμασία	測試
δοκιμασία	試驗
δοκιμασία	測驗
νύχια	釘子
νύχια	指甲
νύχια	爪
νύχια	爪子
προτεστάντες	新教
αναμενόμενο	預計
αναμενόμενο	預期
αναμενόμενο	預計
αναμενόμενο	預期
γιούτα	猶他州
γιούτα	猶他
γιούτα	黃麻
κλίμακες	天平
κλίμακες	尺度
κλίμακες	秤
επανένωση	統一
επανένωση	團聚
επανένωση	團圓
επανένωση	同學會
επανένωση	重逢
πυρίτιο	矽
λουίτζι	luigi
αλληλεπιδράσεις	互動
αλληλεπιδράσεις	相互作用
τροχούς	輪
τροχούς	車輪
αποκλειστική	排他性
αποκλειστική	排他
αποκλειστική	獨家
αποκλειστική	專屬
ερωτικά	色情
ερωτικά	情慾
δωδώνη	dodona
διάδρομο	走道
διάδρομο	跑道
διάδρομο	走廊
χλωριούχο	氯化
μεταβατική	過渡性
σωτήρα	救星
σωτήρα	救世主
φοίνιξ	鳳
φοίνιξ	鳳凰
βρω	找到
βρω	尋找
άποικοι	殖民者
θυσίες	犧牲
θυσίες	犧牲
πιστή	忠心
πιστή	忠誠
πιστή	忠誠
πιστή	忠實
παραγγελίες	命令
παραγγελίες	訂單
τραγουδάει	歌聲
τραγουδάει	唱歌
τραγουδάει	歌唱
υπερασπιστεί	捍衛
υπερασπιστεί	保衛
στατιστικές	統計數字
ασφαλές	安全
ασφαλές	平安
ασφαλές	安全
δάπεδο	地板
δάπεδο	下限
