конференцию	konferencija
джессика	džesika
джессика	jessica
стальной	plienas
воробьёв	vorobjovas
рабство	vergovė
сопровождение	patiekalais
каспийского	kaspijos
тасс	tass
тасс	tus
стоп	sustabdyti
понедельник	pirmadienis
понедельник	pirmadienį
хинди	hindi
батист	baptiste
демократы	demokratai
демократы	demokratų
демократы	demokratų
нови	novi
обязанность	pareiga
обязанность	įsipareigojimas
обязанность	įpareigojimas
любимых	mėgstami
любимых	mėgstamiausių
приключений	nuotaikinga
готовит	buna
листы	lakštai
диас	díaz
диас	diaz
диас	dias
туниса	tunisą
туниса	tunise
туниса	tunisas
туниса	tuniso
туниса	tuniso
островский	ostrovskis
шторм	audros
шторм	audra
люфтваффе	luftwaffe
толпа	mafija
толпа	mob
толпа	minios
толпа	minia
пропаганду	propaganda
мобильные	mobilusis
мобильные	saugojimo
мобильные	mobilus
волнения	įtampa
волнения	neramumai
арки	arkų
слабым	silpnas
пояснение	paaiškinimas
яйцо	kiaušinis
яйцо	kiaušinių
яйцо	kiaušiniai
яйцо	kiaušinio
геноцид	genocidas
записывать	rekordas
фиджи	fidžis
фиджи	fidžio
омар	omarų
аула	aula
британское	britanijos
британское	britai
британское	britų
халифа	khalifa
странное	keistas
странное	keistai
странное	keista
странное	keistas
странное	keista
гренландии	grenlandijos
гренландии	grenlandija
романова	romanova
мучеников	kankinių
владикавказ	vladikaukazas
изготовлены	gaminami
европейцев	europiečiai
хдс	cdu
хдс	hdz
нико	niko
тёмная	tamsus
тёмная	tamsi
тёмная	tamsiai
поздний	vėlai
разумно	pagrįstai
техник	technikas
жертва	aukomis
жертва	aukai
жертва	auka
пшеницы	kviečiai
пшеницы	kviečių
биологическое	biologinė
валюта	valiuta
ливан	libanas
смешанной	hibridinių
адыгея	adygėja
еврей	žydų
еврей	žydas
кинематографии	kinematografija
гигантский	giant
ниндзя	nindzė
ниндзя	nindzės
узкий	siauros
узкий	siauras
узкий	siaura
кора	žievė
кора	žievės
кора	kora
шерсть	vilnos
шерсть	vata
шерсть	vatos
шерсть	vilna
шерсть	kailis
шерсть	kailiai
шерсть	kailio
шерсть	kailius
амир	amir
амур	amūro
действовало	prekiavo
действовало	veikė
расчета	apskaičiavimas
расчета	skaičiavimas
расчета	apskaičiuoti
толпы	minios
толпы	minia
легких	plaučiai
легких	plaučių
механических	mechaninis
механических	mechaninė
цинь	čin
снаряды	kriauklės
манифест	manifesto
манифест	manifeste
зрелости	terminas
раны	žaizdos
подготовить	parengti
эрих	erich
верный	ištikimas
сексуальные	seksualus
коллегия	koledžas
коллегия	kolegijos
коллегия	kolegija
коллегия	koledžo
твой	tavo
твой	tavo
твой	savo
твой	jūsų
солей	padus
солей	druskos
солей	druskų
солей	soleil
конан	conan
галле	halės
телеведущий	transliuotojas
оуэн	owen
люка	lukas
джастин	justinas
входящий	gauta
входящий	ateinantys
тонны	tonos
тонны	tonų
тонны	tonomis
корнелий	kornelijus
плита	plokštė
плита	plokštės
плита	viryklės
кира	keira
кира	kira
отметки	žymėjimas
предшественников	pirmtakai
арканзас	arkanzaso
глубокие	gilus
глубокие	gili
глубокие	giliai
племянника	sūnėnas
мороз	frost
гао	gao
плоскость	lėktuvas
плоскость	plokštumos
гюнтер	gunther
базилика	bazilika
бани	vonios
бани	vonia
бани	vonios
кали	kali
пари	lažybų
тарас	taras
мохаммед	mohammed
разведывательный	žvalgybos
красивый	gražuolis
красивый	gražus
серафим	seraphim
посещение	aplankyti
посещение	aplankyti
феодосий	teodosijus
сербы	serbai
духовенство	žyniai
эдуардо	eduardo
психологические	universiteto
услышал	girdėjau
суворов	suvorovas
индивидуально	atskirai
следователь	tyrėjas
следователь	tyrėjo
презентации	pristatymai
дженни	dženi
труппа	trupės
франциск	pranciškus
карпов	karpovas
изгнание	tremtyje
изгнание	išsiuntimas
росси	rossi
темно	tamsus
темно	tamsi
темно	tamsiai
кристин	kristin
кристин	kristina
кристин	christine
дедушка	senelis
пригородных	priemiesčių
пригородных	priemiestinių
долготы	ilguma
долготы	ilgumos
священная	šventa
священная	švento
интенсивно	intensyvus
интенсивно	intensyvi
бенуа	benoît
катания	catania
макдональд	macdonald
гёте	goethe
магнус	magnus
хозяйка	meilužė
хозяйка	šeimininkė
клиники	klinikų
клиники	klinika
клиники	klinikos
клиники	klinikoje
свиней	kiaulės
свиней	kiaulėms
увеличена	išplėsta
китайцы	kinų
китайцы	kinijos
китайцы	kinas
благодарен	dėkinga
благодарен	dėkingas
благодарен	dėkingi
благодарен	dėkingas
благодарен	dėkinga
адвокаты	teisininkai
адвокаты	advokatai
марин	marin
учительница	mokytoja
тестирование	bandymai
сомнительной	abejotina
убедительно	įtikinamas
убедительно	įtikinama
убедительно	įtikinamai
красивая	graži
красивая	gražu
красивая	gan
красивая	gana
декоративных	dekoratyvinių
декоративных	dekoratyviniai
змеи	serpents
змеи	gyvatės
змеи	gyvates
змеи	gyvačių
змеи	gyvatės
змеи	gyvate
змеи	gyvatė
лодке	valties
лодке	valtis
мониторинга	stebėjimas
мониторинга	stebėsena
мониторинга	stebėsenos
катер	runabout
дефицит	deficito
дефицит	deficitas
критический	esminė
марат	maratas
мощь	galios
мощь	galia
подвиги	puota
готовить	gaminti
лили	lily
человечество	žmoniją
человечество	žmonija
коваленко	kovalenko
рубен	rubén
материально	logistika
материально	logistikos
жерар	gerard
мягкой	lengvu
мягкой	lengvas
приехали	atvyko
обряды	apeigomis
еды	maistas
напитки	gėrimas
напитки	gėrimų
напитки	gėrimams
напитки	gėrimai
напитки	gėrimų
напитки	geria
напитки	gėrimai
герхард	gerhard
копья	spears
монтгомери	montgomery
спорный	ginčytinas
чернобыльской	černobylio
колокола	varpai
зоологии	zoologija
временная	laikinai
чудес	stebuklus
чудес	stebuklus
кей	kay
терминология	terminologija
терминология	terminijos
необходимый	būtinas
сура	sura
демон	demonas
хранитель	laikytojas
хранитель	globėjas
тепловой	šiluma
тепловой	terminio
молот	plaktuką
бессмысленно	nereikalinga
бессмысленно	beprasmis
бессмысленно	beprasmis
рэйчел	reičel
фантазии	fantazija
фантазии	fantasia
фантазии	fantazijų
зил	zil
металлический	metalo
металлический	metalas
летать	skristi
летать	skrenda
летать	skraidyti
порошок	milteliai
порошок	miltai
юрт	jurta
поставок	atsargų
отход	išvykimas
отход	išvykimo
обойти	apeiti
обойти	apeiti
моряки	jūreiviai
моряки	jūreivių
фелипе	felipe
секты	sektos
напиток	gėrimas
напиток	gerti
напиток	gėrimas
напиток	gėrimų
параллельных	lygiagrečiai
зерновых	grūdų
зерновых	javai
зерновых	grūdai
посланник	pasiuntinys
посланник	apaštalo
нуар	noir
теологии	teologija
рашид	rasheed
купе	coupe
дублин	dubline
дублин	dublinas
магия	magija
опубликовать	publikuoti
опубликовать	paskelbia
конфедерация	konfederacija
конфедерация	konfederacijos
уилл	bus
девятый	devintojo
диктатуры	diktatūros
диктатуры	diktatūra
диктатуры	diktatūros
триполи	tripolis
махачкала	machačkala
сосновка	sosnovka
эллен	elena
эллен	elen
тибет	tibetas
тибет	tibete
тибет	tibeto
чак	chuck
турку	turku
серверов	serveriai
больным	nesveikas
больным	serga
пожаров	gaisrai
пожаров	gaisrų
чая	arbata
чая	arbatos
карел	karel
муки	miltus
муки	miltų
муки	miltai
молния	žaibas
молния	žaibo
хореограф	choreografas
мон	mont
мон	mon
египетский	egiptas
египетский	egipto
броненосец	šarvuotis
дакота	dakotos
повторение	pasikartojimo
убедил	įtikino
убедил	įsitikinęs
господства	dominavimo
профессионал	profesinės
профессионал	profesionalus
разделяет	dalys
баллада	baladė
оренбург	orenburgas
раскрытия	atskleidimas
раскрытия	atskleidimo
огни	žiburiai
огни	šviesos
огни	žibintai
огни	šviestuvai
огни	lempoms
любимая	mėgstamiausias
любимая	mylimiausias
любимая	mėgstamiausia
любимая	mėgstamiausias
любимая	mylima
любимая	mylimas
андорры	andora
копенгаген	kopenhagos
копенгаген	kopenhaga
оскара	oskaras
труа	trois
сенатора	fantastika
сенатора	senatorius
шин	padangos
шин	shin
луганск	luhansko
тор	tor
тор	toras
севилья	sevilla
бежит	krypsta
бежит	valdo
пророк	pranašas
браки	santuokos
браки	santuoka
браки	santuokų
ненависти	nekenčiu
ненависти	neapykanta
налоговой	sodros
слияние	sandorį
жаркое	keptos
радикально	radikalių
шестое	šeštoji
шестое	šešta
шестое	šeštasis
шестое	šeštosios
керри	kerė
керри	kerry
смешанная	sumaišyti
иона	jona
залах	sales
фальсификации	klastojimą
конечностей	galūnių
конечностей	galūnių
конечностей	galūnės
линейной	tiesinis
линейной	linijinis
линейной	tiesinė
аудитория	auditorijoje
привилегии	privilegija
привилегии	privilegijos
привилегии	privalumų
истина	tiesa
истина	tiesos
доменико	domenico
ненависть	neapykanta
ненависть	nekenčiu
ненависть	neapykanta
остро	aštrus
азербайджанцев	azerbaidžaniečiai
мурманск	murmansko
юсуф	yusuf
потолок	lubos
сдпг	bpd
связать	sieti
будущие	ateitis
выдача	ekstradicijos
механические	mechaninis
механические	mechaninė
гилберт	gilbert
подавление	represijos
подавление	represijų
привлечение	pritraukti
тайваня	taivano
подборка	rengimo
биологические	biologinė
повторения	pasikartojimo
лишение	nepritekliaus
настроение	nuotaikos
настроение	nuotaika
хоккайдо	hokaido
температуру	temperatūrą
температуру	temperatūra
оперение	dimorfizmas
якуб	jakub
подземные	požeminis
подземные	pavasarį
хакасия	chakasija
заяц	hara
заяц	triušiai
заяц	triušio
заяц	triušis
заяц	rabbit
кейн	kane
компромисс	kompromisas
коллинз	collins
ценный	vertinga
ценный	vertingas
финансы	finansiniai
финансы	finansinis
