ausscheiden	звільнення
auschwitz	воротах
zeitgenössische	сучасна
zeitgenössische	contemporary
zeitgenössische	сучасне
planungen	планування
planungen	плани
neueren	новіші
beendigung	завершення
detroit	detroit
emma	емма
publikation	публікаціях
publikation	публікацію
publikation	публікація
stoff	тканина
stoff	речовини
stoff	речовина
stoff	тканину
stoff	тканина
fremden	чужинці
fremden	чужинців
fremden	прибульці
fremden	прибульців
fremden	незнайомця
ernsthaft	серйозне
ernsthaft	серйозно
ernsthaft	серйозні
ernsthaft	серйозна
ernsthaft	серйозний
ernsthaft	серйозно
gelben	жовте
gelben	жовтого
gelben	жовті
gelben	жовтий
krankheiten	недуг
krankheiten	хвороби
krankheiten	хворобу
krankheiten	хвороб
krankheiten	захворювань
krankheiten	захворювання
krankheiten	розлади
krankheiten	хвороба
zentimetern	сантиметри
zentimetern	сантиметрів
bukarest	бухарест
mans	ман
maine	мен
rief	назвали
rief	викликала
rief	називається
rief	викликали
rief	плакав
rief	плакала
entlassung	видати
entlassung	розряд
entlassung	надлишковість
entlassung	резервування
kongo	конго
stämme	народами
stämme	племен
siebten	сьомому
siebten	сьомий
siebten	сьома
musikern	музикантів
musikern	музиканти
grob	грубо
grob	грубий
grob	шалена
grob	суворий
grob	важкий
grob	rough
grob	грубою
dialekt	діалект
dialekt	діалектів
philologie	філологія
hofmann	гофманн
südkorea	тайвань
südkorea	корея
südkorea	кореї
südkorea	сеулі
beachtung	увага
beachtung	зважити
technischer	технічні
technischer	технічна
technischer	технічний
grimm	грімм
merkmal	характеристика
merkmal	можливість
merkmal	риса
orthodoxen	православний
orthodoxen	православної
orthodoxen	orthodox
orthodoxen	православна
orthodoxen	православні
epoche	епоха
epoche	епохи
epoche	епоху
engineering	техніка
engineering	інженерних
engineering	інженерія
rechnung	рахунок
rechnung	обліку
rechnung	рахунки
rechnung	накладними
rechnung	білла
rechnung	білл
rechnung	фактура
rechnung	біл
browser	браузер
browser	навігатор
browser	переглядач
verwiesen	посилаються
verwiesen	виключили
verwiesen	називають
konsul	консул
stab	стаб
stab	род
draft	чернетку
draft	чернетка
draft	чернетки
benannten	названої
benannten	призначені
wertung	оцінок
wertung	оцінювання
wertung	рейтинг
wertung	оцінкою
wertung	оцінка
vorschriften	статут
vorschriften	постанов
vorschriften	правила
vorschriften	вимоги
vorschriften	специфікації
eintracht	айнтрахт
eintracht	гармонія
eintracht	harmony
eintragen	зареєструватись
eintragen	зареєструвати
eintragen	регістр
eintragen	реєстрація
eintragen	ввести
eintragen	увійти
eintragen	введіть
eintragen	enter
ähnelt	схожа
ähnelt	нагадує
ähnelt	схожий
rad	кермо
rad	колесо
rad	рад
götter	боги
lass	скарбу
lass	хай
lass	нехай
harz	гарц
harz	смола
beitragen	надання
lars	ларс
kopiert	скопійовано
lucas	лукас
schiedsrichter	арбітр
schiedsrichter	рефері
schiedsrichter	суддя
schiedsrichter	referees
dünn	тонка
dünn	тонкі
dünn	тонкий
dünn	рідше
dünn	розріджена
bestimmungen	статут
bestimmungen	постанов
mauern	стіну
mauern	стіна
mauern	стіні
mauern	стіни
mauern	мури
berechnet	вираховується
berechnet	розраховано
three	три
three	втрьох
three	трійка
verlieren	втрати
verlieren	втрачаємо
verlieren	програш
verlieren	випустити
verlieren	втратить
verlieren	програє
verlieren	втратити
verlieren	програти
gefangenschaft	полоні
gefangenschaft	затримання
gefangenschaft	утримання
gefangenschaft	полон
henning	геннінг
comics	comics
comics	комікси
comics	комікс
comics	comic
comics	комікс
umfassenden	комплексне
sainte	сент
moon	місяця
moon	місяць
moon	мун
moon	місячні
moon	супутник
wem	кого
wem	хто
wem	who
wem	чиє
wem	чиї
wem	чия
wem	чий
teufel	hell
teufel	пекло
teufel	чорти
teufel	диявол
teufel	біс
teufel	сатана
teufel	дияволи
notre	нотр
leinwand	полотно
leinwand	полотна
leinwand	екрана
leinwand	екран
rugby	регбі
vorhaben	project
vorhaben	проект
vorhaben	проекти
vorhaben	проектів
verarbeitet	опрацювати
verarbeitet	оброблено
verarbeitet	оброблені
riga	рига
riga	риги
gültigen	чинного
gültigen	дійсний
gültigen	чинний
gültigen	чинну
funktionieren	функціонування
vorn	front
vorn	спереду
vorn	передні
vorn	фронт
vorn	передній
madonna	мадонна
roberto	роберто
bedeutend	значно
wohnen	живі
wohnen	житло
wohnen	жити
wohnen	live
wohnen	наживо
wohnen	живу
wohnen	трансляція
vorfahren	пращурів
vorfahren	пращур
level	рівень
ressourcen	виконавця
ressourcen	ресурсу
ressourcen	ресурс
ressourcen	виконавець
ressourcen	ресурси
ressourcen	виконавців
ressourcen	виконавці
ressourcen	ресурси
laura	лора
laura	лаура
zeichnen	намалювати
zeichnen	малювати
zeichnen	роздати
zeichnen	нічия
zeichnen	креслення
zeichnen	малюнок
zeichnen	малювання
zeichnen	замальовки
essays	твори
bürgerschaft	громадянство
vorträge	лекції
vorträge	доповідей
vorträge	конференцій
vorträge	презентації
vorträge	презентацій
vorträge	розповідає
vorträge	розмовляє
vorträge	говорить
vorträge	лекції
vorträge	лекція
haushalten	родин
marianne	маріанна
wilde	дикі
wilde	дикий
wilde	wild
wilde	диких
wilde	уайльд
wilde	здичавілі
wilde	дикун
mathias	матіас
österreichisch	австрійська
österreichisch	австрійський
österreichisch	австро
mont	мон
rumpf	галл
rumpf	тулуб
rumpf	фюзеляж
rumpf	багажник
rumpf	колода
anfangen	запустити
anfangen	розпочати
anfangen	старт
anfangen	запускати
anfangen	початок
anfangen	почати
anfangen	початок
anfangen	починаємо
arabische	арабських
arabische	арабський
arabische	арабські
arabische	арабська
arabische	арабський
lyrik	ліричних
lyrik	поезія
belgrad	белграда
maryland	меріленд
abhängigkeit	залежність
abhängigkeit	залежність
abhängigkeit	залежність
ankunft	прихід
ankunft	приїзд
ankunft	прибуття
ankunft	прилітають
ankunft	приїхати
ankunft	прибуття
gerichte	посуд
gerichte	страв
gerichte	страви
gerichte	суди
gerichte	судів
mörder	убивці
mörder	вбивці
mörder	убивця
mörder	вбивця
mörder	убивця
mörder	вбивця
mörder	убивці
mörder	вбивці
mörder	скоєні
sofia	софійська
sofia	софія
verändern	зміна
verändern	зміна
verändern	змінити
abu	абу
glasgow	glasgow
stürmer	вперед
stürmer	уперед
heller	хеллер
befreit	звільнені
befreit	звільнено
emanuel	емануель
emanuel	еммануель
naturschutz	охорони
naturschutz	енергозбереження
naturschutz	природа
naturschutz	природня
anliegen	стосується
kohle	вугілля
kohle	тісто
kohle	крейдою
erteilt	видала
erteilt	виданий
erteilt	випущено
erteilt	розуміється
graham	грем
hauptsitz	штаб
caroline	кароліна
caroline	керолайн
kaiserreich	імперія
kaiserreich	імператорський
kaiserreich	імперський
kaiserreich	imperial
konzern	корпоративні
konzern	відділу
konzern	група
konzern	групова
konzern	груповий
konzern	групу
konzern	спільнота
konzern	consolidated
konzern	корпорація
marokko	марокко
nordischen	скандинавських
gebeten	запитали
gebeten	запитала
gebeten	просили
gebeten	просив
gebeten	запитав
gebeten	молитву
gebeten	молитви
wörtlich	буквально
wörtlich	буквальному
wörtlich	дослівно
wrestling	боротьба
ryan	раян
manga	манга
demo	демонстрація
demo	демо
renault	renault
turner	гімнастка
turner	тернер
einnahmen	вклади
einnahmen	прибуток
einnahmen	дохід
einnahmen	прибутки
einnahmen	надсилати
einnahmen	прибуток
einnahmen	дохід
kritiken	огляди
kritiken	відгуки
kritiken	критиків
kritiken	критика
kritiken	критики
dorothea	доротея
renoviert	запровадження
renoviert	відновлено
suhrkamp	suhrkamp
kreuzung	перехресті
kreuzung	перетин
kreuzung	перехрестя
kritisierte	критикували
gilbert	гілберт
jemals	ever
verschwunden	зник
verschwunden	зникли
verschwunden	зникла
verschwunden	зник
verschwunden	зник
aufeinander	послідовних
aufeinander	підряд
aufeinander	послідовними
benennung	зустріч
benennung	найменування
benennung	номінації
benennung	позначення
captain	капітан
kirchliche	церковної
ausgang	вивести
ausgang	вивід
ausgang	виведення
ausgang	висловлювання
ausgang	виводу
ausgang	вихідний
ausgang	вихідні
ausgang	вихід
ausgang	виходу
ausgang	вийти
ausgang	виходи
estland	таллін
estland	естонія
estland	естонії
startet	запускає
startet	починає
startet	починається
startet	запускає
startet	стартує
clara	клара
älterer	старші
älterer	старше
älterer	старіші
älterer	старша
erwachsenen	дорослі
erwachsenen	дорослих
erwachsenen	доросла
erwachsenen	дорослі
erwachsenen	доросле
erwachsenen	дорослий
garde	гард
anzeige	відображення
anzeige	дисплей
anzeige	показати
anzeige	показ
anzeige	показувати
anzeige	рекламні
anzeige	піару
anzeige	дисплеї
anzeige	показує
systemen	систем
systemen	systems
sierra	сьєрра
meißen	майсен
trennen	розділення
trennen	відокремлення
trennen	окреме
trennen	відокремити
entscheidende	рішучий
entscheidende	критично
entscheidende	ключовий
stralsund	штральзунд
zwingend	імператив
zwingend	примусово
spezialisiert	спеціалізовані
spezialisiert	спеціалізована
kennedy	кеннеді
händler	шахраїв
händler	дистриб
händler	творами
händler	дилер
beförderung	кузов
beförderung	підвищення
beförderung	просування
beförderung	заохочення
mönchengladbach	менхенгладбах
germanistik	германські
benachbarte	сусідніх
benachbarte	сусіднього
benachbarte	сусідню
durchschnitt	середній
durchschnitt	середнє
durchschnitt	середня
durchschnitt	середнього
singen	співають
singen	співай
singen	співаю
singen	спів
singen	співати
singen	співає
singen	спів
camp	табір
gewerbe	пропонує
minden	мінден
gefecht	battle
gefecht	битва
gefecht	бій
gefecht	сутичку
campbell	кемпбелл
mind	mind
mind	розум
mind	мін
mind	хв
beine	ніжки
beine	ноги
anführer	ватажок
anführer	лідер
anführer	лідери
anführer	лідерів
techniken	техніка
techniken	методика
techniken	методику
techniken	експериментувати
techniken	методики
asteroiden	астероїд
asteroiden	астероїди
asteroiden	астероїди
woher	як
franco	франко
betrachtung	споглядання
überprüfung	переглянути
überprüfung	рецензування
überprüfung	відгук
überprüfung	огляд
überprüfung	перевірка
überprüfung	перевірки
böden	виноробстві
böden	поверхи
böden	поверхів
böden	ґрунту
böden	ґрунт
böden	земля
option	варіант
option	пункт
option	параметр
ägyptischen	єгипетський
ägyptischen	єгипетська
stade	стад
lukas	люк
lukas	лукас
lukas	лукас
morgan	морган
ständigen	стоїть
ständigen	стоячи
ständigen	стоять
ständigen	постійний
bühnen	платформи
bühnen	стадії
bühnen	діях
bühnen	стадія
porsche	порше
porsche	porsche
beurteilung	причому
beurteilung	оцінювання
beurteilung	оцінка
beurteilung	судячи
abgehalten	тримали
abgehalten	проведено
flecken	плями
flecken	плям
japanisch	японська
japanisch	японський
japanisch	японці
japanisch	японські
gewählten	обраний
gewählten	обрання
sat	сб
sat	сидячи
sat	сіли
sat	сидів
sat	sat
fliehen	екранування
fliehen	тікає
fliehen	залишаються
fliehen	тікають
fliehen	продовжили
fliehen	втеча
fliehen	втечу
fliehen	втекти
stoffe	тканини
erkenntnis	реалізація
erkenntnis	сприйняття
erkenntnis	інсайт
château	шато
fraglich	сумнівною
steven	стівен
parker	паркер
empfangen	отримувати
empfangen	отримано
empfangen	отримані
empfangen	отриманий
empfangen	отримали
empfangen	отримала
empfangen	отримання
bruders	брат
bruders	брата
bruders	братик
diff	порівняння
diff	diff
diff	різниця
diff	розбіжності
pflicht	вимога
pflicht	примусово
talent	таланти
talent	талант
fire	fire
fire	вогнем
fire	вогонь
fire	пожежа
türkisch	турецька
türkisch	турецький
türkisch	турецькою
türkisch	турецькі
nummern	числа
nummern	номери
nummern	цифри
passagiere	пасажири
passagiere	пасажирів
passagiere	пасажир
generalsekretär	секретар
schnellen	швидко
schnellen	швидкі
schnellen	швидке
schnellen	швидка
schnellen	фаст
schnellen	швидкий
wusste	знала
wusste	знало
wusste	знали
wusste	знав
bahnen	залізниця
bahnen	залізниці
bahnen	перевізників
bahnen	потяги
bahnen	поїзди
theologische	духовна
theologische	теології
thompson	томпсон
konstantinopel	стамбула
konstantinopel	стамбулі
konstantinopel	стамбул
henriette	генрієтта
four	четвірка
four	чотирьох
four	чотири
dichtung	поезія
dichtung	печатка
dichtung	печатки
dichtung	емблема
dichtung	котик
dichtung	сіл
hinreichend	достатній
hinreichend	достатню
hinreichend	достатньо
hinreichend	забезпечувати
theoretisch	теоретична
theoretisch	теоретично
theoretisch	теорія
robinson	робінсон
decken	склепіннях
decken	ковдри
decken	обкладинку
decken	cover
decken	обкладинка
decken	обкладинки
hop	гоп
hop	hop
hop	хоп
legend	легенду
legend	легенда
persönlicher	особисті
persönlicher	особисте
persönlicher	особистий
persönlicher	персональний
wünsche	бажання
wünsche	бажаю
wünsche	побажання
wünsche	бажанням
wünsche	забаганки
dennis	деніс
dennis	денис
dennis	денніс
nachbarn	сусіди
nachbarn	сусід
nachbarn	сусіди
nachbarn	сусід
ernährung	харчові
ernährung	харчові
ernährung	дієта
bologna	болонья
vergleichen	порівняння
vergleichen	порівняння
vergleichen	порівняти
vergleichen	порівнювати
vergleichen	порівняйте
vergleichen	порівняння
vergleichen	diff
vergleichen	різниця
vergleichen	розбіжності
vergleichen	порівняння
vergleichen	порівняння
björn	бйорн
lebensweise	фешн
lebensweise	життя
gestrichen	вилучено
gestrichen	вилучені
gestrichen	скасовано
gestrichen	намалювала
gestrichen	малюють
gestrichen	скасовано
kolumbien	колумбія
kolumbien	колумбії
kolumbien	колумбія
tafel	дошці
verabschiedet	приймається
geistliche	диякони
geistliche	священик
geistliche	духовні
geistliche	священики
geistliche	духовенство
geistliche	священики
dublin	дублін
gabriele	gabriele
planck	планка
fantasy	fantasy
fantasy	фантазія
anerkannte	впізнали
anerkannte	підтверджую
anerkannte	визнана
anerkannte	визнала
anerkannte	визнав
anerkannte	впізнав
anerkannte	визнано
anerkannte	визначив
springen	стрибати
springen	перехід
springen	стрибок
springen	перейти
springen	стрибок
springen	скаче
interessierte	цікавиться
interessierte	зацікавлений
interessierte	зацікавило
interessierte	цікаво
interessierte	цікавить
interessierte	цікавляться
aktivität	активність
aktivität	дії
aktivität	діяльності
aktivität	дія
aktivität	діяльність
passieren	станеться
passieren	трапляються
passieren	статися
ära	епоха
luigi	луїджі
annehmen	припустимо
annehmen	прийняти
annehmen	прийміть
annehmen	приймаємо
annehmen	погодитися
annehmen	приймаю
gedruckt	надруковано
abteilungen	поділ
störungen	завада
störungen	розлади
ken	кен
sportarten	спорт
sportarten	спорт
sportarten	спортивні
sportarten	спорту
halbe	половинки
halbe	пів
halbe	півтори
halbe	половина
halbe	половину
halbe	наполовину
louisiana	луїзіана
erläutert	пояснив
erläutert	пояснила
erläutert	пояснює
taiwan	тайвань
kritischen	критична
kritischen	критичні
kritischen	критичний
obergeschoss	нагорі
vorzeitig	передчасно
sturz	тягарем
sturz	водоспад
sturz	падати
sturz	осінь
sturz	fall
sturz	падіння
erweiterten	збільшив
aufzeichnungen	рекорди
aufzeichnungen	records
aufzeichnungen	платівки
aufzeichnungen	recordings
amazon	amazon
amazon	амазон
teilgenommen	відвідали
befestigt	оборонний
befestigt	долучено
administrative	адміністративні
administrative	адміністративний
administrative	адміністративне
shakespeare	шекспір
auseinander	apart
auseinander	окрім
forst	форст
forst	лісова
forst	ліс
hang	схил
hang	схилу
hang	вішати
hang	повісити
löscht	вилучає
stadtmauer	стіни
stadtmauer	мури
beantwortet	відповідає
beantwortet	відповіли
beantwortet	відповів
beantwortet	відповіла
beantwortet	відповіла
beantwortet	відповіли
labor	labs
labor	лабораторії
labor	лабораторія
labor	lab
labor	лабораторії
labor	трудові
samstag	субота
samstag	суботи
samstag	щосуботи
lehmann	леманн
classic	класична
classic	класичні
classic	класичний
classic	класика
classic	класичне
wirtschafts	економічне
wirtschafts	економічні
wirtschafts	економічна
wirtschafts	економічний
wirtschafts	корупцію
herausragende	любомира
herausragende	визначні
herausragende	видатним
med	мед
oberste	supreme
schwäbisch	швабський
berühmt	відома
berühmt	знамениті
berühmt	відомий
berühmt	знаменитий
berühmt	celebrity
berühmt	знаменитості
berühmt	славу
berühmt	слави
berühmt	всесвітньо
restaurierung	відновлення
restaurierung	реставрація
restaurierung	реконструкція
restaurierung	відновлення
geehrt	заслужений
geehrt	заслужений
geehrt	поважно
jonas	йонас
jonas	джона
umzug	споруд
umzug	переміщення
umzug	руху
umzug	переїзд
umzug	пересування
umzug	парад
umzug	вилучення
umzug	видалення
niedrigen	низький
niedrigen	низька
niedrigen	low
ski	лижах
ski	лижі
ski	лижах
weichen	перемикачі
ansprechen	відповідь
gezielt	цільовий
held	герой
erhöhung	збільшити
erhöhung	підвищити
erhöhung	висота
erhöhung	покращення
kfz	автомобільний
kfz	автомобільна
kfz	автомобільні
wüste	пустелі
wüste	пустеля
wüste	дикість
wüste	дика
wüste	пустелях
wüste	пустелі
verkauften	продано
adolph	адольф
polizisten	копи
polizisten	поліцейські
polizisten	поліцейських
polizisten	поліція
polizisten	офіцери
polizisten	офіцерів
polizisten	поліцейського
polizisten	поліцейський
mhz	мгц
carter	картер
princeton	princeton
latein	латинська
latein	латинської
latein	латинські
tschechische	чеською
tschechische	чеської
tschechische	чеська
tschechische	чех
fortgesetzt	тривале
fortgesetzt	продовжив
fortgesetzt	продовжували
fortgesetzt	продовжується
fortgesetzt	продовжила
politisches	політичний
politisches	політичне
politisches	політична
politisches	політичні
atlanta	атланти
hip	hip
hip	хіп
antwerpen	центральний
antwerpen	антверпен
kaiserslautern	кайзерслаутерн
invasion	вторгнення
invasion	захоплюють
antonius	ентоні
antonius	антоні
antonius	ентоні
antonius	антоній
antonius	антоній
muhammad	мухаммед
muhammad	мухаммад
gegenwärtig	зараз
gegenwärtig	наразі
gegenwärtig	складають
northern	північна
northern	північний
northern	північне
julian	юліан
nil	суху
nil	nil
nil	ніла
selbständige	самостійна
selbständige	незалежні
selbständige	незалежна
selbständige	незалежний
selbständige	незалежне
güterverkehr	перевезення
güterverkehr	вантажний
alternativen	альтернатива
alternativen	варіант
alternativen	альтернативне
alternativen	альтернативні
alternativen	альтернативна
alternativen	альтернативний
alternativen	альтернативи
alternativen	варіанти
sant	сант
abc	abc
herrscht	переможе
herrscht	править
schaffung	створення
schaffung	витвір
flachen	мілка
kiew	київ
kiew	київ
hard	hard
hard	тяжко
hard	важкий
hard	складна
hard	важка
hard	жорсткий
faust	фауст
faust	кулак
vita	віта
unverändert	незмінним
unverändert	вносилися
evans	еванс
interessante	цікавий
interessante	цікаво
interessante	цікаве
holding	тримала
holding	плакатами
ausserdem	також
apple	яблуко
apple	apple
apple	яблучко
schlage	підкажіть
schlage	запропонувати
schwanz	хвости
schwanz	хвіст
schwanz	дік
schwanz	член
fisch	риби
fisch	риб
fisch	риба
fisch	рибу
fisch	рибка
fisch	риби
fisch	морепродукти
thron	трон
ozean	океанічна
ozean	океани
ozean	океан
konservatorium	консерваторія
konservatorium	консерваторія
beteiligen	долучитись
beteiligen	участь
untergrund	підземні
untergrund	підземний
untergrund	підпілля
untergrund	субстрат
redundanz	надлишковість
redundanz	резервування
senior	старший
senior	сеньйор
aufsätze	твори
cooper	купер
rechner	розрахувати
rechner	калькулятор
rechner	вузол
rechner	ведуча
rechner	computer
rechner	вузли
rechner	сервери
rechner	калькуляторів
schubert	шуберт
brigitte	brigitte
fränkischen	франкські
zugrunde	нижніх
barry	баррі
bahnhöfe	станції
brüdern	побратимами
brüdern	брати
brüdern	браття
brüdern	брати
patent	патент
webseiten	сайті
webseiten	сайт
webseiten	web
webseiten	веб
webseiten	сайти
webseiten	сайтів
webseiten	юнеско
webseiten	сайти
unterfamilie	підродина
knochen	кістки
knochen	кісточки
knochen	кістка
ack	ack
veb	veb
posen	познань
posen	познань
posen	познані
posen	позен
rechtlich	законного
rechtlich	юридично
wenzel	венцель
pionier	pioneer
pionier	піонери
type	типу
type	тип
blütezeit	краєвидом
blütezeit	цвіте
blütezeit	блум
rumänischen	румунська
metz	мец
harold	гарольд
brothers	браття
brothers	брати
tests	перевірки
tests	тести
tests	тестування
tests	випробування
entfernten	віддалений
entfernten	пульт
entfernten	віддалене
ausgehen	побачення
ausgehen	побачень
ausgehen	знайомств
ausgehen	назовні
ausgehen	вийшов
ausgehen	out
lebenslauf	поновлює
lebenslauf	curriculum
lebenslauf	біографія
lebenslauf	біографію
lebenslauf	поновити
lebenslauf	відновити
lebenslauf	продовжити
sorgt	доводить
sorgt	різниця
sorgt	дбає
läßt	визнає
staffeln	сезони
alkohol	алкоголь
alkohol	рому
alkohol	алкоголю
alkohol	алкоголь
alkohol	спирт
alkohol	алкоголю
alkohol	настоянка
gene	ген
gene	джин
gene	гени
trasse	контур
trasse	шлях
rechnen	арифметика
rechnen	очікую
rechnen	очікувати
rechnen	очікуємо
rechnen	математика
rechnen	математичний
rechnen	математичні
rechnen	математики
silva	сілва
bemerkenswert	поліпшити
bemerkenswert	надзвичайно
menschheit	людство
menschheit	людяності
menschheit	людство
menschheit	людства
menschheit	людству
produzieren	виробництвом
produzieren	виготовлення
produzieren	виробляють
ehre	честь
ehre	пошани
ehre	честь
ehre	шанувати
ehre	вшанування
ehre	славу
ehre	слава
öffentlicher	публічний
öffentlicher	громадське
öffentlicher	паблік
öffentlicher	відкритий
öffentlicher	публічна
öffentlicher	громадського
toll	великий
toll	чудово
christ	християни
