usne	lábios
osa	vespa
adnan	adnan
radeći	trabalhando
radeći	trabalhar
radeći	funcionando
sektora	setores
sektora	sectores
boleyn	bolena
limfni	linfático
pozitivna	positivos
pozitivna	positivas
pozitivna	positivo
pozitivna	positiva
preostali	remanescente
preostali	restante
preostali	restantes
preostali	permanecendo
izračunati	calcular
pozvan	convidou
pozvan	convidadas
pozvan	convidados
pozvan	convidada
pozvan	convidado
leverkusen	leverkusen
plate	salário
plate	pagar
plate	paga
plate	pague
plate	vencimentos
plate	salários
kontinentalna	continental
kontinentalna	continentais
definisan	definida
definisan	definidos
definisan	definidas
definisan	definiu
definisan	definido
monk	monk
monk	monge
apolon	apolo
apolon	apollo
mišićima	músculos
ambasador	embaixadora
ambasador	embaixador
billboard	billboard
billboard	cartaz
paula	paula
povezivanje	conecte
povezivanje	ligar
povezivanje	conectar
povezivanje	conexão
gilbert	gilberto
gilbert	gilbert
izjava	declaração
izjava	afirmação
izjava	extrato
adrese	moradas
adrese	endereços
len	len
jedinstveni	únicos
jedinstveni	único
jedinstveni	única
jedinstveni	únicas
raspolaganju	disponível
raspolaganju	disponíveis
raspolaganju	disponivel
yesno	yesno
dream	sonhar
dream	dream
dream	sonho
zlatan	zlatan
završiti	acabamento
završiti	concluir
završiti	finalizar
završiti	terminar
završiti	termine
wien	wien
plazme	plasma
obnove	renovação
ograničene	limitado
ograničene	limitados
ograničene	limitadas
ograničene	limited
ograničene	limitada
centrima	centros
vjenčanje	boda
vjenčanje	casamento
vjenčanje	bodas
vjenčanje	wedding
float	flutua
float	flutuar
cleveland	cleveland
poštovanje	respeitar
poštovanje	respeitem
poštovanje	respeite
poštovanje	respeito
nepoznati	desconhecida
nepoznati	desconhecidos
nepoznati	desconhecidas
nepoznati	desconhecido
ranjen	ferido
ranjen	ferida
ranjen	feridos
imperije	impérios
osnivači	fundadores
otpornost	resiliência
call	chamada
call	ligar
call	ligue
call	chama
dnevni	diariamente
dnevni	diários
dnevni	diário
dnevni	diária
odabrao	escolheu
odabrao	escolhi
odabrao	escolhe
odabrao	escolha
odabrao	escolher
derviš	dervixe
računari	computadores
zaustaviti	parar
zaustaviti	pára
gladi	faminta
gladi	esfomeado
gladi	faminto
gladi	famintos
brejk	break
brejk	quebrar
brejk	quebra
brejk	pausa
mađari	húngaros
nevada	nevada
panorama	panorama
tempel	tempel
getargs	getargs
leon	león
leon	léon
leon	leon
enzime	enzimas
strateški	estrategicamente
strateški	estratégico
strateški	estratégica
strateški	estratégicos
medina	medina
emituje	transmitindo
emituje	emite
amino	aminoácidos
doktorsku	doutoramento
murphy	murphy
liu	liu
biljni	ervas
helikopter	helicóptero
helikopter	helicópteros
aparat	aparelho
aparat	aparelhos
cska	cska
ropstva	escravatura
ropstva	escravidão
provela	implementado
provela	implementada
provela	implementadas
provela	implementados
prašine	dust
prašine	pó
prašine	poeiras
prašine	poeira
molekuli	moléculas
stvoren	criadas
stvoren	criada
stvoren	criado
stvoren	criados
stvoren	criou
filipini	filipinas
atena	atena
atena	athena
arheološko	arqueológica
arheološko	arqueológico
arheološko	arqueológicos
arheološko	arqueológicas
arheološko	arqueologia
lišće	folhas
zant	zant
janez	janez
omar	omar
negativni	negativa
negativni	negativas
negativni	negativos
negativni	negativo
matt	matt
kampanju	campanha
trinaest	treze
trinaest	thirteen
baker	baker
baker	padeiro
neobično	invulgarmente
neobično	invulgar
neobično	incomum
punu	cheia
punu	plena
punu	pleno
punu	full
punu	cheio
simone	simone
dance	dinamarqueses
zeta	zeta
della	della
alen	allen
alen	alen
baby	nenê
baby	neném
baby	bebé
baby	bebê
baby	baby
migracije	migração
migracije	migrações
klasifikacije	classificações
rečenice	frases
rečenice	sentenças
izdana	emitida
izdana	emitidos
izdana	emitiu
izdana	emitido
izdana	emitidas
rog	rog
rog	corno
rog	horn
rog	chifre
rog	buzina
dodijeljen	atribuídos
dodijeljen	atribuído
dodijeljen	atribuída
dodijeljen	atribuídas
prekinuo	interrompida
prekinuo	interrompidos
prekinuo	interrompido
prekinuo	interrompeu
kanali	canais
sklonište	abrigo
smanjen	diminuiu
smanjen	diminuído
smanjen	diminuição
smanjen	diminuída
uređivanje	edit
uređivanje	edita
uređivanje	editar
uređivanje	edite
tudor	tudor
robertson	robertson
odgovori	respostas
izvoz	exporta
izvoz	exportação
izvoz	exportações
izvoz	exporta
izvoz	exportação
izvoz	exportações
izvoz	exportar
organizuje	organizando
organizuje	organizar
organizuje	organiza
prostore	espaços
murat	murad
murat	murat
gljive	fungo
gljive	fungos
motivi	motivos
ekspedicije	expedições
merlin	merlin
zatvoreni	aprisionado
udaraljke	percussão
knin	knin
hidroksid	hidróxido
gregor	gregor
sobu	sala
sobu	quarto
templates	modelos
sazviježđa	constelações
patrijarh	patriarca
nikl	níquel
ane	ane
leberecht	leberecht
tone	toneladas
tone	toneladas
teret	carregar
teret	carga
teret	ónus
teret	fardo
danilo	danilo
uspostavljanje	estabeleçam
uspostavljanje	estabelecer
uspostavljanje	estabeleça
uspostavljanje	estabelecendo
ubrzanje	aceleração
ubrzanje	torque
ubrzanje	binário
parker	parker
vrat	pescoço
korisnički	usuários
korisnički	utilizador
korisnički	usuário
amonijak	amônia
amonijak	amoníaco
amonijak	amónio
amonijak	amónia
konrad	konrad
konrad	conrad
provode	gasto
provode	gastar
provode	gaste
provode	gasta
provode	gastos
provode	passar
ćelijskih	celíaca
sočiju	sochi
zima	inverno
relativnosti	relatividade
barset	barset
olga	olga
blog	blog
blog	blogue
migracija	migração
migracija	migrações
bobby	bobby
leeds	leeds
objašnjenja	explicações
predgrađu	subúrbio
izbjeglica	refugiados
izbjeglica	refugiado
izbjeglica	refugiados
stalne	permanente
stalne	permanentes
atene	atenas
pripremi	preparar
industrijska	industrial
industrijska	industriais
gledajući	olhando
gledajući	procurando
gledajući	olhar
pobjedio	venceu
pobjedio	won
pobjedio	ganhou
pobjedio	ganhado
tyler	tyler
suđenje	julgamento
klaus	klaus
radovan	radovan
voyager	voyager
morrison	morrison
lotus	lotus
lotus	lótus
zakonski	juridicamente
zakonski	legalmente
okruzi	bairros
okruzi	distritos
takmičari	concorrentes
takmičari	competidores
takmičari	concorrentes
takmičari	competidores
molekulska	moleculares
molekulska	molecular
fosili	fóssil
fosili	fósseis
točak	roda
točak	volante
kalaj	tin
kalaj	lata
kalaj	estanho
kanadski	canadiano
kanadski	canadense
kanadski	canadenses
kanadski	canadian
ontario	ontário
alice	alice
paket	pacote
andora	andorra
grp	grp
elvis	elvis
odlično	excelente
odlično	excelentes
postojeći	existindo
postojeći	existente
postojeći	existentes
izgubljeni	perdido
izgubljeni	perdi
izgubljeni	lost
izgubljeni	perdida
izgubljeni	perdidos
izgubljeni	perdeu
pažnja	atençao
pažnja	atenção
ponavlja	repete
ponavlja	repetições
uzimanje	levando
uzimanje	tomando
env	env
oton	otho
pretvaranje	vire
pretvaranje	turn
pretvaranje	vira
pretvaranje	virar
pretvaranje	conversão
pretvaranje	reconversão
optužbe	encargos
optužbe	cobranças
optužbe	acusações
optužbe	débitos
optužbe	acusações
pokazale	mostrados
pokazale	mostrada
pokazale	mostrado
pokazale	exibido
transformacija	transforme
transformacija	transformada
transformacija	transformar
transformacija	transforma
transformacija	transformações
transformacija	transformação
zatvara	fecha
zatvara	fechamento
zatvara	fechando
zatvara	fecho
zatvara	encerramento
zatvara	fechar
papir	paper
papir	papel
vještački	artificialmente
složeni	composto
složeni	compósitos
urednika	editores
javor	maple
orbiti	órbita
orbiti	orbita
valentin	valentin
valentin	valentim
valentin	valentine
izbačen	atirado
stabilna	estável
stabilna	estáveis
stabilna	estábulo
pasa	cães
pasa	cachorros
bazirana	baseado
bazirana	baseados
disertaciju	dissertação
loza	videiras
loza	vinhas
namjera	intenções
namjera	intenção
namjera	intenções
namjera	intento
namjera	intenção
mohammed	maomé
mohammed	mohammed
poslati	manda
poslati	envie
poslati	mandem
poslati	enviar
poslati	envia
patuljak	anã
patuljak	anão
sutjeska	sutjeska
proza	prosa
obilježen	marcadas
obilježen	marcou
obilježen	marcados
obilježen	marcado
obilježen	marcada
sol	sol
turistička	turistas
turistička	turista
brodovima	navios
brodovima	naves
smatrajući	visualizando
smatrajući	visualização
napisano	escrito
napisano	escritas
napisano	escritos
napisano	escrita
platforme	plataforma
manjine	minorias
crteža	parcelas
crteža	conspirações
vještica	bruxo
vještica	bruxa
neuspjeh	falha
neuspjeh	insucesso
neuspjeh	falhanço
neuspjeh	fracasso
bacio	deitou
leipzig	leipzig
izraelski	israelita
izraelski	israelense
izraelski	israelenses
izraelski	israelitas
gerhard	gerhard
rub	esfrega
rub	esfregar
kairo	cairo
sean	sean
slogan	slogan
digitalni	digitais
digitalni	digital
lara	lara
protivnici	adversários
protivnici	oponentes
protivnici	opositores
lisa	lisa
pumpe	bombas
uspješne	sucesso
jusuf	yusuf
oporavak	recuperar
oporavak	recuperem
oporavak	recupere
oporavak	recupera
oporavak	recuperação
oporavak	valorização
oporavak	cobrança
odabir	selecionar
odabir	seleciona
odabir	seleccionar
odabir	selecione
golf	golfe
časti	honra
časti	honor
felipe	felipe
izložba	exibição
izložba	exibição
izložba	exposição
izložba	exposições
ubice	killers
ubice	assassinos
ulicama	ruas
digimon	digimon
trim	aparar
rupa	buraco
rupa	hole
rupa	furo
rupa	furos
rupa	orifícios
rupa	buracos
toro	toro
vels	gales
vels	poços
vels	wells
pozitivni	positivos
pozitivni	positivas
pozitivni	positivo
pozitivni	positiva
zenit	zenit
uni	uni
