文字通り	字面上
目的地	目的地
マルチメディア	多媒體
オーラ	光環
ディープ	深
ディープ	深層
アマゾン	亞馬孫
アマゾン	亞馬遜
義雄	yoshio
年数	歲月
年数	年份
サイコロ	骰子
コロナ	冕
コロナ	日冕
コロナ	冕
コロナ	corona
切符	票
切符	門票
切符	車票
切符	票券
切符	售票
切符	票
切符	門票
切符	車票
教義	教條
教義	教義
教義	信條
教義	教條
教義	原則
教義	學說
教義	教義
教義	理論
教義	原理
オメガ	ō
富豪	百萬富翁
地雷	地雷
ホッケー	曲棍球
ホッケー	冰球
かもめ	海鷗
マダガスカル	馬達加斯加
事績	成就
事績	成績
事績	成就
事績	成績
キタ	北
上告	上訴
上告	呼籲
カートリッジ	墨盒
トレイル	軌跡
トレイル	蹤跡
トレイル	小徑
臓器	器官
臓器	器官
臓器	風琴
コロンボ	科倫坡
水銀	水星
水銀	水銀
水銀	汞
ニース	很好
ニース	尼斯
ユニーク	獨特
ユニーク	獨一無二
浄化	純化
浄化	淨化
浄化	淨化
浄化	純化
浄化	淨化
音節	音節
音節	音節
シダ	蕨類
シダ	fern
曽根	sone
炎症	發炎
炎症	炎症
ダンカン	鄧肯
ダンカン	duncan
カッパ	kappa
長江	長江
摩擦	摩擦力
摩擦	磨擦
摩擦	摩擦
ドーン	dawn
ドーン	拂曉
ドーン	黎明
ドーン	天亮
芝生	草地
芝生	草坪
悪役	反派
実効	成效
実効	有效性
実効	效能
実効	有效
セナ	sena
アルマ	alma
オリオン	獵戶座
ルーシー	露西
ルーシー	lucy
ステータス	狀況
ステータス	狀態
ステータス	現況
四川省	四川
柔軟	靈活
柔軟	靈活性
柔軟	彈性
浮気	不忠
浮気	作弊
浮気	欺騙
浮気	外遇
みのり	minori
マッサージ	按摩
マッサージ	按摩
捕鯨	捕鯨
劣化	退化
劣化	降解
工具	工具
上海市	上海市
上海市	上海
オナニー	手淫
オナニー	自慰
クイック	快速
ラーマ	喇嘛
卓也	拓
卓也	拓也
サンプリング	樣品
サンプリング	取樣
サンプリング	抽樣
サンプリング	樣本
サンプリング	取樣
サンプリング	抽樣
必死	絕望
失効	過期
失効	到期
ねずみ	滑鼠
ねずみ	鼠
経典	金剛經
経典	經
オセアニア	大洋洲
大気圏	氣氛
大気圏	大氣
大気圏	大氣層
大気圏	氛圍
不審	可疑
きらら	kirara
リサイクル	回收
リサイクル	回收
チェン	程
隠す	隱藏
グラフィックス	圖形
グラフィックス	繪圖
マニ	mani
カモ	鴨
カモ	鴨子
カモ	鴨
カモ	鴨子
無意味	無意義
ビーズ	珠
旋風	旋風
無敗	不敗
精製	精煉
精製	精煉
精製	煉油
精製	提煉
精製	精煉
責め	責怪
スナック	點心
スナック	小吃
スナック	零食
スナック	點心
スナック	小吃
スナック	零食
ペダル	踏板
アレクサンドロス	亞歷山大
アレクサンドロス	alexander
ビザ	visa
ビザ	簽證
紀子	紀子
矢吹	矢吹
トレス	tres
スタック	堆疊
スタック	棧
悪性	惡性
満期	成熟
満期	到期
強要	蠱惑
強要	強制
強要	強迫
強要	強迫性
強要	強制
強要	強迫
強要	脅迫
隙間	空白
隙間	差距
隙間	缺口
ギャンブル	賭
ギャンブル	賭博
ギャンブル	賭博
握手	握手
オリバー	oliver
フリート	艦隊
フリート	船隊
フリート	車隊
強姦	強姦罪
強姦	強姦
強姦	強暴
湖畔	湖畔
センチュリー	世紀
バッグ	包包
バッグ	袋
バッグ	袋子
バッグ	包
バッグ	包包
バッグ	袋
画質	素質
画質	品質
画質	優質
画質	質量
飽和	飽和
飽和	飽和度
飽和	飽和
シャア	沙
シャア	sha
カヤ	kaya
福音書	福音
侮辱	污辱
侮辱	侮辱
ロブ	rob
平衡	平衡
平衡	均衡
乗馬	騎馬
乗馬	騎
粘土	黏土
粘土	泥
粘土	粘土
幸一	幸一
占有	持有
占有	擁有
占有	佔有
肝臓	肝臟
肝臓	肝
アンゴラ	安哥拉
味噌	miso
ノック	敲
ジェシカ	jess
ジェシカ	jessica
停戦	停火
真ん中	中間
ペイント	畫
ペイント	油漆
ペイント	顏料
ピーチ	桃
ピーチ	桃子
滑らか	光滑
滑らか	順利
滑らか	平滑
滑らか	平穩
ハイランド	高地
ハイランド	高原
クッパ	bowser
完備	完整
完備	完成
白血病	白血病
アングル	角度
アングル	角
アングル	角度
アングル	盎格魯
冷たい	冷冷
冷たい	寒冷
冷たい	冷
ホノルル	檀香山
ラウンジ	休息室
ディーラー	莊家
ディーラー	經銷商
ナイス	很好
ナイス	尼斯
ケヴィン	kevin
信条	教義
信条	信條
信条	教條
入札	投標
入札	出價
入札	投標
入札	出價
入札	競標
入札	競價
シルエット	背影
シルエット	剪影
パノラマ	全景
クルト	kurt
共存	並存
共存	共存
ネイティブ	原生
修道士	修士
ヴィレッジ	村
ヴィレッジ	鄉村
ヴィレッジ	村莊
ヴィレッジ	村落
ヴィレッジ	村子
バレンタイン	情人節
パチ	pati
ヴァンパイア	吸血鬼
仲裁	仲裁
顕微鏡	顯微鏡
検察官	檢察官
ボトル	瓶子
ボトル	瓶子
ボトル	瓶
ダイハツ	大發
クォーター	季度
グリッド	電網
リチウム	鋰
わがまま	自私
ラバー	橡膠
ラバー	橡皮
インタラクティブ	互動
セール	銷售
セール	出售
セール	買賣
フェルナンデス	fernandes
用紙	紙
用紙	紙張
用紙	論文
ミナ	mina
ヒール	治癒
ヒール	痊癒
ヒール	腳跟
しみ	污點
しみ	染色
しみ	污點
均衡	平衡
均衡	均衡
きれい	乾淨
きれい	清潔
気球	氣球
イケメン	帥哥
イケメン	英俊
イケメン	帥
リンパ	淋巴
須賀	suga
フィルタ	篩選
フィルタ	濾波器
フィルタ	過濾
フィルタ	過濾器
フィルタ	篩選
フィルタ	過濾
フィルタ	過濾器
蒸発	蒸發
ココ	可可
ココ	koko
スクリュー	螺絲
祈祷	祈禱
祈祷	禱告
募金	捐
募金	捐贈
募金	捐款
募金	捐獻
募金	捐獻
募金	捐贈
募金	捐款
募金	捐
募金	捐贈
募金	捐助
募金	捐款
智之	tomoyuki
オリエント	東方
作物	莊稼
作物	農作物
作物	作物
パウンド	鎊
パウンド	磅
ギガ	giga
村人	村民
トカゲ	蜥蜴
トカゲ	蜥蜴
トカゲ	蜥
飢饉	飢饉
飢饉	飢荒
ピストル	手槍
布教	傳播
布教	繁殖
ブランチ	分行
ブランチ	分支
聖歌	聖歌
漁師	漁民
漁師	漁夫
漁師	漁民
漁師	漁夫
ガーナ	迦納
ミレニアム	千禧年
ミレニアム	千年
なぜなら	因為
塩素	氯
つぼみ	芽
ジェニファー	jennifer
クレイグ	craig
パッチ	補丁
パッチ	修補
パッチ	補丁
アイザック	isaac
美学	美學
死別	喪偶
死別	寡婦
筆記	書寫
筆記	撰寫
筆記	書寫
筆記	寫入
筆記	寫
筆記	撰寫
筆記	寫作
レコーダー	錄音機
リハビリ	康復
テリア	㹴
苦情	投訴
苦情	控訴
苦情	申訴
苦情	投訴
苦情	申訴
二階	樓上
代名詞	代名詞
代名詞	代詞
静脈	血管
静脈	靜脈
静脈	血管
静脈	靜脈
チューン	調
ハウ	豪
ハウ	howe
合法	合法
開示	披露
エデン	伊甸園
エデン	eden
デザート	甜點
デザート	沙漠
デザート	荒漠
デザート	甜點
リバイバル	復興
リバイバル	復蘇
リバイバル	振興
動脈	動脈
動脈	動脈
大文字	大寫
ツイッター	twitter
発熱	發燒
発熱	發熱
リュック	背包
リュック	書包
リュック	luc
織物	紡織
織物	紡織品
織物	編織
織物	布料
織物	纖維
織物	織物
織物	紡織業
織物	紡織
織物	紡織品
ペスト	鼠疫
ペスト	瘟疫
ペスト	害蟲
ペスト	病蟲害
ペスト	蟲害
礼儀	禮儀
礼儀	禮節
礼儀	禮貌
礼儀	禮遇
ボンド	保證金
ボンド	鍵
ボンド	債券
ボンド	龐德
ゾイド	zoids
グロス	毛
グロス	毛額
ヴィーナス	維納斯
ヴィーナス	金星
ゴリラ	猩猩
ニトロ	硝基
竜巻	龍捲風
健治	健二
ダイヤル	撥號
ダイヤル	撥
唱える	誦經
堂本	domoto
ゴリ	gori
ゴア	戈爾
日没	夕陽
山東省	山東
ミュラー	müller
ディナー	晚飯
ディナー	晚餐
白金	鉑
白金	白金
パラグアイ	巴拉圭
ブカレスト	布加勒斯特
ジェシー	jesse
オオカミ	狼
コンタクト	接觸
コンタクト	聯絡
バスケット	籃
バスケット	籃子
特製	專長
特製	專業
叔母	姑姑
叔母	姨媽
空想	看中
パーソナル	個人
百姓	農民
ハーモニー	和睦
ハーモニー	和諧
やっと	終於
アイディア	想法
アンプ	放大器
アンプ	放大器
宝物	寶物
宝物	財寶
宝物	寶藏
宝物	珍寶
宝物	寶藏
マルクス主義	馬克思主義
サーブ	服務
サーブ	發球
ギフト	禮物
ギフト	送禮
ギフト	禮品
ギフト	禮物
ギフト	禮品
ギフト	天賦
理性	理由
理性	理性
理性	原因
恨み	仇怨
恨み	怨恨
ビスマルク	俾斯麥
構文	句法
構文	語法
光景	景點
光景	視力
光景	視線
申し立て	爭議
申し立て	爭端
申し立て	糾紛
申し立て	爭議
安い	廉價
安い	便宜
スラッシュ	斜線
サンズ	金沙
サンズ	金砂
サンズ	sands
ガイ	guy
プラット	pratt
矯正	更正
バタフライ	蝴蝶
修業	學徒
スペル	拼字
スペル	拼寫
スペル	拼字
スペル	咒語
スペル	拼
スペル	咒
スペル	拼寫
プロポーズ	提議
プロポーズ	建議
プロポーズ	提案
バント	短打
パラレル	並行
パラレル	平行
ゴマ	芝麻
サザン	南方
サザン	南部
図形	幾何
図形	形狀
デイヴ	dave
ドッキング	船塢
ドッキング	碼頭
マダム	夫人
アーセナル	武庫
アーセナル	arsenal
請願	請願書
請願	請願
請願	請願書
請願	請願
請願	上訪
アトランティック	大西洋
メチル	甲基
幸田	koda
おば	姑姑
おば	姨媽
芹沢	芹澤
腐敗	分解
視線	凝視
ベイビー	嬰兒
ベイビー	baby
ベイビー	寶貝
ベイビー	寶寶
備後	賓果
とにかく	總之
とにかく	不管怎樣
とにかく	反正
とにかく	無論如何
アダムス	亞當斯
アダムス	adams
ブライト	明亮
参事官	議員
トレーラー	預告
トレーラー	拖車
トレーラー	預告片
毛皮	皮草
毛皮	皮毛
毛皮	毛皮
シンフォニー	交響曲
シンフォニー	交響樂
シンフォニー	交響樂團
エスカレーター	扶梯
選任	任用
選任	任命
選任	預約
選任	選舉
ゴールキーパー	守門員
マグマ	岩漿
ごみ	垃圾
ごみ	垃圾
ハーブ	藥草
ハーブ	藥草
ハーブ	草藥
ドロシー	dorothy
カッター	cutter
チェ	崔
フェンダー	fender
ジョーク	笑話
ジョーク	笑話
フォスター	foster
フォスター	寄養
省吾	shogo
みさき	美咲
クロスオーバー	交叉
孵化	艙門
孵化	孵化
コウモリ	蝙蝠
バチカン	梵蒂岡
バール	酒吧
バール	bar
編み	辮子
ヴィラ	vila
ヴィラ	別墅
ヴィラ	villa
ヴィラ	別墅
ユーモア	幽默
ユーモア	幽默
溶液	溶液
ウイスキー	威士忌
ウイスキー	威士忌
バッド	壞
ナシ	梨
ナシ	梨果
アレクセイ	alexey
アレクサンドリア	亞歷山大
借用	借款
借用	借用
借用	借
借用	借貸
誠実	誠意
誠実	真誠
コンポーネント	元件
コンポーネント	元件
聴覚	聽證會
聴覚	聽力
聴覚	聽覺
簡潔	簡潔
簡潔	簡明
七夕	七夕
トリガー	扳機
トリガー	觸發
イーグルス	老鷹
イーグルス	鷹
チューリップ	鬱金香
チューリップ	鬱金香
リップ	安息吧
リップ	安息
プランニング	規劃
曲面	表面
曲面	地面
曲面	地表
煉瓦	磚頭
煉瓦	磚
煉瓦	磚塊
煉瓦	磚頭
煉瓦	brick
煉瓦	磚
煉瓦	磚塊
ペイン	paine
ペイン	payne
ペイン	痛
ペイン	傷痛
ペイン	疼痛
ペイン	痛苦
薬剤師	藥劑師
自律	自主
ニコル	nicole
嫌がらせ	騷擾
嫌がらせ	騷擾
愛美	愛美
ハーグ	海牙
ミーティング	會議
ミーティング	會議
カーペット	地毯
カビ	模具
カビ	模具
カビ	模具
ギャップ	空白
ギャップ	差距
ギャップ	缺口
ギャップ	間隙
ギャップ	缺口
ギャップ	差距
地層	階層
地層	地層
地層	地層
アルス	ars
シェリー	紅豆
シェリー	雪利酒
乗り物	車輛
乗り物	車輛
ダニ	蜱
ダニ	dani
伊奈	ina
暖房	暖氣
暖房	供暖
暖房	加熱
イネ	ine
数量	數量
数量	數量
数量	量
江蘇省	江蘇
中級	中間
中級	中級
カナリア	金絲雀
カナリア	金絲雀
テンプル	神廟
テンプル	寺
テンプル	寺廟
テンプル	廟
テンプル	聖殿
偽造	偽造
偽造	造假
偽造	假冒
エメラルド	綠寶石
テレサ	teresa
テレサ	theresa
マッカートニー	mccartney
太い	厚
太い	厚厚
アニー	annie
ベルン	伯爾尼
コックピット	駕駛艙
匂い	味道
匂い	聞
精神病	精神病
ゴメス	gómez
オスカル	oscar
リハーサル	排練
リハーサル	排演
リハーサル	彩排
ケニー	kenny
アスファルト	瀝青
祝う	慶祝
サラダ	沙拉
制動	制動
河北省	河北
ドーピング	興奮劑
ドーピング	摻雜
シューマン	舒曼
十字路	十字路口
十字路	十字路口
レナード	leonard
グライダー	滑翔翼
エンリケ	enrique
ババ	巴巴
オスロ	奧斯陸
ヴァンガード	先鋒
ヴァンガード	前衛
ヴァンガード	前鋒
モニカ	monica
スペシャリスト	專家
軍備	軍備
パワフル	強大
パワフル	強國
ジョシュ	josh
スカーレット	血色
スカーレット	猩紅
放射能	放射
放射能	放射性
放射能	輻射
ペレス	perez
ペレス	pérez
泣く	哭
泣く	哭泣
泣く	哭了
泣く	哭
泣く	哭泣
インディー	獨立
坂城	榊
前例	前所未有
前例	空前
前例	史無前例
叫ぶ	喊
叫ぶ	呼喊
ケネス	kenneth
シャドウ	影
シャドウ	影子
シャドウ	陰影
シャドウ	暗影
発送	派遣
嘱託	委託
マンガン	錳
教訓	教訓
教訓	課
ポッター	波特
ハト	鴿
ハト	鴿子
ハト	鴿
ハト	鴿子
スモール	小型
スモール	小
パルコ	parco
給料	薪水
給料	工資
給料	薪資
給料	薪金
直也	naoya
伝播	傳播
伝播	繁殖
スズ	錫
スズ	鐵皮
スズ	tin
ベネット	bennett
ミミ	咪咪
肩書	標題
コンペティション	競爭
コンペティション	競賽
世俗	世俗
ドリンク	喝
ドリンク	喝酒
ドリンク	飲料
子宮	子宮
子宮	子宮
ワタナベ	渡邊
ワタナベ	watanabe
航法	航行
航法	導航
下水道	下水道
シアン	青色
シェパード	shepherd
シェパード	牧羊人
贈り物	禮物
贈り物	送禮
贈り物	禮品
贈り物	禮物
贈り物	禮品
贈り物	天賦
検閲	審查
オペレーション	手術
オペレーション	行動
オペレーション	運算
オペレーション	操作
ガーディアン	守護神
ガーディアン	守護者
ガーディアン	守護
ガーディアン	監護人
小麦	小麥
小麦	麥子
物事	事情
ブイ	浮標
描画	畫畫
描画	繪圖
描画	圖畫
描画	繪畫
パレット	調色盤
マギー	maggie
フューチャー	今後
フューチャー	將來
フューチャー	未來
