est	rytų
qui	kas
qui	kurie
que	kad
son	garsas
son	jo
plus	daugiau
elle	ji
elle	jai
elle	elle
été	vasara
été	vasaros
comme	lyg
comme	kaip
mais	bet
cette	šio
deux	du
ses	jo
ses	ses
naissance	gimimas
entre	eurus
français	français
lui	jį
lieu	vieta
cet	šio
décès	mirtis
décès	mirties
liens	nuorodos
commune	bendras
commune	dažni
première	premjera
alors	tada
site	svetainė
premier	premjerą
ces	šių
film	filmas
film	filmai
film	filmas
film	plėvelė
ils	jie
grand	didelių
grand	dideli
grand	didelis
grand	didelės
grand	dideli
grand	didysis
grand	didelis
grand	puikiai
grand	puiku
grand	puiki
grand	grand
tout	viskuo
tout	visko
tout	viską
tout	viskas
nord	nord
bien	gerai
bien	geras
bien	puikiai
bien	gera
puis	tada
équipe	būrys
équipe	komanda
club	klubas
partie	dalies
partie	dalis
très	labai
guerre	karas
guerre	karo
guerre	karui
saison	sezonas
fin	fin
temps	orai
temps	oras
temps	laiko
temps	laikas
plusieurs	daug
faire	faire
histoire	istorijos
histoire	istorija
série	serija
série	serijos
joueur	žaidėjas
mai	mai
mai	gegužė
tour	kelionių
tour	ekskursija
tour	kelione
tour	bokštas
tour	bokšte
mort	mirtis
mort	mirties
mort	miręs
juin	birželis
juin	birželis
juin	birželio
pierre	akmens
fois	kartus
état	būsena
état	statusą
état	būklė
état	būsenos
octobre	sp
famille	šeima
famille	šeimos
famille	šeimyna
états	narės
général	bendri
général	bendra
général	bendrieji
avril	balandis
août	aug
novembre	nov
prix	kaina
prix	kainos
février	vasaris
département	departamentas
grande	didelių
grande	dideli
grande	didelis
grande	didelės
grande	dideli
grande	didysis
grande	didelis
grande	puikiai
grande	puiku
grande	puiki
peu	keletą
américain	amerikos
ligne	linija
suite	apartamentai
championnat	čempionatas
championnat	čempionato
encore	dar
vie	gyvenimo
vie	gyvybės
vie	gyvybė
vie	gyvenimas
unis	jungtinės
unis	jungtinė
football	futbolas
football	futbolo
football	futbolas
football	futbolo
jeux	žaidimai
jeux	lošimų
jeux	žaidimų
jeux	žaidimai
ouest	vakarų
ouest	vakarai
ouest	vakarų
vous	tu
cours	žinoma
cours	cours
cours	kursai
cours	kursams
cours	kursuose
cours	kursus
village	kaimo
village	kaime
village	jonava
village	kaimas
université	universitetas
université	koledžas
université	kolegijos
université	kolegija
université	koledžo
louis	louis
coupe	šukuosena
coupe	taurė
coupe	pjovimo
coupe	taupymo
coupe	coupe
homme	patinas
homme	patinų
homme	vyrai
homme	vyras
homme	homme
homme	vyrai
homme	vyru
homme	vyras
homme	žmogus
division	kvadratas
président	kėdė
président	kėdės
société	visuomenė
société	bendrovė
société	įmonė
société	bendrovės
société	kompanija
jeu	žaidimai
jeu	lošimų
jeu	žaidimas
jeu	lošimai
jeu	lošimų
genre	lytis
genre	lyg
genre	kaip
fils	vielos
fils	laido
fils	viela
