پایانه	terminal
توس	birch
عجایب	čuda
تعدیل	podešavanje
زراعت	poljoprivreda
واجب	obavezno
واجب	obavezni
واجب	obavezan
واجب	neophodni
واجب	neophodno
واجب	neophodna
واجب	neophodan
واجب	neophodnih
واجب	neophodnu
راستش	zapravo
بدتر	gorom
بدتر	gore
بدتر	gori
بدتر	gora
لوی	levi
لوی	loy
سبزیجات	povrće
سبزیجات	povrće
سبزیجات	povrća
مازیار	maz
داس	srp
داس	das
هموار	glatki
هموار	glatka
هموار	glatke
قرائت	recitacija
قرائت	reading
قرائت	čita
آناتومی	anatomija
سوق	drive
سوق	vozi
هیلز	brdima
هیلز	brda
هیلز	hills
وفاداری	odanost
وفاداری	lojalnost
بارانی	kiša
بیچ	beech
بیچ	plaža
کیفری	krivično
تصمیمات	odluke
تصمیمات	odlukama
تصمیمات	odluka
دانشگاهیان	akademici
دانشگاهیان	akademika
دانشگاهیان	academia
ضرر	gubitke
ضرر	gubici
جنون	demencija
جنون	ludilo
جنون	ludilo
متقاعد	uvjeren
متقاعد	uvjeriti
متقاعد	ubjedljivo
تایلر	tyler
عزت	počast
عزت	čast
عزت	časti
عزت	čast
عزت	slava
تمبر	pečat
بلگراد	beograd
معاملات	sporazumi
معاملات	bavi
معاملات	dila
معاملات	ugovori
معاملات	sporazume
معاملات	transakcija
یاقوت	ruby
نوزده	nineteen
پرسی	percy
دستکاری	manipulacija
دستکاری	manipulacijama
دستکاری	manipulacije
معجزه	čuda
معجزه	čudo
معجزه	miracle
باهم	zajedno
خوردگی	korozija
لوکوموتیو	lokomotiva
بدهی	dugova
بدهی	dugovanja
بدهی	dugove
بدهی	duga
بدهی	dug
کلیساها	crkava
پرستوی	gutanja
چادر	šator
عمو	amidže
عمو	ujka
عمو	amidža
نوسان	oscilirajući
نوسان	osciliranje
سرنشین	putnik
سرنشین	ekipa
زنجیر	lanac
اسپانیای	španija
ایزوتوپ	izotopi
ایزوتوپ	izotop
ین	jena
دلالت	implicira
دلالت	podrazumijeva
نیزه	koplje
مشهود	evidentno
مشهود	svjedočio
اسپنسر	spencer
طوطی	papiga
لاتزیو	lazio
بلژیکی	belgijski
اسکاندیناوی	skandinaviji
بارو	barrow
کمینه	minimalno
کمینه	minimum
کمینه	minimalna
کمینه	minimalno
کمینه	minimalni
کاراته	karate
دستگاهی	uređaj
دستگاهی	uređaji
کوپه	coupé
کوپه	coupe
سرما	hladno
آموزگار	nastavnik
آموزگار	učitelj
شجاعت	hrabrost
توران	turan
پرستار	nurse
مشکی	crni
مشکی	crna
بنگال	bengala
الحاق	pristupanje
الحاق	append
توریستی	turistička
توریستی	turističkih
ایان	ian
استیضاح	smjeni
جاوه	java
متعهد	vezan
متعهد	počinjenih
متعهد	počinjenim
متعهد	počinila
متعهد	izvršio
متعهد	počinio
متعهد	počinili
بلیز	beliz
مسمومیت	trovanja
مسمومیت	toksičnost
مجرد	singl
مجرد	bachelor
مجرد	neudate
عروقی	vaskularnog
تحکیم	konsolidacije
سرگئی	sergei
سرگئی	sergej
درخشش	sija
درخشش	luminozitet
درخشش	sjaja
اینترنشنال	međunarodno
اینترنشنال	međunarodni
اینترنشنال	international
دیترویت	detroit
فرعون	faraon
هارون	harun
شنوایی	sluh
جواهر	dragulja
جواهر	nakita
جواهر	nakit
هیجان	uzbuđenje
هیجان	thrill
پرتره	portret
تومور	tumor
فضاپیما	spaceship
کپسول	kapsula
بیسبال	bejzbol
کروموزوم	hromozoma
کروموزوم	hromosom
خستگی	umor
خستگی	dosada
خستگی	iscrpljenosti
بسامد	frekvencija
استعفای	ostavke
استعفای	ostavku
استعفای	ostavka
چاپلین	chaplin
الکتریسیته	elektricitet
کریک	creek
پنجاب	punjab
غیرممکن	nemoguća
غیرممکن	nemoguće
اشیا	objekti
مشت	šake
مشت	udarac
مشت	pesnica
ربع	četvrtina
ربع	kvartal
ربع	četvrt
ربع	četvrtinu
سهولت	lakoće
کنسولگری	konzulat
کنسولگری	konzulata
جسیکا	jessica
مجنون	mad
ویکیپدیای	wikipedia
بالکان	balkan
بالکان	balkanski
بالکان	balkan
بالکان	balkanska
باروری	plodnost
باروری	plodnosti
عزاداری	žalosti
اضطراب	anksioznost
شرلوک	sherlock
نسیم	nasim
اضطراری	vanredna
ثور	tor
فروهر	suštinu
فروهر	suštini
فروهر	srž
باکس	kutija
تعصب	netolerancije
تعصب	predrasuda
تعصب	dogma
تفنگداران	korpusa
تفنگداران	korpus
کرک	kirk
درصدی	postotak
سنتز	sinteza
سنتز	sintezu
افغانی	afgani
افغانی	afganistanski
نیر	nir
اصولی	sistematskog
اصولی	sistematsko
وارده	zadobio
سپید	bijela
سپید	bijeli
واسکو	vasco
متناهی	konačni
هدر	heather
نیکولا	nikola
دریچه	zalistak
دریچه	otvora
احساسی	emocionalne
انجیر	ficus
جوهر	ink
پلاستیکی	plastika
پن	penn
پن	pen
پن	pan
سس	sos
مولر	müller
مولر	mueller
مولر	muller
انتقالی	prijelaznog
