年	ปี
月	พระจันทร์
月	มูน
月	เพ็ญ
月	เดือน
月	เดือน
日	เดย์
日	วัน
和	และ
和	แล้ว
村	หมู่บ้าน
人	มนุษย์
人	ชาย
人	คน
人	แมน
人	man
人	ประชาชน
人	บุคคล
人	ผู้
人	ผู้คน
人	คน
大	บิ๊ก
大	ใหญ่
大	big
德	ตาก
重	หนักๆ
重	หนัก
重	หนัก
一	เดียว
一	หนึ่ง
定向	ปฐมนิเทศ
定向	ทิศทาง
但	แต่
也	ยัง
拉	ดึง
後	after
後	หลัง
留言	จดหมาย
留言	ข้อความ
市	เมือง
市	ซิตี้
市	city
市	เทศบาล
克	กรัม
新	นิว
新	ใหม่
站	สถานี
站	ยืน
站	stand
站	ทน
州	สภาพ
州	รัฐ
研究	เรียน
研究	ศึกษา
研究	ศึกษา
研究	ค้นคว้า
研究	วิจัย
日本	japan
日本	ญี่ปุ่น
三	three
三	สาม
前	ก่อน
家	บ้าน
家	home
家	บาน
近	ใกล้
米	ข้าว
米	เมตร
多	อื่นๆ
多	มากกว่า
使用	ใช้
使用	ใช้
基	เค
王	กษัตริย์
王	king
王	ราชา
王	คิง
王	แวง
王	วัง
林	lam
林	ลำ
林	หลิน
公司	องค์กร
公司	บริษัท
公司	company
公司	องค์กร
公司	บริษัท
李	ลี
李	lee
一個	เดียว
一個	หนึ่ง
西	เวสต์
省	จังหวัด
省	governorate
省	voivodeship
度	ปริญญา
度	องศา
度	ปริญญา
卡	บัตร
卡	การ์ด
卡	ไพ่
卡	ไพ่
卡	การ์ด
卡	บัตร
二	สอง
二	two
小	เล็ก
小	จิ๋ว
相似	คล้าย
區	เขต
區	โซน
區	เขต
區	อำเภอ
區	บริเวณ
區	พื้นที่
人口	ประชากรศาสตร์
人口	ประชากรศาสตร์
人口	demography
人口	ประชากร
四	สี่
政府	ราชการ
政府	รัฐบาล
道	dao
道	ดาว
將	พิน
將	จะ
將	วิล
高	high
高	สูง
高	ไฮ
高	สูง
高	เกา
美國	อเมริกา
集	กำหนด
集	ตั้ง
集	episode
集	ตอน
台灣	ไต้หวัน
布	เสื้อผ้า
布	ผ้า
世界	เวิลด์
世界	world
世界	โลก
南	แนน
南	น่าน
南	south
南	ใต้
南	นัม
南	nam
路	ถนน
路	road
五	ห้า
本	ben
本	เบน
本	เบ็น
金	จิน
金	ทอง
金	โกลด์
金	ทองคำ
金	คิม
金	kim
林肯	ลินคอล์น
人民	ประชาชน
人民	บุคคล
人民	ผู้
人民	ผู้คน
人民	คน
包括	รวม
包括	รวม
峰	พีค
峰	peaks
其他	อื่นๆ
其他	อื่นๆ
塔	หอคอย
塔	ทาวเวอร์
塔	หอ
縣	มณฑล
縣	เปรม
第一	ก่อน
第一	แรก
任	หยิน
任	เรน
時間	เวลา
比	สัดส่วน
比	อัตราส่วน
元	meta
元	อ้วน
元	หยวน
元	ดอลลาร์
元	วอน
元	ชนะ
中國	จีน
六	หก
六	six
主要	เมเจอร์
主要	หลัก
城	เมือง
城	ซิตี้
城	city
城	ปราสาท
中心	ศูนย์
中心	กึ่งกลาง
中心	กลาง
中心	ศูนย์
中心	ศูนย์กลาง
中心	กึ่งกลาง
中心	ศูนย์
中心	ศูนย์กลาง
線	เส้น
線	บรรทัด
線	line
線	เส้น
線	บรรทัด
線	ด้าย
第二	วินาที
山	ภูผา
山	ภูเขา
山	ภูเขา
山	เนิน
山	ภูเขา
加	เพิ่ม
加	บวก
加	พลัส
加	plus
太空	พื้นที่
太空	อวกาศ
太空	space
張	ชาง
張	ช้าง
張	แชง
張	ชง
張	จาง
內	ภายใน
內	inner
雷	เรย์
雷	ray
管理	จัดการ
建	สร้าง
建	สร้าง
性	เพศ
性	เซ็กซ์
性	sex
成	ซอง
成	ซุง
代表	ตัวแทน
代表	ตัวแทน
那	งั้น
公里	กิโลเมตร
公里	กิโลเมตร
公里	กิโล
海	ทะเล
海	ทะเล
海	มหาสมุทร
海	ocean
這	นี้
這	นี่
這	ดิส
大學	มหาวิทยาลัย
大學	มหาวิทยาลัย
大學	วิทยาลัย
大學	มหาวิทยาลัย
版	ฉบับ
版	เวอร์ชัน
版	เวอร์ชั่น
從	จาก
羅	หลัว
原	ต้นฉบับ
原	ดั้งเดิม
原	เดิม
工作	งาน
工作	ทำงาน
工作	งาน
工作	งาน
工作	ทำงาน
北	อุดร
北	เหนือ
政治	การเมือง
政治	การเมือง
星	ดวงดาว
星	ดารา
星	ดาว
星	ดวงดาว
星	ดารา
星	ดาว
她	หล่อน
她	เธอ
她	นาง
陳	เฉิน
陳	จัน
陳	ชาน
面	ก๋วยเตี๋ยว
面	บะหมี่
作品	ทำงาน
河	แม่น้ำ
文化	วัฒนธรรม
馬	ม้า
馬	ม้า
氏	ตระกูล
氏	เผ่า
氏	ไท
更	อื่นๆ
更	มากกว่า
電影	หนัง
電影	ภาพยนต์
電影	ภาพยนตร์
電影	ภาพยนตร์
電影	ฟิล์ม
電影	หนัง
電影	ภาพยนต์
電影	ภาพยนตร์
季	ฤดูกาล
季	ฤดูกาล
龍	ปอด
龍	มังกร
龍	dragon
女	หญิง
女	หญิง
正式	ทางการ
外	นอก
外	ภายนอก
美	สวยๆ
美	สวย
美	สวยงาม
美	งดงาม
美	งาม
字	คำ
字	คำ
字	ลมปาก
因為	เพราะ
北京	beijing
北京	ปักกิ่ง
北京	ปักกิ่ง
不同	ต่าง
足球	ฟุตบอล
足球	ฟุตบอล
目前	ปัจจุบัน
所有	ทั้งหมด
所有	ทุก
中央	เซ็นทรัล
森	เซน
森	เสน
森	เซ็น
郡	มณฑล
郡	เปรม
國家	ประเทศ
國家	สภาพ
國家	รัฐ
國家	national
國家	ชาติ
國家	ประเทศ
球	ลูกบอล
球	บอล
生	ดิบ
生	ดิบๆ
生	raw
但是	แต่
街	ถนน
街	street
城市	เมือง
城市	ซิตี้
城市	city
城市	เมือง
城市	นคร
一些	บาง
一些	บ้าง
長	ยาว
長	นาน
水	น้ำ
水	นํ้า
軍	ทัพ
軍	กองทัพ
英	ying
英	อิง
上海	เซี่ยงไฮ้
史	ชิ
史	ชี
魚	ฟิช
魚	ปลา
波	คลื่น
波	เวฟ
波	โบกมือ
波	โบก
回	กลับ
吉	แคท
你	เจ้า
你	คุณ
你	เธอ
方	ฟาง
東	ดง
東	ดอง
英國	อังกฤษ
周	อาทิตย์
周	สัปดาห์
周	อาทิตย์
周	สัปดาห์
周	โจว
石	ชิ
石	ชี
石	stone
石	หิน
石	ศิลา
事件	เหตุการณ์
事件	เหตุการณ์
事件	กิจกรรม
事件	เหตุการณ์
事件	กิจกรรม
建立	ตำหนัก
建立	สถาปนา
建立	สร้าง
生活	ชีวิต
生活	life
派	พาย
車站	สถานี
之後	after
之後	หลัง
萬	wan
萬	วาน
國際	international
國際	นานาชาติ
國際	สากล
獎	รางวัล
獎	รางวัล
獎	รางวัล
完成	เสร็จ
完成	จบ
完成	สมบูรณ์
完成	ครบ
白	ขาว
白	ไวท์
白	ไบ
白	ไป๋
音樂	มิวสิค
音樂	เพลง
音樂	ดนตรี
音樂	มิวสิค
沙	ทราย
地區	บริเวณ
地區	พื้นที่
地區	เขต
地區	อำเภอ
地區	บริเวณ
地區	พื้นที่
車	รถยนต์
車	รถ
車	รถยนต์
車	รถ
梅	พฤษภาคม
中文	จีน
自由	เสรีภาพ
自由	อิสระ
