อเดล	адел
โกเบ	коби
ถั่วงอก	кълнове
jose	жозе
jose	хосе
farm	фермата
farm	ферма
farm	стопанство
แฮง	ханк
intensive	интензивна
intensive	интензивни
intensive	интензивен
intensive	интензивно
ซึมซับ	абсорбира
ดื้อยา	устойчиви
ดื้อยา	устойчива
ดื้อยา	устойчив
รีก	крийк
gps	gps
slogan	лозунг
ถอนพิษ	антидот
ถอนพิษ	противоотрова
โล้น	плешив
โล้น	плешиви
ยั่วยวน	прелъсти
ยั่วยวน	съблазни
uae	оае
ฟินน์	фин
วิจารณญาณ	дискретност
โซดา	сода
ฉี่	пиш
ปลั๊ก	включи
ปลั๊ก	щепсели
ตูนิส	тунис
ลูกปืน	куршум
ประสาทหลอน	заблудена
ประสาทหลอน	заблуден
mergedtoprow	mergedtoprow
แครอท	морков
แครอท	моркови
แครอท	моркови
zen	дзен
zen	зен
ubuntu	ubuntu
twelve	twelve
twelve	дванадесет
twelve	дванайсет
rocky	роки
ส้อม	разклонение
ส้อม	вилица
ส้อม	вилицата
ส้อม	прибори
pin	пин
จิตเวชศาสตร์	психиатрията
จิตเวชศาสตร์	психиатрия
tcp	tcp
พีค	връх
พีค	пика
พีค	пик
iata	iata
ทัค	тък
wordpress	wordpress
labelstyle	labelstyle
wikilink	wikilink
เม่า	молец
ฟู้ด	храни
โอ๊ต	оукс
โอ๊ต	овес
cev	cev
obj	obj
โรคจิตเภท	шизофрения
snap	snap
snap	щрак
monogatari	monogatari
ไรย์	ръж
จักรภพ	вселената
จักรภพ	вселена
presenter	водещ
blu	блу
julia	юлия
julia	джулия
julia	хулия
หูด	брадавица
หูด	брадавици
หูด	брадавици
wikisource	уикиизточник
zip	цип
zip	зип
zip	ципа
สันทนาการ	rec
สันทนาการ	отдих
สันทนาการ	отдих
rtecs	rtecs
cad	простак
cad	кад
วอร์เรน	уорън
gay	обратен
gay	гей
ขยี้	смачкан
ขยี้	смазан
ขยี้	смачкани
flickr	flickr
diva	дива
potato	картофи
potato	картоф
dancer	танцьорка
dancer	танцьор
ฟิวส์	фитил
ein	ein
ทรอมโบน	тромбон
dms	dms
เซธ	сет
จอยซ์	джойс
classe	класе
sio	сио
ufo	нло
ufo	нло
ไม้บรรทัด	владетел
ยาบ้า	мет
ยาบ้า	метамфетамин
สินสอด	зестрата
สินสอด	зестра
pmid	pmid
vitamin	витамини
vitamin	витамин
เกียด	киа
จิตใต้สำนึก	подсъзнателно
จิตใต้สำนึก	подсъзнание
จิตใต้สำนึก	подсъзнанието
userbox	userbox
bmw	бмв
bmw	bmw
yesno	yesno
ฟ้าร้อง	гръм
ฟ้าร้อง	гръмотевица
ฟ้าร้อง	гръмотевици
แม่หม้าย	вдовицата
แม่หม้าย	вдовица
jurassic	джурасик
suv	джипове
suv	джип
เงื่อนงำ	улики
dell	дел
dell	dell
เสือก	тигре
เสือก	тайгър
เสือก	тигър
diuretics	диуретици
bts	bts
miguel	мигел
ดังๆ	силно
ดังๆ	шумен
ดังๆ	шумно
ไฮเวย์	магистрала
ไฮเวย์	магистралата
ชำแหละ	дисекция
ชำแหละ	дисекция
จู๋	пенис
จู๋	пениса
จู๋	чеп
จู๋	кур
จู๋	хуй
จู๋	петел
lam	лам
ประภาคาร	фара
ประภาคาร	фар
เบาๆ	нежно
cleveland	кливлънд
cleveland	кливланд
subheader	subheader
vip	vip
vip	вип
