die	the
van	khỏi
van	từ
het	đã
wat	gì
wat	thế
wat	rằng
wat	điều
wat	mà
wat	vn
met	với
met	bằng
was	aw
was	bị
vir	cho
nie	không
nie	ko
dit	này
deur	cửa
ook	cũng
dat	thế
dat	rằng
dat	điều
dat	mà
dat	vn
hulle	them
hulle	cói
hulle	chúng
hulle	họ
suid	nam
uit	ra
uit	tứ
jaar	năm
eerste	trước
eerste	đầu
maar	nhưng
hierdie	này
ander	khác
soos	như
soos	thích
soos	like
afrika	phi
oor	khoảng
oor	về
oor	ban
oor	ear
oor	tai
een	xả
een	một
een	one
gebruik	dùng
groot	tuyệt
meer	hồ
meer	thêm
onder	dưới
onder	dưới
onder	bậc
onder	đáy
onder	bottom
twee	hai
twee	two
kerk	kerk
kerk	thờ
tussen	giữa
baie	cực
baie	rất
baie	nhiều
begin	khởi
hul	nhị
lêer	sổ
waar	đâu
waar	thật
waar	đúng
dié	này
haar	her
haar	cổ
sien	xem
nuwe	new
nuwe	mới
nuwe	sâm
leë	rỗng
leë	trống
leë	trống
leë	blank
voor	trước
stad	phố
stad	by
land	quốc
skakels	xích
skakels	links
later	sau
nog	nogai
nog	thêm
net	chỉ
net	duy
net	chỉ
net	funny
sou	tòng
sou	cốt
naam	tên
deel	chia
deel	share
deel	saga
deel	part
deel	phần
drie	tre
drie	ba
drie	three
sal	will
sal	sẽ
sal	muốn
ons	plr
mense	người
svg	svg
nasionale	gạt
maak	pha
kom	đến
noord	bắc
jpg	jpg
gebied	loạt
gebied	vực
gebied	vùng
vanaf	khỏi
vanaf	từ
laat	sen
laat	trễ
laat	khuya
laat	muộn
style	dáng
style	styles
terwyl	phiêu
terwyl	mens
moet	phải
weer	lại
werk	nghề
werk	việc
klein	nhỏ
klein	nhỏ
klein	minor
klein	xíu
klein	tiny
oos	đông
hier	đây
tyd	gian
tyd	thời
vlag	cờ
verenigde	united
verenigde	hoa
mei	may
wes	tây
vorm	hình
vorm	form
staan	đứng
staan	đứng
isbn	isbn
genoem	liễu
dan	rồi
gemaak	chế
jare	chèo
jare	năm
junie	tuấn
junie	jun
junie	june
amerikaanse	american
amerikaanse	mỹ
slegs	chỉ
slegs	duy
slegs	chỉ
slegs	funny
nadat	theo
nadat	sau
lank	cao
lank	lâu
lank	dài
lank	long
reeds	đã
kaapstad	barcelona
party	đảng
party	party
party	tiệc
maart	march
alle	hết
augustus	august
februarie	tháng
nou	giờ
nou	ngay
gebore	sinh
provinsie	tỉnh
provinsie	quận
provinsie	hạt
provinsie	bang
lewe	đời
vier	bốn
franse	pháp
dood	chết
dood	chết
koning	king
koning	guy
koning	vua
der	der
moes	nan
moes	xịt
dieselfde	cùng
wêreld	giới
volgende	kế
