मिसाल	przypowieść
निलंबित	zawieszona
निलंबित	zawiesił
निलंबित	zawieszone
निलंबित	zawieszony
डार्विन	darwin
बंदूक	broń
बंदूक	pistolet
बंदूक	gun
कलश	trawka
कलश	garnek
कलश	pinnacle
जुडी	judy
कंपन	drgania
कंपन	wibracje
कंपन	drgania
कंपन	wibracje
कंपन	wibracji
एयरवेज	airways
संतुष्टि	satysfakcji
संतुष्टि	zadowolenia
संतुष्टि	zadowolenie
संतुष्टि	satysfakcję
संवेग	impet
बाघों	tygrys
बाघों	tiger
बाघों	tygrysy
वंशावली	genealogia
रहीम	rahim
बचाया	uratował
बचाया	uratowany
बचाया	uratowani
एस्टेट	osiedle
एस्टेट	posiadłości
गुरुवार	czwartki
गुरुवार	czwartek
वॉल्ट	walt
वॉल्ट	walta
वॉल्ट	skarbiec
वॉल्ट	skarbca
वॉल्ट	skarbcu
विस्थापित	przesiedlonych
अयोग्य	bezwartościowe
जटिलताओं	powikłania
जटिलताओं	komplikacje
उत्पीड़न	nękanie
उत्पीड़न	prześladowanie
उत्पीड़न	molestowanie
उत्पीड़न	napaści
उत्पीड़न	atak
उत्पीड़न	napaść
उत्पीड़न	napad
कोकेन	kokainy
कोकेन	kokainę
कोकेन	kokaina
आमिर	amir
आमिर	aamir
पापों	grzechów
पापों	grzechy
उमर	umar
उमर	omar
उमर	omara
मिलर	miller
मिलर	millera
ललिता	lalita
रज़ा	raza
कोणीय	kątowe
जोन	joan
जोन	joanna
शाखाएं	gałęzie
शाखाएं	gałęzi
शाखाएं	oddziały
जानबूझकर	zamierzone
जानबूझकर	celowe
मानकीकरण	standaryzacji
मानकीकरण	normalizacji
नशे	pijak
नशे	pijani
नशे	pijana
नशे	pijany
पुकारा	zwane
पुकारा	zwana
पुकारा	dzwonił
पुकारा	nazywany
झंडा	flaga
झंडा	bandery
झंडा	flagi
झंडा	flag
झंडा	flagę
ग्लास	szkła
ग्लास	szklanka
ग्लास	szkło
ग्लास	szklana
घेर	otoczyć
आंत	jelito
आंत	jelita
फ़ुट	stóp
फ़ुट	stopy
क्रियान्वयन	realizacji
क्रियान्वयन	realizacja
क्रियान्वयन	wdrożenie
क्रियान्वयन	wykonanie
क्रियान्वयन	wdrażanie
सिगार	cygaro
सिगार	cygara
यूक्रेन	ukrainy
यूक्रेन	ukrainę
यूक्रेन	ukraina
यूक्रेन	ukrainie
रुपया	rupia
वाइल्ड	wilde
निसान	nissan
दैत्य	gigant
दैत्य	olbrzymie
दैत्य	olbrzymi
दैत्य	olbrzym
दैत्य	potwór
दैत्य	monster
दैत्य	potwory
प्रक्रम	proces
प्रक्रम	procesy
गवाह	świadkowie
गवाह	świadków
गवाह	świadkowie
गवाह	świadka
गवाह	świadek
क्रिश्चियन	chrześcijanin
क्रिश्चियन	chrześcijański
क्रिश्चियन	christian
क्रिश्चियन	chrześcijanie
क्रिश्चियन	krystian
पत्रकारों	dziennikarze
पत्रकारों	dziennikarzy
पत्रकारों	dziennikarze
पत्रकारों	reporterzy
पत्रकारों	reporterów
माथुर	mathur
मजाक	dowcip
मजाक	zart
मजाक	żart
बेकर	baker
बेकर	becker
कांड	afera
कांड	skandal
गर्व	dumna
गर्व	dumny
गर्व	dumni
क्लोरीन	chloru
संगीतकारों	muzyków
संगीतकारों	muzycy
मिठाई	słodki
मिठाई	słodko
मिठाई	sweet
मिठाई	słodka
मिठाई	słodkie
मिठाई	deser
मिठाई	desery
मिठाई	deseru
मिठाई	słodycze
मिठाई	słodko
मिठाई	słodyczy
मिठाई	cukierki
तोमर	tomar
चांद	księżyca
चांद	moon
चांद	księżycu
चांद	księżyc
बदलना	zmiana
बदलना	wymiana
बदलना	zastąpienia
बदलना	zastępstwo
बदलना	zastąpienie
सड़कें	dróg
सड़कें	drogi
सड़कें	ulice
सड़कें	ulic
प्रीमियम	składki
प्रीमियम	premia
प्रीमियम	składka
प्रीमियम	premium
प्रीमियम	premii
घेरा	obwód
घेरा	oblężenie
घेरा	kręgu
घेरा	okrąg
घेरा	koło
घेरा	krąg
घेरा	circle
एक्सेस	dostęp
सब्जियों	warzywa
सब्जियों	warzyw
यूएसए	stany
यूएसए	ameryka
यूएसए	usa
हाथियों	słoni
हाथियों	słonie
स्क्रिप्ट	scenariusze
स्क्रिप्ट	skryptów
स्क्रिप्ट	skrypty
स्क्रिप्ट	scenariusz
स्क्रिप्ट	skrypt
घूमती	odnawialne
गर्भगृह	cella
गर्भगृह	sanktuarium
डिजाइनर	projektant
अग्र	front
अग्र	przodu
अग्र	przód
विपक्षी	antagonistą
बहिष्कार	bojkot
टमाटर	pomidor
टमाटर	pomidory
टमाटर	pomidorów
टमाटर	pomidory
खरीदारी	zakup
खरीदारी	zakupu
खरीदारी	kupno
खरीदारी	zakupy
फेयर	sprawiedliwy
फेयर	uczciwie
फेयर	targi
फेयर	fair
फेयर	jarmark
प्रतीकात्मक	symboliczne
प्रतीकात्मक	symbol
शंकु	stożkową
शंकु	stożek
वृद्ध	stare
वृद्ध	stary
वृद्ध	old
वृद्ध	stara
वृद्ध	starsza
वृद्ध	starsze
वृद्ध	starsi
वृद्ध	starszy
सिक्का	monety
सिक्का	moneta
पर्दे	zasłony
घोटाले	afera
घोटाले	skandal
रनों	biegnie
रनों	biega
लाभांश	dywidendy
ब्रह्मपुत्र	brahmaputry
दबा	tłumi
राजी	przekonać
आटा	mąka
आटा	mąki
आटा	ciasta
आटा	ciasto
सभ्यताओं	cywilizacje
सभ्यताओं	cywilizacji
निर्णयों	orzeczeń
निर्णयों	orzeczenia
जासूस	detektyw
जासूस	detektywie
जासूस	szpieg
जासूस	szpiega
जासूस	detektywi
नमस्कार	witam
नमस्कार	cześć
