the	die
and	en
was	was
for	vir
for	altesaam
that	dat
that	wat
that	dai
with	mee
with	met
from	van
from	vanuit
from	vanaf
this	dit
this	hierdie
this	dié
not	nie
talk	praat
which	watter
which	watse
also	ook
has	het
were	was
were	were
but	maar
one	een
new	nuut
new	nuwe
first	eerste
first	eers
page	blad
page	bladsy
you	julle
you	jy
had	moes
who	wie
all	alle
all	alles
all	all
all	almal
all	al
all	als
their	hul
made	gemaak
its	its
people	mense
may	may
may	mei
may	mag
after	na
after	nadat
after	ná
other	ander
two	twee
her	haar
can	kan
would	sou
more	nog
more	meer
she	sy
about	oor
when	wanneer
time	tyd
time	tydstip
team	span
american	amerikaans
american	american
american	amerikaanse
such	wyl
such	sulke
discussion	bespreking
links	skakels
only	slegs
only	net
some	sommige
see	sien
united	vereenigde
united	united
united	verenigde
years	jare
school	skool
world	wêreld
university	universiteit
during	tydens
during	gedurende
out	uit
state	staat
state	deelstaat
state	provinsie
state	toestand
state	spasie
states	provinsies
states	deelstate
states	state
national	nasionale
national	national
national	nasionaal
wikipedia	wikipedia
year	jaar
most	meeste
most	mees
city	stad
then	then
then	dan
than	as
county	provinsie
county	county
external	eks
external	eksterne
where	waar
where	waarheen
will	sal
what	watse
what	wat
any	enige
january	januarie
march	maart
march	optog
august	august
august	augustus
july	julie
being	synde
film	rolprent
him	hom
many	vele
many	baie
south	suid
september	september
like	soos
between	tussen
october	oktober
three	drie
june	junie
well	goed
well	wel
well	sowel
use	gebruik
war	oorlog
them	hulle
april	april
born	gebore
december	desember
link	skakel
while	ruk
while	terwyl
later	later
part	deel
part	gedeelte
november	november
players	spelers
please	asb
please	asseblief
following	volg
february	februarie
second	sekondes
second	sekonde
name	naam
name	benoem
name	gebruikernaam
group	groep
group	groepeer
history	geskiedenis
history	history
series	reeks
series	series
just	slegs
just	net
north	noorde
north	noord
work	werk
before	voor
before	before
since	sedert
season	seisoen
both	altwee
both	beide
both	albei
both	sowel
high	hoë
high	hoog
district	distrik
now	nou
now	now
now	tans
comments	opmerkings
because	want
football	voetbal
music	musiek
diff	diff
century	eeue
century	eeu
league	liga
edits	redigeer
edits	wysigings
debate	debate
debate	debat
title	lêername
articles	artikels
john	johannes
john	john
same	dieselfde
same	selfde
including	insluitende
including	insluitend
could	kon
english	engels
album	album
number	nommer
number	getalle
number	getal
family	familie
family	gesin
user	gebruiker
based	gebaseer
based	gebasseer
area	omgewing
area	gebied
area	oppervlakte
area	area
york	york
life	lewe
british	brits
international	internasionaal
international	internasionale
game	speletjie
game	spel
above	bo
club	klub
your	jou
until	totdat
early	vroeg
early	vroeë
best	beste
west	wes
house	house
house	huis
company	maatskappy
general	herhaal
general	algemene
general	generaal
left	gelaat
very	baie
here	hier
don	don
living	leef
living	tuiste
day	dag
several	klomp
place	plek
party	party
party	feesvieringe
party	partytjie
college	kollege
result	uitslag
result	resultaat
keep	aanhou
keep	hou
keep	behou
appropriate	geskikte
appropriate	gepas
appropriate	toepaslike
four	vier
subsequent	daaropvolgende
even	selfs
class	klas
government	regering
how	hoe
called	geroep
called	gebel
called	naamlik
each	elk
found	gekry
found	gevind
center	sentreer
center	gesentreer
per	per
com	com
long	lank
country	country
country	land
back	rug
back	agterkant
back	terug
way	manier
way	way
www	www
modify	verander
modify	wysig
end	einde
end	beëindig
make	maak
public	openbare
public	openbaar
public	publieke
public	publiek
played	gespeel
won	gewen
released	vrygestel
released	gelos
added	bygevoeg
support	ondersteuning
support	ondersteun
support	steun
support	bystand
games	speletjies
games	wedstryde
former	former
former	voormalige
those	daardie
those	diegene
films	films
church	kerk
east	oos
line	lyn
major	major
major	majoor
major	hoofvak
members	lede
good	goeie
good	goed
much	much
image	prent
image	beelde
show	gewys
show	wys
still	steeds
still	nogsteeds
think	dink
below	onder
below	hieronder
below	onderstaande
town	town
last	last
last	laas
last	laaste
last	jongste
system	lêerstelsel
system	sisteem
system	stelsel
right	regterkant
right	regs
song	liedjie
song	lied
section	seksie
section	afdeling
single	enkel
included	ingesluit
align	belyn
home	tuis
home	huistoe
home	tuisblad
home	huis
women	vroue
women	vrouens
television	televisie
seed	saad
member	lid
goals	doelwitte
goals	doele
sources	bronne
book	bespreek
book	boek
station	stasie
order	orde
order	bestel
order	volgorde
order	bestelling
order	rangskik
old	oud
old	ou
information	informasie
information	inligting
set	gestel
set	instel
set	stel
own	eie
text	teksboodskap
text	teks
band	band
band	musiekgroep
point	punt
local	lokale
local	plaaslike
local	plaaslik
around	rond
river	rivier
top	bokant
top	bo
top	hoogs
main	hoof
french	frans
french	franse
https	https
named	genaamd
off	af
note	nota
note	aantekeninge
career	loopbaan
original	oorspronklik
original	oorspronklike
age	ouderdom
service	diens
established	daargestel
established	vasgestel
established	gevestig
located	geleë
said	gesê
website	webwerf
website	webtuiste
population	bevolking
population	populasie
air	air
air	lug
german	duits
law	reg
law	wet
military	militêre
great	groot
great	wonderlik
within	binne
clubs	klawer
clubs	klubs
published	gepubliseer
president	president
park	park
official	amptelik
official	amptenaar
official	amptelike
case	kas
case	geval
london	londen
times	tye
times	kere
although	hoewel
although	alhoewel
small	small
small	klein
third	derde
different	verskillende
different	anders
due	weens
get	kry
village	village
village	dorpie
closed	geslote
closed	gesluit
closed	toegemaak
art	kuns
player	speler
final	finale
final	finaal
community	samelewing
community	gemeenskap
community	community
again	weer
army	weermag
army	leër
army	army
award	toekenning
without	sonder
death	dood
men	mans
men	manne
white	white
five	vyf
central	sentrale
central	sentraal
road	pad
road	road
children	kinders
free	gratis
free	vry
free	free
took	took
england	engeland
england	england
include	insluit
include	ingesluit
association	vereniging
association	assosiasie
down	ondertoe
down	neer
down	af
given	gegee
source	bronne
source	bron
california	california
california	kalifornië
man	man
written	geskryf
created	geskep
media	media
black	swart
though	though
php	php
report	rapporteer
building	gebou
take	neem
take	tree
take	vat
division	division
division	deling
comment	kommentaar
having	ondervind
king	heer
king	king
king	koning
edit	wysig
stadium	stadion
died	gesterf
died	oorlede
ship	skip
ship	skeep
research	navorsing
record	rekord
record	opneem
archive	argief
archive	argiveer
places	plekke
undo	herroep
cup	koppie
cup	beker
records	rekords
records	records
often	gereeld
often	dikwels
few	paar
received	ontvang
side	kant
power	krag
power	elektrisiteit
education	opvoeding
education	opvoedkunde
education	onderwys
education	opleiding
education	onderrig
know	ken
know	weet
water	water
political	politieke
species	spesie
species	spesies
field	terrein
