kategória	category
roku	year
ako	how
ako	like
bol	bol
bol	was
pozri	see
pozri	look
obce	communes
obce	municipalities
obce	villages
mba	mba
obyvateľov	inhabitants
obyvateľov	residents
obec	commune
obec	municipality
obec	village
pre	for
jeho	his
jeho	its
ktorá	which
bod	point
pri	pri
bola	was
ktoré	which
ktorý	which
zoznam	list
odkazy	references
odkazy	links
externé	external
ale	but
iné	other
iné	others
the	the
počet	number
boli	were
podľa	under
miesto	spot
miesto	place
miesto	location
miesto	venue
miesto	site
bolo	was
obcí	communes
obcí	municipalities
obci	commune
jej	its
jej	her
ich	their
ich	them
ich	ich
medzi	between
projekty	projects
team	team
byť	being
francúzska	french
francúzska	france
najvyšší	supreme
pod	below
pod	pod
pod	under
pred	pre
pred	before
vývoj	development
vývoj	evolution
vývoj	developments
graf	graph
graf	chart
kde	kde
kde	where
môže	may
môže	can
nasledujúci	following
nasledujúci	next
zobrazuje	displays
zobrazuje	shows
keď	when
len	only
len	just
mesto	town
mesto	city
počas	during
tiež	also
usa	usa
rokov	years
nie	not
september	september
úmrtia	death
úmrtia	fatalities
úmrtia	deaths
neskôr	later
slovenský	slovakian
slovenský	slovak
aby	make
storočia	centuries
storočia	century
nad	nad
nad	above
utc	utc
jpg	jpg
časti	parts
stránka	page
stránka	site
skupiny	group
skupiny	groups
html	html
roka	year
ktorú	which
časť	section
časť	part
ngc	ngc
október	october
október	oct
mesta	town
mesta	city
marec	march
august	august
august	aug
skupina	group
veľmi	very
potom	then
oficiálna	official
narodenia	birth
tento	this
osobnosti	personalities
osobnosti	personality
bratislava	bratislava
november	november
november	nov
december	december
december	dec
iba	only
iba	just
roky	years
oblasti	area
oblasti	areas
január	january
súbor	file
mal	had
mal	mal
proti	against
apríl	apr
apríl	april
sveta	world
bez	without
najmä	mainly
najmä	especially
viac	more
február	february
február	feb
náhľad	preview
mužov	men
názov	denomination
názov	name
názov	title
okolo	around
ešte	yet
prvý	first
text	text
máj	may
slovenskej	slovak
spolu	total
spolu	together
tom	tom
majstrovstvá	championship
majstrovstvá	biathlon
saint	saint
okrem	except
bar	bar
americký	american
júl	july
júl	jul
cez	via
cez	through
asi	probably
asi	guess
jeden	one
objavil	discovered
ktorých	whose
vojny	war
vojny	wars
rok	year
ulica	street
album	album
dátum	date
žien	female
žien	women
tieto	these
januára	january
majú	have
toto	this
toto	toto
ktorí	who
všetky	all
francúzsky	french
mestá	towns
mestá	cities
svoje	its
žije	lives
český	czech
český	český
často	frequently
často	often
ján	jan
ján	ján
ján	john
niekoľko	several
okres	district
jún	jun
jún	june
šablóny	templates
šablóny	template
dnes	today
slovensko	slovakia
pretože	because
ani	neither
ani	ani
ani	nor
ktorého	whose
slovenska	slovenska
nové	new
všetkých	all
štátu	state
ďalšie	additional
ďalšie	next
ďalšie	other
ďalšie	more
tým	team
meno	name
dve	two
dva	two
mala	had
mala	mala
style	style
približne	about
približne	roughly
približne	approximately
táto	this
prvé	first
martin	martin
http	http
tri	tri
tri	three
loire	loire
nich	them
začal	started
začal	began
praha	prague
stránke	page
film	movie
film	film
spoločnosti	corporations
spoločnosti	company
spoločnosti	companies
peter	peter
mali	had
mali	mali
patrí	belongs
slovenská	slovak
strany	pages
strany	parties
svg	svg
slovensky	english
prvá	first
van	van
nemecký	german
storočí	centuries
storočí	century
hlavne	mainly
hlavne	especially
hlavne	mostly
astronóm	astronomer
rod	rod
bude	will
titul	title
kostol	church
týchto	these
republiky	republic
republiky	republics
možno	perhaps
možno	maybe
ženy	females
ženy	women
ďalej	next
kedy	when
územia	territories
územia	territory
systém	system
ide	going
ide	goes
ide	ide
potok	stream
latinsky	latin
góly	goals
spisovateľ	writer
európy	europe
pôvodne	initially
pôvodne	originally
súhvezdie	constellation
známy	known
známy	acquaintance
haute	haute
veľkosť	size
john	john
klub	club
objektov	objects
isbn	isbn
slovenské	slovak
portál	portal
článok	article
ľudí	humans
ľudí	people
územie	territory
palomar	palomar
možné	possible
zomrel	died
niektoré	some
hudobné	music
hudobné	musical
herec	actor
hry	games
veľký	large
veľký	big
gmina	gmina
života	life
septembra	september
kráľ	king
iii	iii
maďarsku	hungary
hráči	players
vlády	government
vlády	governments
môžu	can
miest	places
zároveň	simultaneously
napriek	spite
napriek	despite
mieste	spot
mieste	site
kráľa	king
tam	tam
tam	there
spoločnosť	society
spoločnosť	company
oblasť	region
oblasť	oblast
oblasť	area
nej	her
vek	age
takmer	almost
takmer	nearly
štadión	stadium
muži	males
muži	men
októbra	october
život	life
mája	may
dňa	day
národné	national
jozef	jozef
jozef	joseph
center	center
syn	son
marca	march
dĺžka	length
dĺžka	longitude
augusta	august
augusta	augusta
veľké	large
veľké	big
školy	schools
školy	school
nový	new
nový	nový
obsahuje	contains
anderson	anderson
správa	report
správa	message
správa	administration
štát	country
štát	state
pomocou	using
hráč	player
hráč	gamer
banskej	banská
júna	june
kitt	kitt
cesta	path
cesta	route
cesta	journey
cesta	way
cesta	road
apríla	april
dostal	got
krajiny	country
krajiny	landscape
krajiny	countries
začala	started
začala	began
spacewatch	spacewatch
ceny	prices
ceny	prizes
žilo	lived
číslo	number
typ	type
politik	politician
pyrénées	pyrénées
následne	subsequently
mesa	mesa
košice	košice
košice	kosice
rôznych	various
spojené	united
júla	july
práve	just
niektorých	some
čas	time
prípade	case
novembra	november
víťaz	winner
decembra	december
nemecko	germany
hlavné	major
hlavné	main
galaxia	galaxy
awards	awards
vrátane	including
vrátane	inclusive
hviezdna	stellar
troch	three
postupne	gradually
práce	work
veľká	large
veľká	big
množstvo	amount
množstvo	quantity
opäť	again
priezvisko	surname
otec	dad
otec	father
com	com
než	than
svete	world
podobne	likewise
podobne	similarly
stránky	sites
stránky	pages
diela	works
poloha	position
poloha	location
niekedy	sometimes
typu	type
deň	day
houten	houten
druhý	second
články	articles
vtedy	then
jedna	one
každý	everybody
každý	everyone
každý	every
každý	each
sur	sur
obrázok	picture
obrázok	image
obrázok	figure
celý	entire
celý	whole
obyvateľstva	population
členovia	members
stále	still
jednotky	units
jednotky	troops
dejiny	history
alpes	alpes
priemerný	average
priemerný	mediocre
diskusia	discussion
diskusia	debate
keďže	since
program	program
program	agenda
program	programme
gitara	guitar
jedným	one
článku	article
hudobný	musical
kolo	lap
kolo	round
začali	started
začali	began
strana	party
strana	page
strana	side
francúzsko	france
taktiež	also
obdobia	periods
dobe	time
autor	author
park	park
popis	description
cena	price
pravdepodobne	probably
pravdepodobne	likely
der	der
nová	new
nová	nová
rieky	river
rieky	rivers
rôzne	various
rôzne	different
rôzne	misc
rôzne	miscellaneous
obdobie	period
škola	school
klubu	club
februára	february
františek	františek
františek	francis
františek	ferenc
albumy	albums
dielo	work
nakoniec	eventually
väčšina	most
väčšina	majority
zápasy	matches
zápasy	fights
zápasy	games
neho	him
turnaj	tournament
rovnako	likewise
rovnako	equally
rovnako	same
druh	type
druh	species
stavby	constructions
stavby	structures
priamo	straight
priamo	direct
priamo	directly
metrov	meters
metrov	metres
anglický	english
albumu	album
funkcia	function
funkcia	feature
von	out
článkov	articles
štátov	states
južnej	southern
južnej	south
piesne	songs
verzia	version
hoci	although
hoci	though
image	image
york	york
rad	series
rad	rad
rad	row
európe	europe
ktorým	laying
členom	member
zatiaľ	yet
zatiaľ	meanwhile
výška	elevation
výška	height
túto	this
stav	status
stav	condition
william	william
png	png
menom	named
krajine	country
marne	marne
právo	right
právo	law
stretnutie	appointment
stretnutie	meeting
stretnutie	reunion
oficiálne	official
oficiálne	officially
vznikla	arose
univerzity	universities
univerzity	university
viacerých	multiple
tímov	teams
san	san
david	david
rozhodca	judge
rozhodca	referee
rozhodca	ref
bystrici	bystrica
zmysle	meaning
informácie	info
informácie	information
bystrica	bystrica
veľa	lots
veľa	many
veľa	much
dokonca	even
deti	kids
deti	children
deti	babies
malo	had
malo	should
rakúsko	austria
znamená	means
severnej	northern
dom	house
dom	dom
vody	water
vody	waters
jan	jan
patria	belong
www	www
vždy	always
práva	permissions
práva	rights
ľudia	humans
ľudia	people
známe	known
známe	familiar
herečka	actress
hrad	castle
menej	less
hier	games
bgcolor	bgcolor
známa	known
les	woods
les	les
les	forest
skôr	earlier
systému	system
štyri	four
zeme	earth
lode	boats
lode	ships
banská	banská
banská	mining
sám	alone
básnik	poet
úplne	absolutely
úplne	completely
úplne	totally
dní	days
ďalší	another
ďalší	next
skladateľ	songwriter
skladateľ	composer
kto	who
rozdiel	difference
rozdiel	differential
tím	team
družstvo	squad
družstvo	cooperative
matematik	mathematician
armády	armies
armády	army
rady	advice
rady	council
mať	have
world	world
označenie	marking
označenie	designation
označenie	indication
označenie	labelling
označenie	identification
druhá	second
mužstvo	manhood
mužstvo	team
musí	must
jazyk	tongue
jazyk	language
obvode	perimeter
priezviská	surnames
predtým	previously
predtým	before
finále	finale
finále	finals
open	open
činnosť	activities
činnosť	activity
vojna	war
vrch	top
paul	paul
seine	seine
súťaže	competitions
súťaže	contests
súťaže	competition
väčšinou	mostly
ivan	ivan
pracoval	worked
česká	czech
pas	pas
pas	passport
cesty	paths
cesty	routes
cesty	roads
šírka	latitude
šírka	width
základné	essential
základné	basic
chránené	protected
rýchlosť	velocity
rýchlosť	rate
rýchlosť	speed
pozícia	position
podarilo	managed
mnoho	many
prezident	president
knihy	books
prírodná	natural
cieľom	aim
prahe	prague
študoval	studied
filozof	philosopher
rhône	rhône
spev	singing
častí	parts
hral	played
organizácie	organizations
organizácie	organisation
organizácie	organisations
organizácie	organization
ostrov	island
kráľovstvo	kingdom
pavol	pavol
pavol	paul
triedy	classes
triedy	class
americká	american
hlavný	main
vznikol	arose
play	play
kluby	clubs
najviac	most
calais	calais
došlo	occurred
sídlo	mansion
sídlo	headquarters
sídlo	seat
člen	member
vznik	emergence
karol	karol
druhov	species
nikdy	never
činnosti	activities
lebo	because
centre	center
centre	centre
prevažne	mainly
prevažne	mostly
prevažne	predominantly
štáty	states
štáty	countries
robert	robert
hudba	music
dvojhra	singles
off	off
cirkvi	churches
cirkvi	church
stupeň	degree
stupeň	grade
michal	michal
michal	michael
význam	relevance
význam	importance
význam	meaning
význam	significance
budova	building
malé	small
malé	little
malé	malé
jedno	one
nord	nord
tretiny	thirds
šport	sport
šport	sports
človek	human
človek	man
jean	jean
spevák	singer
des	des
pomerne	moderately
pomerne	relatively
polovici	mid
minulosti	past
udalostí	events
diel	works
ostatné	other
ostatné	others
cca	approx
cca	cca
skóre	score
skóre	scores
kultúry	culture
kultúry	cultures
black	black
filmy	films
filmy	movies
stanice	stations
rock	rock
české	czech
české	české
napísal	written
napísal	wrote
dal	dal
dal	gave
liga	league
liga	liga
funkcie	function
funkcie	functions
funkcie	features
matka	mother
stalo	happened
kategórie	category
kategórie	categories
republika	republic
rodiny	families
najlepší	best
pieseň	song
univerzite	university
juraj	juraj
hrá	plays
futbalista	footballer
niekoľkých	several
centrum	centrum
centrum	center
centrum	centre
druhy	species
federácie	federation
federácie	federations
mohol	could
moselle	moselle
tie	those
rieka	river
richard	richard
najprv	first
rusko	russia
data	data
hokej	hockey
miliónov	million
miliónov	millions
doby	periods
najčastejšie	mostly
top	top
herschel	herschel
skladba	song
ríše	empires
ríše	empire
ríše	realms
city	city
city	feelings
účasti	participations
účasti	participation
skladby	tracks
skladby	songs
získala	acquired
získala	obtained
získala	received
mape	map
most	bridge
dobre	good
dobre	okay
ulice	streets
mapa	map
vladimír	vladimír
vladimír	vladimir
sily	strength
sily	forces
súčasť	part
súčasť	component
členov	members
fyzik	physicist
mená	names
powiat	county
powiat	powiat
domov	home
významné	significant
krajina	country
krajina	landscape
budovy	building
budovy	buildings
milan	milan
kým	till
kým	while
kým	until
lat	lat
taliansko	italy
model	model
university	university
prípadne	possibly
km²	km²
hviezdy	stars
miesta	places
miesta	locations
projekt	project
kniha	book
viacero	several
viacero	multiple
mária	mária
mária	mary
mária	marie
mária	maria
niečo	something
motor	engine
motor	motor
celkom	total
názvy	titles
názvy	names
krajín	countries
james	james
vedie	leads
založené	founded
založené	based
európskej	european
pohár	glass
pohár	cup
jednotlivých	individual
manželka	spouse
manželka	wife
mohli	could
nobelovej	nobel
music	music
divadlo	theater
divadlo	theatre
malý	small
malý	little
vplyv	impact
vplyv	influence
vplyv	effect
štefan	stephen
štefan	štefan
štefan	stefan
štefan	stepan
mimo	outside
michael	michael
existuje	exists
celkovo	total
zákon	law
vodné	water
vodné	aquatic
sts	sts
nástroje	instruments
nástroje	tools
nástroje	utilities
hmotnosť	mass
hmotnosť	weight
vpravo	right
stanica	station
bývalý	former
garonne	garonne
tvar	shape
jednotka	squad
jednotka	unit
založená	founded
založená	based
pedagóg	educator
taliansky	italian
pohľad	view
records	records
alexander	alexander
ruský	russian
vzhľadom	considering
vzhľadom	given
teraz	now
všetko	everything
všetko	all
homo	homo
côte	côte
iný	different
iný	other
iný	another
iný	others
povrchu	surface
veku	age
britský	british
služby	services
služby	service
#aaa	#aaa
márie	marie
márie	mary
zem	earth
zem	ground
kostola	church
vrátil	returned
loď	ship
loď	boat
tréner	trainer
tréner	coach
juhu	southern
juhu	south
možnosť	option
možnosť	possibility
val	val
najlepšie	featured
najlepšie	best
vláda	government
štyroch	four
úlohu	role
koniec	end
koniec	ending
brankár	goalkeeper
treba	need
história	history
prostredníctvom	via
prostredníctvom	through
malá	small
malá	little
malá	malá
trať	track
postavy	characters
štúdium	studying
štúdium	study
štúdium	studies
eure	eure
sezóny	season
histórii	history
filozofia	philosophy
písmo	font
písmo	scripture
začína	begins
začína	starts
začína	starting
toku	flux
toku	flow
midi	midi
verzie	versions
slovo	word
hustota	density
slovník	glossary
slovník	vocabulary
slovník	dictionary
doprava	traffic
doprava	transportation
doprava	transport
výkon	power
výkon	performance
poly	poly
literatúra	literature
kultúra	culture
ostrovy	islands
umenia	arts
vydal	issued
zdroj	source
zdroj	resource
jazyky	languages
ligy	majors
ligy	league
ligy	leagues
múzeum	museum
vyhral	won
zssr	ussr
polčas	halftime
tečie	flows
tečie	flowing
venoval	devoted
daniel	daniel
cirkev	church
predstavuje	represents
predstavuje	poses
žilina	žilina
teória	theory
nič	nothing
hra	game
let	flight
priemerná	average
aktívne	active
aktívne	actively
jazyka	tongue
jazyka	language
smer	directions
smer	direction
preteká	leaking
neďaleko	nearby
gehrels	gehrels
kariéry	career
kariéry	careers
svet	world
architektúra	architecture
