נדירה	skaars
תחליף	oordra
תחליף	spasie
טרומן	truman
אינסוף	oneindige
אינסוף	infinity
שוד	rooftog
יוהנס	johannes
זן	zen
זן	spesie
זן	spesies
הריין	ryn
הידרו	hydro
ניירות	papers
המציא	uitgevind
שנאה	haat
אפריקאי	afrikaanse
אפריקאי	afrikaan
אפריקאי	afrika
אפריקאי	african
פרדי	freddie
פרדי	freddy
סחורות	verhandeling
סחורות	goedere
טלסקופ	teleskoop
קרניים	strale
קרניים	horings
עומס	laai
עומס	las
המחוקקת	legislative
המחוקקת	wetgewer
מעבורת	shuttle
מעבורת	ferry
אדיר	fantasties
אדיר	ongelooflike
אדיר	wonderlik
האר	har
טומי	tommy
אום	umm
עותק	kopieer
עותק	bokant
עותק	kopiereg
מתקשה	worstel
קיסרי	imperial
תקפה	geldig
תקפה	geldige
תקפה	soektog
גופה	lyf
גופה	liggaam
אוהדי	fans
אוהדי	bewonderaars
אוהדי	aanhangers
פיוטר	piotr
פיוטר	pyotr
משקה	drank
משקה	drankie
עממי	folk
ואחריו	gevolg
דיר	deir
תהילה	bekendheid
תהילה	fame
תהילה	glorie
תהילה	glory
אחורה	rug
אחורה	agterkant
אחורה	terug
סיפק	verskaf
סיפק	verskaf
תעסוקה	employment
תעסוקה	indiensneming
הסוגים	soorte
הסוגים	tipes
אחרונים	last
אחרונים	laas
אחרונים	laaste
אחרונים	jongste
אחרונים	onlangse
ראשונית	voorlopige
ספנסר	spencer
ספנסר	spenser
נור	nur
נור	noor
דנים	deens
דנים	deense
דנים	danes
דנים	denim
בוגרת	volwassene
בוגרת	volwasse
אחיינו	neef
שייכות	toepaslikheid
שייכות	behoort
שייכות	hoort
הגלריה	galery
פאן	pan
עונשין	penalty
עונשין	strafskop
קון	con
קני	kenny
הפער	gap
שהתגלה	ontdekte
להביס	oorwin
אנטוניוס	antony
אנטוניוס	antonius
חוט	gidse
חוט	draad
עיתונאית	joernalis
בלוך	bloch
מסוק	helikopter
הרישיון	lisensie
דשא	gras
פרידה	farewell
פרידה	frida
התמקד	gefokusde
מעצב	ontwerper
סטטיסטיקה	statistiek
סטטיסטיקה	statistieke
סטטיסטיקה	statistiek
סטטיסטיקה	statistieke
סטטיסטיקה	statistieke
מבצעית	operasionele
חתך	cut
דטרויט	detroit
גלוי	sigbare
גלוי	sigbaar
הקוונטים	quantum
הסוחר	handelaar
נה	neh
דיגיטלי	digitale
דיגיטלי	digital
צירים	arbeid
לכפות	tref
תצפיות	observations
עוזרת	assistent
הוקי	hokkie
בפנים	binne
חרדה	angstig
פער	gap
טורים	kolomme
סבב	rotasie
שריד	oorblyfsel
שמור	manlik
שמור	aanhou
שמור	hou
שמור	behou
עמותה	vereniging
עמותה	assosiasie
הדלת	door
הדלת	deur
טכניקה	technique
טכניקה	tegniek
ארטילריה	artillery
עמיתים	kollegas
עמיתים	kollegas
שפר	schaeffer
הי	hallo
הי	hi
הי	haai
טבעות	rings
בסיסים	basisse
קרס	hook
קרס	ineengestort
קרס	ingevou
הבטן	maag
ציפורי	voëltjie
חירות	vryheid
חירות	vryheid
חירות	liberty
יונים	ions
יונים	duiwe
יונים	doves
קיטור	steam
כריסטינה	christina
כריסטינה	cristina
ממלכות	koninkryke
בייקר	baker
בייקר	bakker
גרג	greg
תוניסיה	russies
תוניסיה	tunisië
הברכה	blessing
הגיב	gereageer
הגיב	geantwoord
הגיב	gereageer
מינסוטה	minnesota
גילברט	gilbert
ביולוגי	biologiese
שועל	jakkals
שועל	fox
מקרטני	mccartney
להתיישב	betaal
להתיישב	vereffen
קרבי	combat
פירנצה	florence
חדה	skerp
פלילית	kriminele
כנען	kanaän
שן	shen
שן	tand
הגבלה	beperking
הגבלה	beperk
לוויינים	satelliete
צילם	took
גופני	fisiese
גופני	fisieke
בסקי	baskiese
בסקי	ski
פגיעות	beserings
רגשית	emosioneel
אופציה	opsie
ביקרו	besoekte
ביקרו	besoek
נוספה	bygevoeg
פירס	pierce
אפלטון	plato
אפלטון	appleton
מרסל	marcel
פינק	pienk
ברון	baron
ספריות	biblioteke
ווטסון	watson
דאגה	worry
דאגה	spreek
נופש	gevalle
נופש	oord
נופש	vakansie
נופש	oorde
נופש	resorts
טימור	timoer
הביולוגי	biologiese
יוצרי	skeppers
יוצרי	makers
יריחו	jericho
הירידה	descent
גומי	rubber
הארכיון	argief
הארכיון	argiveer
ריהאנה	rihanna
הכיוון	breuke
הכיוון	rigting
משיח	messias
ללבוש	wear
משגר	lanseerder
משגר	lansering
רייגן	reagan
סנטיאגו	santiago
אמיתיים	regte
אמיתיים	egte
דורה	dora
ברן	bern
שינויי	verander
סכסוכים	teenstrydighede
סכסוכים	botsings
סכסוכים	geskille
סכסוכים	dispute
מונעת	gedryf
אריות	lions
לאום	nasionaliteit
ורוד	pienk
טנסי	tennessee
כפוף	bent
בעלים	eienaar
בעלים	eienaars
קמפיין	veldtog
אלישע	elisha
מחמד	troeteldier
מחמד	troeteldiere
אטומים	atome
מונטריאול	montreal
סו	sue
סו	soo
נשיאה	president
הנאמנים	loyalists
הנאמנים	trustees
אוטובוסים	busse
ערוצי	kanale
קלווין	kelvin
קלווין	calvyn
קלווין	calvin
תחזוקה	onderhoud
תחזוקה	instandhouding
בורות	ignorance
הניח	aangeneem
מבינה	verstaan
מעבדה	laboratorium
מעבדה	laboratorium
מעבדה	lab
מיזוג	samesmelting
מיזוג	versmelt
מיזוג	samevoeging
מיזוג	saamsmelt
מיזוג	saamvoeg
מוניטין	reputasie
תינוק	baba
פארקר	parker
הוחזר	teruggestuur
הוחזר	terugbetaal
שליליות	negatiewe
שליליות	negatief
גרנדה	grenada
גרנדה	grande
גרנדה	granada
שפע	plenty
מקדונלד	macdonald
מקדונלד	mcdonald
מיין	maine
צינורות	pype
האף	neus
נוזלי	vloeistof
ניומן	newman
בלבול	verwarring
פסיפס	mosaïek
אכילה	feeding
אכילה	voering
אכילה	eet
אכילה	eetbare
סנטר	chin
סנטר	sentreer
סנטר	gesentreer
בון	bon
בון	bonn
בון	been
בון	boone
בון	boon
לבוב	lwif
סקוטי	scotty
יצרן	vervaardiger
פייסבוק	facebook
קופה	copa
קופה	coupe
תחנה	stasie
תחנה	park
אלמוני	anoniem
פצצת	bomb
פצצת	bom
בנין	benin
מקוריים	oorspronklik
מקוריים	oorspronklike
המצלמה	camera
המצלמה	kamera
ליטאים	litauers
חטא	sonde
סולטאן	sultan
רצינית	ernstige
רצינית	ernstig
דקר	decker
דקר	dekker
הורדת	afgelaai
סתיו	herfs
סתיו	herfs
סתיו	val
צלילה	duik
צלילה	diving
צלילה	duik
מקורית	oorspronklik
מקורית	oorspronklike
באחריות	gewaarborg
צוותי	spanne
בואי	kom
מגנוס	magnus
אינדיאנים	indians
אינדיאנים	indiane
