زئوس	zeus
نانسی	nancy
گرینلند	greenland
صدف	kerang
صدف	tiram
صدف	oyster
صدف	cengkerang
صدف	kerang
افشین	afshin
رندی	randy
کو	koo
روبرتو	roberto
مالاوی	malawi
ژرمن	germain
کلاید	clyde
برهنه	naked
برهنه	nude
برهنه	bare
لوکاس	lucas
لوکاس	lukas
کوت	kut
کوت	cot
خاطره	kenangan
خاطره	ingatan
خاطره	memory
داوید	daud
داوید	david
نوزادان	bayi
نوزادان	babies
یوزف	yusuf
یوزف	joseph
تورات	taurat
مولد	penjana
امامت	imam
پنالتی	penalti
یکنواخت	steady
یکنواخت	mantap
تاسمانی	tasmania
رحمت	mercy
رحمت	rahmat
رحمت	kasta
ضمیمه	terkurung
درجات	peringkat
مجرای	canal
مجرای	canai
مجرای	terusan
مجرای	channel
اورتون	everton
سولفات	sulfat
ارس	aras
قوت	kekuatan
مجالس	lulus
ابری	awan
ابری	awan
ابری	cloud
ابری	berawan
ابری	mendung
تایم	waktu
تایم	masa
تایم	time
سومی	ketiga
کوپر	cooper
جانداران	fauna
جولی	julie
ساختگی	semu
شارلوت	charlotte
اتوماتیک	automatik
اتوماتیک	automatic
لوید	lloyd
گاندی	gandhi
ثانی	sani
ثانی	thani
گریه	menangis
گریه	nangis
گریه	tangis
گریه	cry
گریه	menangis
واگن	wagon
واگن	kenderaannya
لئونارد	leonard
راد	rad
راد	rod
هفتگی	mingguan
هفتگی	weekly
مستمر	berterusan
مستمر	occupations
مارسی	marseille
مارسی	marcy
مارسی	marseille
درامز	dram
درامز	gendang
مرتکب	komited
مرتکب	laksanakan
مستندات	dokumentasi
نوشهر	nevşehir
رقابتی	kompetitif
کسری	defisit
نخ	benang
نخ	jaluran
نخ	bebenang
میلیمتر	millimeter
میلیمتر	milimeter
شاعری	penyair
شاعری	pujangga
مرادی	moradi
سیارات	planet
غلات	bijirin
پاسکال	pascal
مقدونی	macedonia
مقدونی	macedon
ترغیب	pujukan
عطر	perfume
کاشف	kashif
آندری	andrei
آندری	andrei
قیاس	monumental
موس	moose
تکاب	takab
مؤسسات	institusi
مؤسسات	lembaga
دیگو	diego
کریستینا	christina
کریستینا	cristina
آران	aran
تجربیات	pengalaman
ریاضیدان	mathematician
خونین	berdarah
کافه	cafe
کافه	cafe
کافه	kafe
لیل	lil
لیل	lille
بنه	boneh
سعیدی	saidi
دستان	dastan
دستان	tangan
فروشی	kedai
دریک	drake
مراسمی	upacara
نصرت	nusrat
گشتی	patrol
گشتی	rondaan
گشتی	peronda
گشتی	meronda
مرجان	karang
مرجان	coral
مرجان	marjan
مرجان	marji
پلاسما	plasma
سقراط	socrates
بوتان	bhutan
تعمیم	generalization
باردار	hamil
باردار	pregnant
مالیاتی	cukai
مالیاتی	cukai
سینت	sint
آریا	aria
آریا	arya
گزیده	digigit
بره	arietis
بره	aries
دیوارها	tembok
دیوارها	dinding
افراطی	extremist
افراطی	ekstremis
افراطی	ekstrem
افراطی	melampau
آژاکس	ajax
فرشتگان	malaikat
جیوه	mercury
فاضلاب	pembetung
فاضلاب	kumbahan
فاضلاب	pembetung
وادی	wadi
لیاقت	merit
جودی	judy
حفر	dig
حفر	menggali
شعله	nyala
