secrets	secretos
doctoral	doctorado
sots	baches
marges	márgenes
steven	alberto
steven	steven
pesta	peste
pesta	plaga
coincidint	coincidiendo
playstation	playstation
excés	exceso
excés	excedente
excés	excesos
four	cuatro
four	four
guanyadors	vencedores
guanyadors	ganadoras
guanyadors	ganadores
fifa	fifa
literàries	literaria
literàries	literarios
literàries	literario
drogues	fármacos
drogues	droga
drogues	medicamentos
drogues	drogas
triangular	triangular
triangular	triangulares
wright	wright
tanc	tanques
tanc	tanque
tanc	cisterna
deute	deudas
deute	endeudamiento
deute	deuda
percepció	percepción
moll	muelle
moll	muelle
moll	pier
moll	embarcadero
silenci	silencio
silenci	silenciar
fuster	carpenter
fuster	carpintero
fuster	carpinteros
fletxa	flecha
fletxa	arrow
gibraltar	gibraltar
intens	intensos
intens	intensa
intens	intensas
intens	intenso
soiuz	soyuz
dubtes	duda
dubtes	dudas
telèfon	teléfono
telèfon	teléfonos
telèfon	telefono
telèfon	teléfono
telèfon	teléfonos
telèfon	telefono
telèfon	telefonía
unificació	unificación
bad	malas
bad	malos
bad	malo
bad	bad
bad	mal
bad	mala
miranda	miranda
datat	fechado
esperanto	esperanto
gravació	grabando
gravació	grabación
gravació	grabar
erc	cei
anime	anime
diagnòstic	diagnósticos
diagnòstic	diagnostico
diagnòstic	diagnóstico
infantesa	niñez
infantesa	infancia
decorat	condecorado
decorat	decorados
decorat	decorada
decorat	decorado
tim	tim
restants	restante
restants	permaneciendo
restants	restantes
nas	nose
nas	nariz
úniques	únicos
úniques	único
úniques	unica
úniques	única
úniques	únicas
gijón	gijón
armats	armada
armats	armados
armats	armadas
armats	armado
canceller	canciller
observat	observados
observat	observado
observat	observada
observat	observó
expert	experto
expert	perito
expert	expertos
expert	experta
perduda	perdido
perduda	lost
perduda	perdida
perduda	perdidos
perduda	perdió
perduda	perdidas
emperadors	emperadores
canta	canta
andy	andy
regnar	reinó
boys	boys
boys	muchachos
boys	chicos
ventura	ventura
distingeix	distingue
borja	borja
mancomunitat	commonwealth
mancomunitat	mancomunidad
fortificacions	fortificación
fortificacions	fortificaciones
diòxid	dióxido
diana	diana
heretar	heredar
heretar	herencia
heretar	hereda
