les	the
est	timur
une	satu
une	one
catégorie	kategori
pour	untuk
qui	sape
que	bahawa
avec	dgn
avec	dengan
son	sound
son	bunyi
son	its
plus	plus
plus	lebih
plus	lagi
plus	more
pas	tidak
pas	bukan
pas	tak
sont	adalah
elle	she
elle	elle
été	summer
avancement	kemajuan
avancement	progres
avancement	perkembangan
avancement	progress
comme	like
comme	ibarat
mais	tapi
mais	tetapi
cette	ni
pop	pap
pop	pops
pop	pop
deux	dua
ses	ses
ses	its
naissance	lahir
naissance	dilahirkan
naissance	born
naissance	lahir
naissance	melahirkan
naissance	birth
naissance	kelahiran
naissance	beranak
aussi	juga
france	france
france	perancis
saint	suci
saint	kudus
saint	holy
saint	saint
après	selepas
fait	diperbuat
fait	made
fait	bancuh
fait	done
notes	nota
entre	antara
sous	bawah
sous	dibawah
sous	under
même	genap
même	sama
même	same
être	being
être	menjadi
nom	nama
français	français
français	perancis
ont	mempunyai
paris	paris
lui	him
lieu	place
lieu	tempat
lieu	lokasi
lieu	location
cet	ni
autres	lain
autres	lain
décès	kematian
décès	death
décès	maut
décès	ajal
décès	kematian
références	rujukan
liens	pautan
liens	link
était	ws
commune	commune
commune	komun
commune	lumrah
commune	common
ville	bandar
ville	city
ville	bandaraya
ville	bandar
ville	kota
jean	jean
jean	john
leur	their
date	date
date	tarikh
cest	cest
peut	may
peut	mei
peut	mampukah
peut	boleh
depuis	semenjak
depuis	since
depuis	sejak
depuis	dari
depuis	daripada
première	pertama
première	first
première	dulu
première	dahulu
ans	ans
ans	tahun
alors	barulah
alors	then
alors	kemudiannya
alors	kemudian
externes	luaran
site	website
site	tapak
premier	premier
premier	pertama
premier	first
premier	dulu
premier	dahulu
fut	ws
http	http
ainsi	justeru
film	movie
film	cereka
film	filem
film	filem
voir	lihat
voir	view
pays	country
pays	negara
pays	negara
source	sumber
ils	mereka
grand	large
grand	besar
grand	besar
grand	hebat
grand	rb
grand	grand
tout	semuanya
tout	segalanya
tout	semua
groupe	band
groupe	kugiran
groupe	berkumpulan
groupe	group
groupe	kumpulan
également	juga
titre	tajuk
titre	gelaran
monde	world
monde	dunia
nord	utara
nord	north
nord	utara
nord	northern
nord	nord
années	tahun
bien	good
bien	gud
contre	terhadap
liste	senarai
puis	barulah
puis	then
puis	kemudiannya
puis	kemudian
équipe	skuad
équipe	pasukan
équipe	team
club	club
club	kelab
sud	sud
sud	selatan
partie	parti
partie	bahagian
avant	front
avant	depan
avant	hadapan
avant	sebelum
non	tidak
non	bukan
non	tak
très	sangat
trois	tiga
articles	artikel
article	artikel
guerre	war
guerre	perang
guerre	peperangan
sans	tanpa
saison	musim
fin	fin
fin	hujung
fin	penghujung
vers	vers
année	tahun
temps	cuaca
temps	waktu
temps	masa
temps	time
plusieurs	banyak
plusieurs	beberapa
plusieurs	berbilang
plusieurs	pelbagai
faire	buat
faire	faire
mars	mac
mars	march
mars	marikh
mars	mars
histoire	sejarah
série	series
série	siri
série	seri
série	bersiri
joueur	player
joueur	pemain
mai	may
mai	mei
mai	mai
tour	lawatan
tour	tour
tour	tower
tour	menara
mort	died
mort	kematian
mort	death
mort	maut
mort	ajal
mort	mort
mort	dead
mort	mati
juin	jun
juin	june
juin	jun
jpg	jpg
