और	och
से	från
है	hai
एक	en
एक	ett
एक	one
श्रेणी	kategori
श्रेणी	kategorin
श्रेणी	serier
श्रेणी	serie
श्रेणी	serien
श्रेणी	kategorierna
श्रेणी	kategorier
भी	jämn
भी	även
भी	också
भी	även
भी	också
भी	oxå
भी	too
भी	alltför
यह	denna
यह	detta
किया	gjorde
किया	avklarat
किया	done
किया	gjort
किया	färdig
इस	denna
इस	detta
हैं	är
हैं	are
कि	att
भारत	indiska
भारत	india
भारत	indiskt
भारत	indien
जो	joe
जो	vilka
जो	vem
जो	who
ही	hee
रूप	blankett
रूप	formulär
रूप	form
रूप	bilda
रूप	framträdande
रूप	utseende
रूप	utseendet
कर	skatt
कर	beskatta
कर	skatt
कर	skatter
नहीं	inte
नहीं	ej
नहीं	nix
नहीं	nope
उत्तराखण्ड	uttarakhand
गया	åkte
गया	gick
साथ	längs
साथ	utmed
साथ	med
साथ	tillsammans
पूर्व	östra
पूर्व	österut
पूर्व	öst
पूर्व	öster
पूर्व	tidigare
होता	skulle
बाद	senare
बाद	efteråt
बाद	after
बाद	efter
तक	tills
तक	tills
तक	tak
अपने	äga
अपने	eget
अपने	egen
अपने	egna
अपने	ditt
अपने	din
अपने	dina
जिले	distrikten
जिले	distrikt
जिले	stadsdelar
था	had
था	hadde
था	hade
था	haft
था	var
राज्य	staterna
राज्य	stater
राज्य	delstater
राज्य	stat
राज्य	statliga
राज्य	delstat
राज्य	statligt
बाहरी	utomhus
बाहरी	yttre
बाहरी	extern
बाहरी	externt
बाहरी	yttre
बाहरी	externa
बाहरी	utomhus
बाहरी	uteservering
कुछ	några
कुछ	vissa
कुछ	somliga
कुछ	nånting
कुछ	något
कुछ	någonting
कुछ	nåt
ईसा	jesus
गाँव	byn
गाँव	by
गाँव	village
सरकार	regering
सरकार	regeringen
कड़ियाँ	kedjor
कड़ियाँ	anknyter
कड़ियाँ	länkar
प्रदेश	region
प्रदेश	regionen
इसके	its
इसके	dess
दिया	givet
दिया	given
दिया	givna
दिया	gav
अन्य	annan
अन्य	övrig
अन्य	övriga
अन्य	andra
अन्य	övrigt
अन्य	annat
अन्य	andra
अन्य	övriga
जा	jaa
वर्ष	years
वर्ष	åratal
वर्ष	åren
वर्ष	år
वर्ष	year
वर्ष	årsmodell
वर्ष	året
वर्ष	år
