페르시아어	персийски
노르딕	скандинавски
플랜	план
플랜	планове
의미있는	смислен
의미있는	смислено
해명	изясняване
해명	пояснение
해명	разяснение
해명	разяснения
신용	кредитиране
신용	кредит
미아	мия
미아	миа
야채	зеленчуци
야채	растителни
야채	зеленчук
야채	зеленчуци
바이애슬론	биатлон
적분	неделима
적분	неразделна
삼각주	делта
삼각주	delta
사각형	квадратна
사각형	квадратни
사각형	квадратен
사각형	квадрат
사각형	площад
사각형	четириъгълник
사각형	правоъгълник
사각형	правоъгълна
청소	почистване
청소	чистене
청소	чисто
청소	чист
청소	чисти
청소	чиста
청소	почистени
거기	там
세미	полу
중등	вторична
중등	вторично
중등	вторични
중등	вторичен
베이시스트	басист
캐롤	каръл
캐롤	керъл
캐롤	карол
캐롤	керъл
엘리	ели
엘리	илай
부채	дългове
부채	пасиви
부채	задължения
부채	дългове
부채	дълг
눈부신	ослепително
발효	ферментирали
발효	ферментация
체리	череша
체리	чери
체리	череши
코덱	кодеци
친족	кин
경관	офицер
경관	полицай
경관	пейзаж
퍼텐셜	потенциална
퍼텐셜	потенциал
생각하기	мисли
생각하기	помисли
수용체	рецептори
수용체	рецептор
버섯	гъби
버섯	гъби
버섯	гъба
익숙한	позната
익숙한	познати
익숙한	познат
익숙한	познато
익숙한	запознат
파이팅	борба
튀니스	тунис
매력	очарование
매력	блясък
매력	бляскаво
매력	бляскава
매력	очарование
매력	чар
매력	очарователен
매력	очарователно
매력	чаровна
매력	очарователна
매력	чаровен
태양광	слънчево
태양광	слънчева
태양광	слънчеви
선진	разработена
선진	развит
선진	разработени
선진	разработен
선진	развитите
선진	развита
선진	напредък
타카기	такаги
조건부	условно
조건부	условна
메세지	послание
메세지	съобщение
메세지	съобщението
아우디	ауди
벨트	коланите
벨트	колани
벨트	колан
벨트	колана
비엔나	виена
예의	благоприличие
예의	обноски
예의	маниери
예의	възпитан
예의	учтив
예의	учтивост
노리치	норич
선구자	пионери
받았습니다	получено
받았습니다	получена
받았습니다	получен
받았습니다	получени
아키오	акио
블라디보스토크	владивосток
인플레이션	инфлация
인플레이션	инфлацията
인질	заложници
인질	заложник
인질	заложници
인질	заложниците
켈트	келтски
생태	екологично
생태	екологичен
생태	екологични
생태	екологична
증언	свидетелства
증언	свидетел
증언	свидетели
증언	показания
트루먼	труман
모하마드	мохамед
오마르	омар
축하	празненства
축하	тържества
축하	тържество
축하	празнуване
축하	празник
축하	празненство
일반인	обща
일반인	общи
일반인	генерал
싱어	певецът
싱어	певица
싱어	сингър
싱어	певец
바바	баба
관세	тарифи
관세	тарифите
관세	митническа
관세	митническо
관세	митнически
관세	митници
관세	обичаи
관세	тарифата
관세	тарифни
관세	тарифа
벨파스트	белфаст
잔혹한	жесток
잔혹한	жестоко
잔혹한	жестока
잔혹한	жестоки
얼라이언스	алианса
얼라이언스	алианс
얼라이언스	съюз
하이드	хайд
벨라	бела
인사이드	вътрешно
인사이드	вътре
네번째	четвърта
네번째	четвърто
네번째	четвърти
제네시스	битие
브릿	брит
브릿	британец
잉글리시	английски
잉글리시	bulgarian
잉글리시	англичани
스쿼시	тиква
스쿼시	скуош
냉각	охлаждане
레즈비언	лесбийка
레즈비언	лесбийки
레즈비언	лесбийките
레즈비언	лесбийки
포클랜드	фолкландските
차단되었습니다	блокирани
차단되었습니다	блокирано
차단되었습니다	блокиран
차단되었습니다	блокирана
램프	светлина
램프	лампа
램프	лампата
램프	светлини
램프	лампи
램프	фарове
포격	обстрела
포격	бомбардировки
포격	бомбардировка
새크라멘토	сакраменто
힉스	хикс
힉스	хигс
영화관	театри
영화관	кината
영화관	театри
영화관	театър
레지옹	легион
레지옹	легиона
깨진	счупен
깨진	счупена
깨진	счупено
깨진	разбито
깨진	разбити
특공대	командос
특공대	командоси
풀기	извличане
풀기	екстракт
풀기	разрешаване
풀기	решаване
딜런	дилън
딜런	дилън
딜런	дилан
선샤인	слънчице
선샤인	слънце
폴란드어	поляк
폴란드어	полски
폴란드어	полска
마스터즈	господари
마스터즈	мастърс
마스터즈	майстори
회상	завръщане
표본	мостра
표본	проба
표본	извадка
보내기	изпращане
보내기	изпращането
보내기	изпращане
보내기	изпрати
보내기	изпратете
황소자리	телец
위조	фалшификат
위조	фалшифициране
위조	фалшификация
위조	подправяне
위조	подправени
위조	фалшифицирането
위조	фалшификация
위조	фалшифициране
위조	фалшиви
위조	фалшифицирани
마사시	масаши
모가미	могами
게오르기	георги
고추	чили
고추	пепър
고추	чушка
고추	пипер
고추	чили
고추	люти
가슴이	гърди
가슴이	гърдите
인용된	цитиран
오리엔트	ориент
아나톨리아	анадола
스탠더드	стандартна
스탠더드	стандарт
스탠더드	стандартни
스탠더드	стандартно
스탠더드	стандартен
스토어	магазини
스토어	магазин
스토어	съхранение
패치	пластир
패치	пач
포트리스	крепостта
