முன்னோர்கள்	пращурів
மனிதனுக்கு	людина
மனிதனுக்கு	чоловік
மனிதனுக்கு	мужчина
மனிதனுக்கு	man
பதில்கள்	реакцій
பதில்கள்	реакції
பதில்கள்	відповіді
பதில்கள்	відповіді
பதில்கள்	відповіді
வெனிஸ்	венеція
வெனிஸ்	венеції
தொல்லை	біді
தொல்லை	біда
தொல்லை	перешкода
தலைகள்	головах
தலைகள்	голів
தலைகள்	голови
தலைகள்	головами
கண்காணிப்பாளர்	спостерігач
அஹ்மத்	ахмед
அஹ்மத்	ахмад
அரிசோனா	аризона
ஜூல்	джоуль
கூட்டத்தை	натовп
கூட்டத்தை	натовпі
கறி	баранячі
கறி	каррі
ஈராக்கிய	іракський
ஜெஃப்	джефф
வர்ஜீனியா	вірджинія
மந்திரங்கள்	chants
படேல்	пател
சுழி	zero
சுழி	нульовий
சுழி	нуль
சுழி	нулі
உணர்ச்சிகள்	реакцій
உணர்ச்சிகள்	реакції
போர்டு	дошки
போர்டு	правління
போர்டு	дошка
போர்டு	настільні
இருப்பை	присутність
மாடலிங்	моделювання
சல்மான்	салман
பித்தளை	латунь
ஹைதர்	гайдер
பிடிப்பு	захоплення
பிடிப்பு	захопити
நீரிலி	ангідрид
நகைகள்	коштовності
நகைகள்	прикраси
நகைகள்	прикрас
நகைகள்	прикраси
நாற்கரம்	чотирикутник
டச்	дотик
டச்	нідерландська
டச்	голландська
பெரும	галактична
நெல்லி	неллі
வளைத்து	групі
கோரிக்கைகள்	запити
கோரிக்கைகள்	запитів
கோரிக்கைகள்	запит
இடி	грім
மிசிசிப்பி	міссісіпі
தியாகி	мученика
யாரையும்	нікому
யாரையும்	нікого
யாரையும்	хтось
ஆல்கஹால்	алкоголю
ஆல்கஹால்	алкоголь
ஆல்கஹால்	спирт
ரன்கள்	мчить
ரன்கள்	бігає
ரன்கள்	запускає
வேட்டையாடும்	хижі
ரொட்டி	хліба
ரொட்டி	хліб
கும்பல்	банда
கும்பல்	gang
கும்பல்	банди
கொசு	комар
கொசு	комарів
பெரியவர்கள்	дорослі
புளோரின்	фтор
டியான்	діон
மிலன்	мілан
திருப்பம்	крути
உருளைக்கிழங்கு	картоплю
உருளைக்கிழங்கு	картопля
உருளைக்கிழங்கு	картоплю
உருளைக்கிழங்கு	картопля
தெரிந்தது	відома
தெரிந்தது	відоме
தெரிந்தது	відомі
கரீனா	карина
விழுந்தது	упав
விழுந்தது	впала
விழுந்தது	впав
சொர்க்கம்	heaven
சொர்க்கம்	небеса
சொர்க்கம்	рай
சொர்க்கம்	небес
சொர்க்கம்	небесне
சொர்க்கம்	рай
சொர்க்கம்	раю
சொர்க்கம்	paradise
வேடிக்கை	забава
வேடிக்கை	веселощі
வேடிக்கை	весело
வேடிக்கை	смішний
வேடிக்கை	смішне
வேடிக்கை	смішні
வேடிக்கை	веселі
வேடிக்கை	смішно
வேடிக்கை	кумедні
எதிர்பார்த்த	очікується
எதிர்பார்த்த	очікували
எதிர்பார்த்த	очікувана
