amplitud	आयाम
inter	इंटर
geologia	भूविज्ञान
banca	banca
banca	बेंच
gall	मुर्गा
desnivell	ढाल
desnivell	ढलान
piscina	पूल
atles	एटलस
imdb	आईएमडीबी
clars	साफ
acusats	प्रतिवादियों
nuevo	नुएवो
artesans	कारीगरों
suplent	वैकल्पिक
participacions	शेयर
participacions	साझा
marató	मैराथन
cec	ब्लाइंड
cec	अंधा
cec	अंधे
cec	अँधा
secretària	सचिव
feliç	हैप्पी
feliç	मुबारक
feliç	खुश
feliç	प्रसन्न
distribuïts	वितरित
marino	मारिनो
madame	मेडम
emigració	करणों
multimèdia	मल्टीमीडिया
creades	बनाया
creades	बनाए
creades	निर्मित
fosfat	फास्फेट
ipa	आईपीए
enclavament	एन्क्लेव
ferrara	फेरारा
mag	जादूगर
mag	मैग
mag	mag
act	एक्ट
act	अधिनियम
autobusos	बसों
autobusos	बसें
ovelles	भेड़
ovelles	शीप
mariner	नाविक
adjacent	सटा
gloria	ग्लोरिया
logotip	लोगो
infinit	अनगिनत
infinit	अनंत
infinit	असीमित
infinit	अनन्त
infinit	अनंत
jason	जेसन
guerrer	योद्धा
revestiment	कोटिंग
comandants	कमांडरों
perfecta	सही
perfecta	परफेक्ट
perfecta	परिपूर्ण
perfecta	पूर्ण
charlotte	शेर्लोट
actualització	अपडेट
actualització	अद्यतन
rectes	सीधी
rectes	सीधे
rectes	सीधा
diccionaris	शब्दकोश
coca	कोक
coca	कोका
inundacions	बाढ़
salts	डाइविंग
gregorio	gregorio
milícia	मिलिशिया
helen	हेलेन
sergent	सार्जेंट
ambulància	एंबुलेंस
ambulància	एम्बुलेंस
peña	पेना
excavació	उत्खनन
excavació	खुदाई
legions	सेनाएँ
kosovo	कोसोवो
emès	निर्गत
emès	जारी
gots	गोथ
vaca	गाय
sebastián	सेबेस्टियन
ciment	सीमेंट
cadira	कुर्सी
transbordador	फेरी
transbordador	फैरी
làser	लेसर
làser	लेज़र
claudio	क्लाउडियो
progressiva	प्रगतिशील
quaderns	नोटबुक
libro	लिब्रो
adhesió	सदस्यता
fum	धुआं
fum	धुआँ
fum	धुँआ
niu	घोसला
niu	घोंसला
equivalents	समतुल्यता
masters	मास्टर्स
wallace	वालेस
amos	अमोस
amos	मास्टर्स
peó	गिरवी
peó	साहूकार
comissionat	आयुक्त
comissionat	कमिश्नर
dotzena	बारहवीं
mon	मोन
mon	सोम
erosió	अपरदन
verona	वेरोना
sabor	फ्लेवर
sabor	स्वाद
sabor	फ्लेवर
civilitzacions	सभ्यताओं
hugh	ह्यूज
lara	लारा
simpson	सिम्पसन
implementació	कार्यान्वयन
implementació	क्रियान्वयन
robinson	रॉबिन्सन
cabells	बालों
cabells	हेयर
cabells	बाल
bemoll	फ्लैट
bemoll	सपाट
bemoll	समतल
bemoll	चपटा
arturo	arturo
divuit	अट्ठारह
divuit	अठारह
bobby	बॉबी
bobby	bobby
consonant	अनुरूप
revelació	श्रुति
revelació	रहस्योद्घाटन
estrasburg	स्ट्रासबर्ग
hort	बाग़
inventar	इफ़तेरा
raúl	राउल
adolfo	एडोल्फो
volant	उड़न
volant	भिंड
volant	उड़ती
sostingut	शार्प
bakr	बकर
oceans	महासागर
otan	नाटो
denominacions	designations
honda	होंडा
pastures	चरागाहों
empat	टाई
desena	दसवाँ
aguda	अधि
compatible	संगत
pastors	गड़रिये
telecomunicacions	दूरसंचार
morris	मॉरिस
side	पार्श्व
side	तरफ
side	पक्ष
consentiment	सहमति
paradís	जन्नत
paradís	स्वर्ग
caserna	बैरकों
presentant	पेश
múltiple	मल्टीपल
múltiple	बहुमुखी
múltiple	बहु
múltiple	अनेक
laos	लाओस
kara	kara
kara	कारा
respectius	संबंधित
fires	मेलों
cristall	क्रिस्टल
musa	मूसा
musa	चिंतन
transparent	पारदर्शी
olimpíada	ओलंपियाड
martiri	शहादत
acusacions	आरोपों
potassi	पोटेशियम
potassi	पोटैशियम
espiral	सर्पिल
feminista	feminist
einstein	आइंस्टीन
bitllets	टिकट
bitllets	टिकटें
companya	साथी
escolta	सुनें
escolta	सुनो
warren	वॉरेन
warren	वारेन
forçat	मजबूर
quars	स्फटिक
quars	क्वार्ट्ज
quentin	क्वेंटिन
garantia	वारंटी
garantia	गारंटी
eficient	कुशल
trilogia	त्रयी
tonalitat	वर्ण
destacable	उल्लेखनीय
electrodomèstics	उपकरण
consecutives	लगातार
forjat	इफ़तेरा
palerm	पलेर्मो
mòduls	मॉड्यूल्स
mòduls	मॉड्यूल
mòduls	मौड्यूल
publ	publ
sorprenent	आश्चर्यजनक
arrebossat	बैटर
pedrera	खदान
pedrera	पाषाण
nenes	लड़कियां
nenes	लड़कियाँ
nenes	girls
nenes	लड़कियों
xbox	एक्सबॉक्स
gaudeix	आनंद
correus	ईमेल
llenç	कैनवस
llenç	कैनवास
atòmica	परमाणु
compliment	अनुपालन
vladimir	व्लादिमीर
adolescent	किशोरावस्था
mònaco	मोनाको
estalvis	बचत
vie	vie
firma	हस्ताक्षर
diversa	विविध
conversa	वार्तालाप
somnis	सपने
somnis	सपनो
castilla	कास्तिया
yusuf	यूसुफ
bari	बेरियम
bari	bari
bari	बारी
estratègies	रणनीति
adaptacions	adaptations
homo	होमो
margarita	मार्गरिटा
minories	अल्पसंख्यक
minories	अल्पसंख्यकों
esprint	स्प्रिंट
conducció	ड्राइविंग
xocolata	चाकलेट
xocolata	चॉकलेट
disposicions	प्रावधान
disposicions	प्रावधानों
rèptils	सरीसृपों
edita	संपादन
