prošnje	คำขอ
dobiček	กำไร
dobiček	กำไร
upad	ปฏิเสธ
interwiki	interwiki
cen	ราคา
alg	สาหร่าย
xxi	xxi
sabina	sabina
vladni	ราชการ
vladni	รัฐบาล
stand	ยืน
stand	stand
stand	ทน
ten	ten
ten	สิบ
vodovod	ประปา
prehiteti	คร่า
oster	ชาร์ป
oster	คม
živine	ปศุสัตว์
daj	มอบ
daj	ให้
nemirov	จลาจล
wulf	wulf
ustvarjena	สร้าง
zaprto	ปิด
milo	milo
milo	ไมโล
milo	สบู่
dokumentacijo	เอกสาร
strelci	ธนู
hlače	กางเกง
hlače	กางเกง
logiko	ตรรก
logiko	ตรรกศาสตร์
logiko	เหตุผล
nacistični	นาซี
pokrit	ครอบคลุม
pokrit	ปกคลุม
leftarm	leftarm
skalo	rock
skalo	ร็อค
skalo	โยก
skalo	หิน
nocat	nocat
platno	canvas
platno	ผ้าใบ
gale	เกล
praznovanje	เทศกาล
praznovanje	ฉลอง
praznovanje	ฉลอง
praznovanje	ฉลอง
univerzalni	universal
univerzalni	สากล
prebivališče	ที่พัก
coxeter	coxeter
uvajanje	บทนำ
zvonovi	ระฆัง
zvonovi	กระดิ่ง
faz	phases
corte	corte
debel	หนา
debel	หนาๆ
debel	อ้วน
debel	อ้วนๆ
narisal	วาด
narisal	ดรูว์
narisal	ดรูว
soul	วิญญาณ
množenje	คูณ
vihar	พายุ
nasvet	ทิป
podzemni	ใต้ดิน
strojne	ฮาร์ดแวร์
salomon	โซโลมอน
regionalna	ภูมิภาค
strupenih	พิษ
slon	ช้าง
travo	กระถาง
travo	หม้อ
travo	กัญชา
travo	หญ้า
travo	วัชพืช
travo	กัญชา
sandi	sandi
zbudi	ปลุก
psihično	กายสิทธิ์
hawks	hawks
odrasla	โต
nepomuk	nepomuk
maska	หน้ากาก
vlage	ความชื้น
ploščad	แพลตฟอร์ม
lokomotive	locomotives
milje	ไมลส์
milje	ไมล์
izvirnik	ต้นฉบับ
izvirnik	ดั้งเดิม
izvirnik	เดิม
geni	ยีน
poražen	พ่าย
jajce	ไข่
plaketo	จุลินทรีย์
nafta	น้ำมัน
stanisław	stanisław
grobnici	ป่าช้า
seven	seven
seven	เจ็ด
peruja	เป
peruja	เปรู
peruja	เปเป
cepljenje	วัคซีน
cassini	cassini
pohištva	เฟอร์นิเจอร์
kubičnih	ลูกบาศก์
zhang	จาง
eds	eds
brooke	บรู๊ค
belgijo	เบลเยียม
belgijo	เบลเยี่ยม
vrstic	แถว
vrstic	เส้น
vrstic	บรรทัด
extra	พิเศษ
mail	จดหมาย
bakterija	แบคทีเรีย
čilu	ชิลี
slana	เค็ม
demokratično	ประชาธิปไตย
varen	เซฟ
varen	ปลอดภัย
riemannova	riemann
svetla	สดใส
svetla	สว่าง
grafike	กราฟิก
žaga	เห็น
slovarja	พจนานุกรม
slovarja	พ้อง
organih	อวัยวะ
apl	apl
libanon	เลบานอน
prilagoditve	ดัดแปลง
prilagoditve	adaptations
lobanje	กะโหลก
lobanje	กะโหลก
juana	ควน
juana	ฮวน
prodan	ขาย
musculus	musculus
palček	เอลฟ์
palček	แคระ
sedlo	อาน
etnično	ชาติพันธุ์
cliff	หน้าผา
glasnik	messenger
temperatur	อุณหภูมิ
človeštvo	มนุษยชาติ
človeštvo	มนุษยธรรม
mravlje	มด
lom	หล่ม
lom	lom
ukrep	วัด
ukrep	สัดส่วน
mozaik	โมเสก
sovraštvo	เกลียด
šok	ช็อค
šok	ช๊อค
šok	ช็อก
šok	ช็อต
prijateljski	มิตร
six	หก
six	six
zdravnica	ดอกเตอร์
zdravnica	หมอ
zdravnica	แพทย์
ded	ปู่
ded	ปู่
istra	istria
rain	เรน
rain	ฝน
mainz	mainz
rezervoar	แท็งค์
rezervoar	ถัง
avtomobile	รถยนต์
avtomobile	รถ
xxx	xxx
debeli	อ้วน
debeli	อ้วนๆ
snl	snl
motogp	motogp
barvno	สี
barvno	สีสัน
cloud	เมฆ
kupi	ซื้อ
kupi	เลี้ยง
vjačeslav	vyacheslav
zahtevna	ท้าทาย
cvetni	floral
len	len
len	เลน
senci	shadow
senci	เงา
intelektualno	ปัญญา
targa	targa
als	als
manuela	manuela
pokopana	ฝัง
kristjane	คริสเตียน
postavo	physique
generali	ขุนพล
dublin	ดับลิน
vetru	สายลม
vetru	ลม
vietnamski	เวียดนาม
promocije	โปรโมท
promocije	โปรโมชัน
delodajalec	นายจ้าง
delodajalec	นายจ้าง
mimi	mimi
podpisana	เซ็น
neue	neue
knjižničar	บรรณารักษ์
chelsea	chelsea
odpadke	เปลือง
hidratov	แป้ง
dneve	วัน
karol	karol
kmete	เกษตรกร
kmete	กสิกร
kmete	ชาวไร่
porenje	rhineland
pomnilnik	memory
rokavice	ถุงมือ
majcen	จิ๋ว
cap	หมวก
cap	cap
rijeka	rijeka
žoge	ลูกบอล
stabilno	เสถียรภาพ
stabilno	มั่นคง
tržišče	ตลาด
kritične	วิกฤติ
kritične	วิกฤต
organizacijami	องค์กร
kač	งู
accessdate	accessdate
gume	ยาง
gume	ยาง
