மற்றும்	och
ஒரு	en
ஒரு	ett
ஒரு	one
இந்த	denna
இந்த	detta
இந்த	dessa
ஆம்	ja
இது	denna
இது	detta
மக்கள்	folkens
மக்கள்	folkslag
மக்கள்	människor
மக்கள்	personer
மக்கள்	folk
மக்கள்	people
என்ற	de
என்ற	den
என்ற	härledda
என்ற	härrör
என்ற	härleds
ஆண்டு	year
ஆண்டு	årsmodell
ஆண்டு	året
ஆண்டு	år
என்று	att
தமிழ்	tamilska
இந்திய	indiska
இந்திய	indier
இந்திய	indisk
இந்திய	indiskt
இந்திய	indian
இருந்து	från
பல	många
பல	multipla
பல	flera
பல	multipel
பல	flertal
முதல்	från
முதல்	först
முதல்	första
மேலும்	mera
மேலும்	more
மேலும்	fler
மேலும்	mer
தொகை	belopp
தொகை	mängd
சில	få
சில	fåtal
சில	några
சில	vissa
சில	somliga
உள்ளது	tillgänglig
உள்ளது	tillgängligt
உள்ளது	tillgängliga
உள்ளது	existerar
அவர்	honom
அவர்	hennes
அவர்	her
அவர்	henne
இருக்கும்	befintligt
இருக்கும்	befintlig
இருக்கும்	befintliga
இருக்கும்	existerande
வெளி	entreprenad
வெளி	outsourcing
வெளி	extern
வெளி	externt
வெளி	yttre
வெளி	externa
வெளி	mellanslag
வெளி	rymd
வெளி	rymden
வெளி	utrymme
அமைந்துள்ளது	ligger
அமைந்துள்ளது	lokaliserad
அமைந்துள்ளது	belägen
அமைந்துள்ளது	lokaliserat
மூலம்	källa
மூலம்	ursprungliga
மூலம்	ursprungligt
மூலம்	originellt
மூலம்	original
மூலம்	ursprunglig
கொண்ட	innehöll
கொண்ட	inneslutna
கொண்ட	innesluten
வரை	dra
வரை	draw
வரை	dragning
வரை	rita
வரை	tills
பின்னர்	sedan
பின்னர்	sen
பின்னர்	då
பின்னர்	senare
ஆனால்	men
வேண்டும்	behov
வேண்டும்	behöver
வேண்டும்	want
வேண்டும்	vill
வேண்டும்	bör
வேண்டும்	ska
வேண்டும்	borde
கொண்டு	med
பட்டியல்	spellistan
பட்டியல்	spellista
பட்டியல்	förteckning
பட்டியல்	list
பட்டியல்	lista
அமைந்துள்ள	ligger
அமைந்துள்ள	lokaliserad
அமைந்துள்ள	belägen
அமைந்துள்ள	lokaliserat
அதன்	its
அதன்	dess
பெண்கள்	kvinnor
பெண்கள்	honor
பெண்கள்	girls
பெண்கள்	tjejer
பெண்கள்	flickor
பெண்கள்	kvinnor
கொண்டுள்ளது	har
கொண்டுள்ளது	innehåller
போது	under
போது	när
இணைப்புகள்	anslutningar
இணைப்புகள்	förbindelser
இணைப்புகள்	kopplingar
இணைப்புகள்	fästen
இணைப்புகள்	bilagor
இணைப்புகள்	anknyter
இணைப்புகள்	länkar
இரண்டு	två
தகவல்	info
தகவல்	upplysningar
தகவல்	information
தகவல்	uppgifter
தகவல்	budskap
தகவல்	meddelande
மாவட்ட	distriktet
மாவட்ட	valdistrikt
மாவட்ட	distrikt
மொத்த	totalt
மொத்த	sammanlagt
மொத்த	total
மொத்த	totala
மொத்த	summa
வளர்ச்சி	utvecklingen
வளர்ச்சி	utveckling
வளர்ச்சி	tillväxten
வளர்ச்சி	tillväxt
மாவட்டம்	distriktet
மாவட்டம்	valdistrikt
மாவட்டம்	distrikt
அந்த	att
மிகவும்	mycket
திட்டம்	projekt
திட்டம்	project
திட்டம்	projicera
திட்டம்	projektet
திட்டம்	projektets
திட்டம்	planerar
திட்டம்	planen
திட்டம்	plan
திட்டம்	planera
தேசிய	nationella
தேசிய	national
தேசிய	nationellt
தேசிய	nationell
இலங்கை	ceylon
இங்கு	här
கி	kyi
அமெரிக்க	american
அமெரிக்க	amerikan
அமெரிக்க	amerikanskt
அமெரிக்க	amerikansk
அமெரிக்க	amerikanska
அடிப்படை	basis
அடிப்படை	grund
அடிப்படை	grundval
அடிப்படை	basera
அடிப்படை	base
அடிப்படை	bas
அடிப்படை	basen
அடிப்படை	grundläggande
அடிப்படை	basic
பெயர்	namnge
பெயர்	namn
பெயர்	name
பெயர்	etikett
பெயர்	beteckning
மூன்று	tre
மூன்று	three
ஆண்கள்	hanarna
ஆண்கள்	män
ஆண்கள்	hanar
ஆண்கள்	karlar
ஆண்கள்	män
ஆண்கள்	manskap
ஆண்கள்	mens
ஒன்று	samlas
ஒன்று	samla
ஒன்று	antingen
ஒன்று	endera
ஒன்று	en
ஒன்று	ett
ஒன்று	one
ஐக்கிய	förenade
ஐக்கிய	united
ஐக்கிய	enad
ஐக்கிய	enade
புதிய	ny
