katastroofi	desastre
muusikal	musical
nigeri	niger
nigeri	níger
rick	rick
poom	boom
astronaut	astronauta
unenägu	somia
unenägu	somiar
unenägu	somni
suundumused	tendències
herakles	hèrcules
herakles	hercule
aspekte	aspectes
vastastikku	mútuament
mässulised	insurgents
andersen	andersen
firmad	corporacions
firmad	empreses
firmad	companyies
michelangelo	michelangelo
võti	tecla
võti	clau
kliiniline	clínic
väljatöötamine	desenvolupant
välised	externs
välised	extern
välised	externa
tuttav	familiar
tuttav	conegut
baltimore	baltimore
päevik	journal
päevik	diari
päevik	diari
platvorm	plataforma
paradigma	paradigma
nähtavad	visible
nähtavad	visibles
emilia	emilia
emilia	emília
metallica	metallica
pidu	party
pidu	partit
pidu	festa
meeleolu	humor
sata	sata
sidus	coherent
alternatiiv	alternatiu
alternatiiv	alternativa
alternatiiv	suplent
alternatiiv	alternatiu
hiv	vih
tarn	tarn
disainitud	dissenyada
disainitud	dissenyat
geneetika	genètica
gov	gov
adolph	adolph
ingel	angel
ingel	àngel
kohane	apropiat
kohane	correspongui
enrico	enrico
cfg	cfg
vangistatud	empresonat
vangistatud	capturats
vangistatud	captades
vangistatud	capturat
vaatas	mirava
vaatas	vigilat
akna	finestra
meelega	deliberadament
samsung	samsung
clemente	clemente
variandid	variants
hüüdnime	sobrenom
pühak	saint
craig	craig
honda	honda
florence	florence
florence	florència
reporter	reporter
geoloogiline	geològiques
geoloogiline	geològics
hampshire	hampshire
jutud	històries
jutud	relats
atmosfäär	atmosfera
lahinguid	batalles
sissetulek	ingrés
sissetulek	ingressos
ületanud	excedit
lame	plànols
lame	bemoll
lame	plana
elena	elena
augustin	augustin
võrgus	online
hunter	caçador
hunter	hunter
nõutud	requerit
nõutud	requerida
nõutud	requerits
moodul	mòdul
han	han
chapelle	chapelle
täide	polls
sauna	sauna
ameeriklane	american
ameeriklane	americà
hinnad	preus
diktaator	dictador
meta	meta
lane	carril
ragnar	ragnar
canterbury	canterbury
kulu	cost
kulu	despesa
ettepanekuid	propostes
tagajärg	conseqüència
julge	negreta
julge	valenta
julge	atrevit
julge	atrevida
tasane	plànols
tasane	bemoll
tasane	plana
mune	ous
konkreetsete	específics
konkreetsete	específic
olli	olli
voyager	voyager
jõulud	nadal
plus	plus
baltica	baltica
nõbu	prima
nõbu	cosí
nõbu	cosina
nõbu	cuz
klaviatuuri	teclat
ökosüsteemi	ecosistema
aurora	aurora
stanislav	stanislav
spencer	spencer
kõneleja	altaveu
kõneleja	parlador
terminoloogia	terminologia
nokk	bec
hirv	cérvol
jefferson	jefferson
tunnel	túnel
mahajäetud	abandonat
kiired	raigs
bagdadi	bagdad
leib	pa
lendavad	volant
isabel	isabel
edvard	edvard
secret	secret
laagris	campament
laagris	camp
snake	serp
avaldus	declaració
kontor	despatx
kontor	office
kontor	oficina
oskus	destresa
oskus	habilitat
aldo	aldo
väljendus	expressió
kattis	cobert
kattis	cobertes
kahur	canó
esitus	presentació
esitus	actuacions
paas	dejuni
tervist	sanitat
tervist	salut
toodang	producció
dante	dante
bordeaux	bordeus
nuku	nina
nuku	doll
nuku	ninot
õigustada	justifiquen
õigustada	justifiqui
õigustada	justifiquin
õigustada	justificar
õigustada	justifica
kaar	arc
kaar	arch
skp	pib
autod	cars
autod	cotxes
autod	automòbils
oranž	orange
oranž	taronja
ideaalne	perfecte
ideaalne	perfecta
ideaalne	ideals
ideaalne	ideal
leedulased	lituans
ani	ani
serv	vora
serv	edge
muster	patró
castle	castell
identiteet	identitat
zhang	zhang
geoffrey	geoffrey
zhou	zhou
ainulaadne	úniques
ainulaadne	únic
algataja	iniciador
sissetung	invasió
sissetung	intrusió
avastamise	detecció
altari	altar
magneesiumi	magnesi
mona	mona
grey	gris
grey	grey
teresa	teresa
luca	luca
oskused	aptituds
oskused	habilitats
oskused	competències
oskused	destresa
oskused	habilitat
solomon	salomó
solomon	solomon
intervall	interval
oklahoma	oklahoma
leopard	lleopard
osaka	osaka
rikkumise	infracció
vastused	respostes
vastused	respostes
vastused	respostes
tundeid	sentiments
hannah	hannah
trotski	trotski
põhjavee	subterrànies
järjekord	cua
järjekord	orde
järjekord	ordre
motoriseeritud	motoritzada
franklini	franklin
karistus	sanció
karistus	penalització
karistus	pena
karistus	càstig
montgomery	montbui
montgomery	montgomery
eripära	especificitats
ilmnes	manifestada
kuulnud	escoltat
aspekt	faceta
aspekt	aspecte
benedict	benedict
filter	filtre
lindi	cinta
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	pan
reguleeritud	regulat
lendu	vol
augsburgi	augsburg
stephan	stephan
abstraktne	abstracte
plaanitud	planificat
plaanitud	planejat
valle	valle
puudused	deficiències
puudused	deficiències
puudused	mancances
todd	todd
olympic	olympic
olympic	olímpic
wilde	wilde
leiba	pa
kontserdid	concerts
newcastle	newcastle
volinik	comissionat
volinik	comissari
pioneer	pioneer
ravenna	ravenna
arendus	desenvolupament
raskused	dificultat
raskused	dificultats
sotsialismi	socialisme
grupid	grups
nael	deté
nürnbergi	nuremberg
eraldunud	unifamiliar
veerand	trimestre
püssi	fusell
püssi	rifle
konstrueeritud	construïts
anglikaani	anglicà
mix	barreja
vari	ombra
vari	shadow
grete	grete
derek	derek
vesinik	hidrogen
usd	usd
reed	reed
motiiv	característica
björn	bjorn
björn	björn
adobe	adobe
positiivselt	positivament
oswald	oswald
galileo	galileu
liigne	excessiva
liigne	excessiu
kuuli	bala
evelyn	evelyn
serblased	serbis
nahka	pell
hõim	tribu
haydn	haydn
tiiger	tiger
tiiger	tigre
rostovi	rostov
sood	pantans
bahreini	bahrain
vega	vega
küljed	costats
winkler	winkler
nõude	reivindicació
nõude	reclamació
võimed	habilitats
võimed	atribucions
võimed	competències
võimed	poders
küllastunud	saturats
kile	film
mägismaa	highlands
cohen	cohen
oodatud	esperada
oodatud	esperats
kartis	temia
marilyn	marilyn
osake	partícula
sara	sara
zeus	zeus
energeetika	energia
act	acte
act	act
häda	calamitat
parandab	corregeix
chang	chang
horst	horst
walt	walt
harmoonia	harmony
harmoonia	harmonia
harmoonia	harmònics
suhtumist	actituds
mahler	mahler
muld	sòl
muld	sòls
pinged	tensió
pinged	tensions
kontroller	controlador
bock	bock
arve	bill
arve	factura
tõstetud	plantejat
austin	austin
klassid	classes
laser	laser
laser	làser
varese	varese
jessica	jessica
hardcore	hardcore
informaatika	computació
laienemine	expansió
marguerite	marguerite
delegatsioon	delegació
col	col
molotovi	molotov
õiglus	justicia
õiglus	justícia
deutschland	deutschland
kolooniad	colònies
ülalt	top
