историографии	историографија
водорода	хидроген
шотландский	шкотски
охоты	лов
охоты	ловење
образы	images
образы	слики
вон	вон
домашние	домашно
дэн	дан
дэн	денг
приборы	инструменти
квартиру	рамен
квартиру	рамно
квартиру	дур
квартиру	рамни
квартиру	рамна
арест	апсење
рисунки	слики
рисунки	цртежи
заказ	ред
заказ	наредба
заказ	нарачка
заказ	редослед
павлов	павлов
социальный	социјална
социальный	социјално
социальный	општествени
обсуждается	дискутира
красноярск	краснојарск
выразил	искажано
выразил	изрази
выразил	изразено
выразил	изразена
выразил	изразил
реальность	реалност
реальность	стварност
реальность	реалноста
хасан	хасан
хасан	хасан
намерения	намери
намерения	намерите
намерения	намера
намерения	намери
намерения	намерата
гонсалес	гонзалес
гонсалес	гонзалез
гонсалес	гонзалес
гонсалес	гонзалес
гонсалес	гонзалез
хоп	дн
юлий	џулиус
юлий	јулие
мок	мок
арбитр	арбитер
арбитр	судија
арбитр	судијата
арбитр	арбитер
свадьба	венчавка
свадьба	свадба
журналистики	новинарство
преобразование	претворање
преобразование	конверзија
преобразование	трансформации
преобразование	трансформација
преобразование	преобразба
преобразование	преобрази
преобразование	трансформираат
преобразование	трансформација
преобразование	трансформира
преобразование	трансформирање
ученый	научникот
ученый	научник
театры	театри
содружества	комонвелтот
гитары	гитара
гитары	гитари
неба	sky
неба	небо
политехнический	политехничкиот
закрыто	затвори
закрыто	затворен
закрыто	затворена
закрыто	затворени
закрыто	затворено
мельница	ветерница
механик	механичар
склад	складиштето
склад	магацин
склад	складиште
склад	магацин
склад	складирање
склад	складиште
публично	јавно
джейсон	џејсон
чрезвычайный	вонредна
чрезвычайный	извонредно
чрезвычайный	извонреден
критическое	критичен
критическое	критично
критическое	критична
критическое	критични
используемые	искористен
используемые	користени
используемые	користена
используемые	искористена
используемые	користен
прощения	простување
прощения	прошка
райан	рајан
хлеб	леб
ближайшее	најблиску
ближайшее	најблискиот
ближайшее	најблиска
сады	овоштарниците
сады	градини
слоя	обвивка
слоя	слој
движок	моторот
движок	мотор
девочки	девојчиња
девочки	девојки
освободить	ослободи
освободить	ослободување
гипотезы	хипотези
середина	средината
медицинская	медицински
логично	логично
логично	логички
логично	логично
логично	логички
логично	логичка
выпускников	апсолвент
выпускников	алумни
выпускников	матуранти
выпускников	дипломци
жаль	сожалување
жаль	жално
месяцы	месеци
стремится	бара
индонезия	индонезиски
индонезия	индонезија
дизайнер	дизајнер
стол	табела
стол	маса
стол	биро
луиджи	луиџи
исчезли	исчезнал
исчезли	исчезна
могилы	гробници
могилы	гробови
могилы	гроба
томми	томи
королевская	кралско
королевская	кралска
королевская	ројал
королевская	royal
королевская	кралски
способствовало	придонесоа
чан	ченг
чан	чан
чан	чен
улицах	улици
казнь	извршување
казнь	извршувањето
казнь	егзекуција
казнь	погубување
морис	морис
убедить	убедува
убедить	убеди
убедить	убеди
технику	техника
частного	приватно
частного	приватен
частного	приватна
частного	приватни
оригинальные	оригинал
цветы	цвеќе
цветы	цвеќиња
цветы	цветови
рыцарь	најт
рыцарь	витез
прокат	изнајмување
прокат	кирија
прокат	изнајмување
прокат	наем
литве	литванија
родригес	родригес
родригес	родригез
родригес	родригес
родригес	родригез
дам	браната
дам	брана
наблюдать	набљудувај
кама	кама
печатных	печатени
северное	северен
северное	северна
ценностей	вредности
квадратный	квадратен
квадратный	плоштад
квадратный	квадрат
малайзии	малезија
малайзии	малезиски
одежда	облека
одежда	алишта
одежда	облека
промышленные	индустриски
промышленные	индустриско
промышленные	индустриска
тяжёлая	тешка
тяжёлая	тежок
тяжёлая	тешки
тяжёлая	тешкото
мкс	ивз
оппонентов	противниците
оппонентов	противници
оппонентов	опоненти
вдова	вдовица
грибы	печурки
грибы	печурка
идеологии	идеологија
идеологии	идеологии
разрешить	одобрил
разрешить	дозволи
разрешить	дозвола
барбара	барбара
признали	признаен
признали	призната
признали	признаена
признали	признат
признали	препознаен
признали	препознаат
признали	призната
признали	признат
признали	препознаен
верфи	бродоградилиштето
законодательство	легислатива
законодательство	легислативата
законодательство	законодавство
ксения	ксенија
ганс	ханс
сзади	позади
сзади	зад
сзади	задна
сзади	заден
иллинойс	илиноис
тон	ton
тон	тон
тон	тон
планете	планет
планете	планета
