年	taon
月	buwan
月	moon
月	buwan
月	months
月	buwan
日	araw
和	at
村	nayon
人	lalaking
人	lalaki
人	man
人	tao
小行星	asteroids
小行星	asteroid
大	big
大	malaking
大	malaki
德	tak
重	mabigat
一	isa
一	one
定向	oryentasyon
定向	orientation
定向	directional
但	ngunit
但	pero
也	rin
也	din
拉	hilahin
留言	mensahe
留言	message
市	lungsod
市	siyudad
市	city
市	munisipalidad
市	munisipyo
新	new
新	bago
新	bagong
站	estasyon
站	station
站	istasyon
站	tumayo
站	stand
州	state
州	estado
研究	aral
研究	araling
研究	aral
研究	pananaliksik
研究	pagsisiyasat
研究	research
日本	japan
日本	hapon
三	tatlong
三	tatlo
前	noon
前	dati
前	bago
家	tahanan
家	bahay
家	makauwi
近	malapit
米	palay
米	rice
米	kanin
米	bigas
多	pa
多	pang
使用	paggamit
使用	paggamit
使用	gamitin
使用	ginamit
使用	nagamit
使用	ginagamit
基	kei
王	king
王	hari
王	haring
王	wang
林	lam
林	lin
公司	corporate
公司	korporasyon
公司	kumpanya
公司	kompanya
公司	kumpanya
公司	kompanya
李	lee
一個	isa
一個	one
西	west
西	kanluran
省	probinsya
省	province
省	probinsiya
省	lalawigan
省	voivodeship
度	degrees
度	degree
度	antas
卡	baraha
卡	card
二	dalawang
二	dalawa
二	two
小	liit
小	maliit
小	kaunti
小	maliit
小	tiny
相似	kapareho
相似	magkatulad
相似	katulad
相似	pagkakahawig
相似	pagkakatulad
區	zone
區	distrito
區	lugar
區	area
區	lawak
人口	demograpiko
人口	demograpiko
人口	populasyong
人口	populasyon
四	apat
政府	pamahalaan
政府	gobyerno
道	dao
高	high
高	mataas
高	tangkad
高	matangkad
高	gao
美國	amerika
美國	america
集	set
集	itakda
集	episode
台灣	taiwan
布	tela
世界	mundo
南	nan
南	timog
南	nam
路	daan
五	limang
五	lima
五	singko
本	ben
金	jin
金	ginto
金	gold
金	kim
曾	zeng
文	wen
林肯	lincoln
人民	tao
包括	kasama
包括	nasama
包括	magsama
包括	isama
包括	kasama
包括	nagsasama
位於	matatagpuan
其他	iba
塔	pagoda
塔	tore
塔	tower
塔	toreng
縣	county
縣	kondado
縣	pancit
第一	unang
第一	muna
任	ren
時間	panahon
時間	oras
時間	time
比	ratio
元	meta
元	yuan
元	dolyar
元	nanalo
元	panalo
中國	tsina
中國	china
六	anim
主要	major
主要	pangunahing
主要	pangunahin
城	lungsod
城	siyudad
城	city
城	mangarap
城	kastilyo
法	paraan
中心	centers
中心	center
中心	sentro
中心	sentro
中心	centre
線	linyang
線	linya
線	line
線	lines
線	sinulid
線	thread
第二	pangalawa
山	bundok
山	bundok
山	burol
山	bundok
加	magdagdag
加	add
加	idagdag
加	plus
太空	space
太空	kalawakan
太空	puwang
太空	espasyo
張	chang
張	zhang
內	natatagong
主	lord
主	panginoon
雷	sinag
雷	ray
管理	management
管理	pamamahala
管理	tagapamahala
管理	pamahalaan
成為	maging
建	bumuo
建	magtayo
建	nakapaloob
建	binuo
性	sexuality
性	sekswal
性	pakikipagtalik
性	sex
成	sung
代表	kinatawan
那	then
那	pagkatapos
公里	kilometres
公里	kilometro
海	dagat
海	karagatan
這	ito
這	nito
大學	unibersidad
大學	university
大學	unibersidad
大學	pamantasan
大學	college
大學	kolehiyo
版	edition
版	edisyon
版	bersyon
版	bersiyon
從	mula
羅	lo
原	orihinal
原	hara
工作	trabaho
工作	job
工作	trabaho
工作	magtrabaho
工作	work
工作	working
工作	pagtatrabaho
工作	gumagana
工作	nagtatrabaho
北	kita
北	north
北	hilagang
北	hilaga
政治	politika
政治	pulitika
政治	pulitikal
政治	politikal
政治	pampulitika
星	bituin
星	star
星	stars
陳	chen
陳	chan
陳	trần
他的	kanyang
面	pansit
面	pancit
作品	gumagana
河	ilog
文化	kultura
文化	nok
條目	entries
馬	kabayo
馬	kabayo
氏	angkan
氏	clan
氏	kapisanan
氏	thi
更	pa
更	pang
曼	mann
電影	pelikula
電影	sine
電影	movie
電影	sinehan
電影	cinema
電影	movies
季	panahon
龍	dragons
龍	baga
龍	dragon
女	babae
女	babae
女	female
正式	formally
正式	officially
正式	opisyal
正式	pormal
外	labas
明	ming
美	ganda
美	maganda
美	pampaganda
美	beauty
美	kagandahan
字	salitang
字	salita
字	salita
因為	kc
因為	kasi
因為	dahil
北京	beijing
北京	peking
不同	ibang
足球	soccer
足球	football
目前	current
目前	kasalukuyan
目前	kasalukuyang
目前	kasalukuyang
所有	all
所有	puro
所有	lahat
部分	partial
部分	bahagyang
中央	central
中央	gitnang
森	sen
森	mori
郡	county
郡	kondado
國家	states
國家	estado
國家	unidos
國家	bansa
國家	makabayan
國家	state
國家	estado
國家	national
國家	pambansa
國家	pambansang
國家	nasyonal
國家	bansang
球	bola
生	raw
生	hilaw
但是	ngunit
但是	pero
街	kalye
提供	ibinigay
提供	ibigay
城市	lungsod
城市	siyudad
城市	city
城市	lungsod
一些	ilang
一些	ilan
長	mahaba
長	matagal
長	haba
水	tubig
軍	hukbo
軍	army
加入	sumali
加入	sasali
加入	sali
加入	sumali
加入	nakasali
加入	accession
英	ying
上海	shanghai
史	shi
第三	ikatlong
第三	pangatlo
屬	genus
魚	isda
波	alon
回	likod
回	bumalik
回	balikan
回	balik
無	wala
吉	kat
你	ikaw
你	ka
你	mo
方	fang
話	dialect
東	silangan
東	east
東	dong
英國	inglatera
英國	england
周	linggo
周	lingguhan
周	lingo
周	linggo
周	chow
石	shi
石	bato
事件	insidente
事件	pangyayari
事件	kaganapan
事件	event
建立	paglikha
建立	paggawa
建立	creation
建立	gusali
建立	pagtatatag
建立	bumuo
建立	magtayo
生活	buhay
生活	tinitirahan
生活	pamumuhay
生活	buhay
派	pie
教育	educational
教育	edukasyon
車站	estasyon
車站	station
車站	istasyon
萬	wan
國際	internasyonal
國際	international
國際	internasyunal
國際	pandaigdig
獎	parangal
獎	awards
獎	prize
獎	premyo
獎	award
完成	tapos
完成	tapusin
完成	done
完成	complete
完成	kumpletuhin
完成	kompleto
完成	kumpleto
白	maputi
白	puti
白	bai
音樂	sinauna
音樂	tugtog
音樂	musika
音樂	tugtugin
音樂	music
音樂	musikal
音樂	musical
沙	sha
沙	buhangin
沙	sand
沙	shah
他們	sila
他們	nila
可能	maaari
可能	posible
可能	possible
可能	maari
可能	posibleng
分布	pamamahagi
分布	ipinamamahagi
地區	distrito
地區	lugar
地區	area
地區	lawak
車	kotse
車	sasakyan
車	kotse
官	opisyal
梅	mayo
梅	maaaring
梅	mei
中文	intsik
中文	tsino
中文	chinese
自由	kalayaan
自由	liberty
自由	kalayaan
自由	libreng
自由	free
自由	libre
自由	malaya
黃	wong
黃	hwang
黃	huang
黃	dilaw
黃	yellow
獲得	makuha
獲得	makakuha
獲得	kunin
獲得	kumuha
光	liwanag
光	magaan
光	ilaw
光	hikari
重要	kahalagahan
重要	kahalaga
重要	mahalaga
工程	inhinyeriyang
工程	engineering
工程	gumagana
港	harbor
港	daungan
港	daungan
港	harbour
列	hanay
列	haligi
最後	huling
最後	huli
最後	last
提交	isinumite
提交	pagsusumite
提交	magsumite
提交	isinumite
提交	isinusumite
一般	kadalasan
經	sutra
需要	need
需要	kailangan
需要	kailangan
需要	pangangailangan
江	ilog
江	jiang
臺灣	taiwan
臺灣	taiwanese
最佳	sulit
這個	ito
這個	nito
泰	tae
泰	tai
地方	lugar
地方	pook
地方	places
系列	serye
系列	series
電視	telebisyon
登	deng
黑	madilim
黑	maitim
黑	dilim
黑	itim
花	hana
花	bulaklak
花	bulaklak
神	god
神	diyos
遊戲	game
遊戲	laro
遊戲	games
最高	tuktok
最高	nangunguna
最高	itaas
最高	pinakamataas
最高	supreme
最高	kataas
要求	kinakailangan
要求	requirement
要求	kinakailangan
要求	requirements
要求	demands
要求	hilingin
要求	kahilingan
要求	hiling
要求	request
要求	humiling
要求	pangangailangan
要求	demand
要求	hiling
讓	jean
版本	bersyon
版本	bersiyon
版本	edisyon
版本	bersyon
發現	natagpuan
發現	nahanap
發現	nakita
發現	nakahanap
發現	tuklasin
發現	tumuklas
發現	matuklasan
發現	natuklasan
發現	pagtuklas
發現	pagkatuklas
語	wika
語	alangan
語	wikang
語	tausug
只有	lang
只有	lamang
內容	nilalaman
最大	max
華	hua
華	wah
製作	produksyon
製作	production
製作	productions
出生	ipinanganak
出生	pinanganak
出生	kapanganakan
朱	zhu
朱	joo
航空	panghimpapawid
航空	aviation
航空	aero
航空	airline
航空	airlines
航空	hangin
航空	himpapawid
數	count
數	bilangin
數	counting
數	nagbibilang
數	pagbibilang
數	bilang
出版	inilathala
出版	publish
出版	paglalathala
出版	publishing
出版	publikasyon
出版	publication
發展	development
發展	pagpapaunlad
發展	unlad
成功	matagumpay
成功	tagumpay
面積	lugar
面積	area
面積	lawak
堡	kuta
堡	kutang
堡	fort
系統	sistemang
系統	system
系統	sistema
系統	systems
系統	sistema
蘭	lan
劉	yoo
劉	liu
劉	lau
班	squad
冠軍	champ
冠軍	champion
冠軍	champions
問題	problema
問題	katanungan
問題	tanong
問題	katanungan
問題	tanong
康	kang
海拔	altitude
島	isla
島	pulo
島	island
島	pulo
方式	paraan
率	rate
名稱	pangalan
名稱	pong
官方	officially
官方	opisyal
愛	nagmahal
愛	love
愛	nagmamahal
得到	makuha
得到	makakuha
得到	kunin
得到	kumuha
平	flat
平	patag
平	ping
印度	india
街道	kalye
街道	kalye
存在	existence
存在	pagkakaroon
存在	presensya
存在	iral
存在	presence
存在	presensiya
刪除	tinanggal
刪除	natanggal
刪除	delete
刪除	pagtanggal
刪除	tinatanggal
刪除	pagtanggal
刪除	pagtatanggal
刪除	alisin
刪除	tanggalin
刪除	burahin
刪除	delete
設計	disenyo
設計	disenyo
設計	pagdisenyo
卡特	carter
群	grupo
群	pangkat
群	group
命名	ipangalan
負責	responsableng
負責	responsable
負責	pananagutan
服務	serbisyo
服務	magsilbi
服務	paglingkuran
服務	serve
服務	maglingkod
服務	naglilingkod
服務	serbisyo
服務	paglilingkod
機	makina
任何	any
列表	listahang
列表	listahan
唐	tang
唐	don
西班牙	espanya
西班牙	spain
頁	pahina
條	dawa
兩	dalawang
兩	dalawa
兩	two
當	kapag
當	kailan
超	ultra
超	super
丁	ding
夏	dinastiyang
著名	famous
著名	sikat
聖	santo
聖	santa
志	zhi
志	chi
梁	beam
梁	leung
梁	liang
專輯	album
專輯	album
專輯	albums
角色	tungkulin
角色	character
角色	characters
武	takeshi
赫	hyuk
半	kalahati
半	kalahating
半	half
成員	miyembro
成員	miyembro
成員	members
成員	kasapi
東京	tokyo
新聞	balita
新聞	news
現在	ngayon
劇	drama
後來	mamaya
女性	babae
女性	female
女性	kababaihan
高度	altitude
高度	taas
高度	height
男	male
男	lalaki
之前	noon
之前	dati
之前	bago
合作	collaboration
合作	pakikipagtulungan
合作	kolaborasyon
合作	pagtutulungan
合作	kooperasyon
合作	makipagtulungan
合作	magtulungan
門	gate
門	pinto
門	pintuan
門	pinto
卷	gumulong
卷	roll
位置	posisyon
位置	opinyon
位置	kinalalagyan
位置	lokasyon
活動	gawain
活動	aktibidades
活動	pangyayari
活動	kaganapan
活動	event
活動	gawain
活動	aktibidad
只	lang
只	lamang
歷史	kasaysayan
歷史	history
歌曲	kanta
歌曲	songs
歌曲	awitin
歌曲	kanta
歌曲	awit
點	tuldok
點	tuldok
點	dot
點	puntong
點	punto
點	point
一次	kapag
植物	halaman
植物	planta
植物	halaman
封	feng
封	seal
皮	leather
非常	napaka
而且	at
通常	kadalasan
形成	pagbabalangkas
形成	formation
比賽	game
比賽	laro
比賽	lahi
比賽	paligsahan
比賽	contest
聯賽	league
聯賽	liga
九	siyam
學校	paaralan
完全	lubos
完全	ganap
完全	totally
信	letra
信	letters
信	titik
信	sulat
信	liham
信	letter
期間	panahon
接受	acceptance
接受	pagtanggap
接受	tinanggap
接受	tanggapin
接受	accept
書	book
書	libro
書	aklat
書	libro
書	aklat
交通	transportasyon
交通	sasakyan
交通	traffic
