категорија	kategorya
година	taon
како	paano
како	pano
како	parang
како	like
како	gustuhin
што	anong
што	anu
што	anung
што	ano
дека	na
дека	yan
бил	kuwenta
бил	bill
бил	bayarin
кои	sino
кои	aling
кои	alin
или	alinman
или	either
кој	sino
тоа	na
тоа	yan
други	iba
која	aling
која	alin
има	has
била	ay
македонија	masedonya
додека	habang
кога	kapag
кога	kailan
страна	gilid
страна	tabi
страна	karamay
страна	tagiliran
дел	bahagi
дел	part
дел	parte
дел	del
дел	dell
околу	tungkol
околу	paligid
време	panahon
време	oras
време	time
век	siglo
век	century
под	ilalim
може	ma
може	pwede
може	maari
неговата	kanyang
еден	isa
еден	one
врски	ties
врски	links
исто	parehong
исто	same
надворешни	panlabas
повеќе	pa
повеќе	pang
податоци	datos
податоци	data
каде	saan
каде	asan
многу	napaka
многу	magkano
многу	marami
многу	madami
многу	lot
објекти	pasilidad
објекти	bagay
години	taon
календар	kalendaryo
сите	all
сите	puro
сите	lahat
сите	lahat
една	isa
една	one
меѓу	pagitan
било	any
пред	noon
пред	dati
пред	bago
ова	ito
ова	nito
јазик	dila
јазик	wika
јазик	alangan
јазик	wikang
јазик	tausug
само	lang
само	lamang
само	lng
само	nalang
само	basta
каталог	catalogue
каталог	katalogo
каталог	catalog
број	bilang
овој	ito
овој	nito
градот	lungsod
градот	siyudad
градот	city
беше	ay
односно	respectively
оваа	ito
оваа	nito
тие	sila
тие	nila
нов	new
нов	bago
нов	bagong
селото	sapporo
времето	panahon
времето	panahon
времето	oras
времето	time
некои	ilang
некои	ilan
претставува	kumakatawan
место	spot
место	lugar
место	pook
место	lugar
место	venue
општина	munisipalidad
општина	munisipyo
започнува	begins
започнува	magsisimula
започнува	nagsisimula
започнува	magsisimula
започнува	nagsisimula
светот	mundo
преку	via
преку	through
македонски	masedonyo
неколку	ilang
земјата	daigdig
земјата	lupa
две	dalawang
две	dalawa
две	two
небо	sky
небо	kalangitan
небо	himpapawid
небо	skies
уште	parin
уште	pa
уште	pang
список	listahang
список	listahan
неговиот	kanyang
септември	setyembre
споменува	pagbanggit
споменува	mentions
споменува	binabanggit
кое	aling
кое	alin
сјај	glitter
сјај	glow
град	bayan
град	lungsod
град	siyudad
град	city
агол	kanto
агол	sulok
агол	anggulo
село	selo
село	nayon
информации	info
информации	impormasyon
германија	germania
германија	germany
германија	alemanya
германија	mikrobyo
помеѓу	pagitan
црква	iglesia
црква	simbahan
црква	church
подоцна	mamaya
познати	kilala
познати	famous
познати	sikat
жители	naninirahan
жители	residente
бидејќи	kc
бидејќи	kasi
бидејќи	dahil
треба	need
треба	kailangan
мини	mini
мини	minnie
голем	large
голем	malaki
голем	malaking
голем	big
голем	malaking
голем	malaki
период	panahon
луѓе	kalalakihan
луѓе	tao
војна	digmaan
војна	digmaang
сад	usa
скопје	skopje
република	republika
три	tatlong
три	tatlo
помош	tulong
помош	tulong
помош	tulungan
поделба	division
поделба	dibisyon
поделба	credit
поделба	hatiin
космос	cosmos
космос	kosmos
освен	puwera
освен	maliban
освен	pwera
над	mahigit
неговите	kanyang
иако	bagaman
иако	although
низ	through
села	villages
села	nayon
пример	halimbawa
потоа	then
потоа	pagkatapos
денес	ngayon
начин	paraang
начин	paraan
начин	way
два	dalawang
два	dalawa
два	two
точка	tuldok
точка	dot
точка	puntong
точка	punto
точка	point
заедно	sama
заедно	magkasama
литература	panitikan
литература	panitikang
пак	ulit
пак	again
пак	muli
пак	nanaman
пак	pac
него	kaniya
него	niya
него	siya
него	kanya
покрај	katabi
сепак	gayunpaman
сепак	parin
смета	isinasaalang
постојат	umiiral
објект	bagay
објект	object
објект	pasilidad
објект	facility
јануари	january
јануари	enero
систем	sistemang
систем	system
систем	sistema
име	pangalan
име	pong
десно	diba
десно	kanang
основни	mahalaga
основни	mahahalagang
основни	basic
сателитот	satellite
можат	pwede
можат	maari
користи	gamitin
нив	kanila
нив	sila
нив	silang
класификација	klasipikasyon
група	grupo
група	pangkat
група	group
истражувања	pananaliksik
истражувања	pagsisiyasat
истражувања	research
европа	europa
европа	gresya
прв	unang
прв	muna
држави	states
држави	estado
држави	unidos
држави	bansang
откриен	natukoy
откриен	nagsiwalat
проучување	aral
пат	pat
пат	daan
галаксии	galaxies
август	august
август	agosto
вклучен	involved
вклучен	kasangkot
вклучен	ikakasal
предмет	item
предмет	bagay
предмет	object
предмет	sasailalim
предмет	paksa
предмет	subject
астрономски	astronomical
соѕвездие	konstelasyon
набљудување	observation
мај	mayo
мај	maaaring
истражувачи	panginoon
истражувачи	nananaliksik
истражувачи	mananaliksik
критериуми	pamantayan
март	marso
користена	ginamit
користена	nagamit
користена	ginagamit
ѕвезди	stars
голема	large
голема	malaki
голема	malaking
голема	big
голема	malaking
голема	malaki
секој	sinuman
секој	kada
секој	tuwing
секој	bawat
цел	layunin
јули	hulyo
америка	amerika
америка	america
америка	amerika
цар	tsar
цар	emperador
цар	czar
често	madalas
често	madalas
често	kadalasan
поправени	naayos
поправени	inayos
истражување	survey
истражување	pananaliksik
истражување	pagsisiyasat
истражување	research
работи	bagay
работи	gumagana
работи	working
работи	pagtatrabaho
работи	gumagana
работи	nagtatrabaho
работи	bagay
градови	lungsod
места	places
места	spot
места	upuan
места	slot
април	april
април	abril
роден	ipinanganak
роден	pinanganak
октомври	oktubre
земја	bansa
земја	makabayan
земја	daigdig
земја	lupa
повторно	ulit
повторно	again
повторно	muli
повторно	nanaman
око	mata
франција	pransiya
франција	france
димензии	sukat
округот	county
округот	kondado
округот	shire
позната	kilala
позната	famous
позната	sikat
позната	familiar
позната	pamilyar
нивните	kanilang
галаксија	galaxy
игри	games
деклинација	deklinasyon
историја	kasaysayan
историја	history
ноември	nobyembre
ноември	november
јуни	june
јуни	hunyo
лакот	bow
теме	vertex
станува	nagiging
живот	buhay
северна	hilagang
ширина	lapad
култура	kultura
култура	nok
пласман	standings
центар	center
центар	sentro
центар	sentro
центар	centre
втората	pangalawa
население	populasyong
население	populasyon
декември	december
декември	disyembre
мери	meri
мери	mary
мери	maria
дела	gumagana
дела	gawa
дела	della
ден	araw
состојба	state
состојба	estado
состојба	kalagayan
состојба	kondisyon
состојба	kundisyon
дијаметар	diameter
рим	rome
рим	roma
означена	tinang
означена	tinag
италија	italia
италија	italya
тогаш	then
тогаш	pagkatapos
реката	ilog
леќа	lens
леќа	lente
земји	bansang
шаблон	pattern
шаблон	template
вид	mabait
член	miyembro
член	artikulo
познат	kilala
познат	famous
познат	sikat
округ	county
округ	kondado
округ	distrito
затоа	samakatuwid
американски	amerikano
област	oblast
област	lugar
област	area
област	lawak
јужна	katimugang
јужна	southern
јужна	timog
едно	isa
едно	one
етапа	entablado
етапа	yugto
етапа	stage
износ	halaga
филмови	films
филмови	movies
англиски	tagalog
англиски	ingles
бугарија	biyetnam
бугарија	bulgaria
првенство	kampeonato
првенство	championship
опсерваторија	obserbatoryo
дури	kahit
грција	gresya
однос	pakikipagtalik
однос	pinagsamahan
однос	kaugnayan
однос	relasyon
содржи	naglalaman
спроведено	isinasagawa
милиони	milyon
милиони	milyon
милиони	millions
збор	salitang
збор	salita
нивната	kanilang
февруари	february
февруари	pebrero
работа	trabaho
работа	job
работа	trabaho
работа	magtrabaho
работа	work
функција	tungkulin
функција	punsiyon
држава	bansa
држава	makabayan
држава	state
држава	estado
секоја	kada
секоја	tuwing
секоја	bawat
секоја	bawat
русија	rusya
русија	russia
постои	umiiral
метри	meters
метри	metro
нејзината	her
нејзината	kanya
нејзината	siya
големи	large
големи	malaki
големи	malaking
големи	big
големи	malaking
големи	malaki
четири	apat
џон	juan
џон	john
џон	jon
олимписки	olimpiko
олимписки	olympic
делови	parts
политика	patakaran
политика	politika
политика	pulitika
видови	uri
видови	varieties
видови	species
империја	imperyo
империја	monggol
главен	chief
главен	hepe
главен	pangunahing
главен	pangunahin
врска	link
врска	pinagsamahan
врска	kaugnayan
врска	relasyon
врска	bono
врска	bond
свети	shine
свети	banal
свети	santo
свети	santa
свети	glow
вклучувајќи	kasama
телескоп	telescope
награда	gantimpala
награда	prize
награда	premyo
награда	award
значи	mean
значи	means
разговор	usapan
разговор	uusap
разговор	chat
филм	pelikula
филм	sine
филм	movie
википедија	wikipedia
крај	matatapos
крај	katapusan
крај	pagtatapos
крај	tapusin
крај	dulo
вода	tubig
резултат	score
резултат	iskor
резултат	resulta
улога	tungkulin
претседател	pangulo
претседател	presidente
училиште	paaralan
страница	pahinang
страница	pahina
страница	page
западна	kanluranin
западна	western
нови	new
нови	bago
нови	bagong
песни	tunes
песни	kanta
песни	songs
организација	organisasyon
познато	familiar
познато	pamilyar
случај	case
случај	kaso
случај	kasong
редослед	order
сезона	panahon
игра	game
игра	laro
основа	basehan
населба	settlement
сили	pwersa
сили	sandatahan
обично	kadalasan
промени	pagbabago
промени	nagbabago
промени	nababago
промени	palitan
промени	magbabago
промени	pagbabago
промени	baguhin
промени	change
разлика	pinagkaiba
разлика	diff
разлика	pagkakaiba
употреба	paggamit
употреба	gamitin
форма	shape
форма	hugis
форма	anyo
договор	pakikitungo
договор	deal
договор	kasunduan
договор	kontrata
договор	tratado
договор	kasunduan
изграден	nakapaloob
изграден	binuo
некој	sinuman
некој	somebody
лига	league
лига	liga
лига	liga
влијание	epekto
влијание	impluwensiya
влијание	impluwensya
членови	miyembro
членови	members
членови	kasapi
починал	namatay
површина	ibabaw
површина	desktop
неа	her
неа	kanya
неа	siya
неа	nea
острови	kapuluang
вештачки	artipisyal
вештачки	artipisyal
вештачки	artificial
ред	order
ред	hilera
ред	row
лица	persons
почеток	simula
почеток	simulan
почеток	magsimula
почеток	simula
син	anak
син	son
албум	album
никола	nikola
никола	nicola
македонска	masedonyo
нова	new
нова	bago
нова	bagong
австралија	australia
австралија	australya
повеќето	pinaka
повеќето	karamihan
александар	alejandro
александар	alexander
вилијам	william
татко	dad
татко	itay
татко	tatay
татко	ama
татко	tatay
татко	father
движење	galaw
движење	mosyon
движење	gumagalaw
движење	lilipat
движење	gumagalaw
движење	paggalaw
движење	kilusan
дело	deed
дело	trabaho
дело	magtrabaho
дело	work
власт	awtoridad
власт	otoridad
власт	authority
власт	kapangyarihan
власт	power
власт	kapangyarihan
прва	unang
прва	muna
мора	dapat
англија	inglatera
англија	england
развој	development
развој	pagpapaunlad
развој	unlad
развој	pagbuo
деца	pambata
лево	natitira
лево	pakaliwa
