جانسن	johnson
گاری	carreta
گاری	carro
گلس	vaso
گلس	vidro
گلس	cristal
گلس	de
گلس	copa
پازل	crebacabezas
پازل	puzzle
مطالبه	a
مطالبه	que
مطالبه	demanda
مطالبه	pido
مطالبه	custar
ترفیع	promoción
ترفیع	ascenso
ترفیع	a
هایلند	altas
عصای	persoal
عصای	bastón
عصای	de
عصای	plantilla
ایثارگران	veteranos
ببری	tigre
ببری	tiger
ببری	do
پرقدرت	poderosa
پرقدرت	poderosos
پرقدرت	poderoso
کلاسی	clase
کلاسی	da
سیکس	seis
سیکس	6
لوتار	lothar
آپر	esquina
آپر	superior
لباسهای	roupa
لباسهای	roupas
بوق	beep
بوق	corno
بیهار	behar
مانیا	manía
مکاتبه	comunicación
رستگار	éxito
رستگار	exitosos
غضب	ira
غضب	rabia
غضب	odio
گردباد	furacán
سالخورده	anos
تشنگی	sede
فرنک	frank
فرنک	franco
آژیر	sirenas
آژیر	sereas
آژیر	serea
رخت	roupa
افسونگر	mago
بچگی	da
بچگی	infancia
بچگی	infantís
بچگی	nenez
وکلا	avogados
موها	pelo
موها	cabelo
اهنگ	canción
اهنگ	cantiga
اهنگ	cantar
اهنگ	canto
اعاده	rehabilitación
کوهها	montañas
کوهها	das
کوهها	andes
کوهها	montes
کوهها	lorenzo
کوهها	montaña
کوهها	monte
اسکنر	escáner
برادرها	irmáns
برادرها	os
دارائی	bens
هوپر	hooper
نیتریک	óxido
نیتریک	nítrico
نیتریک	no
زیرو	cero
اج	do
فلورنس	florence
قویتر	máis
قویتر	forte
عروض	prosodia
بصیرت	percepción
بصیرت	visión
بصیرت	vista
بصیرت	vision
بصیرت	sobre
دولتها	os
دولتها	gobernos
دهن	boca
کبریت	mistos
کبریت	partidos
دروغگو	mentiroso
دروغگو	mentireira
کوتاهترین	curta
عاقل	corda
عاقل	cordo
زه	o
زه	sacou
کلاژن	coláxeno
مام	nai
مام	mamá
مام	mami
منافذ	hidrotérmicos
خرمایی	palma
خرمایی	da
خرمایی	palm
پویای	dinámica
زیمباوه	cimbabue
زیمباوه	zimbawe
زیمباوه	zimbabwe
تیلر	taylor
دابل	o
دابل	dobre
دابل	double
تکالیف	tarefas
خروشان	aproximada
خروشان	vaga
خروشان	duro
خروشان	mal
خروشان	moi
خروشان	duros
خروشان	duras
گلوی	gorxa
مجموعۀ	de
مجموعۀ	colección
میکده	bar
خرگوشی	coello
دماغ	nariz
دماغ	o
دماغ	no
دایک	fada
دایک	das
دایک	lesbiana
مصیبت	desastre
شکنی	mesmo
لاورنس	lawrence
باکتریها	as
باکتریها	bacterias
قدرتهای	poderes
جرأت	se
جرأت	atreven
جرأت	a
پیتزا	pizza
گردنبند	colar
ناهموار	aproximada
ناهموار	vaga
ناهموار	duro
ناهموار	mal
ناهموار	moi
ناهموار	duros
ناهموار	duras
شکری	azucre
آرزوها	desexa
بندها	cadeas
دالر	dolar
دالر	dólar
دالر	por
دالر	cartos
کاکائو	chocolate
هنرمندانه	artística
هنرمندانه	artístico
جنایتکار	penal
جنایتکار	criminais
جنایتکار	criminal
جنایتکار	crime
دسیسه	conspiración
همدم	compañeira
همدم	camarada
همدم	compañeiro
شات	disparou
نشستند	eu
نشستند	sentei
نشستند	sentouse
نشستند	senteime
نشستند	sentou
نشستند	onda
نشستند	sentado
نشستند	sentados
خراش	cero
چراغی	lámpada
صفری	safaris
صفری	safari
باده	viño
کشیشی	cura
نماها	de
نماها	disparos
نماها	opinións
گذری	pasar
گذری	pase
استایل	estilo
استایل	de
استایل	vida
ناتانیل	nathaniel
اعدادی	números
اعدادی	das
اعدادی	os
اعدادی	número
زکات	caridade
میگو	gambas
التماس	perdón
التماس	perdoe
التماس	desculpe
ویولون	violín
وحتی	nin
وحتی	incluso
وحتی	aínda
وحتی	mesmo
وحتی	sequera
چهارمی	cuarto
چهارمی	cuarta
چهارمی	acto
چهارمی	catro
چهارمی	infantaría
بدبختی	desgraza
بدبختی	miseria
جالوت	goliat
جالوت	goliath
هانوی	hanoi
تلقین	unha
تلقین	suxestión
شرافت	honor
شرافت	honra
شرافت	señoría
شرافت	súa
لختی	espido
فدا	sacrificio
فدا	sacrificar
فدا	zugue
فدا	o
پد	chabola
پد	de
یادش	lembraban
یادش	lembraba
کراوات	unha
کراوات	os
کراوات	gravata
کراوات	átenos
کراوات	garavata
لینکولن	lincoln
اسلاید	diapositiva
زشتی	fea
زشتی	feo
ذبح	sacrificio
ذبح	sacrificar
ذبح	zugue
ذبح	o
مرداک	murdock
لونگ	pulmón
عکسها	fotos
