نيبال	nepalu
شريك	partner
شريك	partnerka
شريك	partnerem
شريك	partnera
شريك	wspólnik
المفاتيح	klucze
المفاتيح	klawisze
عنيفة	gwałtowne
عنيفة	przemoc
عنيفة	przemocy
عنيفة	brutalny
عنيفة	gwałtowny
المحسن	poprawiony
المحسن	poprawy
المحسن	poprawione
ابي	tato
ابي	tata
مستشفيات	szpitale
عانى	poniesionej
عانى	cierpiał
عانى	cierpiała
واليابان	japonii
واليابان	japonia
هاي	hai
هاي	hal
هاي	hej
هاي	siana
هاي	siano
حلت	rozwiązany
حلت	rozwiązana
حلت	rozwiązane
السادة	panowie
نظمت	ustawione
فورت	fortu
فورت	fort
رايت	widziałem
رايت	widziane
رايت	widziany
رايت	widział
رايت	piły
رايت	piła
السوريين	syryjczyków
يلتقي	spotyka
يلتقي	spełnia
استفتاء	referendum
بروكسل	bruksela
بروكسل	brukseli
سمات	atrybuty
سمات	atrybutów
سمات	cechy
سمات	funkcje
سمات	właściwości
مشروعات	projektów
مشروعات	projekty
الناصرة	nazaretu
البصر	wzrok
البصر	celownik
صوفي	sophie
صوفي	zofia
منغوليا	mongolski
منغوليا	mongolii
الصليبيين	krzyżowcy
فتحت	otwierane
فتحت	otwarto
فتحت	otwarte
فتحت	otwarta
فتحت	otwarty
صحي	zdrowe
صحي	zdrowo
صحي	zdrowa
صحي	zdrowi
صحي	zdrowy
المشاعر	emocji
المشاعر	emocje
المشاعر	uczuć
المشاعر	odczucia
المشاعر	uczucia
اختراق	naruszenie
اختراق	kolczyk
اختراق	hack
فيفا	fifa
ركن	zakręt
ركن	kącik
ركن	róg
ركن	rogu
عصبي	nerwowy
عصبي	zdenerwowana
عصبي	zdenerwowany
الاستاذ	prof
الاستاذ	profesor
الاستاذ	profesorze
شق	nacięcie
شق	pęknięcie
شق	crack
حدد	określić
حدد	zaznacz
حدد	wybierz
الكوميديا	komedia
الكوميديا	komedii
الكرامة	godność
الكرامة	godności
الكتف	bark
الكتف	ramię
معترف	uznane
معترف	uznawane
معترف	uznany
معترف	uznana
القط	kotek
القط	kotka
القط	kot
القط	kocie
القط	cat
بركان	wulkanu
بركان	wulkan
هامبورغ	hamburgu
هامبورغ	hamburg
جزئي	częściowa
جزئي	częściowo
جزئي	częściowy
جزئي	częściowe
الفقرات	paragrafy
الفقرات	akapity
الفقرات	ustępy
ربحية	rentowność
ربحية	rentowności
حفيد	wnuka
حفيد	wnuk
حفيد	wnukiem
الليثيوم	lit
الليثيوم	litu
بنين	benin
هدم	rozbiórki
اغنية	piosenka
اغنية	piosenki
اغنية	utwór
اغنية	pieśń
اغنية	song
مصرف	banku
مصرف	bankowe
مصرف	bank
قياسي	standardowy
قياسي	standardowa
قياسي	norma
قياسي	standardowe
قياسي	standard
مذكرة	memo
مذكرة	memorandum
الكلاسيكي	klasycznego
الكلاسيكي	klasyka
الكلاسيكي	klasyczna
الكلاسيكي	klasyczny
الكلاسيكي	klasyczne
تلقائي	automat
تلقائي	automatycznie
تلقائي	automatyczne
تلقائي	automatyczny
تلقائي	automatyczna
المنتدى	forum
خزان	zbiornik
خزان	czołg
خزان	tank
خزان	zbiornik
صممت	zaprojektowane
صممت	zaprojektowana
صممت	zaprojektowano
صممت	zaprojektowany
صممت	zaprojektowanych
مجلد	folder
مجلد	katalog
وليم	william
وليم	williamie
وليم	wilhelm
وليم	williama
قبله	pocałunek
قبله	buzi
قبله	kiss
السكن	mieszkalnictwa
حائز	posiadacza
حائز	uchwyt
حائز	posiadacz
التنقيب	wykopaliska
كيان	jednostka
كيان	podmiot
كيان	istota
البعيد	daleki
البعيد	odległy
البعيد	dalekie
البعيد	odległe
البعيد	zdalne
البعيد	zdalnego
البعيد	odległy
البعيد	pilot
صعوبات	trudności
جدل	kontrowersji
شون	shawn
اسطنبول	stambule
باتمان	batman
باتمان	batmana
الفلم	filmu
الفلم	film
يولد	urodzony
