категорія	kategória
від	től
від	tól
від	from
від	vid
для	for
також	szintén
також	egyben
також	úgyszintén
про	kb
про	nagyjából
про	körülbelül
його	őt
його	neki
був	volt
населення	demográfiai
населення	populáció
населення	népesség
населення	lakosság
було	volt
він	wien
під	alatta
під	alatta
під	alatt
під	alatta
під	alá
після	után
після	after
після	miután
після	utána
час	idők
час	időpontok
час	times
час	ideje
час	időpont
час	idő
але	de
області	térségek
області	területek
які	ami
які	melyik
які	mely
які	amely
при	pri
який	ami
який	melyik
який	mely
який	amely
була	volt
були	voltak
осіб	személyek
міста	városok
міста	városokat
міста	szeszély
див	lásd
село	település
село	falusi
село	falu
район	körzet
район	járás
район	kerület
через	via
через	esedékes
через	keresztül
через	át
села	falvak
так	igen
так	igen
тому	ezért
рік	rick
рік	évjárat
рік	éve
рік	évi
рік	év
відстань	távolság
ради	tanács
сша	usa
має	kell
область	terület
область	környék
того	togo
яка	ami
яка	melyik
яка	mely
яка	amely
вони	ők
сайті	weboldal
сайті	honlap
сайті	webhely
близько	szoros
близько	közel
близько	bezárása
близько	közeli
близько	közel
війни	háborúk
файл	fájl
файл	file
файл	akta
між	között
роки	évek
роки	év
обговорення	vita
обговорення	megbeszélés
обговорення	beszélgetés
обговорення	beszélgetések
обговорення	megbeszélések
обговорення	viták
коли	mikor
коли	amikor
лише	csak
лише	kizárólag
список	jegyzék
список	lista
вересня	szeptemberben
вересня	szeptember
вересня	szeptemberi
цей	ezt
цей	ez
березня	március
березня	márciusi
місце	folt
місце	foltos
місце	hely
місце	helyszín
місце	hely
місце	elhelyezkedés
місце	ülést
місце	ülés
муніципалітет	község
муніципалітет	település
муніципалітет	önkormányzat
україні	ukrajna
серпня	augusztusban
серпня	august
серпня	augusztus
січня	januári
січня	január
січня	januárban
став	lettem
став	lett
став	vált
травня	may
травня	május
травня	májusi
травня	májusban
грудня	december
грудня	decemberi
грудня	decemberben
інших	egyéb
інших	más
інших	másoknak
інших	egyéb
інших	mások
інших	egyebek
жовтня	októberi
жовтня	októberben
жовтня	október
серед	között
один	egy
липня	júliusban
липня	júliusi
липня	július
участь	részvétel
участь	bevonása
участь	részvétel
участь	részvétel
вид	faj
вид	állatfaj
вид	fajok
вид	megtekintés
вид	kilátás
вид	nézet
можна	tud
можна	can
можна	lehet
червня	júniusi
червня	june
червня	június
червня	júniusban
місто	városban
місто	town
місто	város
місто	city
місто	városi
місто	város
вже	már
вже	máris
життя	élet
життя	életem
життя	life
життя	életmód
срср	szovjetunió
квітня	april
квітня	április
квітня	áprilisi
квітня	áprilisban
листопада	november
листопада	novemberi
листопада	novemberben
лютого	februárban
лютого	februári
лютого	február
опис	megnevezés
опис	leírása
опис	leírás
центр	ops
центр	középre
центр	központ
центр	center
центр	középre
центр	központ
центр	centrum
захід	nyugat
захід	nyugati
тільки	csak
тільки	kizárólag
франції	franciaország
франції	france
століття	évszázadok
століття	évszázadokkal
століття	évszázad
століття	század
рада	tanács
рада	rada
відстані	távolságok
схід	keletre
схід	keleti
схід	kelet
статті	árucikkek
статті	cikkek
склад	szótag
склад	raktár
склад	raktárban
міні	mini
особи	személyek
особи	személy
особи	személyre
над	vége
над	át
історія	sztori
історія	történet
історія	story
історія	története
історія	mese
історія	történelme
історія	előzmények
історія	történelem
зображення	képeket
зображення	képek
зображення	képet
зображення	kép
зображення	fénykép
зображення	kép
зображення	képet
зображення	képeket
зображення	képek
зображення	fényképek
пункти	tárgyak
пункти	tételek
пункти	elemek
пункти	pont
пункти	pontok
пункти	opciók
пункти	beállítások
пункти	lehetőségek
пункти	bejegyzések
код	kód
