частная	privaat
цру	cia
цру	cla
калия	kalium
ленте	voed
ленте	stroom
ленте	toevoer
морган	morgan
мигель	miguel
равных	gelyk
равных	gelyke
коммуне	commune
сомали	somalia
сомали	somaliese
арк	arc
арк	boog
арк	ark
чай	tee
этапы	fases
этапы	stages
этапы	stappe
этапы	mylpale
доверие	sekerheid
доверие	vertroue
доверие	trust
доверие	vertrou
интерьер	interior
интерьер	binneste
уничтожено	vernietig
мэтт	matt
блоки	blokke
михаэль	michael
хью	hugh
леопольд	leopold
сер	sir
сер	meneer
нормальная	normale
нормальная	normal
нормальная	normaal
нос	neus
произношение	uitspraak
наследника	heir
наследника	erfgenaam
пит	pete
пит	piet
адама	adam
кишинёв	chişinău
уверенно	selfvertroue
кукол	poppe
луций	lucius
зерна	graan
еврейские	joodse
еврейские	joods
габриэль	gabriel
габриэль	gabrielle
дракон	draak
дракон	dragon
тенденции	neigings
монархии	monargie
балла	balla
пекин	beijing
девочек	meisies
девочек	mishandel
жозе	jose
жозе	josé
поставки	verskaffing
поставки	voorrade
поставки	voorraad
поставки	verskaf
поставки	aflewerings
поставки	voorrade
грудь	chest
грудь	borskas
грудь	kassie
грудь	breast
бросил	verlate
бросил	gedempte
самолет	vliegtuie
самолет	vliegtuig
самолет	vliegtuig
самолет	vliegtuig
картер	carter
противостояние	konfrontasie
противостояние	opposisie
изабелла	isabel
изабелла	isabella
союзники	allies
заговора	conspiracy
противники	teenstanders
тула	toela
расчёт	berekening
расчёт	reken
хотела	gesoek
хотела	wou
чудо	marvel
чудо	miracle
чудо	wonder
юристы	prokureurs
четвёртая	vierde
рак	kreef
рак	kanker
редкие	skaars
доходы	inkomste
доходы	inkomste
миссури	missouri
алматы	almati
первоначальный	aanvanklike
поддерживается	gesteun
поддерживается	ondersteunde
потребления	verbruik
потребления	vrymoedigheid
женское	vroulik
женское	vroulik
женское	wyfie
университеты	universiteite
привлечения	aantreklik
привлечения	lok
вместимость	kapasiteit
венесуэла	venezuela
заговор	stip
заговор	conspiracy
добавлен	bygevoeg
монтаж	montage
монтаж	hegting
монтаж	redigeer
монтаж	verstrek
монтаж	redigering
монтаж	wysiging
программирование	programmering
вселенная	heelal
панели	panele
панели	beheerpaneel
панели	dashboard
панели	paneel
панели	panel
резерва	webbediener
резерва	gereserveer
резерва	reserveer
резерва	bespreek
зимние	winter
бич	strand
оливер	oliver
слышал	aangehoor
сун	son
горький	bitter
удобно	gerieflike
удобно	gerieflik
удобно	gemaklik
удобно	handy
удобно	handige
лёгкие	long
лёгкие	longe
послание	boodskap
препарат	dwelm
препарат	drug
произведено	vervaardig
произведено	geproduseer
океании	oseanië
скрипка	viool
молекулы	molekule
молекулы	molekules
скрипач	fiddler
азербайджанская	azerbeidjans
допускается	toegelaat
формах	vorms
померания	pommere
терминологии	terminology
сложнее	harder
монреаль	montreal
вены	wene
вены	wenen
бонус	bonus
ирак	irak
стамбул	istanbul
стамбул	istanboel
кнессета	knesset
изобретения	inventions
гнездо	nes
индию	india
индию	indië
стратегия	strategie
специальность	spesialiteit
парламентские	parlementêre
важная	belangrik
важная	belangrike
холокоста	holocaust
никарагуа	nicaragua
массе	massa
представительство	verteenwoordiging
местная	lokale
местная	plaaslike
местная	plaaslik
порты	poorte
сообщили	gerapporteer
перес	peres
перес	perez
перес	pérez
маркус	marcus
энрике	enrique
энрике	henrique
уничтожен	vernietig
розы	roses
батарей	batterye
визит	besoek
празднования	vieringe
уругвай	uruguay
акад	akad
готова	herlaai
готова	gereed
виконт	vicomte
виконт	burggraaf
трактат	treatise
индиана	indiana
пабло	pablo
канзас	kansas
цветной	gekleurde
цветной	gekleurde
цветной	kleurlinge
самолета	vliegtuie
самолета	vliegtuig
конференций	konferensies
разрушение	demolition
разрушение	vernietiging
дина	dinah
дина	dina
обновления	opdaterings
обновления	bywerkings
обновления	wysigings
обновления	opdateer
обновления	opgedateer
объявления	aankondigings
объявления	advertensies
персидского	persies
персидского	persiese
предположения	assumption
предположения	assumptions
рики	ricky
живет	lewens
монголия	angola
монголия	mongolia
перемещения	displacement
гамма	gambië
гамма	gamma
ссылаясь	citing
профсоюзов	unions
посвященный	toegewyde
посвященный	dedicated
посвященный	opgedra
забыл	vergeet
последовало	gevolg
тропических	tropiese
изменилась	gewysig
долг	plig
долг	skuld
ален	allen
ален	alain
бернар	bernard
беременности	swangerskap
полезные	bruikbare
полезные	nuttig
полезные	nuttige
полезные	gehelp
полезные	hulpvaardig
полезные	behulpsaam
полезные	nuttig
совместное	gesamentlike
совместное	joint
лонг	lank
равнины	vlaktes
полезно	bruikbare
полезно	nuttig
полезно	nuttige
полезно	gehelp
полезно	hulpvaardig
полезно	behulpsaam
полезно	nuttig
санчес	sanchez
санчес	sánchez
гэри	gary
инфраструктура	infrastruktuur
металл	metaal
уход	omgee
ребята	guys
шире	breër
шире	wyer
неизвестен	onbekend
скалы	cliffs
скалы	klippe
скалы	rotse
домашний	tuis
домашний	huistoe
домашний	tuisblad
домашний	huis
домашний	tuisgemaakte
комиссара	kommissaris
оскорбление	beledig
оскорбление	belediging
марс	mars
перечислены	gelys
расти	rusty
расти	verroes
расти	blou
моды	fashion
моды	mode
моды	modes
башкирская	basjkiriese
преподавания	teaching
сервера	bedieners
сервера	bediener
зарегистрировано	geregistreer
единое	vereenselwig
рекомендую	aanbeveel
комбинации	kombinasies
комбинации	kombinasie
указатель	indeks
указатель	wyser
рог	horing
поместье	manor
поместье	estate
поместье	landgoed
различие	distinction
различие	verskil
зла	boos
зла	bose
окружение	omgewing
адриан	adrien
адриан	adrian
альманах	almanac
хранение	besit
хранение	berging
возможен	moontlik
жертву	sacrifice
жертву	opoffering
коалиция	koalisie
документальных	dokumentêr
документальных	documentary
правильное	korrek
пропаганда	propaganda
зубы	tande
треки	snitte
специализированных	specialized
кучу	hopie
ущелье	gorge
доминик	dominic
доминик	dominique
доминик	dominik
шахматы	skaak
будапешт	budapest
фактором	factor
фактором	faktor
казимир	casimir
животное	dier
тюрингия	thüringen
дракона	draak
дракона	dragon
экспозиция	exposition
углерода	koolstof
свидетелей	getuies
атаковали	aangeval
легион	legioen
дискография	diskografie
взвод	squad
взвод	platoon
точная	presiese
точная	akkurate
точная	akkuraat
точная	presiese
точная	presies
гоголя	gogol
богатства	riches
богатства	rykdom
рейна	ryn
рейна	reina
примечательно	noemenswaardig
организм	organisme
сообщается	gerapporteer
панорама	panorama
исключить	uitgesluit
опер	operas
белок	protein
белок	proteïen
временный	tydelik
временный	geheue
временный	tydelike
временный	temp
завершена	voltooi
завершена	afgehandel
завершена	klaar
завершена	afgehandel
консульство	konsulaat
кастро	castro
матрицы	matrikse
матрицы	matrix
упадок	weier
взрослые	volwassenes
взрослые	volwassene
медичи	medici
ранний	vroeg
ранний	vroeë
исчезновения	verdwyning
знакомство	kennis
иисус	jesus
итальянские	italiaanse
итальянские	italiaans
компонент	komponent
искренне	uwe
удобства	gerief
хорхе	jorge
спутники	satelliete
спутники	satelliet
спутники	moons
опытом	ervaringe
опытом	ervarings
рон	ron
наблюдение	monitering
наблюдение	observasie
деда	oupa
черепа	skedel
черепа	skull
герберт	herbert
якоб	jakob
якоб	jacob
словакия	slowakye
интеграции	integrasie
женщину	vrou
актер	akteur
мальчиков	seuns
марке	marche
успешного	suksesvol
успешного	suksesvolle
костей	bones
костей	bene
парков	parke
сделки	transaksies
сделки	aanbiedinge
сделки	transaksies
попробуйте	probeer
черт	damn
избирательного	selektiewe
девиз	motto
девиз	leuse
сек	sekondes
сек	sek
салон	salon
греческая	hellenic
греческая	griekse
тысячелетия	millennium
серийный	serie
земледелия	boerdery
частное	privaat
риска	risk
риска	risiko
зеркало	weerspieël
зеркало	spieël
зеркало	spieëlbeeld
зеркало	dupliseer
беседы	gesprekke
беседы	interviews
регулярный	gereelde
рассказать	vertel
грей	grys
грей	grey
райт	wright
вертолёт	helikopter
мали	mali
реакций	reaksies
независимая	independent
независимая	onafhanklike
независимая	onafhanklik
независимая	selfstandige
грузовых	vrag
грузовых	freight
украшения	juweliersware
украшения	versierings
правду	waarheid
уровни	tiers
организатором	organiseerder
влиятельных	invloedryke
разнообразие	verskeidenheid
разнообразие	verskeidenheid
хирург	chirurg
брони	armor
признано	herken
признано	erkende
признано	herken
признано	erkende
зомби	zombie
зомби	zombies
поворот	twist
поворот	kinkel
гражданства	nasionaliteit
молитвы	prayers
ботанический	botaniese
босния	bosnië
конечной	ultimate
алжир	algiers
алжир	algerië
коричневые	bruin
саймон	simon
нила	neil
нила	nyl
саид	gesê
декан	dean
низким	lae
повсеместно	oral
повсеместно	orals
феномен	phenomena
феномен	phenomenon
исправления	korrektiewe
электрических	elektriese
истины	waarhede
джеффри	geoffrey
джеффри	jeffrey
блюз	blues
ценные	kosbare
ценные	waardevol
нефть	olie
нефть	petroleum
снег	sneeu
виа	via
детройт	detroit
показывать	gewys
показывать	wys
целые	hele
целые	hele
целые	geheel
преступников	misdadigers
воля	sal
теннесси	tennessee
дженнифер	jennifer
форд	ford
шар	char
шар	ballon
шар	bal
шар	orb
подарок	hede
подарок	tans
подарок	voordra
подарок	teenwoordig
подарок	geskenk
очко	punt
группировка	fraktion
группировка	groepering
стрелка	skiet
стрелка	skut
стрелка	pyl
жидкость	vog
жидкость	vloeistof
свойство	eiendom
этаж	vloer
этаж	floor
гродно	grodno
филологии	filologie
контекста	konteks
луга	grasslands
луга	meadows
луга	weiveld
люксембурга	luxembourg
эна	ena
курорт	gevalle
курорт	oord
фантастический	fantasties
леона	leona
закончить	einde
закончить	voltooi
мирное	vreedsame
мирное	rustige
мирное	vreedsaam
саха	sah
присоединение	accession
нож	knife
нож	mes
трудах	writings
тянет	pulling
изобретение	uitvinding
навыки	vaardighede
навыки	vaardigheid
грубо	ongeskik
бранденбург	brandenburg
уменьшение	verminder
санкции	strafskoppe
физическая	fisiese
физическая	fisieke
ботаника	plantkunde
рей	rey
рей	rae
рей	rei
рей	bestraling
рей	ray
викимедиа	wikimedia
индивидуальные	individuele
индивидуальные	individu
спасение	redding
спасение	red
спасение	verlossing
мичиган	michigan
минас	minas
кросс	kruis
нельсон	nelson
западное	westerse
западное	western
западное	westelike
фильтр	filter
фильтр	filtreer
герцогиня	hertogin
закончилось	geëindig
электроники	elektronika
квебек	quebec
колеса	wiel
колеса	wiele
аудио	oudio
лукас	lucas
пал	kuier
пал	pal
мужские	manlike
мужские	mannetjie
компакт	kompakte
компакт	kompak
вычисления	uitwerk
продал	sold
продал	verkoop
акул	sharks
реализм	realisme
химическая	chemiese
правильный	korrek
операторов	operateurs
операторов	draers
тереза	therese
тереза	teresa
тереза	theresa
держит	keeps
четверть	kwart
четверть	kwartaal
приобрести	aankoop
приобрести	aankope
приобрести	verkry
повысить	hupstoot
повысить	bevorder
особая	spesiaal
буддизм	boeddhisme
ген	gene
ген	gen
смешанные	gemeng
смешанные	gemengde
призы	trofeë
адамс	adams
мятеж	mutiny
мятеж	opstand
социальное	maatskaplike
социальное	sosiale
социальное	sosiaal
просмотр	blaai
просмотр	snuffel
просмотр	onaktiewe
просмотр	aansig
просмотр	besigtig
просмотр	bekyk
подъёма	klinker
максимальное	maksimum
рика	rick
рика	rica
телефоны	fone
неизвестный	onbekend
шарлотта	charlotte
буш	bush
убежище	skuiling
убежище	asylum
убежище	refuge
мышь	muis
тенденция	trend
тенденция	tendens
тенденция	neiging
тезис	thesis
потребности	verlang
потребности	vereistes
катера	boats
катера	bote
дольше	langer
координации	koördinaat
координации	koördineer
рождество	kersfees
ральф	ralf
ральф	ralph
стандартный	standaard
отделений	kantore
отделений	takke
сул	sul
поло	polo
чистый	netto
чистый	skoon
чистый	suiwer
тепло	heat
тепло	hitte
тепло	warmte
мартинес	martinez
мартинес	martínez
таджикистан	tadjikistan
погода	weer
суды	howe
герцогства	hertogdom
бака	baka
приобрел	verkry
джейми	jamie
банкноты	banknotes
раннее	vroeg
раннее	vroeë
днепропетровск	dnipropetrofsk
болота	natalse
болота	vleie
избегать	vermy
избегать	ontwyk
магистр	magister
окружности	sirkels
пригороде	voorstad
пригороде	suburbs
пригороде	voorstede
празднование	vier
празднование	vieringe
празднование	viering
туркменистана	turkmeens
спорных	betwis
спорных	omstrede
римлян	romeine
длинная	lank
дождь	reën
рено	renaud
рено	strand
рено	renault
мкф	icf
продать	verkoop
колесо	wiel
федеральное	federale
федеральное	federal
клиент	klant
клиент	kliënt
таллин	tallinn
прибыла	gearriveer
прибыла	aangekom
быков	bulle
быков	bulls
сохранять	manlik
шум	geraas
сталь	staal
говард	howard
скот	scott
скот	vee
скот	beeste
скот	bees
выделил	gemerk
кусок	stuk
кусок	stukkie
органических	organiese
серп	sekel
кальция	kalsium
ева	eva
ева	eva
ева	eve
паркер	parker
бурбон	bourbon
филиппины	filippyne
филиппины	philippines
заболевание	illness
заболевание	siekte
ствол	vat
ствол	gun
шер	cher
справедливо	taamlik
справедливо	redelik
тренеров	afrigters
мирза	mirza
запрещены	verbande
запрещены	verban
братства	broederskap
цифра	syfer
цифра	figuur
отражения	reflections
кэти	cathy
кэти	katy
кэти	katie
либертадорес	libertadores
водителя	drywer
водителя	aandrywer
серого	grys
осуществление	implementering
величайших	grootste
творческих	kreatief
джорджия	georgië
джорджия	georgia
спектра	spektrum
норт	noorde
норт	noord
домохозяйства	huishoudings
домохозяйства	huishouding
домохозяйства	huishoudelike
нести	dra
нести	carry
побег	ontsnap
визита	besoek
ввод	tik
атомов	atome
измерений	maatreëls
бордо	bordeaux
спора	dispuut
спора	geskil
производительность	werkverrigting
производительность	prestasie
производительность	opvoering
производительность	produktiwiteit
верди	verdi
заняты	besig
регент	regent
двигаться	beweeg
двигаться	beweeg
уважение	respek
эскадрилья	eskader
воздушная	aerial
самоубийство	selfmoord
томпсон	thompson
определены	gedefinieer
определены	omskryf
определены	gedefinieër
определены	vasbeslote
определены	vasberade
определены	bepaal
голландский	hollandse
голландский	nederlands
мемуары	memoirs
мемуары	memoir
подземный	ondergrondse
живые	leef
живые	tuiste
живые	lively
живые	lewendig
фбр	fbi
винсент	vincent
мар	mer
рикардо	ricardo
противостоять	bestry
ходил	geloop
змей	snake
змей	slang
змей	snakes
авария	ongeluk
авария	omval
авария	insident
авария	crash
вождь	chief
миграции	verskuiwing
миграции	migrasie
предприниматели	entrepreneurs
квартале	kwart
квартале	kwartaal
включено	ingesluit
включено	geaktiveer
костюмы	kostuums
бан	bun
повстанцы	rebels
повстанцы	rebelle
ромео	romeo
доводы	argumente
удэ	oede
бронза	brons
редактировать	wysig
шаги	stappe
шаги	footsteps
вставить	plak
квартет	kwartet
вину	skuldgevoelens
вину	skuld
алжира	algeriese
алжира	algerië
филип	philip
филип	filip
николя	nicolas
квалификация	kwalifiserende
квалификация	kwalifikasies
сантос	santos
организаторы	organiseerders
организаторы	aanbieders
организаторы	gashere
переводить	vertaal
интеллигенции	intelligentsia
грамотности	geletterdheid
коллегами	kollegas
коллегами	kollegas
походы	kamp
походы	hiking
моряков	matrose
потеря	verlies
кентукки	kentucky
получен	ontvang
французское	frans
французское	franse
имеющихся	beskikbaar
секрет	geheim
секрет	geheime
секрет	sekuriteit
электрические	elektriese
иерархии	hiërargie
камеру	camera
камеру	kamera
сопровождал	vergesel
этнических	etniese
этнических	etnies
зимы	winters
гомель	homel
чужой	alien
чужой	uitheemse
чужой	vreemdeling
излучение	straling
принести	bring
семян	saad
прекращено	beëindig
прекращено	gestaakte
электрический	elektriese
электрический	elektriese
комплект	gestel
комплект	instel
комплект	stel
комплект	kit
чэнь	chen
лоуренс	lawrence
полицейские	polisiemanne
полицейские	polisie
утвержден	goedgekeur
префектуре	prefektuur
сухопутные	terrestriële
собственная	eie
богиня	godin
проход	passage
рид	reid
рид	riet
рид	reed
аппараты	masjiene
отпуск	vakansie
мэттью	mathew
