έφορος	кустосот
σύνορο	граница
λειτουργική	функционално
λειτουργική	функционален
λειτουργική	функционални
λειτουργική	функционална
λειτουργική	оперативно
λειτουργική	оперативен
λειτουργική	оперативни
λειτουργική	оперативна
κρίσεις	запленување
κρίσεις	кризите
κρίσεις	кризи
πωλήσεων	продажна
πωλήσεων	продажби
πωλήσεων	продажба
γλυκό	слатко
γλυκό	слатка
γκαρντ	гард
μιγκέλ	мигел
ρούντολφ	рудолф
ρούντολφ	рудолф
πήτερ	питер
πήτερ	петар
χρήσιμες	корисен
χρήσιμες	корисно
χρήσιμες	корисни
χρήσιμες	корисна
κοπεγχάγη	копенхаген
δίσκοι	рекорди
δίσκοι	евиденција
δίσκοι	записи
δίσκοι	дискови
δίσκοι	дискови
ολοκαύτωμα	холокаустот
ολοκαύτωμα	холокауст
βενεζουέλας	венецуела
έσπασε	банкрот
έσπασε	скрши
υποκείμενο	субјектот
υποκείμενο	тема
υποκείμενο	предмет
υποκείμενο	субјект
καθήκον	должност
καθήκον	должноста
καθήκον	задача
καθήκον	задачата
παναμά	панама
σημειωματάριο	тетратка
σημειωματάριο	бележник
σημειωματάριο	тетратка
σημειωματάριο	бележник
λιγότερες	помалку
λιγότερες	помалце
δόση	дозата
δόση	доза
δόση	дозата
δόση	доза
εξεγέρσεις	немири
εξεγέρσεις	бунтови
εξεγέρσεις	нереди
εξεγέρσεις	востанија
αεροπλάνα	авиони
αεροπλάνα	авионите
αεροπλάνα	авиони
αλκοόλ	алкохол
τόνο	туна
τόνο	тон
κατάχρηση	злоупотреба
κατάχρηση	проневера
κατάχρηση	злоставување
κατάχρηση	злоупотреби
κατάχρηση	злоупотреба
ρίτσι	ричи
ρίτσι	ричи
ρίτσι	ricci
κυβερνών	владејачката
κυβερνών	пресуда
κυβερνών	владејачки
χώμα	тло
χώμα	почва
χώμα	нечистотија
στρατιώτη	војник
στρατιώτη	војникот
άλεξ	alex
άλεξ	алекс
στενός	тесни
στενός	тесен
μαχητές	борци
μαχητές	воини
μαχητές	борци
μαχητές	борците
μαχητές	милитантите
μαχητές	милитанти
παπαϊωάννου	папајоану
αποκτήθηκε	стекнат
αποκτήθηκε	стекнато
αποκτήθηκε	стекнати
υγιεινής	хигиена
ευκαιρίες	можности
ευκαιρίες	можностите
μοντάζ	монтиран
μοντάζ	монтажа
μοντάζ	уредување
μοντάζ	уредувањето
μηχανικοί	механика
μηχανικοί	механичари
μηχανικοί	инженери
ενέκρινε	одобрено
ενέκρινε	одобрен
ενέκρινε	одобрени
ενέκρινε	одобри
ενέκρινε	одобрена
ενέκρινε	посвоен
ενέκρινε	усвоена
ενέκρινε	усвоени
ενέκρινε	усвои
ενέκρινε	посвоена
ενέκρινε	усвоено
μασσαλία	марсеј
μασσαλία	марсеј
πλημμύρες	поплави
πλημμύρες	поплавување
πλημμύρες	поплава
πλημμύρες	поплави
αλλα	macedonian
αλλα	други
αλλα	но
αλλα	ама
σθένος	истрајност
διαβήτη	дијабетес
διαβήτη	дијабетис
ασημένια	сребрено
ασημένια	сребрен
ασημένια	сребрена
ασημένια	сребро
