tulburări	διαταραχές
apostoli	απόστολοι
château	σατό
adăugarea	πρόσθεση
adăugarea	προσθήκη
adăugarea	πρόσθεση
adăugarea	προσθέτοντας
bois	bois
formularul	μορφη
formularul	μορφή
formularul	έντυπο
formularul	φόρμα
crimă	δολοφονία
crimă	φόνος
crimă	φόνο
crimă	εγκλημα
crimă	έγκλημα
crimă	εγκληματικότητα
gotic	γοτθικό
tre	tre
roz	ροζ
ahmed	αχμέντ
ahmed	αχμέτ
latine	λατινικά
latine	λατινική
frunzele	φύλλα
exprima	εξπρές
exprima	express
exprima	εκφράσω
compoziții	συνθέσεις
moscovei	μόσχα
kashmir	κασμίρ
belgian	βελγική
belgian	βέλγος
belgian	βελγικά
belgian	βελγικό
wikimapia	wikimapia
orange	πορτοκάλι
orange	πορτοκαλί
pierderile	απώλειες
pierderile	ήττες
pierderile	ζημίες
naviga	πανί
echipament	εξοπλισμού
echipament	εξοπλισμός
includerea	συμπερίληψη
joachim	joachim
formal	επισήμως
formal	επίσημα
formal	τυπικά
formal	επίσημο
formal	επίσημη
formal	πανηγυρική
austin	ώστιν
austin	όστιν
filozofia	φιλοσοφία
aedes	aedes
implicarea	συμμετοχή
implicarea	συμμετοχη
implicarea	εμπλοκή
explica	εξηγήσω
explica	εξηγήστε
explica	εξήγησε
wall	wall
wall	τοίχος
wall	τοίχο
wall	τείχος
wall	γουόλ
harald	harald
meridiane	μεσημβρινών
autonome	αυτόνομη
autonome	αυτόνομο
autonome	αυτόνομες
autonome	αυτόνομα
village	χωριο
village	χωριό
răspândirea	εξάπλωση
intensă	έντονη
intensă	έντονες
intensă	έντονος
intensă	έντονο
mutată	μετακόμισε
mutată	μεταφέρθηκε
mutată	κινήθηκε
mutată	μετακινήθηκε
mutată	συγκινημένος
refugiat	πρόσφυγας
refugiat	πρόσφυγα
ungară	ούγγροι
ungară	ουγγρική
ungară	ουγγρικό
scăzută	χαμηλά
scăzută	χαμηλό
scăzută	χαμηλή
scăzută	χαμηλός
compune	συνθέτουν
ofensivă	προσβλητικό
ofensivă	προσβλητική
intervenție	παρεμβάσεις
