yang	ян
dan	та
dan	дан
dan	dan
dan	ден
dan	закохатися
pada	пада
the	на
untuk	для
juga	також
terletak	лежить
terletak	брехня
terletak	бреше
terletak	брехні
indonesia	індонезія
indonesia	індонезії
dari	від
daerah	улус
daerah	округ
daerah	нохія
daerah	район
tahun	роки
tahun	рік
adalah	надаються
telah	має
wilayah	провінція
wilayah	ділянку
wilayah	регіон
wilayah	територій
wilayah	територія
lihat	подивитися
lihat	див
lihat	бачите
lihat	бачу
lihat	переглянути
kawasan	область
kawasan	ділянка
kawasan	площа
kawasan	місцевість
kawasan	ділянку
kawasan	регіон
kawasan	регіони
kawasan	регіонів
kawasan	регіонах
kawasan	областях
luar	ззовні
luar	надворі
luar	поза
luar	зовні
sekolah	школах
sekolah	шкіл
sekolah	школа
sekolah	училище
tidak	не
tidak	not
komun	комуни
komun	муніципалітетів
bahasa	мови
bahasa	мов
bahasa	мова
bahasa	мови
bahasa	мову
orang	особа
orang	особи
orang	народ
orang	людей
orang	люди
pautan	посиланням
pautan	посилання
pautan	link
pautan	лінк
pautan	лінки
pautan	посилання
pautan	посиланнями
pautan	посилань
malaysia	малайзії
daripada	від
kampung	село
jabatan	департамент
jabatan	відділ
satu	сату
satu	одна
satu	one
satu	одне
satu	один
negara	країни
negara	країна
negara	кантрі
negara	стан
negara	держава
negara	країн
negara	країни
mereka	їх
mereka	їм
mereka	комплектів
mereka	вони
kebangsaan	нації
kebangsaan	країна
kebangsaan	націю
kebangsaan	громадянство
kebangsaan	нація
kebangsaan	національна
kebangsaan	націонал
kebangsaan	національне
kebangsaan	національний
kebangsaan	національні
bandar	містечко
bandar	місто
bandar	місто
bandar	міста
bandar	городи
bandar	містах
bandar	міст
bandar	бандар
imperial	імператорський
imperial	імперський
imperial	imperial
lelaki	людина
lelaki	чоловік
lelaki	мужчина
lelaki	man
negeri	стан
negeri	держава
menjadi	проводиться
menjadi	будучи
menjadi	буття
barat	захід
barat	вест
barat	західний
barat	західні
barat	західна
lain	інший
lain	інша
lain	інші
lain	інше
lain	інших
lain	інших
lain	інші
lain	іншими
lebih	більше
etnik	національну
etnik	етно
etnik	етнічна
etnik	національність
mempunyai	має
mempunyai	маю
mempunyai	маєш
mempunyai	have
perancis	френч
perancis	французька
perancis	французькою
perancis	французький
perancis	франції
perancis	франція
perancis	францію
akan	воля
akan	буде
akan	будуть
nama	назва
nama	назви
nama	імена
perbandaran	муніципалітет
perbandaran	край
perbandaran	муніципальна
perbandaran	муніципальний
boleh	можна
filem	films
filem	фільми
filem	фільмів
filem	фільм
filem	кіно
filem	фільм
filem	плівка
filem	знімали
filem	фільми
filem	кіно
timur	схід
timur	тимур
timur	східна
timur	східної
timur	східні
digunakan	використовується
digunakan	використана
digunakan	використані
digunakan	використано
dua	два
dua	дві
dua	двоє
dua	двох
dua	двійка
pertama	перше
pertama	перша
pertama	перший
perempuan	жінка
perempuan	самиць
perempuan	жінок
perempuan	жінки
svg	svg
svg	wmf
india	індійська
india	індійський
india	індію
india	індія
india	індії
senarai	перелік
senarai	list
senarai	список
dia	діа
presiden	президент
presiden	президенти
terbang	fly
terbang	літати
terbang	муха
terbang	лети
terbang	польоту
terbang	прилетіли
terbang	пролетів
terbang	полетіли
terbang	летів
terbang	прилетіла
dunia	світовий
dunia	світ
dunia	світе
dunia	world
kerana	адже
kerana	бо
bahawa	той
laut	море
selepas	після
selatan	південна
selatan	південний
selatan	південна
selatan	південь
selatan	південний
stadium	стадіонів
stadium	стадіон
stadium	стедіум
tempat	місце
tempat	місць
tempat	місця
tempat	місцини
besar	великі
besar	великих
besar	великі
besar	велике
besar	велика
besar	великий
besar	біг
tetapi	але
antara	поміж
antara	між
pelajar	студенти
pelajar	учням
pelajar	студентів
pelajar	студентам
pelajar	учні
pelajar	студентка
pelajar	студентська
pelajar	студент
utara	північна
utara	норт
utara	північний
utara	північ
utara	північна
utara	північний
utara	північне
syarikat	корпорація
syarikat	компанія
syarikat	компанії
syarikat	компаній
syarikat	компаніями
beberapa	декілька
jumlah	суми
jumlah	сума
jumlah	суму
jumlah	усього
jumlah	всього
jumlah	загалом
jumlah	загальна
jumlah	загальний
republik	республіканська
republik	республіка
kumpulan	група
kumpulan	групова
kumpulan	груповий
kumpulan	групу
kumpulan	спільнота
kumpulan	групи
kumpulan	груп
kumpulan	спільноти
tentera	військові
tentera	військовий
tentera	вояки
tentera	солдати
tentera	солдатам
tentera	армії
tentera	армія
tentera	військо
tentera	армійський
amerika	американський
amerika	американець
amerika	американські
amerika	американська
amerika	американської
amerika	америка
amerika	amerika
amerika	америки
amerika	америка
turki	туреччина
turki	турки
turki	турецька
turki	турецький
turki	турецькою
turki	турецькі
baru	нові
baru	нове
baru	нова
baru	новий
baru	створити
buah	ягід
buah	ягода
buah	фрукт
buah	фрукти
buah	плід
buah	плоди
buah	фруктові
buah	фрукти
buah	плоди
jawa	java
jawa	ява
jawa	яванська
bawah	внизу
bawah	знизу
bawah	під
bawah	under
hari	день
hari	дню
hari	дня
