در	uks
رده	klass
رده	klassi
از	alates
از	kellelt
که	kes
که	keda
که	see
که	seda
این	see
این	selle
این	seda
را	make
با	koos
میلادی	aastakümne
یک	ühe
یک	üks
سال	aastad
سال	sal
سال	aasta
آن	anne
ایران	iraani
ایران	iraan
برای	for
اهل	ahl
شهرستان	maakond
آمریکا	ameerika
فهرست	nimekiri
فهرست	loetelu
فهرست	loend
فهرست	kataloog
فهرست	kataloogi
بود	oli
او	ta
او	tema
او	teda
او	teda
او	tema
تا	mai
تا	kuni
وابسته	omadussõna
وابسته	sõltuv
وابسته	sõltuvad
وابسته	seotud
وابسته	seostatud
فوتبال	jalgpall
فوتبال	jalgpall
ساعت	tundides
ساعت	tunde
ساعت	tunnid
ساعت	tundi
ساعت	tund
ساعت	kell
ساعت	kella
پایه	alus
پایه	sihtasutus
پایه	fond
پایه	vundament
پایه	baasi
پایه	baas
پایه	alus
پایه	sihtasutuste
پایه	põhi
پایه	põhiline
نام	nimi
نام	nimetus
نام	name
نام	nime
استان	provints
استان	regioon
استان	piirkond
شهر	linn
شهر	linna
شهر	linn
شهر	linna
شهر	city
ملی	siseriiklikud
ملی	riiklik
ملی	riiklikud
ملی	siseriiklik
کشور	riik
تاریخ	kuupäev
تاریخ	ajalugu
تاریخ	ajaloo
فیلم	filmi
فیلم	film
فیلم	filmi
فیلم	kile
فیلم	film
فیلم	filmid
بخش	osakond
بخش	sektor
بخش	lõik
بخش	sektsioon
بخش	jagu
بخش	ringkond
بخش	rajoon
جمعیت	rahvamassid
جمعیت	rahvas
جمعیت	publik
جمعیت	populatsioon
جمعیت	populatsiooni
جمعیت	rahvastik
جمعیت	elanikkond
جمعیت	rahvaarv
دو	kaks
اثر	efekt
اثر	mõju
اثر	toime
پس	seejärel
پس	siis
یکی	keegi
یکی	ühe
یکی	üks
بازیکنان	mängijad
آثار	esemeid
آثار	mõjud
آثار	mõju
آثار	toime
وی	wei
وی	wii
روستاهای	külad
روستاهای	külasid
دیگر	rohkem
دیگر	muu
دیگر	muud
دیگر	teine
دیگر	muud
دیگر	teised
می	mai
عنوان	pealdis
عنوان	caption
پیوند	lingi
پیوند	link
پیوند	seos
پیوند	seotud
پیوند	side
پیوند	bond
پیش	enne
بحث	väites
بحث	arutelu
بیرون	välja
بیرون	väljas
بیرون	out
افراد	inimesed
افراد	rahvas
افراد	people
دوره	kurss
دوره	kursus
دوره	periood
دوره	perioodi
دوره	ajavahemik
دهه	aastakümnete
دهه	aastakümneid
دهه	aastakümne
متر	meetrit
متر	meetri
متر	meeter
متر	meetri
متر	meetrit
متر	meetri
متر	meeter
کاربر	kasutaja
مناطق	piirkonnad
مناطق	alad
مناطق	valdkonnad
مناطق	piirkonnad
هر	iga
هر	iga
باشگاه	klubi
باشگاه	club
باشگاه	võimla
باشگاه	jõusaal
شهرهای	omavalitsused
دانشگاه	ülikool
دانشگاه	kolleegium
دانشگاه	kolledž
مورد	case
مورد	kohtuasi
مورد	juhtum
سده	sajandi
سده	sajand
ثبت	metsaraie
ثبت	log
ثبت	logi
وجود	olemasolu
زبان	keeli
زبان	keeled
زبان	keele
زبان	keel
زبان	keele
زادگان	järglane
زادگان	järeltulija
مسکونی	elamu
شماره	number
شماره	arv
کار	töö
کار	töökoht
کار	tööd
کار	töö
کار	tööle
کار	töötamine
اما	aga
اما	kuid
بازیگران	filmimine
بازیگران	näitlejad
روی	roy
روی	tsink
فرودگاه	lennujaam
صورت	näoga
صورت	näo
صورت	nägu
صورت	face
مرکز	kesksed
مرکز	kesk
مرکز	keskosa
مرکز	keskne
مرکز	keskus
مرکز	keskele
مرکز	center
مرکز	keskel
مرکز	keskus
زمان	zaman
زمان	kellaaeg
زمان	aeg
زمان	aja
زمان	ajas
زمان	aega
شرکت	ettevõtte
شرکت	äriühing
شرکت	ettevõte
شرکت	seltskond
شرکت	osale
شرکت	osalema
مقاله	essee
مقاله	artikkel
مقاله	artiklid
تیم	tim
تیم	timi
تیم	tiim
تیم	meeskond
مرد	mehel
مرد	mees
مرد	man
انگلیسی	inglise
نظر	kommentaari
نظر	kommentaar
نظر	arvamus
جهانی	rahvusvaheline
جهانی	rahvusvahelised
جهانی	international
جهانی	universaalne
جهانی	ülemaailmne
جهانی	global
جهانی	globaalsed
جهانی	globaalne
جهانی	ülemaailmse
جهانی	maailma
جهانی	maailm
همچنین	samuti
همچنین	ka
همچنین	liiga
زندگی	elamine
زندگی	elav
زندگی	life
زندگی	elu
زن	naise
زن	naine
زن	naissoost
زن	naise
زن	naine
زیر	all
زیر	allpool
زیر	all
آنها	neid
آنها	nad
هستند	on
جوایز	auhinnad
جوایز	auhinnad
روستا	küla
روستا	külas
