dhe	og
një	one
një	en
një	ett
një	én
nga	fra
nga	from
nga	frå
për	for
edhe	even
edhe	selv
edhe	tilogmed
edhe	sjølv
tij	hans
tij	sin
nuk	ikke
nuk	not
nuk	ikkje
ishte	var
janë	finst
janë	are
janë	er
duke	having
shumë	svært
shumë	very
shumë	meget
shumë	veldig
por	men
pas	etter
pas	after
pas	etterpå
pas	efter
pas	følgende
pas	følger
këtë	this
këtë	dette
këtë	denne
këtë	detta
parë	sett
tyre	sine
tyre	deres
tyre	them
tyre	dem
mund	kunne
mund	kan
mund	can
gjatë	lenge
gjatë	lang
gjatë	lange
gjatë	lengter
gjatë	long
disa	some
disa	noen
disa	enkelte
lidhje	koblinger
lidhje	linker
lidhje	lenker
lidhje	relasjon
lidhje	forholdet
lidhje	forhold
lidhje	forbindelse
lidhje	tilkobling
lidhje	link
lidhje	kobling
lidhje	lenke
kjo	this
kjo	dette
kjo	denne
kjo	detta
kjo	det
kjo	at
kur	when
kur	når
mbi	overstått
mbi	over
mbi	bortom
mbi	ovenfor
mbi	over
mbi	above
deri	till
deri	until
deri	inntil
jashtme	ekstern
jashtme	eksternt
jashtme	eksterne
jashtme	utvendig
jashtme	utvendige
jashtme	eksteriør
saj	dets
saj	sine
saj	sin
saj	its
saj	hennes
saj	henne
kishte	hadde
kishte	hatt
ajo	hun
ajo	she
vetëm	alone
vetëm	åleine
vetëm	alene
vetëm	aleine
vetëm	berre
vetëm	only
vetëm	bare
vetëm	kun
vetëm	berre
vetëm	akkurat
vetëm	bare
vetëm	nettopp
vetëm	just
ata	them
ata	dem
ata	de
ata	de
ata	they
tjera	andre
tjera	annet
tjera	annen
pjesë	delene
pjesë	deler
pjesë	del
atë	ham
atë	him
shqiptare	albansk
madhe	big
madhe	store
madhe	stor
madhe	stort
rreth	om
rreth	angående
rreth	omtrent
rreth	rundt
rreth	around
rreth	omkring
para	money
para	penger
para	kontant
para	cash
para	kontanter
para	before
para	før
ishin	var
per	om
per	angående
per	omtrent
per	for
këto	desse
këto	disse
banorë	beboerne
banorë	beboere
komuna	kommune
cila	hvilket
cila	hvilken
nje	one
nje	en
nje	ett
nje	én
kundër	disken
kundër	mot
madh	enormt
lista	liste
lista	list
lista	listen
lista	lister
qenë	vært
qenë	vore
kantoni	kanton
gjithashtu	òg
gjithashtu	også
ndërsa	mens
cilat	hvilket
cilat	hvilken
ndryshme	annerledes
ndryshme	ulike
ndryshme	forskjellige
ndryshme	forskjellig
ndryshme	divergent
etj	etc
etj	osv
duhet	trenge
duhet	treng
duhet	need
duhet	behov
duhet	trenger
duhet	må
duhet	must
sipërfaqe	overflater
sipërfaqe	overflate
sipërfaqe	overflaten
ato	them
ato	dem
ato	de
ato	they
ato	de
përgjithshëm	generell
përgjithshëm	generelt
përgjithshëm	general
tjetër	andre
tjetër	annet
tjetër	annen
tjetër	nestemann
tjetër	neste
tjetër	next
njohur	velkjent
njohur	kjenner
njohur	kjent
njohur	gjenkjent
njohur	anerkjente
njohur	anerkjent
njohur	gjenkjent
njohur	anerkjent
njohur	kjente
njohur	kjent
shqiptar	albansk
style	stil
dytë	sekund
dytë	andre
dytë	second
mirë	flinke
mirë	flink
mirë	godt
mirë	dyktig
mirë	god
mirë	bra
fundit	siste
fundit	sist
fundit	nyeste
fundit	seneste
fundit	siste
pasi	etter
pasi	after
pasi	etterpå
pasi	efter
shiko	skjønner
shiko	see
shiko	se
shiko	sjå
shiko	titt
shiko	look
shiko	se
nën	nedenfor
nën	below
nën	under
nën	sub
nën	under
jpg	jpg
herë	brette
herë	folder
herë	tidspunkter
herë	tider
herë	tidene
herë	ganger
herë	times
viti	årsmodell
viti	året
viti	år
sot	today
sot	idag
çdo	every
çdo	hver
çdo	hvert
çdo	noen
çdo	any
lartë	high
lartë	rus
lartë	høy
lartë	høyt
lartë	høgt
popullsi	befolkningen
popullsi	befolkning
kosovës	kosovo
komunë	kommune
jetë	liv
jetë	livet
jetë	life
president	president
president	presidenten
bërë	done
bërë	gjort
bërë	ferdig
mes	middle
mes	midtre
mes	midten
mes	midten
mes	mid
mes	mellom
vonë	sen
vonë	seint
vonë	sein
vonë	sent
vend	fedreland
vend	landet
vend	land
vend	country
vend	spisested
vend	place
vend	sted
shqipëri	albania
pak	lille
pak	lite
pak	liten
pak	litt
francë	frankrike
francë	france
fshat	landsbygda
fshat	landsby
fshat	village
fshat	bygda
zyrtare	offisielt
zyrtare	offisiell
zyrtare	official
zyrtare	offisielle
kryetari	høyttaler
kryetari	formann
kryetari	ordstyrer
kryetari	styreleder
pasur	hadde
pasur	hatt
pasur	rikt
pasur	rike
pasur	rik
pasur	rich
sepse	because
sepse	fordi
sepse	sak
sepse	årsak
sepse	forårsake
kishin	hadde
kishin	hatt
vitet	ar
vitet	årevis
vitet	år
tre	trillinger
tre	tre
tre	three
fund	skjørt
fund	avslutning
fund	avslutt
fund	ende
fund	slutt
marrë	tatt
tjerë	andre
harta	kart
harta	kart
mbreti	konge
mbreti	dobbelseng
midis	mellom
vogël	tiny
vogël	bittelite
vogël	bitteliten
vogël	bitte
kosovë	kosovo
vjet	ar
vjet	årevis
vjet	år
përbëhet	består
përbëhet	bestå
pastaj	deretter
pastaj	så
pastaj	da
shtetit	stat
shtetit	staten
shtetit	delstater
shtetit	state
shtetit	tilstand
shtetit	delstat
tiranë	tirana
kombëtare	nasjonale
kombëtare	national
kombëtare	nasjonal
kombëtare	nasjonalt
emrin	namn
emrin	navnet
emrin	navn
mori	mottok
mori	mottatte
mori	mottatt
mori	tok
mori	avla
filloi	started
filloi	begynte
filloi	begynt
filloi	startet
filloi	starta
ish	tidligere
mars	marsjer
mars	march
mars	marsj
mars	mars
mars	marsjere
mars	mars
file	fil
presidenti	president
presidenti	presidenten
lindur	born
lindur	født
lindi	lindi
lindi	lindy
lindi	fødsel
lindi	fødselen
kryesore	main
kryesore	hoved
qyteti	town
qyteti	byen
qyteti	by
qyteti	city
qyteti	byen
qyteti	poststed
qyteti	by
politike	politisk
qershor	juni
qershor	june
pse	hvorfor
pse	why
pse	kvifor
maj	mai
maj	may
vetë	førstehånds
vetë	self
nëntor	november
janar	januar
thotë	sier
thotë	says
shtator	september
vet	hans
vet	sin
brenda	brenda
brenda	innenfor
brenda	innafor
brenda	inside
brenda	innsiden
brenda	innvendig
brenda	inne
shteteve	stater
shteteve	delstater
kryesisht	hovedsakelig
kryesisht	hovedsaklig
