čtvrtí	naseljima
střecha	krovu
střecha	krov
střecha	krovu
laura	laura
návštěvy	posjetioci
návštěvy	posjeta
harris	haris
harris	harris
bloky	blokovi
detroit	detroit
součet	sum
součet	suma
jamie	jamie
psí	psa
psí	pas
psí	dog
psí	ker
skotsko	škotska
třebaže	iako
amd	amd
fred	fred
rangers	rangers
regulace	propis
sektoru	sektor
špatný	loše
špatný	bad
špatný	loš
přesný	tačna
přesný	tačan
přesný	tačan
masaryk	masaryk
organismů	organizmi
organismů	organizme
příbuzných	rodbina
rezignaci	ostavke
rezignaci	ostavku
rezignaci	ostavka
raymond	raymond
etapa	faze
etapa	faza
etapa	nogu
etapa	noga
etapa	faza
etapa	bina
kolonií	kolonije
kolonií	kolonija
kolonií	kolonija
všiml	primijetili
naučil	naučila
naučil	naučili
naučil	saznao
naučil	naučio
naučil	učio
naučil	učili
bobby	bobi
bobby	bobby
plná	pun
plná	full
plná	puna
plná	punom
plná	puni
plná	punu
efekty	uticaji
efekty	efekti
náboženská	vjerski
náboženská	vjersko
náboženská	vjerskim
náboženská	vjerska
náboženská	vjerskih
náboženská	vjerske
zničil	uništenog
stvoření	stvorenja
stvoření	stvorenje
arsenal	arsenal
mechanické	mehanički
mechanické	mašinski
mechanické	mašinsko
zámky	brave
bohatá	bogata
bohatá	bogato
bohatá	bogati
bohatá	bogatim
bohatá	bogat
ubytování	smještaja
odpovědnost	odgovornost
odpovědnost	nadležnosti
odpovědnost	odgovornosti
odpovědnost	odgovornost
rosa	rosa
rosa	dew
mtv	mtv
šestnáct	šesnaest
sainte	sainte
implementace	implementaciju
head	glava
rob	rob
podává	služi
provádění	implementaciju
simona	simon
simona	simona
sopky	vulkana
sopky	vulkani
hluboce	duboko
harold	harold
pohřeb	sahrane
pohřeb	ukop
pohřeb	sahrane
pouště	pustinja
pouště	pustinja
rusové	rusi
ferrer	ferrera
použité	korištene
použité	koristi
použité	korišteno
použité	korišten
mclaren	mclaren
luisa	louisa
nejnovější	najnovije
nejnovější	najnoviji
nejnovější	najnovija
nejnovější	najnovije
žádá	pita
special	posebna
special	specijalno
special	specijalni
stínu	sjeni
stínu	hladu
stínu	hlad
kompatibilní	kompatibilne
technologii	tehnologija
lang	lang
clark	clark
ekonomický	ekonomske
ekonomický	ekonomska
ekonomický	ekonomski
ekonomický	ekonomske
porážka	pokolj
porážka	poraz
porážka	poraza
obojí	oboje
nést	prenose
lisa	lisa
jay	jay
blíží	prilazi
blíží	približava
eagle	orao
naznačuje	predlaže
naznačuje	sugeriše
naznačuje	sugerira
naznačuje	ukazuje
andersson	andersson
věřící	vjernika
věřící	vjernici
věřící	vjernik
rytíři	vitezova
rytíři	vitez
rytíři	skakač
rytíři	viteza
profesní	profesionalne
profesní	profesionalna
profesní	profesionalni
profesní	professional
nováček	novice
výslovnost	pronunciation
transportní	transporter
poražen	pretučen
poražen	poraženi
poražen	poražena
poražen	porazila
poražen	porazio
ukončit	kraj
vznikající	nastajanju
chráněný	zaštićeni
chráněný	zaštićen
chráněný	zaštićena
nejvíc	većina
poznatky	nalaze
poznatky	nalazima
poznatky	nalazi
projít	proći
projít	pass
úvahy	reflections
existovalo	postojala
existovalo	postojalo
existovalo	postojao
existovalo	postojale
fungují	radovi
fungují	funkcioniše
fungují	radi
kolektivní	collective
kolektivní	kolektivni
kolektivní	kolektivna
kolektivní	kolektiv
norman	norman
norman	normana
zničeno	uništene
zničeno	uništen
zničeno	uništena
zničeno	uništeni
zničeno	uništenog
rudy	rudija
rudy	ruda
hosté	gostiju
hosté	gosti
klima	klima
uprchl	pobjegao
obr	div
platné	važeći
teoretické	teoretski
teoretické	teorijska
ministrů	ministri
geometrie	geometrija
vnuk	unuk
bis	bis
evans	evansa
evans	evans
neil	neil
neil	nil
gnu	gnu
sekundy	sekundi
některý	neki
ovládá	kontroliše
ovládá	kontrolisanje
mezinárodně	međunarodno
poranění	povrede
poranění	povreda
poranění	povrede
poranění	povredama
kytary	guitars
eds	eds
marina	marina
akt	acp
akt	ponašaju
akt	čin
akt	akt
ltd	ltd
teplé	toplim
teplé	toplom
teplé	tople
vypracoval	izrađena
vypracoval	izrađen
vypracoval	izradila
španělsky	španski
ekologické	okoliša
ekologické	ekološke
ekologické	ekološka
ekologické	organska
obal	ambalaže
obal	pokriti
obal	pokrivaju
obal	pokriće
roků	godina
partnerství	partnerstvo
partnerství	partnerstvu
kladně	pozitivno
napsáno	pisani
napsáno	napisano
napsáno	zapisano
napsáno	napisao
napsáno	pisan
napsáno	pisao
místnost	sobu
místnost	soba
místnost	sobe
autobus	autobus
vlád	vlade
rámec	framework
rámec	okvir
rámec	okvir
krásný	lijepe
krásný	lijepa
instrukce	nastavu
instrukce	nastava
instrukce	uputstvu
instrukce	uputstva
instrukce	upute
instrukce	instrukcije
chovu	uzgojem
splnění	ispunjavanje
splnění	ispunjenje
změněn	izmijenio
front	ispred
front	front
diego	diego
werner	werner
dáma	ledi
dáma	dami
dáma	dama
dáma	lady
stb	stb
komunistická	komunistička
komunistická	komunistički
experiment	eksperiment
experiment	eksperimentu
rukopis	rukopis
richter	richter
vltava	vltava
subjekty	entiteta
subjekty	subjekti
přísně	strogo
atentát	atentat
snížit	smanji
snížit	smanjenja
snížit	smanjenje
discovery	otkriće
grafika	grafički
grafika	grafika
úkolů	zadaci
kirk	kirk
podzemí	underground
podzemí	podzemni
podzemí	podzemna
identity	identitet
identity	identiteta
hráz	brana
ukázala	pokazao
ukázala	pokazala
ukázala	pokazali
blokování	blokirati
blokování	blokirati
definitivní	definisanu
definitivní	definitivan
ponorka	podmornica
smíšený	mješovite
smíšený	mješovita
kritizoval	kritikovao
kritizoval	kritizirao
kritizoval	kritiziran
plošina	platforma
plošina	platformi
plošina	platformu
plošina	platforme
plošina	platou
plošina	plato
sedí	sjede
sedí	odgovara
sedí	uklapa
hladina	nivo
svatební	vjenčanje
svatební	vjenčanja
udržuje	održava
udržuje	čuva
abecedy	abeceda
povinné	obaveznim
povinné	obavezno
povinné	obavezni
povinné	obavezan
povinné	obaveznog
povinné	obavezno
ústní	usmena
dně	dno
tis	tis
řecká	grčki
kapacitu	kapacitet
kapacitu	kapaciteti
odolnost	otpor
odolnost	otpornost
odolnost	otpornosti
připojit	povezivanje
připojit	povezivati
připojit	povezati
připojit	povezivanja
připojit	append
zajímavý	zanimljiva
zajímavý	zanimljivo
zajímavý	interesantan
zajímavý	interesantno
zajímavý	zanimljiv
classic	klasični
classic	classic
classic	klasik
přispívá	doprinosi
vyhrát	pobjeda
vyhrát	pobijedi
vyhrát	osvoji
jídla	hrana
jídla	obroka
turistika	turizam
turistika	planinarske
rozhovory	razgovori
