irmandade	veljeskunta
mack	make
mack	mack
carter	carter
compaña	yritys
compaña	yhtiö
compaña	seura
compaña	komppania
cabana	mökki
cabana	mökin
creas	uskoa
creas	uskoo
creas	usko
creas	sinä
berres	huutaa
berres	huuda
berres	don
dezasete	seitsemäntoista
faite	sinä
matado	tapettu
matado	tappanut
matado	tappoi
victoria	voittoa
victoria	voitto
crees	sinä
crees	ajattele
crees	mieti
luvas	käsineet
luvas	hanskat
decreto	asetus
acusacións	syytökset
acusacións	syytöksiä
acusacións	syytteet
acusacións	maksut
acusacións	kulut
césar	caesar
pasalo	hauska
pasalo	hauskaa
pasalo	kivaa
roger	roger
vindo	tulee
vindo	tulossa
vindo	tullaan
bagdad	bagdadin
bagdad	bagdadissa
cago	helvetti
cervo	peura
cervo	hirvi
cervo	peuran
cervo	hirvi
matarme	tapa
matarme	tappaa
matarme	tappakaa
atacaron	ne
atacaron	he
atacaron	hyökkäsi
atacaron	hyökätty
quixeches	sinä
quixeches	etsintäkuulutettu
quixeches	haluttu
quixeches	halusi
xenerosa	antelias
culto	kultti
irlandesa	irlanti
irlandesa	irish
irlandesa	irlantilaiset
irlandesa	irlannin
irlandesa	irlantilainen
sicilia	sisilia
sicilia	sisilian
reich	reich
déronme	ne
déronme	he
déronme	antanut
déronme	antoi
lagoa	laguuni
meniña	pieni
meniña	pikku
meniña	vähä
meniña	likka
meniña	girl
meniña	tyttö
católicos	katolilaiset
católicos	katolinen
católicos	katolilainen
pasear	kävellä
pasear	kävely
pasear	varten
clans	klaani
clans	klaanin
clans	klaanit
hmong	hmong
leland	leland
klaus	klaus
pablo	pablo
nomura	nomura
cuarteto	kvartetin
estivesen	ne
estivesen	he
estivesen	olivat
estivesen	olivatko
corría	juoksu
corría	juoksevat
corría	juoksee
corría	käynnissä
corría	oli
corría	oliko
ensino	opeta
ensino	opettaa
ensino	opettaa
ensino	opettaminen
ensino	opetus
ensino	opetusta
informática	tietokoneet
informática	tietokone
informática	tietokoneen
técnicas	tekniikat
técnicas	tekniikoita
confesión	tunnustus
