williamsi	williams
kapp	armário
kapp	roupeiro
kapp	closet
kapp	armário
kapp	gabinete
sánchez	sánchez
väliselt	externamente
kuku	fall
kuku	outono
kuku	queda
tutvustati	introduzida
tutvustati	introduziu
tutvustati	introduzidas
tutvustati	introduzidos
tutvustati	introduzido
põhikiri	estatutos
põhikiri	estatuto
põhikiri	estatutos
cameron	cameron
ulatuslikud	extensa
ulatuslikud	extenso
ulatuslikud	extensas
ulatuslikud	extensiva
grace	graça
grace	grace
thbilisi	tbilisi
auk	buraco
auk	hole
auk	furo
auk	pit
nižni	nizhny
koerad	cães
koerad	cachorros
võitlejad	combatentes
võitlejad	combatentes
võitlejad	lutadores
võitlejad	caças
zürich	zurique
morris	morris
kontserdil	concerto
kontserdil	concertos
kontserdil	concert
poliitikast	politica
poliitikast	política
friuli	friuli
schumacher	schumacher
cis	cis
cis	ic
cis	sci
cis	sia
cis	cei
doyle	doyle
tagasiside	opiniões
tagasiside	opinião
tagasiside	feedback
tagasiside	comentários
kõrvits	abóbora
manfred	manfred
toitainete	nutrientes
toitainete	nutrientes
caspar	caspar
bobby	bobby
sumeri	suméria
simone	simone
tenor	tenor
eemaldamine	remoção
eemaldamine	removendo
eemaldamine	remover
eemaldamine	remova
eemaldamine	remover
eemaldamine	eliminar
eemaldamine	afastamento
eemaldamine	remoção
ball	bola
ball	ball
globaalne	global
globaalne	globais
key	chave
key	tecla
key	chaves
key	key
tõestatud	provada
tõestatud	comprovado
tõestatud	comprovada
tõestatud	provado
toetajad	partidários
toetajad	apoiantes
toetajad	apoiadores
toetajad	adeptos
vähk	câncer
vähk	cancro
vähk	cancer
coq	coq
ato	ato
bahama	bahamas
larsson	larsson
kandidatuuri	candidatura
kandidatuuri	nomeação
viola	viola
ookean	oceanos
ookean	oceano
jäljed	trilhas
jäljed	trilhos
jäljed	faixas
jäljed	traces
jäljed	traços
jäljed	vestígios
lyoni	lyon
võtmine	levando
võtmine	tomando
pravda	pravda
kultuuriline	cultural
kultuuriline	culturais
kohtumised	encontros
kohtumised	reuniões
vastupidine	inverso
vastupidine	inversa
vastupidine	inverter
vastupidine	reverter
vastupidine	inverso
vastupidine	oposta
