par	pour
gada	annuelle
gada	annuels
gada	annuel
gada	annuelle
gada	annuels
gada	annuel
arī	également
arī	aussi
arī	egalement
bija	avait
bija	avaient
bija	avais
bija	fut
bija	etait
bija	était
kas	quoi
kas	quel
kas	quelle
kas	qui
kas	oms
kas	who
kas	lesquels
kas	laquelle
kas	lequel
tika	fut
tika	etait
tika	était
pēc	apres
pēc	after
pēc	après
pēc	aprés
bet	mais
latvijas	lettonie
latvijas	lettone
latvijas	lettons
latvijas	letton
var	mai
var	may
var	peut
var	peuvent
var	pouvez
var	peux
var	peut
tiek	etre
tiek	être
saites	cravates
saites	liens
laikā	durant
laikā	pendant
laikā	lors
tas	ceci
tas	cet
tas	cette
tas	cela
tas	ce
tas	que
tas	cela
dzimis	naître
dzimis	né
dzimis	naissance
dzimis	née
dzimis	born
valsts	pays
valsts	etat
valsts	état
nav	not
nav	non
nav	pas
nav	aucun
nav	néant
nav	aucune
tās	sa
tās	ses
tās	son
tās	elles
tās	ils
tās	eux
atrodas	situés
atrodas	située
atrodas	localisé
atrodas	situé
gan	both
tikai	seul
tikai	uniquement
tikai	seulement
tikai	seule
tikai	just
tikai	simplement
tikai	juste
latviešu	lettonie
latviešu	lettone
latviešu	lettons
latviešu	letton
viņa	sa
viņa	his
viņa	ses
viņa	son
viņa	she
viņa	elle
asv	usa
kad	lorsque
kad	quand
gadu	annee
gadu	an
gadu	année
pilsētas	bourgs
pilsētas	villes
pilsētas	urbain
pilsētas	urbaines
pilsētas	urbains
kur	oú
kur	où
vieta	lieu
vieta	place
vieta	endroit
vieta	lieu
vieta	localisation
vieta	emplacement
vieta	localité
vieta	lieu
vieta	site
kļuva	devenus
kļuva	devenu
kļuva	devenue
kļuva	devint
kara	guerre
kara	war
iela	rues
iela	street
iela	rue
jau	déja
jau	déjà
jau	deja
jau	dejà
miris	décédée
miris	décédés
miris	défunt
miris	décédé
miris	morts
miris	morte
miris	dead
miris	mort
novada	déchargé
kopā	totale
kopā	total
kopā	totaux
kopā	ensemble
kopā	together
krievijas	russes
krievijas	russe
attēls	photo
attēls	image
attēls	image
attēls	chiffre
attēls	figure
starp	entre
pilsēta	ville
pilsēta	ville
pilsēta	villes
vēlāk	ultérieur
viens	un
viens	une
viens	one
pret	contre
pret	against
eiropas	européens
eiropas	européennes
eiropas	européenne
eiropas	européen
taču	mais
utc	utc
utc	tuc
tomēr	toutefois
tomēr	cependant
kopš	depuis
kopš	puisque
ļoti	très
ļoti	tres
ļoti	trés
vācu	allemand
vācu	allemands
vācu	allemande
vēl	still
vēl	encore
vēl	toujours
vēl	pourtant
viena	un
viena	une
viena	one
pagasts	paroisse
vairāk	davantage
vairāk	plus
daļa	partie
daļa	partage
daļa	share
daļa	part
daļa	partager
daļa	partagez
jpg	jpg
rīgā	riga
tad	ensuite
tad	alors
tad	puis
kuras	lesquels
kuras	laquelle
kuras	lequel
tie	elles
tie	ils
tie	eux
pirms	auparavant
pirms	avant
zemes	earth
zemes	terre
zemes	terre
zemes	terrain
zemes	terres
zemes	moulu
šaha	échecs
šaha	echec
kura	lesquels
kura	laquelle
kura	lequel
pirmā	première
pirmā	premières
pirmā	premier
pirmā	premiers
centrs	center
centrs	centrer
centrs	centre
centrs	centre
psrs	urss
kurš	qui
kurš	oms
kurš	who
trīs	trois
trīs	three
viņu	leur
viņu	leurs
viņu	lui
parasti	typiquement
parasti	habituellement
parasti	généralement
parasti	généralement
parasti	habituellement
parasti	généralement
parasti	normalement
parasti	habituel
parasti	habituelle
pat	meme
pat	même
pat	pat
jūras	marin
jūras	marins
jūras	marine
http	http
pirmais	première
pirmais	premières
pirmais	premier
pirmais	premiers
spēles	jeux
nosaukums	nommer
nosaukums	nom
nosaukums	dénomination
nosaukums	noms
team	équipe
team	equipe
sezonas	saisonniers
sezonas	saisonnier
sezonas	saisonnière
sezonas	saison
sezonas	saisons
sezonas	saisons
visu	tout
visu	toute
visu	toutes
visu	tous
visu	tout
visu	all
grupas	groupe
grupas	groupes
vienu	un
vienu	une
vienu	one
rīga	riga
ieguva	acquise
ieguva	acquises
ieguva	acquis
ieguva	gagné
ieguva	gagnée
ieguva	gagnées
ieguva	won
ieguva	gagnés
laika	temps
laika	météorologie
laika	météo
laika	climat
laika	intempéries
laika	temps
laika	heure
gads	annee
gads	an
gads	année
skatīt	consultez
skatīt	voyez
skatīt	voir
skatīt	vois
centra	centre
otrā	second
otrā	deuxième
otrā	deuxieme
otrā	seconde
padomju	soviétique
padomju	soviet
padomju	soviétiques
padomju	planches
krievu	russes
krievu	russe
krievu	russo
score	marquer
score	score
score	partition
angļu	anglaise
angļu	francais
angļu	anglais
profils	profil
profils	profils
vācijas	allemand
vācijas	allemands
vācijas	allemande
vācijas	allemagne
bez	sans
tautas	populaires
tautas	populaire
tautas	folk
tautas	peuples
apmēram	approximativement
apmēram	environ
garums	longueur
garums	longueurs
garums	longitude
daudz	lots
daudz	nombreux
daudz	beaucoup
daudz	nombreuses
daudz	plusieurs
daudz	much
daudz	beaucoup
divas	two
divas	deux
komandas	commandements
komandas	commandes
komandas	équipes
komandas	equipes
jānis	jānis
pils	château
pils	chateau
pils	diss
pils	palais
pils	palace
vietas	spot
vietas	localisations
vietas	lieux
vietas	endroits
vietas	lieux
valodas	langues
reizes	plier
reizes	rabattre
reizes	plié
reizes	pli
pašlaik	actuellement
pašlaik	présentement
romas	rome
sezonā	saison
sezonā	saisons
novads	municipalité
novads	kraï
sākumā	initialement
grupa	groupe
piedalījās	participé
šis	ceci
šis	cet
šis	cette
šis	cela
šis	ce
valodā	authentiques
valodā	authentique
ūdens	eaux
ūdens	eau
bieži	commune
bieži	fréquent
bieži	fréquents
bieži	commun
šīs	ces
ģints	genre
tiesības	privilèges
tiesības	privilège
tiesības	droite
tiesības	droit
tiesības	droits
valoda	langue
valoda	langage
valoda	langues
tāpat	pareillement
polijas	polonaise
polijas	polonaises
polijas	polonais
polijas	pologne
fon	von
janvārī	janvier
sugas	espèces
sugas	espèce
pasaulē	mondiale
pasaulē	mondial
pasaulē	monde
pasaulē	mondial
pasaulē	mondiale
jūlijā	juillet
ciems	village
citas	autre
citas	autres
citas	autres
skaits	compter
skaits	compte
skaits	comte
skaits	nombre
skaits	numéro
ziemeļu	nord
ziemeļu	nordiques
ziemeļu	nordique
ziemeļu	septentrionale
ziemeļu	nordique
ziemeļu	septentrional
ziemeļu	northern
ziemeļu	nord
suga	espèces
suga	espèce
spēlē	jouer
spēlē	jouez
spēlē	jouer
spēlē	jouant
aptuveni	env
aptuveni	grossièrement
aptuveni	approximativement
aptuveni	environ
mūzikas	musicale
mūzikas	musical
apriņķis	comté
upes	fleuve
upes	rivière
upes	fleuves
upes	rivières
komanda	commandement
komanda	commande
komanda	équipe
komanda	equipe
izlases	random
izlases	hasard
izlases	aléatoire
izlases	aléatoires
martā	marche
martā	mars
amerikāņu	américaine
amerikāņu	américain
amerikāņu	américaines
amerikāņu	américains
lietuvas	lituanie
lietuvas	lituaniens
lietuvas	lituanien
lietuvas	lituanienne
novembrī	novembre
augustā	aout
augustā	août
dienas	jours
dienas	journées
dienas	quotidien
dienas	quotidiens
dienas	journalier
dienas	quotidienne
reizi	jadis
reizi	once
jūnijā	juin
armijas	armées
armijas	armée
klubs	club
cilvēku	humaine
cilvēku	humains
cilvēku	humain
com	ocm
com	com
sākās	commencé
sākās	démarré
sākās	commencée
sākās	commencé
salas	îles
salas	iles
līgas	league
līgas	ligue
hokeja	hockey
decembrī	décembre
decembrī	decembre
ezers	lac
dzelzceļa	ferroviaire
dzelzceļa	rail
francijas	francais
francijas	française
francijas	français
francijas	françaises
iespējams	éventuellement
iespējams	possiblement
iespējams	possible
iespējams	possibles
septembrī	septembre
gadus	années
gadus	ans
baltijas	baltique
baltijas	baltes
impērijas	empires
impērijas	imperia
oktobrī	octobre
daļas	pièces
daļas	parties
izmanto	utilisées
izmanto	utilisé
izmanto	utilisés
izmanto	utilisée
austrumu	orientale
austrumu	est
austrumu	orient
austrumu	orientale
austrumu	oriental
kultūras	cultures
kultūras	récoltes
