federacija	federation
normalna	chuẩn
normalna	thường
playstation	playstation
met	trúng
met	met
met	thảy
met	chọi
met	quăng
met	vứt
met	ném
met	pitch
mcdonald	mcdonald
mcdonald	mcdonalds
avtomatično	động
levica	trái
sven	sven
stanovanja	dwellings
usmeritev	hướng
luknjo	lỗ
luknjo	hố
luknjo	chẻ
mrak	twilight
stopi	chảy
pištolo	súng
dominikanski	dominican
optično	optically
atmosfero	atmosphere
newcastle	newcastle
alpha	alpha
alpha	alfa
frankfurtu	frankfurt
hlist	hlist
pravilen	đúng
kovalainen	kovalainen
kopenskih	terrestrial
poškodovanih	thương
poškodovanih	hỏng
proteini	protein
proteini	protein
ovce	cừu
zaslon	bày
nacisti	nazis
žveplo	sulfur
žveplo	sulphur
strip	comic
x}}	x}}
alfonso	alfonso
vsakič	everytime
hrsg	hrsg
amr	amr
arabska	arab
otvoritev	mở
močnejše	mạnh
kolar	kolar
elektrike	điện
melo	melo
baterija	pháo
baterija	pin
šibko	weakly
šibko	yếu
šibko	nhược
lun	lun
chapman	chapman
predsedstva	bureaux
danica	danica
znamenitost	landmark
znamenitost	mốc
deveti	đoàn
upal	mong
strasbourg	strasbourg
srečna	phúc
srečna	vui
sean	sean
barrett	barrett
arturo	arturo
feb	feb
skriti	phone
skriti	ẩn
hodnik	vắng
hodnik	lang
hodnik	sảnh
hodnik	hall
hodnik	lang
letenje	flying
letenje	bay
dojke	vú
dojke	ngực
dojke	breast
dojke	vú
madonna	madonna
freska	mural
trdna	đặc
stroke	pods
narejeno	chế
narejeno	lam
narejeno	xong
vrvi	dây
vrvi	dây
gnu	gnu
boje	phao
hampshire	hampshire
mitsubishi	mitsubishi
panorama	panorama
bit	bit
bit	cắn
islandija	iceland
dialog	thoại
stjepan	stjepan
prag	ngưỡng
archibald	archibald
brooks	brooks
casals	casals
plača	lương
plača	trả
plača	trả
jadran	jadran
oman	oman
lara	lara
brani	cọc
brani	cọc
trpljenja	khổ
montoya	montoya
segal	segal
bhupathi	bhupathi
moravske	moravia
melville	melville
prelaz	qua
prelaz	đèo
prelaz	pass
khan	khan
connors	connors
varjenje	hàn
kriterij	criterion
kriterij	touchstone
sedma	seventh
hradecká	hradecká
percy	percy
kiss	hôn
kiss	kiss
francesca	francesca
nastavitev	setup
bosco	bosco
furlan	furlan
korena	root
korena	chủ
hrast	oak
hrast	sồi
enotna	uniform
chang	chang
metro	metro
receptor	concierge
receptor	receptor
roosevelt	roosevelt
očala	shades
očala	kính
pištole	súng
arkansas	arkansas
abel	abel
abel	able
iskra	spark
iskra	bugi
melbourne	melbourne
ledenik	glacier
castel	castel
sovražnik	địch
sovražnik	thù
mercury	mercury
vsebovati	chứa
cezarja	ceasar
cezarja	caesar
primarne	chính
upodobitve	depictions
izgubljeni	mất
izgubljeni	thua
klavdij	claudius
lea	lea
lea	leo
ritter	ritter
obleka	outfit
obleka	váy
obleka	áo
obleka	dress
predali	thác
boyd	boyd
trenja	friction
podpisan	ký
kodeks	codex
hop	hop
vic	vic
streljanje	bắn
allison	allison
možgansko	óc
možgansko	não
gladko	mịn
gladko	mượt
gladko	ẩm
tekmoval	competed
degli	degli
civilna	civil
sommer	sommer
barker	barker
modena	modena
christine	christine
resnična	real
resnična	thực
resnična	thật
resnična	thiệt
resnična	thật
resnična	đúng
juda	judas
juda	judah
fosilnih	fossil
ruth	ruth
miami	miami
lakota	đói
imperial	imperial
pierluigi	pierluigi
izognili	chừa
floyd	floyd
embraer	embraer
čustvene	bênh
alta	alta
znižanje	giảm
conrad	conrad
poletna	summer
poletna	hè
bremen	bremen
torres	torres
emedicinesubj	emedicinesubj
ars	adr
bordeaux	bordeaux
plaza	plaza
iris	iris
matilda	mathilda
matilda	matilda
estonija	estonia
aldo	aldo
meglica	mist
meglica	haze
meglica	nebula
meglica	mờ
meglica	blur
kozak	cossack
kozak	kazakh
kozak	kozak
pajki	nhện
mehmed	mehmed
mehmed	mehmet
davke	thuế
galeb	mòng
preveriti	tra
larsen	larsen
sony	sony
obstanek	survival
mojstri	masters
grm	bush
grm	shrub
dvig	rise
discovery	discovery
hafner	hafner
bora	bora
churchill	churchill
gobe	nấm
gobe	nấm
auvergne	auvergne
kovinsko	co
homo	homo
pascual	pascual
amsterdamu	amsterdam
litrov	lít
litrov	lít
litrov	lít
litrov	ga
europa	europa
raj	raj
raj	thiên
cia	cia
cia	cla
cia	cia
cia	ương
cia	cla
okras	ornamental
okras	topping
okras	ornament
šestnajst	sixteen
karate	karate
berg	berg
identiteta	identity
falls	ngã
falls	falls
falls	thác
falls	rơi
falls	sút
kingston	kingston
arnoux	arnoux
varuh	guardian
delavnico	xưởng
storm	bão
bizanc	byzantium
bizanc	byzantine
matic	matic
poučuje	dạy
salon	salon
ibm	ibm
knowles	knowles
airesu	aires
zürichu	zürich
zürichu	zurich
bernd	bernd
zaupanja	tin
