매크로	makro
마카비	maccabi
관절	agentūrų
풍선	balionas
풍선	baliono
풍선	balionų
풍선	balionai
신자유주의	neoliberalizmas
방울	atleisti
스맥다운	smackdown
연휴	šventė
연휴	šventės
레오니트	leonidas
아나톨리	anatolijus
인듐	indžio
농지	dirbamosios
큐티	gražuoliukas
쿼드	quad
컬트	cult
스커트	sijonas
스파게티	spageti
석호	lagūna
낙원	sodai
낙원	rojų
낙원	rojus
고혈압	hipertenzija
라바트	rabato
견인	traukos
견인	vilkikas
견인	vilkimo
섹시한	seksualus
생태학	ekologinė
생태학	ekologijos
저장소	sandėliavimas
저장소	saugojimas
저장소	saugyklos
저장소	saugykla
워리어	karys
아랍인	arabų
아랍인	arabai
헨드릭	hendrick
에트루리아	etruskų
알론소	alonso
예배당	koplyčia
갑판	denių
접시	indų
접시	patiekalas
접시	plokštė
접시	plokštės
접시	patiekalus
접시	indai
접시	lėkštė
밀턴	milton
우크라이나어	ukrainos
우크라이나어	ukraina
우크라이나어	ukrainiečių
자궁	gimdos
페니키아	finikiečių
마그누스	magnus
억압	represijos
억압	represijų
아일랜드어	airių
아일랜드어	airijos
아일랜드어	airiai
방사	radiacija
방사	spinduliuotė
방사	spinduliavimas
방사	spinduliuotės
제다이	džedajus
위니펙	vinipegas
조각상	skulptūra
조각상	statulas
조각상	statula
바닷가	beach
캥거루	kengūra
캥거루	kengūrų
즐거움	malonumas
즐거움	labui
즐거움	malonumas
창던지기	javelin
남색	indigo
그늘	šešėlis
톨레도	toledo
메이트	mate
세라믹	keramika
세라믹	keramika
과일과	vaisiai
과일과	vaisiai
과일과	vaisių
로버트슨	robertson
우주비행사	astronautas
우주비행사	astronautų
벙커	bunkeris
와이프	žmona
홀랜드	holland
홀랜드	olandija
호소	skundai
호소	apeliacijos
호소	skundas
말콤	malcolm
단치히	dancigo
프랭키	frenki
모더니즘	modernizmas
설교	pamokslininko
설교	preke
애니메이터	animatorius
브렌던	brendan
브렌던	brendon
헐크	halkas
어부	žvejys
줄리어스	julius
포르투나	fortuna
렉싱턴	leksingtono
브레이커	breaker
타이타닉	titanikas
포도당	gliukozė
탄수화물	angliavandenių
탄수화물	angliavandenių
테러리즘	teroro
테러리즘	terorizmu
테러리즘	terorizmas
멜라니	milda
아이맥스	imax
조식	pusryčiams
조식	pusryčiai
조식	pusryčių
각막	ragenos
각막	ragenos
그리핀	grifinas
킴벌리	kimberley
킴벌리	kimberley
미디	midi
유기적	ekologinio
만델라	mandela
휴스	hughes
옐로스톤	jeloustono
슬라이딩	slydimo
요구르트	jogurto
요구르트	jogurtas
요구르트	jogurto
요구르트	jogurtas
레일리	relėjaus
주름이	raukšles
할렘	harlem
존경받는	gerbiama
콜트	colt
배려	rūpestinga
배려	rūpinimasis
사중주	ketverto
나쁘다	blogai
나쁘다	bloga
나쁘다	blogas
나쁘다	blogi
클리퍼드	clifford
적위	deklinacija
신비주의	mistikos
트래픽	eismas
오션	vandenynas
애니메이트	animuoti
화장	makiažas
모카	mocha
배신	klasta
산토	santo
무의식	nesąmoningai
패러데이	faradėjus
월요일부터	pirmadienis
월요일부터	pirmadienį
인도인	indas
인도인	indijos
황혼	saulėlydžio
황혼	dusk
도밍고	domingo
기질	temperamentas
워해머	warhammer
의존	priklausomybė
의존	priklausomybės
스피어	ietis
타타르족	totorių
파울리	pauli
라미레스	ramirez
은혜	grace
잠수	nardymo
잠수	nerti
크리올	kreolų
킬링	nužudyti
불행히도	deja
브렌트	brent
부어	patinimas
부어	pūkuotukas
지르코늄	cirkonio
타히티	taičio
클러치	sankabos
폐허	griuvėsiai
액세서리	reikmenys
액세서리	priedai
액세서리	aksesuaras
삭스	altas
손바닥	delnų
풍성한	gausa
청량	minkštas
청량	minkšta
아이린	irena
긴급한	skubus
긴급한	skubiai
게이트웨이	vartai
숙소	būstas
스캔	skaityti
스캔	scan
빈도	dažnumas
빈도	dažnis
화롄	hualiano
하이든	haydn
이발사	barber
평판	reputaciją
평판	ry
평판	reputacija
무용수	šokėjų
어구	frazė
채워진	užpildyta
음모론	sąmokslo
스티븐슨	stephenson
왕관	karūna
휴즈	hughes
클로비스	kloviso
혜택	naudos
혜택	pranašumą
혜택	pranašumas
수하물	bagažo
수하물	bagažo
노르드어	skandinavų
난방	šildymo
난방	šildymas
어댑터	adapteris
어댑터	adapteris
어댑터	adapterį
표범	leopardas
해리어	lingė
깨달음	realizavimo
에이리언	ateivių
번스	dega
모음집	kolekcijos
에테르	eteryje
말그대로	tiesiogine
호박	amber
호박	gintaro
호박	gintaras
호박	moliūgai
호박	cukinija
호박	moliūgų
농축	koncentruota
농축	koncentruotą
농축	koncentruotas
농축	prisodrintas
실크	šilko
알리칸테	alicante
루블	rublis
티모시	timothy
부팅	įkrovos
가디언즈	sergėtojai
메건	megan
설계자	dizaineris
백혈병	leukemija
무서워	išsigandęs
켄드릭	kendrick
옷이	apranga
옷이	drabužius
옷이	drabužiai
비키니	bikini
굵게	drąsių
우도	udo
지능형	protingas
지능형	protingos
카리나	karina
비첸차	kvartale
나탈리아	natalija
지지자	rėmėjų
지지자	šalininkas
스테로이드	steroidų
자원봉사	savanoriškos
자원봉사	savanorišką
지리학자	geografas
모리야	mori
아델	adele
발진	išbėrimas
발진	bėrimas
와이어	vielos
와이어	laido
와이어	viela
와이어	vielų
페소	pesai
페소	pesas
메소드	metodas
사비	xavi
폭발물	sprogmenys
폭발물	sprogmenų
폭발물	sprogstamosios
폭발물	sėdynė
스포르차	sforza
치마	sijonas
치마	sijonai
커리	kario
약해	silpnas
그루브	griovelio
소호	soho
콘도르	kondoras
호아킨	joaquin
허구	fantastika
아라	ara
시맨틱	semantinis
산드라	sandra
로메로	romero
톨스토이	tolstojus
자루	sak
자주색	violetinė
난쟁이	nykštukų
양배추	kopūstai
양배추	kopūstų
양배추	kopūstai
조나스	jonas
미코	miko
외할머니	močiute
외할머니	močiutė
외할머니	senelė
외할머니	močiutės
가부키	kabuki
토로	toro
코르시카	korsika
작별	atsisveikinimo
차분	ramus
디렉토리	aplankas
튜더	tudor
페르난두	fernando
질러	rėkia
고립	atskirtis
고립	izoliacija
고립	izoliacijos
고립	izoliuota
박테리아	bakterijų
박테리아	bakterijas
박테리아	bakterija
박테리아	bakterijos
코메디	komedija
숙모	teta
앨리	ally
앨리	sąjungininkas
앨리	alėjos
분대	būrys
디터	dieter
정당화	pagrįstas
정당화	pagrindimas
정당화	pateisinimas
작성자	kūrėjų
작성자	kūrėjai
단결	vienybės
단결	vienybė
단결	suvienyti
레시피	receptai
레시피	receptas
항체	antikūnų
항체	antikūnai
증오	neapykanta
증오	nekenčiu
증오	neapykanta
극적	dramatiška
호빗	hobitas
게이스케	keisuke
불쌍한	vargšas
불쌍한	vargšai
예스	aha
예스	taip
미코얀	mikojan
에이프릴	balandis
도넛	spurga
택배	kurjeris
낙태	abortą
뻐꾸기	gegutės
클라우디아	claudia
레이몬드	raimondas
약혼자	sužadėtinis
극복	įveikti
사다리	kopėčios
사다리	kopėčios
사다리	kils
발톱	nagų
투자자	senėjimas
투자자	investuotojų
투자자	investuotojai
투자자	investuotojas
투자자	investuotojai
투자자	investuotojų
유토피아	utopija
마누라	žmona
세르비아어	serbų
맹세	priesaiką
사나운	nuožmūs
붕소	boro
쿠르디스탄	kurdistano
대명사	įvardžiai
대명사	įvardis
드라이	sausa
드라이	sausas
드라이	sausos
미켈란젤로	mikelandželas
탐욕	godumas
버티고	vertigo
슬라이더	navigation
이교도	pagonys
길모어	gilmour
길모어	gilmoro
망각	pamiršta
우크라이나계	ukrainiečių
픽사	pixar
사촌동생	pusbrolis
데스크	stalo
데스크	stalas
순서수	ordinal
정장	tinka
헝거	badas
헝거	bado
분류법	klasifikavimas
분류법	klasifikacija
스탬퍼드	stamford
쏟아지는	pilti
콘셉시온	konsepsjono
재클린	jacqueline
심문	apklausą
프랑켄슈타인	frankenšteinas
앰버	amber
앰버	gintaro
앰버	gintaras
보증	garantijos
보증	garantija
보증	garantijų
보증	garantijos
보증	garantijų
보증	garantijos
보증	garantija
타니	tanis
맨션	sodyba
구성요소	komponento
구성요소	komponentai
플린	flinas
블럭	blokus
블럭	blokai
블럭	blokų
마르첼로	marcellus
개척자	pionieriai
트라이아스기	triasas
고슴도치	ežys
소나기	dušai
당근	morkų
당근	morkų
당근	morkos
고흐	gogo
록스타	rockstar
유투브	youtube
발가락	pirštai
마나마	mana
섀도	šešėliai
섀도	šešėlis
천안문	tiananmenio
화보	antradienis
화보	antradienį
리소스	ištekliai
리소스	išteklių
속옷	apatinius
대박	dešimtuką
대박	nuostabios
대박	nuostabu
대박	nuostabūs
대박	nuostabus
전해질	elektrolitų
페르세우스자리	persėjas
리플리	ripli
뱅가드	avangardas
모욕	įžeidimų
모욕	žeidžia
