политехнический	polytechnic
закрыто	lukka
закрыто	lukket
закрыто	stengt
мельница	vindmølle
механик	mekaniker
склад	varehuset
склад	lageret
склад	lagring
склад	lagringsplass
склад	oppbevaring
публично	offentlig
джейсон	jason
чрезвычайный	usedvanlig
чрезвычайный	ekstraordinære
чрезвычайный	merkverdig
чрезвычайный	ekstraordinært
чрезвычайный	ekstraordinær
критическое	kritisk
критическое	kritiske
используемые	brukt
используемые	brukes
используемые	brukte
прощения	tilgivelse
райан	ryan
особняк	mansion
особняк	herskapshus
хлеб	brød
ближайшее	nærmeste
избрана	valgt
сады	haver
сады	hagene
сады	hager
сады	gardens
движок	motor
девочки	girls
девочки	jentene
девочки	jenter
освободить	frigi
освободить	slipp
освободить	løslatelse
гипотезы	hypoteser
середина	midten
середина	mid
медицинская	medisinsk
логично	logisk
выпускников	alumni
выпускников	nyutdannede
жаль	medynk
жаль	synd
жаль	medlidenhet
месяцы	måneder
месяцы	månedsvis
индонезия	indonesia
дизайнер	designer
стол	bord
стол	tabell
стол	skrivebordet
стол	skrivebord
луиджи	luigi
исчезли	forsvunnet
исчезли	forsvant
могилы	graves
могилы	graver
могилы	gravene
томми	tommy
королевская	kongelige
королевская	kongelig
королевская	royal
белков	proteiner
способствовало	bidro
способствовало	bidratt
соглашается	samtykker
чан	chang
чан	chan
чан	jang
улицах	gater
улицах	gatene
улицах	streets
улицах	gatelangs
казнь	utførelse
казнь	henrettelse
тольятти	togliatti
морис	maurice
совершает	begår
самцы	hanner
убедить	overbevise
убедить	overbeviser
убедить	overtale
убедить	overtaler
технику	teknikk
частного	menig
частного	privat
частного	enerom
частного	private
оригинальные	originalt
оригинальные	originalen
оригинальные	opprinnelig
оригинальные	originale
оригинальные	opprinnelige
оригинальные	original
цветы	blomster
цветы	flowers
цветы	blomstene
рыцарь	knight
рыцарь	ridder
прокат	husleie
прокат	leie
литве	litauen
родригес	rodriguez
родригес	rodrigues
родригес	rodríguez
дам	dam
дам	demning
дам	demningen
наблюдать	observerer
наблюдать	observer
наблюдать	observere
кама	kama
тэц	chp
печатных	trykte
печатных	trykt
северное	nordlige
северное	northern
ценностей	verdier
квадратный	firkantet
квадратный	kvm
квадратный	kvadratisk
квадратный	kvadrat
малайзии	malaysia
малайзии	malaysisk
одежда	klær
одежда	klær
одежда	tøy
промышленные	industrielle
тяжёлая	heavy
тяжёлая	tungt
тяжёлая	kraftig
тяжёлая	tung
мкс	irc
мкс	cie
оппонентов	motstandere
оппонентов	motstanderne
вдова	enke
вдова	enkemann
вдова	enke
вдова	enken
грибы	sopper
грибы	sopp
грибы	sjampinjong
грибы	sopp
идеологии	ideologi
идеологии	ideologien
идеологии	ideologier
разрешить	autorisere
разрешить	tillat
разрешить	tillate
разрешить	tillat
разрешить	tillate
разрешить	tillatelse
барбара	barbara
признали	anerkjent
признали	gjenkjent
признали	anerkjent
признали	gjenkjent
признали	anerkjente
признали	anerkjent
верфи	verft
верфи	skipsverft
законодательство	lovgivning
ксения	xenia
ксения	ksenia
ганс	hans
сзади	behind
сзади	bak
сзади	bakre
иллинойс	illinois
тон	ton
тон	tone
планете	planet
леви	levi
леви	levy
потомков	avkom
потомков	etterkommere
регистр	registrer
регистр	register
регистр	registrere
регистр	registeret
прототип	prototype
прототип	prototyp
творческий	kreativ
творческий	kreativt
творческий	kreative
геологии	geologi
химический	kjemisk
ближайший	nærmeste
ближайший	nærmeste
ближайший	nærmest
нижние	senk
нижние	nedre
нижние	lavere
чистой	rein
чистой	reint
чистой	ren
чистой	rydde
чистой	rent
украинцы	ukrainere
украинцы	ukrainsk
украинцы	ukrainske
продолжая	fortsetter
коды	koder
коды	kodene
среду	onsdag
среду	wednesday
уголовное	kriminell
уголовное	forbryter
капитал	kapital
капитал	capital
капитал	hovedstad
росс	ross
гвинеи	guinea
вкус	smak
вкус	smakebit
вкус	smake
вкус	smaker
ссылается	refererer
племя	stamme
дама	lady
дама	damen
дама	dame
дама	dame
атлетика	friidrett
трудящихся	arbeidere
ставки	veddemål
ставки	innsatser
ставки	veddemål
ставки	satser
ставки	staker
люблю	elsk
люблю	love
люблю	kjærligheten
люблю	elsker
люблю	kjærlighet
подруга	kjæresten
подруга	kjæreste
подруга	venninne
подруга	vennen
подруга	venninne
подруга	ven
подруга	venn
сицилии	sicilia
клиентов	kunde
клиентов	kunder
клиентов	kundene
клиентов	klienter
клиентов	kunder
остановка	stopper
остановка	stanser
гвинея	guinea
реформа	reform
войти	pålogging
войти	innlogging
войти	oppgi
войти	angi
войти	enter
дева	virgo
дева	jomfruen
дева	jomfru
дева	virgin
дева	jomfru
дева	maiden
травму	traume
травму	trauma
висит	henger
висит	henging
висит	hengende
висит	hengning
висит	henger
полицейских	politifolk
полицейских	politimenn
конвенции	convention
конвенции	konvensjoner
местоположения	posisjoner
местоположения	plasseringer
местоположения	steder
обнаружить	oppdager
обнаружить	oppdage
обнаружить	oppdag
душа	dusj
душа	sjel
душа	soul
медведь	bjørn
медведь	bear
чёрное	sort
чёрное	svarte
чёрное	svart
чёрное	black
эхо	ekko
эхо	echo
кипра	kypros
быстрый	kjapt
быстрый	raskt
быстрый	kjapp
быстрый	rask
быстрый	kjapp
быстрый	raskt
быстрый	rask
быстрый	hurtig
быстрый	raske
быстрый	fort
кратеров	kratere
тан	tang
тан	tan
спектр	spectre
спектр	spekteret
спектр	spektrum
спектр	spectrum
курт	kurt
курт	curt
ширину	bredde
представлений	bidrag
нации	nasjon
нации	nation
джин	jin
джин	gin
джин	jean
джин	gene
джин	gen
продано	solgte
продано	selges
продано	solgt
материнская	moderlig
мощный	kraftfull
мощный	mektig
мощный	kraftig
кругах	sirkler
записать	rekord
записать	record
испанская	spansk
комплексы	komplekser
разнообразные	mangfoldig
мол	mal
мол	mol
моложе	yngre
интерпретации	tolkninger
льда	is
льда	ice
северные	nordlige
северные	northern
сопровождении	eskortert
обоснования	begrunnelser
зимний	vinteren
зимний	vinter
институты	institutter
институты	institusjoner
немецкое	tysk
норвежский	norsk
норвежский	nordmann
норвежский	norwegian
норвежский	norske
командиров	kommandørene
взяв	tar
лейтенанты	løytnanter
вулкан	vulkan
вулкан	vulcan
дополнительная	ytterligere
дополнительная	ekstra
дополнительная	ekstra
дополнительная	extra
десятилетий	tiår
десятилетий	årtier
выросла	vokste
гостиницы	hotels
гостиницы	hoteller
конкретный	spesifikk
конкретный	spesifikt
конкретный	spesifikke
конкретный	konkret
конкретный	betong
верить	tro
верить	trø
верить	believe
купить	kjøpe
купить	buy
купить	kjøp
верность	troskap
верность	trofasthet
верность	lojalitet
поднять	løft
поднять	løfte
поднять	haik
поднять	lønnsøkning
поднять	hev
поднять	oppdra
поднять	høyner
