व्यू	porter
प्रक्षेपास्त्र	coet
प्रक्षेपास्त्र	míssil
बीजिंग	pequín
बीजिंग	beijing
स्वैच्छिक	voluntària
फोटोग्राफी	fotografia
प्रौढ़	adult
कैलिफ़ोर्निया	califòrnia
कैलिफ़ोर्निया	california
धड़	tors
कैलगरी	calgary
महलों	palaus
वार्तालाप	conversa
वार्तालाप	converses
टीले	dunes
टीले	dunas
फोकस	focus
वर्चस्व	dominada
जावेद	javed
रुझान	tendència
रुझान	tendències
रुझान	trending
वेशभूषा	disfressa
वेशभूषा	vestuari
वेशभूषा	disfresses
भागीदार	participants
भागीदार	participant
स्पेंसर	spencer
अस्पतालों	hospitals
विक्रेताओं	venedors
वान	van
वान	furgoneta
पुस्तिका	fullet
नाभि	melic
वेदव्यास	vyasa
तुर्कमेनिस्तान	turkmenistan
देखिए	veure
आधुनिकता	modernitat
रॉबर्ट्स	roberts
क्लाइंट	client
क्लाइंट	clota
क्लाइंट	clients
क्लाइंट	clientes
राँची	ranchi
गर्भाधान	inseminació
डायरी	diari
अपडेट	actualització
अपडेट	actualitzacions
चैम्पियन	champ
चैम्पियन	campió
चैम्पियन	campiona
चैम्पियन	champion
डेनिस	denise
डेनिस	dennis
डेनिस	denis
जोएल	joel
मैगज़ीन	revistes
सीमाएं	limitacions
शंघाई	shanghai
शंघाई	xangai
आयुर्वेदिक	ayurveda
जहांगीर	jahangir
वाइस	vici
वाइस	vice
किट	kit
भ्रमित	confús
भ्रमित	confós
भ्रमित	confosa
हिसार	hisar
बाप	pare
राजेंद्र	rajendra
नालंदा	nalanda
थाली	placa
नग्न	despullada
नग्न	nua
कार्यभार	assignacions
कार्यभार	cessions
कार्यभार	cessió
एनालॉग	anàleg
एनालॉग	analògic
युगों	yuga
रुकावट	obstrucció
प्रतिबिंब	reflexió
प्रतिबिंब	mirall
ब्लेड	blade
सदिश	vector
सदिश	vectors
बलिया	ballia
स्थगित	suspèn
स्थगित	ajornat
स्थगित	pendent
गिरोह	colla
दायित्वों	obligacions
मर्यादा	dignitat
श्रीनिवास	srinivasa
बैले	ballet
बसंत	primavera
शर्ट	camisa
शर्ट	camises
न्यायाधीशों	magistrats
न्यायाधीशों	jutges
तेरी	teri
सेंसर	sensors
सेंसर	captadors
सेंसर	sensor
स्टैंड	stand
स्टैंड	casetes
उपनिवेशों	colònia
बहुवचन	plural
एकाधिकार	monopoly
एकाधिकार	monopoli
विनाशकारी	desastrosos
विनाशकारी	devastador
मिसौरी	missouri
मारी	marie
मारी	mari
दारा	dara
फ़्रांसीसी	francès
जादूगर	assistent
जादूगर	mags
जादूगर	mag
प्रतिमान	patró
प्रतिमान	paradigma
सच्चा	cert
सच्चा	true
वोल्ट	volt
अमोनिया	amoníac
विश्लेषणात्मक	analítiques
प्रतिबद्धता	compromís
डू	doo
विधायिका	legislatura
कॉफ़ी	cafè
उल्टा	reverteix
एलेन	ellen
किराए	fares
किराए	lloguer
किराए	renda
न्यायालयों	tribunals
एस्टन	aston
मांसपेशी	múscul
विषाक्त	tòxic
विषाक्त	tòxics
तूफ़ान	tempestes
तूफ़ान	tifó
तूफ़ान	tempesta
कड़ा	ajustat
कड़ा	hard
कड़ा	dura
कड़ा	dur
बारूद	pólvora
बदली	ennuvolat
एंजाइम	enzim
मूसा	moses
मूसा	moisès
मूसा	mussa
मूसा	musa
पिंक	pink
पिंक	rosa
बैरी	barry
राजन	rajan
जीप	jeep
चलाना	exec
चलाना	execució
दादी	àvia
कमिश्नर	comissionat
कमिश्नर	comissari
पहाड़ियाँ	turons
मैथ्यू	matthew
मैथ्यू	mateu
गंधक	sofre
षड्यंत्र	conspiració
प्रशस्त	pavimentada
प्रशस्त	pavimentat
पश्च	posterior
रीडर	lector
मिर्ज़ा	mirzapur
क्रांतिकारियों	revolucionaris
हीरे	diamants
प्रशिक्षक	preparador
प्रशिक्षक	formador
प्रशिक्षक	instructor
नास्तिक	ateisme
नास्तिक	ateu
जासूसी	espiant
प्रचारित	promogut
प्रचारित	promogudes
प्रचारित	promoguts
सांसारिक	mundanes
प्रवर्धक	amplificador
फसलें	cultius
फसलें	conreus
डायोड	díode
अमूर्त	abstracte
सौभाग्य	fortuna
ब्रायंट	bryant
गैरी	garri
गैरी	gary
कुश	kush
साइमन	simó
साइमन	simon
साइमन	simón
सामंत	samanta
कार्बोनेट	carbonat
हिब्रू	hebreu
बर्ड	ocell
आत्मसमर्पण	rendició
एथलेटिक्स	atletisme
तैराकी	natació
हक	huck
हक	haq
संस्थागत	institucionals
संस्थागत	institucional
चिट्ठा	blog
चिट्ठा	bloc
ठंड	fred
चूहे	ratolins
चूहे	rates
चूहे	rats
लीड	plom
दरार	crac
दरार	crack
परमार	parmar
दार्शनिकों	filòsofs
नेहरु	nehru
संवेदना	condol
सॉफ़्टवेयर	programari
बहुविकल्पी	desambiguació
महेन्द्र	mahendra
बमबारी	bombardeig
बमबारी	bomba
कीड़े	cucs
कठपुतली	titella
अधीनस्थ	subordinat
ग्रीनहाउस	hivernacle
कैम्प	campament
कैम्प	camp
कैम्प	campaments
किस्में	ramals
किस्में	vessants
किस्में	varietats
किस्में	varietat
विषाक्तता	intoxicació
खोजी	exploració
सम्मेलनों	conferències
चिंतित	ansiosa
चिंतित	afectat
चिंतित	preocupat
स्टारबक्स	starbucks
छुटकारा	rescata
जॉर्डन	jordà
जॉर्डन	jordània
एथलीट	atleta
एथलीट	esportista
एथलीट	esportistes
एथलीट	atletes
विधिक	jurídic
विधिक	legal
विधिक	legals
असुरक्षित	insegur
रेखीय	lineal
शहद	mel
ऑपरेटर	operador
ऑपरेटर	operari
ऑपरेटर	operaris
ऑपरेटर	operadors
ऑपरेटर	operadores
प्रेसीडेंसी	presidència
कुक	cook
कुक	cuiner
मनी	diners
मनी	diner
मनी	mani
नारा	eslògan
सेक्टर	sector
सेक्टर	sectors
महासागरीय	oceania
क्रियाशील	actiu
क्रियाशील	adjectiu
बैठकों	reunions
रघुनाथ	raghunath
कारें	cars
कारें	cotxes
कारें	automòbils
क्योकि	perquè
क्योकि	perque
सभ्य	decent
विकलांगता	discapacitat
विकलांगता	invalidesa
दरिया	darya
नोट्स	notes
विलास	vilas
सहारनपुर	saharanpur
कहें	say
एव	ave
सामी	sami
धर्मशास्त्र	teologia
सीखा	après
आर्क	arc
ट्रम्प	trump
यीशु	jesús
चश्मे	ulleres
एक्यूपंक्चर	acupuntura
प्लूटो	plutó
प्लूटो	pluto
डेनियल	daniel
डेनियल	danilo
थोक	engròs
पैरिस	paris
पैरिस	parís
कामयाबी	èxit
अभय	abhay
सिलसिले	silas
