violoncello	cello
applicata	inilapat
esposti	nakalabas
joão	joão
leon	leon
alexandre	alexandre
colli	colli
colli	burol
colli	hills
grotte	tabon
alessandra	alexandra
alessandra	alessandra
definiti	tinukoy
abiti	damit
assi	aces
rodríguez	rodriguez
rodríguez	rodríguez
hop	sakay
compleanno	kaarawan
cristoforo	christopher
ernest	ernest
carrara	carrara
severo	severus
severo	severo
severo	malubha
severo	severe
severo	malubhang
severo	stern
return	bumalik
return	pagbabalik
cecil	cecil
esistere	umiiral
comandanti	commanders
pallone	lobo
pallone	bola
attraversato	crossed
adatta	angkop
adatta	kasya
adatta	fit
adatta	magkasya
arizona	arizona
wagner	wagner
promosse	promote
cristallo	bubog
cristallo	crystal
vercelli	vercelli
secco	tuyo
secco	tuyong
annibale	hannibal
crollo	pagguho
crollo	pagbagsak
cosimo	cosimo
body	katawan
affetto	pagmamahal
amanda	amanda
rca	rca
cancellazioni	pagkansela
dit	dit
ignazio	ignacio
ignazio	ignacio
ignazio	ignazio
ronald	ronald
retro	retro
naso	ilong
melbourne	melbourne
pastorale	pastoral
peste	salot
ghost	ghost
ghost	multo
harvey	harvey
isaac	isaac
pausa	break
razze	races
know	alam
know	kilala
formando	pagbabalangkas
hunt	hunt
hunt	mangkukulam
coloni	settlers
testimone	testigo
testimone	witness
mercati	merkado
viceversa	kabaligtaran
vacante	vacant
crebbe	lumago
lontana	malayo
sfruttare	pagkunan
tele	tele
sposare	magpakasal
sposare	nagpakasal
sposare	pakasalan
palmer	palmer
scrivi	magsulat
scrivi	sumulat
scrivi	isulat
reed	reed
emily	emily
napoletana	neapolitan
acquisito	nakuha
rivalità	pagalingan
sequel	sequels
sequel	sequel
pellicole	films
hms	hms
reality	katotohanan
transizione	pagbabago
transizione	transition
transizione	transitional
taiwan	taiwan
taiwan	taiwanese
circondato	napapaligiran
pour	ibuhos
cardinali	cardinals
müller	muller
xxi	xxi
cantato	sang
cantato	sung
freccia	arrow
stellare	stellar
colpevole	guilty
protocollo	protocol
claire	claire
folla	madla
folla	madla
concorrente	contestant
concorrente	kaagaw
libia	libya
uniforme	uniporme
uniforme	uniform
josh	josh
ribellione	paghihimagsik
raro	bihirang
raro	bihira
