proton	protoner
quarks	kvarkene
nəzəriyyəsinin	streng
hissəciklərin	partikler
boyutları	ekstra
boyutları	extra
boyutları	dimensjoner
boyutları	dimensjonene
parçacıqlarının	partikler
gücləri	styrke
gücləri	styrken
oksigen	oksygen
planetlərdən	planetene
planetlərdən	planeter
sputnik	sputnik
çoxluq	klynge
müşahidəçi	observatør
müşahidəçi	observer
gözünüzə	øyet
gözünüzə	øye
gənişləməsinin	ekspansjon
ruslar	russere
uşaqkən	gutt
uşaqkən	kid
sənaye	industri
sənaye	bransje
proqramlaşdırıla	programmerbar
ixtiraçısı	oppfinner
ixtiraçısı	oppfinneren
