diplomatique	diplomatieke
doux	lieflike
doux	soet
doux	gentle
doux	mild
doux	sagte
doux	sag
pères	vaders
capables	bekwame
partagé	gedeel
romaines	romeinse
achevé	voltooi
achevé	afgehandel
joint	gesamentlike
joint	joint
syndicats	unions
immédiate	onmiddellike
nigeria	nigerië
nigeria	nigeria
lou	lou
gaulois	cisalpina
émilie	emilie
émilie	emily
convaincu	oortuig
nacional	nacional
malades	siek
leonard	leonard
concession	handelaar
hainaut	hainaut
inspirée	besiel
inspirée	geïnspireer
dérive	drift
égyptien	egiptiese
tort	verkeerd
tort	verkeerde
juges	regters
hms	hms
avantages	voordele
avantages	voordele
prévention	voorkoming
keith	kees
keith	keith
dommages	skadevergoeding
eglise	kerk
organique	organiese
impôt	belasting
impôt	belastings
vengeance	vengeance
vengeance	wraak
vengeance	revenge
bombardement	bomaanval
guadeloupe	guadeloupe
violoncelle	tjello
ancêtre	voorouer
bros	bros
demain	môre
demain	more
nasa	nasa
mensuel	maandelikse
mensuel	maandeliks
équipée	toegerus
dakar	dakar
souveraineté	soewereiniteit
profond	diep
occitan	oksitaans
spécialisés	specialized
systématiquement	sistematies
systématiquement	stelselmatig
protéines	protein
protéines	proteïen
récent	onlangs
récent	onlangse
accompagnée	vergesel
hollandais	hollandse
hollandais	nederlands
attentats	aanvalle
attentats	bomaanvalle
décrire	beskryf
sauveur	saviour
sauveur	verlosser
sauveur	verlosser
éclairage	beligting
betty	betty
rochefort	rochefort
martinique	martinique
esp	esp
mathématique	wiskundige
mathématique	wiskunde
mathématique	wiskunde
ita	ita
halte	halt
baccalauréat	bachelor
gonzález	gonzález
gonzález	gonzalez
wikidata	wikidata
appliquée	toegepas
appliquée	aangewend
passes	herhalings
atlético	atlético
mesurer	meting
mesurer	mate
mesurer	mates
mesurer	maatreëls
mesurer	meet
joachim	joachim
sèvres	sèvres
gallois	welsh
gallois	wallies
gallois	walliese
gallois	gallois
jupiter	jupiter
protestante	protestantse
wwe	wwe
grace	grace
précipitations	neerslag
marianne	marian
marianne	marianne
bohême	boheme
sidi	sidi
santos	santos
tombes	graves
tombes	tombes
tombes	tombs
adolf	adolf
récents	onlangse
réservoir	tenk
réservoir	reservoir
linda	linda
élevés	verhoogde
vocabulaire	woordeskat
utiles	bruikbare
utiles	nuttig
utiles	nuttige
utiles	gehelp
utiles	hulpvaardig
utiles	behulpsaam
utiles	nuttig
glasgow	glasgow
écoute	listening
écoute	luister
harrison	harrison
wallonie	wallonie
wallonie	wallonië
représentés	verteenwoordig
anneaux	rings
sentier	trail
sentier	spoor
sentier	voetpad
richelieu	richelieu
croisade	kruistog
croisade	crusade
boxeur	boxer
boxeur	fighter
qualifiée	vaardige
qualifiée	kwalifiserende
qualifiée	gekwalifiseerde
fifa	fifa
finance	finansieel
finance	finansies
vedette	ster
vedette	star
vedette	uitgelig
vedette	inloer
vedette	gewild
vedette	uitgestal
vedette	uitstal
critère	kriteria
inédit	ongepubliseerde
tensions	tension
lucie	lucie
lucie	lucy
lucie	lucia
rica	rica
casse	heist
bête	beast
bête	monster
impôts	belasting
impôts	belastings
brigitte	bridget
brigitte	brigitte
pattes	pootjies
économiste	ekonoom
adapter	aanpas
disparaître	verdwyning
disparaître	verdwyn
verbe	werkwoord
bull	bull
craig	craig
