задняя	zadní
камер	chambers
камер	komnaty
камер	komory
возражения	námitka
возражения	námitky
возражения	námitku
возражения	námitky
уилсон	wilson
уилсон	wilsonová
старших	senior
юбилейная	jubilejní
исаак	isaac
бесплатно	volná
бесплатно	volné
бесплатно	volný
бесплатно	free
бесплатно	zdarma
стекла	sklenice
стекла	skla
стекла	sklo
показания	svědectví
янг	jang
янг	yang
янг	mladá
янг	mladé
янг	mladý
янг	young
янг	mladí
кинотеатр	divadla
кинотеатр	divadlo
кинотеатр	kino
кинотеатр	kina
центральное	ústřední
центральное	centrální
центральное	centrála
ушли	pryč
эфиопии	etiopie
эфиопии	etiopské
важность	důležitost
важность	důležitosti
важность	význam
подробное	detailní
подробное	podrobný
подробное	podrobná
подробное	podrobně
неудачно	nešťastné
неудачно	nešťastná
разновидности	odrůdy
разновидности	odrůdy
разновидности	odrůda
венесуэлы	venezuelské
венесуэлы	venezuele
венесуэлы	venezuely
настоящая	skutečný
настоящая	skutečná
настоящая	skutečné
настоящая	opravdový
настоящая	reálné
пресса	stiskněte
пресса	tisk
гостиница	hotelu
гостиница	hotel
навигации	navigaci
навигации	navigačních
навигации	navigace
развиваться	vyvíjet
развиваться	vyvinout
хозяин	majitel
хозяин	vlastník
хозяин	majitelka
хозяин	mistr
хозяин	mistře
ранг	hodnost
дополнительное	doplňkový
дополнительное	doplňující
дополнительное	dodatečná
дополнительное	dodatečné
дополнительное	doplňková
дополнительное	extra
колония	kolonií
колония	kolonie
носила	nosili
носила	nosila
носила	nosil
арнольд	arnold
борцы	zápasníci
боги	bohů
боги	bohové
боги	bohy
боги	bozi
обложка	krýt
обложка	obal
обложка	krytí
обложка	pokrytí
классическая	klasického
классическая	klasický
классическая	klasické
классическая	klasická
классическая	klasika
классическая	classic
классическая	klasické
классическая	klasická
классическая	klasický
картинки	obrázků
картинки	obrázky
картинки	obrazy
картинки	fotky
картинки	obrázků
картинки	obrázky
нынешней	současné
нынешней	aktuální
нынешней	současná
нынешней	současný
перепись	sčítání
принадлежали	patřilo
принадлежали	patřili
принадлежали	patřil
принадлежали	patřily
объяснения	vysvětlení
объяснения	vysvětlivky
швейцарский	švýcarsko
швейцарский	švýcarský
швейцарский	švýcarská
швейцарский	švýcarské
зубов	zubů
зубов	zuby
зубов	zoubky
грант	udělit
грант	grant
постановления	rozsudky
дискуссия	diskuse
дискуссия	diskuze
барабаны	bubny
барабаны	bicí
студент	studentka
студент	žák
студент	studentská
студент	student
историографии	historiografie
водорода	vodík
водорода	vodíku
укр	ukr
шотландский	skot
шотландский	skotské
шотландский	skotská
охоты	lovecké
охоты	lov
охоты	lovu
охоты	lovení
образы	obrázků
образы	obrázky
образы	obrazy
вон	vaughn
якутии	jakutsko
домашние	domácí
дэн	danovi
дэн	dan
дэн	dane
дэн	deng
приборы	přístroje
приборы	nástroje
квартиру	plochý
квартиру	byt
квартиру	ploché
квартиру	plochá
арест	zatknout
арест	zatčení
рисунки	fotky
рисунки	obrázků
рисунки	obrázky
рисунки	kresby
рисунки	výkresy
рисунки	nákresy
заказ	pořádek
заказ	řád
заказ	pořadí
заказ	objednávka
заказ	objednat
павлов	pavlov
социальный	společenské
социальный	sociální
социальный	společenský
социальный	společenská
обсуждается	projednává
обсуждается	diskutuje
красноярск	krasnojarsku
выразил	vyjádřené
выразил	vyjádřila
выразил	vyjádřil
выразил	vyjádřeno
реальность	skutečnost
реальность	reality
реальность	realita
хасан	hasan
хасан	hassan
намерения	úmysly
намерения	záměry
намерения	úmysl
намерения	záměr
гонсалес	gonzalez
гонсалес	gonzales
гонсалес	gonzález
хоп	hop
юлий	julius
мок	mov
арбитр	rozhodce
арбитр	rozhodčí
свадьба	svatba
свадьба	svatbu
свадьба	svatební
свадьба	svatby
вреда	ublížit
журналистики	žurnalistiky
преобразование	konverzi
преобразование	přepočet
преобразование	přeměna
преобразование	konverze
преобразование	proměna
преобразование	přeměna
преобразование	transformace
преобразование	proměny
преобразование	proměnit
ученый	vědce
ученый	vědci
ученый	vědec
ученый	učenec
театры	divadla
содружества	společenství
гитары	kytara
гитары	kytaru
гитары	kytary
крейсеров	křižníky
неба	nebe
неба	obloha
неба	sky
неба	nebeský
политехнический	polytechnické
закрыто	uzavřené
закрыто	zavřeno
закрыто	uzavřený
закрыто	zavřené
мельница	mlýn
механик	mechanika
механик	mechanik
склад	skladiště
склад	sklad
склад	sklad
склад	úložiště
склад	uchovávání
склад	skladování
публично	veřejně
джейсон	jason
чрезвычайный	mimořádné
чрезвычайный	neobyčejný
чрезвычайный	mimořádná
критическое	kritický
критическое	kritická
критическое	kritické
используемые	použité
используемые	použito
используемые	používané
используемые	použitý
используемые	používaný
прощения	odpuštění
райан	ryanovi
райан	ryan
особняк	sídlo
хлеб	pečivo
хлеб	chleba
хлеб	chléb
ближайшее	nejbližší
избрана	zvolen
избрана	zvolená
избрана	zvolený
сады	sady
сады	zahrady
сады	gardens
слоя	vrstvu
слоя	vrstvy
слоя	vrstva
движок	motoru
движок	motor
девочки	dívky
девочки	holčičky
девочки	holky
девочки	děvčata
освободить	uvolnění
освободить	propustit
освободить	uvolnit
освободить	propuštění
освободить	osvobodit
гипотезы	hypotéz
медицинская	lékařská
медицинская	lékařský
медицинская	lékařské
логично	logicky
логично	logicky
логично	logické
логично	logický
логично	logická
выпускников	absolventů
выпускников	absolventi
выпускников	absolventů
выпускников	absolventi
жаль	skoda
жаль	škoda
месяцы	měsíců
месяцы	měsíce
месяцы	měsících
стремится	vyhledává
индонезия	indonésie
дизайнер	návrhář
стол	stůl
стол	tabulka
стол	stolek
стол	stůl
луиджи	luigi
исчезли	zmizela
исчезли	zmizel
могилы	hroby
томми	tommyho
томми	tommy
королевская	královské
королевская	královská
королевская	royal
королевская	královský
белков	proteinů
белков	bílkovin
белков	proteiny
белков	bílkoviny
способствовало	přispěli
способствовало	přispěl
способствовало	přispěla
способствовало	přispěly
способствовало	přispělo
соглашается	souhlasí
чан	chang
чан	chan
чан	jang
улицах	ulice
улицах	ulic
казнь	poprava
казнь	vykonání
казнь	provedení
казнь	popravu
морис	maurici
морис	maurice
совершает	spáchá
совершает	zavazuje
самцы	samci
самцы	samce
убедить	přesvědčit
убедить	přesvědčit
технику	techniky
технику	techniku
технику	technika
частного	soukromé
частного	privátní
частного	soukromá
частного	soukromý
оригинальные	originální
оригинальные	originál
оригинальные	původní
цветы	květiny
цветы	květy
рыцарь	knight
рыцарь	rytíři
рыцарь	rytíř
прокат	půjčovny
прокат	pronájem
прокат	půjčovna
прокат	nájemné
прокат	pronájem
прокат	nájem
прокат	pronajmout
литве	lotyšsko
литве	litva
родригес	rodriguez
родригес	rodrigues
родригес	rodríguez
дам	přehrada
дам	dam
дам	hráz
дам	přehradu
наблюдать	pozorovat
кама	kama
печатных	tištěné
северное	severní
ценностей	hodnoty
ценностей	hodnot
квадратный	náměstí
квадратный	čtverec
малайзии	malajsie
малайзии	malajsie
малайзии	malajské
реплика	narážka
одежда	oděv
одежда	oděvy
одежда	oblečení
одежда	oděv
одежда	šaty
одежда	oděvy
одежда	oblečení
промышленные	průmyslový
промышленные	průmyslová
промышленные	průmyslové
тяжёлая	těžká
тяжёлая	těžké
тяжёлая	těžký
мкс	iss
мкс	irc
мкс	icm
мкс	cie
оппонентов	soupeři
оппонентов	odpůrci
вдова	vdovec
вдова	vdova
грибы	houby
грибы	houby
грибы	houby
грибы	houba
идеологии	ideologie
идеологии	ideologie
разрешить	povolit
разрешить	umožnit
разрешить	povolit
разрешить	povolení
барбара	barbaru
барбара	barbara
признали	uznala
признали	uznal
признали	uznáno
признали	uznáno
признали	uznávaný
признали	uznána
признали	uznávané
признали	uznané
признали	poznal
признали	uznávané
признали	uznané
верфи	loděnice
псевдонимы	přezdívky
законодательство	legislativa
ксения	xenia
ксения	xenia
ганс	hans
ганс	hansi
ганс	hanse
сзади	za
сзади	zadní
иллинойс	illinois
тон	tunu
тон	tón
планете	planetu
планете	planet
планете	planeta
планете	planetě
леви	levi
потомков	potomci
потомков	potomků
потомков	potomky
потомков	potomci
регистр	registr
регистр	registrovat
регистр	zaregistrovat
регистр	registru
регистр	registr
регистр	rejstřík
прототип	prototyp
творческий	kreativní
творческий	tvůrčí
геологии	geologie
химический	chemická
химический	chemikálie
химический	chemické
химический	chemický
ближайший	nejbližší
ближайший	nejblíže
ближайший	nejbližší
астрономы	astronomové
нижние	níže
нижние	níž
нижние	dolní
нижние	nižší
нижние	spodní
чистой	čisté
чистой	vyčistit
чистой	čistý
чистой	čistá
украинцы	ukrajinci
украинцы	ukrajinské
украинцы	ukrajinský
коды	kódy
среду	středu
среду	středy
среду	středa
среду	středeční
уголовное	kriminálník
уголовное	kriminální
уголовное	zločinec
уголовное	trestní
капитал	kapitál
монография	monografie
росс	rossová
росс	rossi
росс	ross
гвинеи	guinea
вкус	chuť
вкус	chutná
