ralf	ralf
myynnin	prodaja
joni	joni
kennedyn	kennedy
verkkoon	mrežo
verkkoon	mreža
verkkoon	omrežje
saattueita	konvoje
kirjaimellisesti	dobesedno
kirjaimellisesti	dobesedno
iss	iss
ehdokkuutta	kandidaturo
crawford	crawford
egyptiin	egipt
kristinusko	krščanstvo
yksilöiden	posamezniki
yksilöiden	posameznike
yksilöiden	posameznikov
yksilöiden	primerki
yksilöiden	osebkov
yksilöiden	osebki
työntekijät	zaposleni
työntekijät	zaposlene
työntekijät	uslužbenci
työntekijät	delavcev
työntekijät	delavci
työntekijät	delavce
aktiivisia	aktivna
aktiivisia	dejavno
aktiivisia	aktiven
aktiivisia	aktivni
aktiivisia	aktivno
castro	castra
castro	castro
kuljettajan	voznika
kuljettajan	voznik
kuljettajan	strojevodja
kuljettajan	šofer
järjestöt	združenji
järjestöt	združenja
järjestöt	organizacije
järjestöt	organizacijami
järjestöt	organizacij
järjestöt	organizacije
järjestöt	organizacij
sekaisin	zmedeno
sekaisin	zmedena
sekaisin	zmedeni
sekaisin	zmeden
saariston	otočje
aukio	kvadratnih
aukio	kvadrat
sevillan	seville
monroe	monroe
kannattajia	podporniki
pidemmälle	nadalje
pidemmälle	nadaljnje
väkivaltaa	nasilje
pérez	pérez
laajempaa	širši
laajempaa	širše
laajempaa	širši
laajempaa	širša
laajempaa	širše
sauna	savna
legenda	legend
legenda	legenda
tapahtumaan	dogodek
tapahtumaan	prireditev
tapahtumaan	dogodka
sullivan	sullivan
muuallakin	drugod
muuallakin	drugje
toimintoja	funkcionalnost
cannesin	cannesu
isot	velika
isot	veliki
isot	velike
isot	velik
sánchez	sánchez
sánchez	sanchez
puhemies	predsednik
puhemies	predsednica
puhemies	govornik
puhemies	govorec
puhemies	zvočnik
richards	richards
edwin	edwin
kahvila	menzi
kahvila	kavarna
kahvila	cafe
kahvila	kavarni
kahvila	kavarna
kahvila	kavarni
aamu	dopoldne
aamu	jutranja
aamu	jutro
tina	tin
tina	tine
tina	tina
viestinnän	komunikacije
viestinnän	komuniciranje
aviomies	soprog
aviomies	moz
aviomies	mož
liittoutuneet	zaveznika
liittoutuneet	zavezniki
hallinnut	prevladovala
rajoja	meje
indianapolis	indianapolis
kristittyjä	kristjane
kristittyjä	kristjani
kristittyjä	kristjanov
hävittäjät	borca
hävittäjät	borci
hävittäjät	rušilcev
kiviä	kamne
kiviä	kamenje
kiviä	kamni
kiviä	skale
kiviä	kamenje
kiviä	kamni
kenen	čigav
kenen	čigava
kenen	čigavo
sukellusveneen	podmornico
sukellusveneen	podmornica
markkinat	tržnice
markkinat	trgi
markkinat	tržišča
markkinat	trg
markkinat	tržišče
