вогези	vosges
літер	pisma
літер	slova
організована	organizovana
організована	organizovane
організована	organizovani
організована	organizovano
організована	organizovan
обкладинка	pokriti
обкладинка	pokrivaju
обкладинка	pokriće
збирати	prikupljanje
бурі	oluje
трасі	tracy
сірі	gray
сірі	siva
різниці	razlika
розпочати	početak
розпочати	start
розпочати	početka
газетах	novine
газетах	novina
страх	strah
детектив	detektiv
географічний	geografska
географічний	geografski
звільнити	eliminaciju
гине	umire
гине	umre
володарі	tvrde
володарі	tvrdnju
вбили	ubila
вбили	ubili
вбили	ubio
вбили	ubijena
вбили	ubijen
вбили	ubijeni
службовців	uposlenici
перерви	brejk
орла	orao
класична	klasični
класична	klasični
класична	classic
класична	klasik
помирає	umire
помирає	umre
гордон	gordon
кроки	koraka
кроки	koraci
поради	savjet
поради	savjeta
авторського	autorskog
живі	živi
живі	living
живі	živo
живі	živa
лиман	liman
лиман	liman
винищувач	blaster
винищувач	borac
косово	kosovo
землеробства	poljoprivreda
дуглас	douglass
дуглас	douglas
девіс	davis
девіс	davies
тертя	trenje
посуд	jela
накопичення	napetosti
папуа	papua
осінь	jesen
осінь	jesen
осінь	pad
юзеф	józef
рекомендується	preporučuje
рекомендується	preporučio
рекомендується	preporučila
пфальц	falačka
стандартний	standardni
душа	duša
гризунів	glodara
прим	prim
паоло	paolo
ефір	emitera
ефір	emiter
гвинтівки	pušaka
гвинтівки	puška
закрито	zatvorena
закрито	zatvoreno
закрито	zatvorio
алгоритми	algoritmi
кіпр	kipar
виклик	izazov
виклик	challenge
виклик	call
виклик	poziv
виклик	prkos
пакистану	pakistan
австралійський	australijski
австралійський	australian
австралійський	australijska
вклад	doprinos
мозок	mozak
гніздо	gnijezdo
безкоштовно	free
тепло	toplim
тепло	toplom
тепло	tople
осло	oslo
принесли	donijeli
принесли	doveden
принесли	donijela
принесли	donio
спини	sandy
ріст	rast
дізнатися	uče
дізнатися	nauči
дізнатися	uči
дізнатися	learn
передмісті	predgrađa
відійшли	slomio
відійшли	izbio
відійшли	raspala
кристали	kristali
мартіна	martina
інтерпретації	interpretacija
інтерпретації	tumačenja
комунікацій	komunikacija
мадонна	madonna
спільну	dijele
небезпеку	opasnosti
саксонія	saksonija
пожежа	vatra
підвіска	obustave
дехто	neki
сумніви	sumnja
сумніви	sumnje
гребля	brana
оснащений	dvostruku
оснащений	dvostruka
чоловічі	mužjak
купив	kupio
політикою	politika
бухарест	bukurešt
вибрати	odabrao
вибрати	biraju
вибрати	birati
вибрати	izabere
вибрати	izabrao
вибрати	biraju
вибрати	odabir
унікальні	jedinstveni
унікальні	jedinstveno
унікальні	jedinstven
унікальні	jedinstvena
чиновників	zvaničnici
оцінити	stopa
небезпеки	opasnost
архіви	arhive
статевий	seksualnu
статевий	spolno
статевий	spolni
статевий	seksualna
відійшов	away
відійшов	daleko
кулемети	mgs
ісус	isus
теоретично	teoretski
вчителі	nastavnike
вчителі	nastavnika
вчителі	nastavnici
вчителі	profesori
заявила	proglašeno
заявила	proglašeni
заявила	proglasile
заявила	proglasio
однакові	identičan
однакові	identične
однакові	identični
однакові	ista
однакові	isti
однакові	isto
секс	spol
чутки	glasine
чутки	glasine
визнала	priznao
несуть	nosili
крістофер	christopher
методика	tehnika
пейзаж	pejzaž
джаз	džez
уельсу	vels
едді	eddie
едді	edi
едді	eddy
бомби	bombe
закладено	pruža
закладено	obezbjeđuje
віки	vijek
віки	godišta
багата	uptown
німеччину	njemačka
фасаді	kontroverzni
фасаді	sporni
менеджмент	menadžment
говард	howard
течія	trenutna
течія	fluks
робітники	radnici
робітники	radnika
розмови	razgovori
розмови	razgovor
відмовляється	odbija
відмовляється	odbije
бойовиків	militanata
біженців	izbjeglica
біженців	izbjeglica
біженців	izbjeglice
корона	kruna
корона	krunu
сантьяго	santiago
однаково	jednako
змій	zmija
комуністична	komunistička
комуністична	komunistički
тропічні	tropske
тропічні	tropski
тропічні	tropska
етимологія	etimologija
преса	press
преса	štampa
ціль	cilj
ціль	objektivan
ціль	meta
добровільно	dobrovoljno
добровільно	namjerno
добровільно	dobrovoljnoj
добровільно	dobrovoljnu
добровільно	dobrovoljne
добровільно	dobrovoljnog
підтримується	podržao
підтримується	podržali
пізно	kasni
пізно	kasno
вдвічі	dvaput
вдвічі	udvostručila
переселенців	raseljenih
блакитний	plava
блакитний	cyan
тель	tel
коди	kodovi
пенсії	penzionisanja
пенсії	penzionisanje
пенсії	penzija
пенсії	penzije
бойове	borbeni
гурток	kružnica
моменти	trenutaka
моменти	trenucima
затемнення	pomračenje
наближення	aproksimacija
тріо	trio
гагаріна	gagarin
читача	bizantskog
трави	trava
трави	grass
трави	trave
трави	travi
трави	travu
діагностики	dijagnostika
еволюція	evolucija
інтелектуальної	intelektualno
інтелектуальної	intelektualac
інтелектуальної	intelektualnu
груповий	grupa
викладає	predaje
амстердам	amsterdam
порушує	krše
перебіг	uticaja
перебіг	utjecaj
перебіг	uticaj
вимагав	zahtijevao
жуків	baje
рів	reeve
клієнт	mušterija
клієнт	klijent
сервіс	služba
сервіс	servis
придбати	nabavku
придбати	kupovina
придбати	kupi
придбати	kupiti
гвардійська	čuvari
мінську	minsk
тварина	životinje
різдво	božić
молитви	molitvi
молитви	molitve
проста	jednostavna
проста	jednostavne
проста	jednostavan
проста	jednostavni
проста	jednostavnih
проста	jednostavno
собаки	psi
собаки	pasa
собаки	pse
фантастичний	fantastični
фантастичний	fantastične
виробника	prodavač
студію	studio
царі	magi
реставрація	obnovu
проникнення	infiltracija
презентація	prezentacija
диких	divljeg
диких	divlji
диких	wild
диких	divlja
