から	fra
日本	japan
日本	nippon
この	dette
この	denne
まで	indtil
まで	till
また	også
もの	ting
もの	tingene
大学	universiteter
大学	universiteterne
大学	university
大学	universitet
大学	universitetet
大学	kollegium
大学	college
大学	colleges
大学	kollegier
テレビ	fjernsyn
テレビ	tv
テレビ	fjernsynet
テレビ	fjernsyn
放送	udsende
放送	udsendelse
放送	udsendelsen
東京	tokyo
より	end
削除	slettede
削除	strøget
削除	udgået
削除	udgår
削除	slettet
削除	sletning
削除	sletter
削除	slette
削除	sletning
削除	fjerne
削除	fjern
削除	slette
削除	slet
現在	aktuel
現在	aktuelt
現在	løbende
現在	nuværende
現在	aktuelt
現在	nutiden
現在	nuværende
現在	nutid
学校	skoler
学校	skolerne
学校	skolen
学校	school
学校	skole
これ	dette
これ	denne
世界	world
世界	verden
アメリカ	america
アメリカ	amerika
アメリカ	usa
でも	men
について	om
について	omkring
作品	arbejder
作品	virker
作品	diskografi
時代	æra
時代	era
時代	epoke
映画	movie
映画	film
映画	biografen
映画	biograf
映画	folie
映画	filme
映画	film
映画	film
監督	direktør
監督	instruktør
監督	direktøren
監督	bestyrelsesmedlem
監督	opsyn
監督	tilsyn
監督	overvågning
鉄道	jernbanen
鉄道	jernbanerne
鉄道	jernbaner
鉄道	jernbaner
鉄道	jernbane
鉄道	jernbanen
使用	brug
使用	anvendelse
使用	anvend
出演	skinnet
出演	fremmøde
出演	udseende
出演	udseendet
出演	fremtræden
出演	afgivne
出演	kast
出演	støbt
出演	støbte
時間	åbningstider
時間	arbejdstimer
時間	timer
時間	timen
時間	time
時間	tid
時間	tidspunkt
時間	gang
時間	klokkeslæt
時間	tiden
開始	begynd
開始	start
開始	starter
開始	begynd
開始	indledning
開始	indvielse
シリーズ	serier
シリーズ	serie
シリーズ	serien
のみ	kun
記事	historien
記事	story
記事	historie
記事	fortællinger
記事	stories
記事	historier
記事	artikler
記事	genstande
記事	artiklerne
活動	aktiviteterne
活動	virksomhed
活動	aktiviteter
選手	aktører
選手	spillerne
選手	spillere
選手	atleter
選手	sportsfolk
しかし	men
研究	undersøgelser
研究	studier
研究	forskning
会話	samtalen
会話	samtale
会話	konversation
会話	samtaler
大阪	osaka
大会	konventet
大会	konventionen
大会	konvent
大会	konvention
チーム	holdene
チーム	hold
チーム	teams
チーム	holdet
チーム	hold
チーム	teamet
チーム	team
存在	eksistensen
存在	eksistens
優勝	vinde
優勝	vinder
優勝	vindende
作詞	tekster
所属	tilslutning
所属	tilknytning
所属	tilhørsforhold
所属	tilhøre
国際	international
国際	internationalt
国際	internationale
一部	nogle
一部	delvist
一部	delvis
結果	resultat
結果	resultatet
結果	resultater
結果	resultat
結果	resultaterne
アルバム	album
アルバム	plade
アルバム	albummet
アルバム	album
アルバム	albummer
バス	bus
バス	bussen
バス	bassen
バス	bass
バス	bas
バス	busser
バス	busserne
ゲーム	gaming
ゲーム	vildt
ゲーム	spillet
ゲーム	kamp
ゲーム	spil
ゲーム	leg
ゲーム	kampe
ゲーム	spil
問題	udstedelse
問題	problem
問題	problemet
問題	problemer
問題	problemer
問題	spørgsmål
問題	emner
問題	problemer
問題	mærkesager
リーグ	league
リーグ	ligaen
リーグ	liga
リーグ	ligaer
利用	indløse
利用	indfrielse
利用	indløsning
開発	udviklingen
開発	udvikling
事業	forretninger
事業	forretning
事業	erhvervslivet
事業	business
事業	virksomhed
決定	afgørelse
決定	beslutning
決定	afgørelsen
決定	afgørelser
決定	beslutninger
音楽	music
音楽	musik
音楽	musikken
転送	fremadrettet
転送	frem
転送	fremad
転送	transfer
転送	overdragelse
転送	overførsel
転送	forflyttelse
転送	overførsler
情報	info
情報	oplysninger
情報	oplysning
情報	information
情報	oplysninger
情報	underretning
公式	formel
公式	officielt
公式	embedsmand
公式	tjenestemand
公式	officiel
参加	deltag
参加	deltagelse
参加	medindflydelse
参加	medbestemmelse
地域	regionerne
地域	regioner
地域	områder
地域	region
変更	forandringer
変更	ændringer
変更	ændr
変更	skift
変更	ændring
変更	forandring
変更	ændr
編曲	arrangerede
編曲	arrangeret
編曲	ordning
編曲	arrangement
サイト	site
サイト	sites
サイト	lokaliteter
記録	optagelse
記録	registrering
記録	indspilning
記録	optager
記録	plade
記録	optag
記録	record
記録	rekord
関係	relation
関係	relationer
関係	forbindelserne
関係	forbindelser
クラブ	klub
クラブ	club
クラブ	natklub
クラブ	kølle
クラブ	klubben
クラブ	klubber
クラブ	natklubber
クラブ	køller
クラブ	klubberne
