les	เดอะ
une	เดียว
une	หนึ่ง
pour	สำหรับ
pour	เพื่อ
qui	ผู้
qui	ใคร
que	นั้น
que	ที่
que	ว่า
que	นั่น
avec	ด้วย
avec	กับ
son	เสียง
son	มัน
son	its
plus	บวก
plus	พลัส
plus	plus
plus	อื่นๆ
plus	มากกว่า
pas	ไม่
pas	ไม่ใช่
sont	กำลัง
sont	คือ
elle	หล่อน
elle	เธอ
elle	นาง
elle	แอล
été	ซัมเมอร์
été	summer
comme	ชอบ
comme	เหมือน
comme	แบบ
comme	ถูกใจ
comme	ไลค์
comme	อย่าง
mais	แต่
cette	นี้
cette	นี่
cette	ดิส
pop	ป็อป
pop	ป็อป
pop	ป๊อป
pop	pop
deux	สอง
deux	two
ses	ses
ses	มัน
ses	its
naissance	naissance
naissance	เกิด
naissance	เกิด
naissance	กำเนิด
aussi	ยัง
france	ฝรั่งเศส
saint	ศีล
saint	ศักดิ์สิทธิ์
saint	นักบุญ
saint	เซนต์
après	after
après	หลัง
fait	ทำให้
fait	จบ
notes	หมายเหตุ
notes	บันทึก
notes	โน้ต
entre	ระหว่าง
sous	ใต้
même	แม้น
même	แม้
même	แม้แต่
même	แม้ว่า
même	เดียวกัน
être	การ
nom	สกุล
nom	นามสกุล
nom	ชื่อ
français	ฝรั่งเศส
ont	มี
paris	paris
paris	ปารีส
lui	เขา
lieu	ตำแหน่งที่ตั้ง
lieu	ตำแหน่ง
cet	นี้
cet	นี่
cet	ดิส
autres	อื่นๆ
autres	อื่นๆ
décès	ตาย
références	อ้างอิง
liens	ลิงก์
commune	คอมมูน
commune	สามัญ
commune	ทั่วไป
ville	town
ville	เมือง
ville	ทาวน์
ville	เมือง
ville	ซิตี้
ville	city
jean	ยีน
jean	จีน
jean	ฌอง
jean	จอร์น
jean	john
jean	จอห์น
date	เดท
cest	cest
peut	พฤษภาคม
peut	สามารถ
peut	สา
depuis	ตั้งแต่
depuis	จาก
première	ปฐมทัศน์
première	ก่อน
première	แรก
ans	ปี
alors	งั้น
externes	ภายนอก
site	เว็บไซต์
site	ไซต์
premier	พรีเมียร์
premier	premier
premier	ก่อน
premier	แรก
http	http
film	หนัง
film	ภาพยนต์
film	ภาพยนตร์
film	ภาพยนตร์
film	ฟิล์ม
voir	เห็น
voir	ดู
voir	ดู
pays	ประเทศ
pays	ประเทศ
source	ต้นทาง
grand	ใหญ่
grand	บิ๊ก
grand	ใหญ่
grand	big
grand	เยี่ยม
grand	ยอด
grand	grand
tout	ทั้งหมด
tout	ทุก
lors	ระหว่าง
groupe	วง
groupe	band
groupe	กลุ่ม
également	ยัง
titre	ชื่อ
monde	เวิลด์
monde	world
monde	โลก
nord	อุดร
nord	เหนือ
nord	เหนือ
années	ปี
bien	เก่ง
bien	ดี
bien	เอ้อ
bien	ก็
bien	เออ
bien	ดี
bien	ก้อ
bien	อืม
contre	ต่อ
liste	รายการ
puis	งั้น
équipe	ทีม
équipe	squad
équipe	หน่วย
équipe	หมู่
équipe	ทีม
équipe	team
club	คลับ
club	สโมสร
club	club
club	ชมรม
sud	sud
sud	south
sud	ใต้
partie	พรรค
partie	ปาร์ตี้
partie	ภาค
partie	ส่วน
partie	part
avant	หน้า
avant	ก่อน
non	ไม่
non	ไม่ใช่
très	มาก
trois	three
trois	สาม
articles	บทความ
article	บทความ
article	ข่าว
guerre	สงคราม
sans	sans
saison	ฤดูกาล
fin	fin
fin	จบ
fin	end
fin	ยุติ
vers	vers
année	ปี
temps	อากาศ
temps	เวลา
plusieurs	มากมาย
plusieurs	หลาย
plusieurs	หลาย
plusieurs	หลายๆ
plusieurs	หลาย
faire	ทำให้
faire	faire
mars	มีนาคม
mars	มาร์ช
mars	march
histoire	ประวัติศาสตร์
histoire	ประวัติการ
histoire	ประวัติ
série	ซีรี่ส์
série	อนุกรม
mai	พฤษภาคม
mai	เชียงใหม่
tour	ทัวร์
tour	หอคอย
tour	ทาวเวอร์
tour	หอ
mort	ตาย
mort	มอร์ท
mort	ตาย
juin	จุน
juin	จูน
juin	มิถุนายน
jpg	jpg
française	ฝรั่งเศส
pierre	stone
pierre	หิน
pierre	ศิลา
pierre	peter
pierre	ปิแอร์
région	แคว้น
région	ภูมิภาค
région	บริเวณ
région	พื้นที่
janvier	มกราคม
avoir	มี
fois	ไทม์
fois	ครั้ง
autre	autre
autre	อื่นๆ
septembre	กันยา
septembre	กันยายน
juillet	กรกฎาคม
état	สถานะ
état	สถานภาพ
état	สภาพ
état	รัฐ
état	เงื่อนไข
état	สภาพ
église	ศาสนจักร
église	โบสถ์
octobre	ตุลาคม
famille	ตระกูล
famille	ครอบครัว
famille	family
général	ทั่วไป
général	แม่ทัพ
avril	apr
avril	april
avril	เมษายน
tous	ทั้งหมด
tous	ทุก
politique	นโยบาย
politique	การเมือง
album	อัลบั้ม
décembre	ธันวาคม
décembre	ธันวา
novembre	พฤศจิกายน
prix	ราคา
prix	ราคา
