ترغیب	overtalelse
عطر	parfyme
هجده	atten
هجده	eighteen
آندری	andrej
آندری	andrej
آندری	andrei
عنکبوت	edderkopp
عنکبوت	edderkoppen
عنکبوت	spider
قیاس	monumental
قیاس	analogi
بازیافت	resirkulering
موس	moose
موس	elg
موس	elgen
مؤسسات	institusjoner
دیگو	diego
کریستینا	christina
کریستینا	cristina
آران	aran
تجربیات	erfaringer
تجربیات	opplevelser
ریاضیدان	matematiker
خونین	blodig
کافه	café
کافه	cafe
کافه	kafé
کافه	café
کافه	kafe
کافه	kafé
لیل	lil
لیل	lill
لیل	lille
دستان	hendene
دستان	henda
دستان	hender
دستان	hands
فروشی	handle
فروشی	butikk
فروشی	sløyd
دریک	drake
مراسمی	seremoni
مراسمی	seremonier
نصرت	nusrat
گشتی	patrol
گشتی	patrulje
مرجان	coral
مرجان	marjan
پلاسما	plasma
سقراط	sokrates
بوتان	bhutans
بوتان	bhutan
تعمیم	generalisering
باردار	gravide
باردار	drektig
باردار	gravid
مالیاتی	moms
مالیاتی	skatt
مالیاتی	skatt
مالیاتی	selvangivelsen
مالیاتی	skatter
سینت	sint
آریا	aria
آریا	arie
آریا	arya
گزیده	bitten
گزیده	bitt
گزیده	selektiv
بره	væren
دیوارها	murer
دیوارها	vegger
افراطی	ekstremist
افراطی	ekstrem
افراطی	ekstremt
افراطی	ekstreme
افراطی	extreme
آژاکس	ajax
فرشتگان	engler
جیوه	kvikksølv
جیوه	mercury
فاضلاب	kloakk
وادی	wadi
لیاقت	fortjene
لیاقت	fortjener
لیاقت	merit
جودی	judy
حفر	dig
حفر	grave
حفر	graving
حفر	graver
حفر	grave
شعله	flamme
شعله	flammer
کوچولو	lille
کوچولو	lite
کوچولو	liten
تلفیق	blander
فک	kjeve
زعفران	safran
تعاریف	definisjoner
دامن	skjørt
دامن	skjørt
گیلمور	gilmour
گیلمور	gilmore
مفصلی	leddgikt
مفصلی	artritt
گیتاریست	gitarist
حرام	forbudte
حرام	forbudt
حرام	forbudt
محراب	alter
محراب	fristed
محراب	tilfluktssted
محراب	helligdom
اقیانوسی	oceanic
اقیانوسی	hav
اقیانوسی	ocean
گیتی	universe
گیتی	univers
گیتی	universet
گیتی	kosmos
رید	reid
رید	reed
عموی	onkel
عموی	onkelen
جودو	judo
پژو	peugeot
مسائلی	problemer
بالاتری	høyere
تامیل	tamil
نوسنگی	neolittisk
کورت	curt
کورت	kurt
خطبه	preken
خطبه	prekenen
نزاع	strides
نزاع	tvist
نزاع	tvisten
نزاع	strid
نزاع	konflikt
نزاع	krangel
داروین	darwin
غواصی	stuping
غواصی	dykking
غواصی	stup
غواصی	dykk
غواصی	dykke
بلوط	chestnut
بلوط	eikenøtter
بلوط	kastanjer
بلوط	eik
بلوط	oak
بلوط	eika
دستورات	ordre
دستورات	bestillinger
دستورات	ordrer
تقارن	symmetri
رونمایی	avdekket
اسراییل	israel
اسراییل	israelske
اسراییل	israelsk
اشباع	metning
اشباع	mettet
کوئین	quinn
پلاتین	platinum
پلاتین	platina
پشتیبان	støtter
پشتیبان	støtte
پشتیبان	brukerstøtte
پشتیبان	support
پشتیبان	sikkerhetskopi
پشتیبان	backup
اسکندریه	alexandria
مرکوری	kvikksølv
مرکوری	mercury
پخت	matlaging
پخت	bake
موری	maury
موری	murray
تضعیف	undergraver
تضعیف	svekkes
شهروندی	borgerskap
شهروندی	statsborgerskap
شهروندی	statsborger
شهروندی	borger
فین	finn
زانو	kne
زانو	kneet
زانو	knærne
زانو	knær
آرنا	arena
فلش	flash
