காதர்	kader
அத்தி	smokve
காற்றியக்கவியல்	aerodinamiku
படகில்	trajektom
படகில்	trajekt
சுரங்கங்கள்	tuneli
சுரங்கங்கள்	tunele
சுரங்கங்கள்	tunela
போற்றப்படுகிறது	obožavala
போற்றப்படுகிறது	obožavao
அழுத்தி	kompresor
பழுது	popravke
பழுது	popravci
பழுது	popravka
பழுது	popravke
பழுது	popravka
பழுது	popravak
ஊஞ்சல்	zamah
பைபிள்	biblija
பைபிள்	biblije
பைபிள்	bibliju
அடியார்கள்	sluge
ஹம்	hum
தோற்றங்கள்	slike
புன்னகை	osmijeh
புன்னகை	osmjeh
சைரஸ்	cyrus
கால்களை	noge
பரிமாணம்	dimenzija
பரிமாணம்	dimenzije
இவான்	ivan
இவான்	ivana
இவான்	ivane
இவான்	evan
லில்லி	lilly
லில்லி	lili
லில்லி	lili
லில்லி	lily
வார்த்தைகளை	riječi
வார்த்தைகளை	reči
வார்த்தைகளை	rijeci
முன்பதிவு	rezervacije
முன்பதிவு	rezervacija
முன்பதிவு	rezervi
முன்பதிவு	rezerva
குறிப்பிடவில்லை	navedeno
குறிப்பிடவில்லை	naveden
குறிப்பிடவில்லை	navedena
எடையை	težina
எடையை	težinu
பராமரிக்க	održavati
கியூரி	curie
கட்டமைக்கப்பட்ட	strukturirani
பிரெட்	brett
பிரெட்	fred
பாரா	bara
திறந்தவெளி	sajmište
அவளின்	joj
அவளின்	nju
செமிடிக்	semitski
கொம்புகள்	rogovi
கொம்புகள்	rogova
கொம்புகள்	rogove
அகராதிகள்	rječnici
அணிய	nosi
அணிய	obuci
உருகுவே	urugvaj
நிபந்தனை	stanje
நிபந்தனை	uvjet
அச்சுப்பொறிகள்	pisači
பின்னம்	djelić
மீட்டரில்	challenger
மீட்டரில்	izazivač
டேல்	dale
எஸ்டேட்	posjed
எஸ்டேட்	imanje
ஓடை	potok
ஊற்று	fontana
ஊற்று	fontanu
விளையாடுபவர்	igrač
விளையாடுபவர்	player
விளையாடுபவர்	igrači
விளையாடுபவர்	igrača
