травму	trauma
висит	varje
висит	varur
полицейских	polica
полицейских	policë
конвенции	konventa
конвенции	konventën
конвенции	kuvend
конвенции	konventat
местоположения	vendodhja
местоположения	vendndodhje
местоположения	vendndodhjet
обнаружить	zbuloni
обнаружить	zbulo
душа	dush
душа	shpirti
душа	shpirtit
душа	shpirtin
душа	shpirt
медведь	ari
медведь	arusha
медведь	ariu
чёрное	ziu
чёрное	zi
чёрное	black
чёрное	zez
чёрное	zeza
чёрное	zezë
эхо	jehonë
эхо	eko
эхо	jehona
эхо	jehonë
кипра	qipro
кипра	qiproja
быстрый	shpejt
быстрый	shpejt
быстрый	shpejte
кратеров	kratere
тан	tang
тан	tan
тан	tanin
спектр	spektri
спектр	spektrit
спектр	spektër
курт	kurt
курт	curt
ширину	gjerësi
ширину	gjerësia
представлений	paraqitjet
нации	popull
нации	kombi
нации	komb
нации	kombit
джин	jin
джин	xhin
джин	gjin
джин	xhin
джин	jean
джин	gjen
джин	gene
продано	shitur
продано	shiten
продано	shitet
продано	shit
мощный	fuqishëm
мощный	fuqishem
кругах	rrathët
кругах	qarqet
кругах	rrathë
записать	rekord
записать	rekordi
испанская	spanjoll
испанская	spanjisht
испанская	spanjollisht
испанская	spanjolle
комплексы	komplekset
мол	mal
мол	mol
моложе	younger
интерпретации	interpretime
льда	akulli
льда	akull
льда	ice
северные	veriut
северные	veriore
северные	verior
сопровождении	shoqeruar
сопровождении	shoqëruar
зимний	dimri
зимний	dimër
зимний	dimrit
зимний	dimrin
институты	institute
институты	institucione
институты	institucionet
институты	institucioneve
немецкое	gjerman
немецкое	gjermanisht
немецкое	gjermane
норвежский	norvegjeze
норвежский	norvegjez
командиров	komandantët
командиров	komandantë
командиров	komandantëve
взяв	marrja
вулкан	vullkan
вулкан	vullkani
вулкан	vulcan
дополнительная	shtesë
дополнительная	shtesë
дополнительная	ekstra
дополнительная	shtes
дополнительная	extra
десятилетий	dekada
десятилетий	dekadat
гостиницы	hotele
гостиницы	hotelet
конкретный	specifik
конкретный	specifikë
конкретный	specifike
конкретный	konkret
конкретный	konkrete
конкретный	beton
конкретный	betoni
верить	beso
верить	besoni
верить	besoj
верить	believe
купить	blini
купить	blej
верность	besës
верность	besnikëri
верность	besnikërinë
верность	besnikëria
плата	tarifë
медики	mjekeve
медики	mjekësorë
репутацию	reputacionin
репутацию	reputacioni
репутацию	reputacion
коммуникации	komunikimet
костюм	kostumi
костюм	kostum
костюм	kostum
избирательный	përzgjedhës
маяк	far
маяк	fari
маяк	fener
норма	norm
отдельное	ndahen
воин	luftetar
воин	luftetari
воин	luftëtari
воин	luftëtare
воин	luftëtar
крус	cruz
крус	kruz
отбора	zgjedhjen
отбора	zgjedhja
отбора	përzgjedhje
бойцы	luftetaret
бойцы	luftëtarët
бойцы	luftëtarë
лук	allium
лук	qepë
лук	qepët
лук	qepë
лук	qepa
лук	harku
лук	hark
ушел	gone
ушел	iku
ушел	iken
ушел	shkuar
ушел	ikur
ушел	ikën
прусской	prg
бабушка	gjyshja
бабушка	gjyshe
бабушка	gjyshja
бабушка	gjyshe
бабушка	gjyshja
бабушка	gjyshe
фишер	fisher
фишер	fisheri
фишер	fisher
фишер	fisheri
симфония	simfoni
скажите	thone
скажите	thuaj
скажите	cekja
скажите	thoni
разрешено	autorizuar
разрешено	autorizoi
разрешено	lejohet
разрешено	lejohen
разрешено	lejuar
разрешено	lejua
разрешено	lejuara
разрешено	lejohet
разрешено	lejuar
разрешено	autorizuar
гражданские	civil
гражданские	civile
гражданские	civil
гражданские	civilë
гражданские	civile
гражданские	civilë
гражданские	civilëve
гражданские	civilët
марино	marino
александров	aleksandrov
вызвали	thirrur
вызвали	thirret
богдан	bogdan
проектирование	dizajn
проектирование	dizajni
проектирование	dizenjuar
функционирования	funksionimin
функционирования	funksionimi
низкая	low
низкая	ulët
краснодар	krasnodar
завершено	plotësuar
завершено	përfunduar
завершено	përfundoi
завершено	mbaroi
завершено	mbarova
завершено	përfunduar
завершено	përfundoi
сталинская	stalinist
франс	frans
франс	francë
франс	franca
франс	france
индейцы	indianët
индейцы	indianëve
индейцы	indianë
трио	treshe
трио	trio
польшу	poloni
польшу	polonia
польшу	polonisë
толщиной	trasha
достоинство	dinjitet
достоинство	dinjiteti
верующих	besimtarëve
верующих	besimtarët
верующих	besimtarësh
верующих	besnike
верующих	besnik
пустыни	shkretëtira
пустыни	shkretëtirë
пустыни	shkretëtirave
пустыни	shkretëtira
оборона	mbrojtje
оборона	mbrojtja
оборона	mbrojtje
оборона	mbrojtja
оборона	mbrojtëse
оборона	mbrojtes
аллен	allen
аллен	alen
технически	teknikisht
дяди	dajat
дяди	dajt
христос	krist
христос	krisht
христос	krishtin
христос	krishti
христос	christ
героиня	heroina
героиня	heroinë
снята	tërhequr
эрика	erika
эрика	erika
приобретает	ble
согласиться	pajtohem
согласиться	dakord
согласиться	dakort
упомянуть	përmendja
упомянуть	përmendim
упомянуть	përmend
упомянуть	përmendje
упомянуть	permend
пещера	shpellë
пещера	shpella
пещера	cave
пещера	shpellën
снимаю	xhirimet
снимаю	xhirime
снимаю	xhirimi
гости	vizitorë
гости	vizitorët
гости	mysafirë
гости	mysafirët
гости	mysafire
обнаружена	zbulohet
обнаружена	zbuluar
обнаружена	zbulohet
обнаружена	zbuluar
переворот	puç
южные	jugor
южные	jugore
афганистан	afganistan
афганистан	afghanistan
афганистан	afganistani
афганистан	afganistanin
перри	peri
перри	perri
перри	perry
обслуживание	shërbimet
обслуживание	shërbime
обслуживание	shërbim
обслуживание	shërbimi
религиозный	fetar
религиозный	fetarë
религиозный	fetare
сортов	lloje
выделение	zgjedhjen
выделение	zgjedhja
выделение	përzgjedhje
банки	banks
банки	banka
банки	bankat
банки	kavanoza
банки	kanaçe
патриархата	patriarkatit
используемый	përdorur
используемый	përdoret
настоящие	real
настоящие	reale
настоящие	vertet
настоящие	vërtetë
настоящие	autentike
тяжёлый	rëndë
тяжёлый	rende
сорок	dyzetë
сорок	forty
сорок	dyzet
ларри	lari
ларри	larry
ларри	leri
стояла	qëndronte
стояла	qëndroi
стояла	qëndruan
временной	demtimi
запретить	ban
крыша	kulm
крыша	kulmi
крыша	çati
крыша	çatia
промышленный	industrialë
промышленный	industrial
промышленный	industriale
продюсеры	prodhues
продюсеры	prodhuesit
объяснение	shpjegimi
объяснение	sqarim
объяснение	shpjegimin
объяснение	shpjegim
уэст	perëndimi
уэст	west
уэст	perendimi
уэст	perëndim
уэст	perendim
уэст	perëndimore
атмосферу	atmosferë
атмосферу	atmosfera
атмосферу	atmosfere
добавления	shtesat
добавления	shtesa
прорыв	rrugëdalje
сложный	kompleksi
сложный	kompleks
сложный	komplekse
сложный	komplikuar
лат	vo
мастерство	aftësi
мастерство	aftësitë
сущность	thelb
сущность	esenca
сущность	thelbi
сущность	esenciale
дизель	diesel
дизель	dizel
приоритет	prioritet
приоритет	përparësi
приоритет	prioriteti
приоритет	përparësia
кратко	shkurtimisht
кратко	shkurtër
боли	dhimbje
боли	dhimbja
секс	seks
секс	seksit
секс	sex
уолтер	walter
инцидент	incidenti
инцидент	incident
инцидент	uck
посредничества	ndërmjetësimi
посредничества	ndërmjetësim
посредничества	ndërmjetësimin
серый	gray
серый	grei
серый	grej
серый	gri
серый	grei
серый	grey
серый	gri
филармонии	filarmonike
точность	saktësi
точность	saktësia
точность	saktësi
точность	saktësia
просмотра	shikimin
альянс	aleancë
альянс	aleanca
альянс	aleance
альянс	aleancës
заявляет	deklaron
заявляет	shpall
проза	prozë
белки	proteina
белки	proteinat
белки	proteinat
белки	ketrat
мяса	mishin
мяса	mishi
мяса	mish
управляет	menaxhon
скандал	skandal
скандал	skandali
петровский	petrovsky
разницы	kufiri
разницы	diferencë
свадьбы	dasmat
свадьбы	dasem
свадьбы	martesë
свадьбы	dasmes
свадьбы	dasëm
свадьбы	dasme
свадьбы	dasma
ранение	dëmtimi
ранение	lëndim
ранение	dëmtim
ранение	plage
ранение	plaga
ранение	plagë
подразумевает	nënkupton
фсб	fsb
пенсильвания	pensilvani
цепь	qark
цепь	qarku
цепь	zinxhirin
цепь	zinxhir
цепь	zinxhiri
видна	dukshëm
пруд	pellg
звёздный	hyjnor
пятой	pesti
пятой	pesta
волгоград	volgograd
делегации	delegacionet
делегации	delegacioneve
делегации	delegacione
заменены	zëvendësoi
заменены	zëvendësua
заменены	zëvendësohet
процессор	processor
процессор	proçesi
процессор	cpu
эксперименты	eksperimente
эксперименты	eksperimentet
монах	frat
монах	murgu
монах	murg
гражданина	qytetari
