die	the
van	marga
van	dari
het	got
het	punya
het	telah
het	has
het	memiliki
wat	what
wat	apa
wat	that
wat	itu
wat	bahwa
wat	yang
word	menjadi
met	dengan
was	euy
was	was
was	were
vir	untuk
nie	not
nie	bukan
nie	tidak
dit	ini
deur	pintu
deur	door
ook	juga
tot	till
dat	that
dat	itu
dat	bahwa
dat	yang
hulle	mereka
suid	selatan
suid	south
uit	keluar
uit	out
jaar	tahun
jaar	year
eerste	pertama
eerste	duluan
eerste	dulu
eerste	first
maar	tapi
maar	tetapi
kan	dapat
kan	can
kan	bisa
hierdie	ini
ander	lain
ander	lainnya
soos	suka
soos	sukai
soos	seperti
soos	like
afrika	africa
afrika	afrika
afrika	afrika
oor	tentang
oor	ttg
oor	perihal
oor	sekitar
oor	kuping
oor	telinga
oor	sisa
oor	tersisa
een	satu
een	one
gebruik	penggunaan
gebruik	kegunaan
gebruik	pemakaian
gebruik	menggunakan
gebruik	gunakan
gebruik	pakai
gebruik	penggunaan
afrikaanse	afrika
groot	besar
groot	hebat
groot	agung
meer	danau
meer	selengkapnya
meer	lebih
meer	lainnya
meer	lagi
onder	dibawah
onder	bawah
onder	terbawah
onder	bottom
twee	dua
twee	two
kerk	kerk
kerk	gereja
kerk	church
duimnael	thumbnail
duimnael	miniatur
tussen	antara
tussen	diantara
gemeente	jemaat
gemeente	assembly
gemeente	perakitan
gemeente	majelis
baie	sangat
baie	banyak
begin	mulai
begin	mulailah
begin	start
waar	mana
waar	dimana
waar	benar
waar	true
dié	ini
eeu	abad
eeu	century
haar	nya
haar	her
eksterne	eksternal
sien	melihat
sien	ngeliat
sien	lihat
nuwe	new
nuwe	baru
leë	hampa
leë	kosongkan
leë	kosong
leë	kosong
leë	blank
hom	nya
hom	him
voor	front
voor	depan
voor	sebelum
voor	sebelumnya
voor	before
stad	city
stad	kota
land	negara
skakels	taut
skakels	pranala
skakels	link
skakels	tautan
skakels	links
later	kemudian
later	nanti
nog	nogai
nog	selengkapnya
nog	lebih
nog	lainnya
nog	lagi
net	only
net	saja
net	hanya
net	cuma
net	hanya
tydens	selama
sou	akan
naam	nama
deel	bagikan
deel	berbagi
deel	share
deel	part
deel	bagian
drie	tiga
drie	three
egter	namun
grootste	terbesar
grootste	greatest
pous	paus
sal	will
sal	akan
ons	our
mense	rakyat
mense	orang
mense	people
bestaan	eksis
bestaan	ada
svg	svg
nasionale	gimn
nasionale	national
nasionale	nasional
maak	buat
maak	make
maak	jadikan
maak	membuat
kom	datang
noord	utara
noord	north
jpg	jpg
gebied	wilayah
gebied	teritori
gebied	daerah
gebied	wilayah
gebied	luas
gebied	kawasan
gebied	area
vanaf	dari
laat	terlambat
laat	telat
laat	larut
saam	bareng
saam	together
saam	bersama
style	styles
style	gaya
terwyl	sambil
terwyl	sementara
terwyl	selagi
veral	khususnya
veral	terutama
moet	harus
moet	mesti
moet	keharusan
moet	must
weer	lagi
weer	cuaca
werk	pekerjaan
werk	kerja
werk	bekerja
werk	tugas
werk	job
werk	pekerjaan
werk	ayub
klein	small
klein	kecil
klein	kecil
klein	minor
klein	tiny
klein	kecil
klein	mungil
oos	east
oos	timur
hier	disini
hier	here
hier	sini
tyd	kali
tyd	waktu
tyd	waktunya
tyd	time
geword	menjadi
vlag	bendera
verskeie	bermacam
verskeie	berbagai
verskeie	beragam
verskeie	miscellaneous
verenigde	bersatu
mei	may
mei	mei
wes	maghrib
wes	barat
wes	west
vorm	shape
vorm	bentuk
staan	standing
staan	berdiri
staan	stand
staan	berdiri
gereformeerde	direformasi
isbn	isbn
genoem	disebut
genoem	disebutkan
dan	lalu
dan	maka
dan	kemudian
bevolking	penduduk
bevolking	populasi
gemaak	made
gemaak	dibuat
gebou	building
gebou	membangun
gebou	bangunan
gebou	gedung
jare	tahun
januarie	januari
januarie	manual
junie	jun
junie	juni
amerikaanse	american
amerikaanse	amerika
slegs	only
slegs	saja
slegs	hanya
slegs	cuma
slegs	hanya
nadat	sesudah
nadat	after
nadat	setelah
dorp	dorp
april	april
lank	tall
lank	jangkung
lank	lama
lank	panjang
lank	long
gestig	didirikan
oktober	oktober
julie	juli
sedert	semenjak
sedert	since
sedert	sejak
sedert	diluncurkan
sedert	meluncurkan
reeds	sudah
kaapstad	barcelona
september	september
engels	inggris
engels	indonesian
engels	english
party	party
party	berpesta
party	partai
party	pesta
party	pihak
desember	desember
desember	december
maart	march
maart	maret
alle	all
alle	aii
alle	semua
augustus	august
augustus	agustus
gevolg	diikuti
februarie	februari
februarie	pebruari
nou	sekarang
nou	now
nou	kini
meeste	kebanyakan
meeste	paling
gebore	born
gebore	lahir
gebore	terlahir
gebore	dilahirkan
provinsie	propinsi
provinsie	provinsi
provinsie	kabupaten
provinsie	county
provinsie	daerah
provinsie	powiat
provinsie	negara
provinsie	keadaan
provinsie	state
universiteit	universitas
universiteit	university
beskou	mempertimbangkan
beskou	pertimbangkan
lewe	kehidupan
lewe	life
lewe	hidup
vier	empat
vier	four
vier	merayakannya
vier	merayakan
vier	merayakannya
vier	merayakan
vier	muliakanlah
vier	rayakan
november	november
november	nopember
franse	prancis
franse	perancis
dood	kematian
dood	death
dood	maut
dood	mati
dood	tewas
dood	dead
dood	mati
amptelike	official
amptelike	resmi
koning	raja
koning	king
der	der
dieselfde	same
wêreld	world
wêreld	dunia
volgende	selanjutnya
volgende	berikutnya
volgende	next
geleë	berlokasi
geleë	bertempat
geleë	terletak
miljoen	juta
miljoen	million
miljoen	sejuta
aantal	kuantitas
aantal	jumlah
plaaslike	local
plaaslike	lokal
regs	kanan
regs	benar
regs	right
dikwels	seringkali
dikwels	sering
internasionale	internasional
internasionale	international
internasionale	mancanegara
eie	kustomisasi
eie	menyesuaikan
eie	sesuaikan
eie	own
eie	sendiri
voëls	birds
voëls	burung
eers	pertama
eers	duluan
eers	dulu
eers	first
pretoria	pretoria
steeds	masih
groep	group
groep	kelompokkan
groep	grup
groep	kelompok
stel	tetapkan
stel	set
stel	setel
stel	atur
sluit	keluar
sluit	close
sluit	dekat
sluit	tutup
frankryk	prancis
frankryk	france
frankryk	perancis
naby	dekat
naby	terdekat
naby	sekitar
hoofstad	capital
hoofstad	ibukota
hoofstad	modal
verwys	dikutip
verwys	mengacu
verwys	rujuk
verwys	merujuk
state	negara
water	water
water	air
water	spatula
einde	selesaikan
einde	finish
einde	akhiri
einde	end
einde	akhir
duitsland	jerman
regering	pemerintah
regering	pemerintahan
elke	setiap
elke	every
kaap	cape
kaap	tanjung
dae	days
dae	hari
wanneer	kapan
wanneer	saat
wanneer	apabila
wanneer	ketika
oorlog	perang
oorlog	peperangan
oorlog	war
laaste	last
laaste	terakhir
politieke	politik
besluit	memutuskan
besluit	keputusan
besluit	memutuskan
besluit	diputuskan
besluit	memutuskan
besluit	tentukan
besluit	putuskan
ryk	imperium
