неопходни	जरुरी
половината	कमर
половината	हाफ़
половината	आधा
половината	आधी
половината	हाफ
изолирани	पृथक
откри	नाज़िल
френклин	फ्रैंकलिन
бродовите	जहाज
бродовите	जहाजों
предупредување	चेतावनी
кршење	उल्लंघन
кршење	तोड़ने
кршење	ब्रेकिंग
кршење	तोड़कर
државјанство	नागरिकता
предци	पूर्वजों
предци	पूर्वजो
натписи	लेख
натписи	आलेख
харисон	हैरिसन
леви	लेवी
обама	ओबामा
раскажувач	कथाकार
прославата	उत्सव
прославата	सेलिब्रेशन
прославата	जश्न
експериментални	प्रयोगात्मक
експериментални	प्रायोगिक
масти	वसा
масти	मोटी
масти	स्थूल
масти	मोटा
масти	मोटे
семејствата	परिवारों
паскал	पास्कल
вавилон	बाबुल
обреди	संस्कार
сакаше	चाही
роберто	रॉबर्टो
бетмен	बैटमैन
правник	वकील
запишување	लिखकर
запишување	लेखन
запишување	लिखना
запишување	लिखने
тропски	उष्ण
тропски	तीव्र
пит	पीट
ненадејно	अचानक
ненадејно	एकाएक
ненадејно	अचानक
дебелина	मोटापा
дебелина	मोटाई
евангелие	इंजील
евангелие	सुसमाचार
евангелие	इन्जील
ловат	हंट
фридман	फ्राइडमैन
волк	वुल्फ
волк	भेड़िया
бањи	स्पा
бањи	बाथरूम
распад	क्षय
господин	मिस्टर
господин	सज्जन
господин	महाशय
прилики	अवसरों
грама	ग्राम
грама	गामा
сместување	आवास
сместување	आवास
крила	पंखों
крила	पंख
крила	विंग्स
курт	कर्ट
курт	रूखा
регионална	क्षेत्रीय
боуви	बोवी
пушки	राइफल्स
пушки	बंदूकें
пушки	बंदूकों
умерена	शीतोष्ण
умерена	मॉडरेट
цивилизации	सभ्यताओं
болни	दर्दनाक
болни	दुखद
болни	बीमार
лаос	लाओस
полот	लिंग
гравитација	गुरुत्वाकर्षण
гравитација	गम्भीरता
памук	पामुक
памук	सूत
памук	कपास
редовна	रेगुलर
редовна	नियमित
олимпија	ओलंपिया
погодни	सुविधाजनक
клинтон	क्लिंटन
учеснички	प्रतिभागियों
учеснички	प्रतिभागी
учеснички	भागीदार
варна	varna
валути	मुद्रा
валути	करेंसी
валути	मुद्राएँ
дно	बॉटम
дно	तल
дно	नीचे
дно	बॉटम
среќен	हैप्पी
среќен	मुबारक
среќен	खुश
среќен	प्रसन्न
постава	लाइनअप
азиски	एशियाई
идентични	एकसमान
поканети	आमंत्रित
сведок	गवाह
арапска	अरब
уста	मुख
уста	मुह
уста	मुंह
уста	मुँह
хив	एचआईवी
хив	hiv
дилан	डायलन
дилан	डिलन
болката	दर्द
болката	पीड़ा
управувани	कामयाब
управувани	प्रबंधित
вработен	कर्मचारी
стручно	एक्सपर्ट
стручно	विशेषज्ञ
ладен	लादेन
бернард	बर्नार्ड
девојче	लडकी
девојче	लड़की
сценарист	screenwriter
моќни	शक्तिशाली
реда	पंक्तियां
реда	पंक्तियाँ
реда	पंक्ति
мисисипи	मिसिसिपी
добиена	जीता
добиена	जीते
добиена	जीती
мигел	मिगुएल
чуда	चमत्कार
чуда	चमत्कार
покани	निमंत्रण
покани	आमंत्रण
покани	आमंत्रण
покани	आमंत्रण
робот	रोबोट
одредби	प्रावधान
одредби	प्रावधानों
рамен	फ्लैट
рамен	सपाट
рамен	समतल
рамен	चपटा
рамен	रेमन
гледал	देखा
гледал	देखी
обележја	प्रतीक
обележја	लैंडमार्क
детално	विस्तृत
детално	विवरण
предаваат	सिखा
модни	फैशन
модни	फ़ैशन
имплементација	कार्यान्वयन
имплементација	क्रियान्वयन
сини	नीला
сини	डीलक्स
сини	ब्लू
пијалаци	पेय
пијалаци	पेय
пијалаци	पेय
онтарио	ओंटारियो
додатни	अतिरिक्त
ген	जीन
ген	जनरल
ген	gen
штети	क्षतिपूर्ति
штети	नुक्सान
штети	नुकसान
штети	क्षति
веста	वेस्टा
антониј	एंटोनी
континенти	महाद्वीप
континенти	महाद्वीपों
трик	तरकीब
трик	चाल
трик	ट्रिक
трик	स्वांग
есеист	essayist
емоции	भावना
емоции	जज्बात
емоции	भावनाओं
емоции	भाव
тери	terri
тери	तेरी
тери	टेरी
бич	समुद्रतट
бич	बीच
доминантен	प्रबल
судење	मुकदमा
судење	ट्रायल
судење	विचारण
протестанти	protestants
протестанти	प्रदर्शनकारियों
исполнет	भरे
исполнет	भर
конференции	सम्मेलन
конференции	सम्मेलनों
мажот	पति
мажот	husband
татковината	मातृभूमि
заклучоци	निष्कर्षों
кабинет	मंत्रिमंडल
кабинет	मंत्रिपरिषद
кабинет	कैबिनेट
сончев	sunny
сончев	सनी
здраво	नमस्कार
здраво	हेलो
здраво	hello
корпорација	कॉर्पोरेशन
корпорација	कारपोरेशन
корпорација	निगम
радијација	विकिरण
анимација	एनीमेशन
анимација	एनिमेशन
едвај	मुश्किल
одеднаш	अचानक
одеднаш	एकाएक
одеднаш	अचानक
ферари	फेरारी
прописи	नियमन
прописи	विनियम
прописи	विनियमन
кремљ	क्रैमलिन
распон	स्पैन
кромид	प्याज
кромид	प्याज़
кромид	प्याज
мередит	मेरेडिथ
продукт	उत्पाद
пролог	प्रस्तावना
античко	प्राचीनता
свесни	सचेत
свесни	जागरूक
висорамнина	हाइलैंड्स
налог	वारंट
започната	शुभारम्भ
југословенска	यूगोस्लाव
џеф	जेफ
џеф	जेफ़
подигање	बूट
подигање	उठाएँ
подигање	उठाना
подигање	उठाने
мак	मैक
мак	mak
колона	स्तंभ
колона	कॉलम
колона	स्तम्भ
колона	कालम
нијанси	शेड्स
облаци	बादलों
облаци	बादल
адамс	एडम्स
самоа	समोआ
иновации	नवप्रवर्तनों
иновации	नवाचार
иновации	नवीनता
топла	हॉट
топла	गर्म
топла	hot
топла	गरम
заинтересиран	रुचि
заинтересиран	रुचिकर
заинтересиран	दिलचस्पी
тропските	ऊष्णकटिबन्ध
спротивна	विपरीत
забави	पार्टियाँ
забави	दल
забави	पार्टियों
грло	गला
бизниси	व्यवसाय
бизниси	व्यवसायों
теоретичар	theorist
жорж	जॉर्जेस
моќен	शक्तिशाली
воспоставена	स्थापित
зими	सर्दियों
пилот	पाइलट
пилот	पायलट
вируси	viral
вируси	वायरल
вируси	वाइरल
вируси	वाइरस
свесен	जागरूक
свесен	सचेत
криви	वक्र
витез	नाईट
печатени	मुद्रित
искористување	शोषण
семиња	बीज
интервјуа	साक्षात्कार
браната	बाँध
браната	बांध
вагнер	वेगनर
рејчел	रचेल
рејчел	रेचल
рамна	फ्लैट
рамна	सपाट
рамна	समतल
рамна	चपटा
предвидено	पूर्वानुमानित
санчез	सांचेज़
извршувањето	चलाना
извршувањето	निष्पादन
декади	दशकों
забранети	वर्जित
забранети	मनाही
забранети	निषिद्ध
забранети	हराम
забранети	निषिद्ध
забранети	प्रतिबंधित
забранети	बैन
чудно	अजीब
чудно	अजीब
чудно	अजीब
чудно	विषम
писменост	साक्षरता
џефри	जेफरी
пијалоци	पेय
кастро	कास्त्रो
одри	ऑड्रे
поплави	बाढ़
поплави	बाढ़
тринидад	त्रिनिदाद
извоз	निर्यात
извоз	निर्यात
единбург	एडिनबर्ग
тесна	कड़ा
тесна	टाइट
тесна	कस
тесна	तंग
багдад	बगदाद
аризона	एरिज़ोना
организирано	संगठित
организирано	व्यवस्थित
класифицирани	वर्गीकृत
ривали	विरोधियों
советници	परामर्शदाता
советници	पार्षदों
лажни	नकली
лажни	फेक
лажни	fake
опозицијата	विरोध
опозицијата	विपक्ष
спушта	उतरता
евентуално	संभवतः
кук	कुक
полк	रेजीमेंट
просторија	कक्ष
просторија	कमरा
просторија	कमरे
просторија	रूम
моделите	पैटर्न
соседи	पड़ोसियों
соседи	पड़ोसी
соседи	पडोसी
соседи	पड़ोसी
неделно	साप्ताहिक
базирано	आधारित
дамаск	दमिश्क
бруно	ब्रूनो
повторува	दोहराव
хал	hal
хал	एचएएल
черепот	खोपड़ी
черепот	कपाल
паѓаат	गिरने
паѓаат	गिरना
плажи	समुद्रतट
таблички	प्लेटों
делфин	डॉल्फ़िन
канцеларии	कार्यालय
канцеларии	कार्यालयों
одиграно	निभाई
инструкции	निर्देश
инструкции	निर्देश
придонесуваат	योगदान
чувар	कीपर
чувар	गार्जियन
чувар	संरक्षक
чувар	गार्ड
потешкотии	कठिनाई
потешкотии	परेशानी
потешкотии	कठिनाइयों
нотација	संकेतन
сончева	सौर
судиите	न्यायाधीशों
пречка	बाधा
пречка	तंगी
пречка	बाधा
поинаков	भिन्न
поинаков	अलग
клинички	नैदानिक
именка	संज्ञा
отворања	उद्घाटन
вообичаени	प्रथागत
купува	खरीदता
измислени	काल्पनिक
континентот	महाद्वीप
фан	fan
фан	फ़ैन
фан	पंखा
фан	प्रशंसक
синовите	बेटे
еквивалент	समतुल्य
трчање	दौड़ना
трчање	कार्यशील
драматург	नाटककार
означен	tagged
роџерс	रोजर्स
духовен	आध्यात्मिक
бенџамин	बेंजामिन
лиги	लीग
арт	कला
арт	आर्ट
рудник	मेरा
кажа	काजा
минимална	न्यूनतम
минимална	न्यूनतम
минимална	मिनट
реален	यथार्थवादी
чистење	सफाई
чистење	सफ़ाई
самоил	सैमुएल
купувачот	खरीदार
омилен	पसंदीदा
омилен	पसंदीदा
пресврт	twist
пресврт	मरोड़
пресврт	ट्विस्ट
хармонија	सद्भाव
хармонија	समरसता
хармонија	सदभावना
хармонија	सामंजस्य
жил	जूल्स
жил	गाइल्स
едгар	एडगर
обновено	नवीनीकृत
обновено	लौटी
минг	मिंग
грејс	कृपा
грејс	ग्रेस
грејс	अनुग्रह
