din	mula
care	sino
care	aling
care	alin
mai	mai
mai	pa
mai	pang
lui	lui
lui	kanyang
sit	site
ale	ale
lea	lea
prin	through
regiunea	rehiyon
mare	sarap
mare	magaling
mare	big
mare	malaking
mare	malaki
mare	dagat
anul	taon
comuna	karaniwan
comuna	karaniwang
comuna	munisipalidad
comuna	munisipyo
comuna	karaniwan
comuna	karaniwang
are	has
externe	panlabas
locuitori	naninirahan
locuitori	residente
legaturi	links
legaturi	links
vezi	makita
vezi	see
vezi	makakita
vezi	tingnan
dar	ngunit
dar	pero
cod	code
cod	kodigo
cod	cod
populatie	populasyong
populatie	populasyon
bucuresti	bucharest
bucuresti	bucharest
bucuresti	bucharest
fiind	pagiging
romania	romania
romania	romania
jpg	jpg
lista	listahang
lista	listahan
lista	listahang
lista	listahan
ucraina	ukraine
nume	pangalan
nume	pong
ani	taon
avea	ay
avea	had
avea	nagkaroon
intre	pagitan
intre	pagitan
pana	till
pana	hanggang
pana	feather
poate	siguro
poate	baka
poate	marahil
doua	dalawang
doua	dalawa
doua	two
doua	dalawang
doua	dalawa
doua	two
rege	king
rege	hari
rege	haring
cand	kapag
cand	kailan
cand	kapag
cand	kailan
regiune	rehiyon
anii	taon
parte	bahagi
parte	part
parte	parte
judetul	county
judetul	kondado
judetul	county
judetul	kondado
centura	sinturon
centura	belt
centura	sinturon
centura	belt
dinastia	awan
septembrie	setyembre
timp	panahon
timp	oras
timp	time
despre	tungkol
unde	saan
unde	asan
majoritatea	pinaka
majoritatea	karamihan
majoritatea	majority
majoritatea	karamihan
majoritatea	nakararami
densitate	density
limba	dila
limba	wika
limba	alangan
limba	wikang
limba	tausug
limba	dila
limba	wika
limba	alangan
limba	wikang
limba	tausug
iunie	june
iunie	hunyo
multe	maraming
multe	marami
socorro	socorro
prima	unang
prima	muna
prima	premium
octombrie	oktubre
august	august
august	agosto
sat	nayon
sat	umupo
martie	marso
biserica	iglesia
biserica	simbahan
biserica	church
biserica	iglesia
biserica	simbahan
biserica	church
fisier	tipunan
fisier	magsampa
fisier	talaksan
fisier	file
fisier	tipunan
fisier	magsampa
fisier	talaksan
fisier	file
decembrie	december
decembrie	disyembre
toate	all
toate	puro
toate	lahat
ianuarie	january
ianuarie	enero
latns	latns
latd	latd
longd	longd
adresa	tirahan
adresa	address
adresa	tirahan
adresa	address
noiembrie	nobyembre
noiembrie	november
cum	paano
cum	pano
imagine	picture
imagine	larawan
imagine	larawan
imagine	imahe
statul	state
statul	estado
lor	kanilang
fie	alinman
fie	either
avut	ay
avut	had
avut	nagkaroon
familia	kapamilya
familia	pamilya
numele	pangalan
numele	pong
timpul	panahon
timpul	oras
timpul	time
nord	north
nord	hilagang
nord	hilaga
nord	nord
principala	pangunahing
principala	pangunahin
principala	pangunahing
principala	pangunahin
sud	timog
aprilie	april
aprilie	abril
loc	lugar
loc	pook
primul	unang
primul	muna
iulie	hulyo
doar	lang
doar	lamang
doar	lng
doar	nalang
doar	basta
editura	publisher
asteroid	asteroid
februarie	february
februarie	pebrero
recensamantului	census
trei	tatlong
trei	tatlo
asteroizi	asteroids
lats	lats
longm	longm
latm	latm
discutie	talakayan
discutie	talakayan
discutie	talakayan
franta	pransiya
franta	france
franta	pransiya
franta	france
franta	pransiya
franta	france
partea	bahagi
partea	part
partea	parte
mult	magkano
mult	marami
departamentul	kagawaran
departamentul	departamento
foarte	napaka
raionul	pasilyo
data	date
data	petsa
data	datos
data	data
data	date
data	petsa
departament	kagawaran
