като	soos
година	jaar
след	na
след	nadat
след	ná
това	dit
това	hierdie
това	dié
български	bulgaars
българия	bulgaria
част	deel
част	gedeelte
години	jare
време	tyd
време	tydstip
със	mee
със	met
която	watter
която	watse
което	watter
което	watse
външни	eks
външни	eksterne
препратки	verwysings
град	town
град	stad
много	baie
много	vele
много	baie
също	ook
век	eeue
век	eeu
село	village
село	dorpie
един	een
между	tussen
около	rond
софия	sofia
софия	sophia
други	ander
още	steeds
още	nogsteeds
още	nog
още	meer
война	oorlog
само	slegs
само	net
само	slegs
само	net
област	streek
област	oblast
област	distrik
област	omgewing
област	gebied
област	oppervlakte
област	area
община	munisipaliteit
място	plek
място	location
място	ligging
когато	wanneer
вид	tipe
вид	tik
вид	spesie
вид	spesies
една	edna
една	een
всички	alle
всички	alles
всички	all
всички	almal
всички	al
всички	als
всички	almal
семейство	familie
семейство	gesin
македония	masedonië
сащ	vsa
над	bo
него	hom
срещу	versus
тези	daardie
тези	diegene
души	souls
мини	mini
мини	myne
мини	minnie
намира	bevind
република	republiek
късно	laat
май	may
май	mei
май	mag
път	roete
път	pad
път	road
отбор	span
няколко	paar
няколко	klomp
август	august
август	augustus
август	aug
роден	gebore
беседа	gesprek
беседа	discourse
септември	september
преди	voor
преди	before
името	naam
името	benoem
името	gebruikernaam
група	band
група	musiekgroep
група	groep
група	groepeer
език	tong
юли	julie
някои	sommige
тях	hulle
река	rivier
януари	januarie
юни	junie
две	twee
октомври	oktober
октомври	okt
октомври	oct
име	naam
име	benoem
име	gebruikernaam
заедно	gekuier
заедно	saam
фон	von
фон	agtergrond
американски	amerikaans
американски	american
американски	amerikaanse
март	maart
март	optog
ноември	november
април	april
декември	desember
декември	dec
декември	des
чрез	via
история	berig
история	geskiedenis
история	history
жители	inwoners
различни	verskillende
различни	anders
различни	verskeie
различни	allerlei
различни	diverse
различни	verskeie
без	sonder
често	gereeld
често	dikwels
февруари	februarie
работи	werk
провинция	provinsie
империя	ryk
иван	ivan
иван	iwan
център	sentreer
център	gesentreer
център	sentreer
повече	nog
повече	meer
вече	alreeds
вече	reeds
три	drie
страна	country
страна	land
страна	kant
въпреки	ondanks
градове	dorpe
градове	stede
население	demografie
население	bevolking
население	populasie
завършва	eindig
бил	noot
малко	bietjie
хора	mense
университет	universiteit
германия	duitsland
могат	kan
син	blou
