korake	pasos
geographic	geographic
virtualni	virtual
taktike	táctica
vikend	fin
vikend	de
vikend	semana
kovanica	moeda
nećaka	sobriño
komentarima	comentarios
specijalno	especial
specijalno	especiais
platno	pantalla
platno	da
platno	ecrán
skrivena	oculto
skrivena	oculta
skrivena	ocultas
skrivena	escondidos
skrivena	escondidas
muslimane	musulmáns
rice	arroz
rice	de
mijenjanje	cambiar
mijenjanje	cambiando
mijenjanje	muda
mijenjanje	a
mijenjanje	mudando
mijenjanje	de
mijenjanje	cambio
enciklopediju	enciclopedia
prizori	escenas
plymouth	plymouth
kita	balea
skupi	caro
skupi	caros
skupi	cara
sand	area
zaboravio	esqueceu
zaboravio	esquecín
zaboravio	as
zaboravio	esquece
zaboravio	esquecino
opisi	describir
kune	xura
luda	tola
luda	tolos
luda	tolas
luda	tolo
trajna	permanente
napori	esforzos
napori	esforzo
zatvorenici	presos
zatvorenici	os
zatvorenici	prisioneiros
mussolini	mussolini
primanja	os
primanja	ingresos
primanja	do
primanja	ingreso
primanja	renda
prihodi	os
prihodi	ingresos
prihodi	do
prihodi	ingreso
prihodi	renda
obrazac	padrón
obrazac	de
obrazac	patrón
obrazac	pauta
obrazac	forma
obrazac	xeito
zatraži	petición
bet	aposta
bet	apostar
bet	a
bet	aposto
bet	que
bet	seguro
self	eu
self	presente
kabina	cabana
edith	edith
eksperiment	experimento
eksperiment	experimentos
trčanje	correr
trčanje	correndo
trčanje	a
čeljust	mandíbula
avanture	aventura
sučelja	interfaces
zoru	alborecer
zoru	amencer
policajci	poli
policajci	policías
policajci	policía
policajci	polis
policajci	oficiais
policajci	os
policajci	seus
policajci	policías
jesam	son
jesam	estou
plastične	de
plastične	plástico
otvorenje	abrir
otvorenje	apertura
plata	soldo
plata	salario
potencijalni	potencial
protein	proteína
čarolija	maxia
čarolija	máxico
čarolija	máxica
stranac	estranxeira
stranac	descoñecido
stranac	estraño
parade	procesión
rudnici	minas
brooklyn	brooklyn
radosti	ledicia
radosti	alegría
radosti	desfrute
radosti	da
zaboravi	esquecer
zaboravi	esquezas
zaboravi	o
grijehe	pecados
grijehe	agarimosa
grijehe	pecado
ego	ego
gates	gates
dima	fume
dima	fumar
dima	para
dima	fumo
gomila	multitude
gomila	masa
gomila	vista
gomila	xente
gomila	morea
gomila	uns
gomila	de
gomila	chea
gomila	grupo
gomila	fato
laboratorija	laboratorio
laboratorija	laboratorio
laboratorija	no
glumce	actores
vječna	eterna
medvjedi	osos
iluzija	a
iluzija	ilusión
platio	pagar
platio	pagou
uglu	esquina
uglu	recuncho
vlakova	trens
quo	quo
zadrži	a
zadrži	manter
zvučnika	relatores
iskoristi	uso
iskoristi	usamos
iskoristi	usar
iskoristi	usan
artur	arthur
turiste	turistas
tomas	thomas
shirley	shirley
delti	delta
delti	mekong
ridge	cresta
sedmo	sétimo
potražnja	demanda
potražnja	pido
potražnja	custar
prsima	peito
uslugu	favor
norton	norton
hrabro	valentes
hrabro	valente
sokrat	sócrates
holding	suxeitando
holding	a
holding	aguante
nemiri	raciais
nemiri	disturbios
nemiri	antidisturbios
iskustvima	as
iskustvima	experiencias
kabinet	minister
nezadovoljstva	descontento
poslovno	negocios
poslovno	negocio
poslovno	asunto
poslovno	traballo
gotov	fixen
gotov	feito
gotov	fixemos
gotov	facer
gotov	fixeches
resursi	recursos
masne	graxos
tank	tanque
tank	depósito
farme	granxa
farme	a
farme	campo
farme	leira
farme	casa
farme	reserva
farme	granxas
akutna	aguda
android	android
radnicima	traballadores
radnicima	os
radnicima	obreiros
marijo	mary
marijo	maría
odlučujući	decisivo
dijeljenje	compartir
pronalaženje	atopar
pronalaženje	de
pronalaženje	que
pronalaženje	a
kompletan	total
kompletan	completa
kompletan	completar
kompletan	completo
obrazovni	educativo
obrazovni	educativas
sankcije	sancións
kćerke	fillas
radikalna	radical
radikalna	radicais
petlje	acople
petlje	volta
kingston	kingston
grudi	peito
grudi	peito
grudi	mama
slavan	famoso
slavan	famosos
slavan	famosa
taktika	táctica
veleposlanstvo	embaixada
biološka	biolóxicas
biološka	biolóxica
biološka	biolóxico
biološka	biolóxicos
platformu	plataforma
zainteresirani	me
zainteresirani	interesaba
zainteresirani	interesábame
zainteresirani	interesados
zainteresirani	interesado
zainteresirani	interese
zainteresirani	interesa
zainteresirani	interesada
dizajnirana	deseñados
dizajnirana	para
dizajnirana	deseñadas
dizajnirana	deseñado
dizajnirana	deseñamos
poljubac	bico
poljubac	bícame
poljubac	bicar
poljubac	un
poljubac	biquiño
dugme	botón
uključeno	incluía
unazad	revés
potvrde	certificado
potvrde	partida
potvrde	de
potvrde	nacemento
nejasno	mala
desetke	decenas
desetke	ducias
šešir	sombreiro
šešir	o
šešir	chapeu
šešir	sombreiriño
kompletna	total
kompletna	completa
kompletna	completar
kompletna	completo
zarobljenici	presos
zarobljenici	os
zarobljenici	prisioneiros
zero	cero
crtani	viñeta
crtani	tira
crtani	debuxos
crtani	animados
crtani	viñetas
univerzalni	universais
univerzalni	universal
bika	touro
predvidjeti	predicir
predvidjeti	predín
okrugli	redondo
okrugli	redondos
okrugli	xira
okrugli	arredor
okrugli	preto
ogledalo	o
ogledalo	espello
uvjerenje	crenza
smijeh	risos
smijeh	risas
smijeh	rir
smijeh	de
smijeh	nunca
profit	beneficios
profit	ganancias
skupljanje	reunión
desetine	decenas
desetine	ducias
azijske	asiática
azijske	asiático
azijske	asiáticos
ritual	ritual
ritual	rituais
zaustavljen	parei
zaustavljen	de
zaustavljen	parou
zaustavljen	detívose
zaustavljen	paramos
moćna	poderosa
moćna	poderosos
moćna	poderoso
buka	ruido
buka	ruído
buka	son
željama	desexa
istorija	historia
istorija	da
seljak	campesiño
seljak	granxeiro
pšenice	trigo
lavova	leóns
senatu	senado
senatu	do
unutrašnja	interno
unutrašnja	interna
kape	sombreiros
attems	attems
rudi	rudi
sociolog	sociólogo
sociolog	toma
provale	roubo
provale	invasión
osjećaji	sentimentos
osjećaji	distancia
osjećaji	os
interesi	interesa
interesi	intereses
farmu	granxa
farmu	a
farmu	campo
farmu	leira
farmu	casa
farmu	reserva
nedavne	recente
nedavne	recentes
nedavne	últimos
discovery	descubrimento
transformacija	transformación
transformacija	transformar
pisce	escritores
odlučan	decisivo
odlučan	decidido
odlučan	con
najgori	peores
najgori	peor
galeriju	galería
galeriju	de
galeriju	louvre
kuk	hurra
razgovore	conversas
razgovore	conversacións
slatki	moi
slatki	sweet
slatki	doces
slatki	doce
grom	canóns
grom	trono
grom	os
grom	tronos
reklame	anuncios
reklame	cociniñas
reklame	publicidade
okrugla	redondo
okrugla	redondos
okrugla	xira
okrugla	arredor
okrugla	preto
udarci	golpes
baseball	béisbol
miš	rato
osjetljiva	sensibles
osjetljiva	sensible
osjetljiva	delicado
osjetljiva	delicada
reagan	reagan
kršćanin	christian
kršćanin	cristiáns
rezervi	reserva
crtanje	debuxo
skloništa	refuxios
artist	artista
artist	artistas
beatlesa	dos
beatlesa	beatles
haven	aínda
haven	non
haven	teño
rum	ron
pope	papa
zvezde	estrelas
zvezde	das
nezaposlenost	paro
omiljeni	favorito
omiljeni	favoritos
omiljeni	favorita
omiljeni	preferido
sveci	santos
pokrivena	cuberto
baron	barón
baron	ao
utorak	martes
buda	buda
karibima	caribe
zimbabve	cimbabue
zimbabve	zimbawe
zimbabve	zimbabwe
navike	costumes
navike	hábitos
navike	hábito
navike	costume
navike	o
pastira	pastor
pastira	pastorciño
funta	libra
maska	máscara
procesija	desfile
gmt	gmt
gmt	verá
gmt	co
burns	queimaduras
burns	arde
ilegalno	ilegal
aljaske	alaska
sapiens	sapiens
principe	principios
poboljšao	mellorou
shema	de
poljak	polo
poljak	poste
spremanje	aforrando
spremanje	salvar
spremanje	aforro
spremanje	aforraban
subota	sábado
pogledi	opinións
savršen	perfecto
savršen	perfecta
savršen	perfectos
rubin	ruby
kameru	cámaras
kameru	cámara
sitni	diminutos
sitni	pequena
sitni	pequenos
sitni	diminuto
sitni	pequeno
sitni	minúsculas
sitni	diminuta
sitni	pequenas
stubište	escaleiras
oduševljen	encantado
jill	jill
prijetnji	ameazas
spavanje	sono
spavanje	durmir
spavanje	durme
spavanje	durmindo
spavanje	durmir
spavanje	somníferos
normu	norma
hipoteze	hipóteses
osjeti	sinto
osjeti	sentir
osjeti	que
osjeti	síntome
sinclair	sinclair
radim	traballando
radim	a
radim	traballar
radim	traballo
testovi	exames
testovi	probas
testovi	tests
prazna	baleira
prazna	baleiro
prazna	baleiras
prazna	valeiro
letenje	a
letenje	voando
letenje	voar
miki	mickey
miki	micky
sluha	que
sluha	oído
sluha	escoita
sluha	escoito
večera	cear
večera	cea
večera	a
izloženo	exposto
izloženo	á
peugeot	peugeot
buđenje	espertar
rudara	mineiros
rudara	obreiros
izolirana	illado
izolirana	illada
dodaj	engadir
dodaj	dous
logički	lóxica
nijemac	alemán
nijemac	alemana
nijemac	alemaña
nijemac	alemáns
facebooku	facebook
facebooku	de
satove	ve
satove	reloxos
satove	mira
škotsku	escocia
plastika	plásticos
plastika	os
plastika	de
plastika	plástico
zaustavljanje	parada
vec	xa
realno	realista
realno	realistas
kava	café
pile	galiña
pile	polo
pile	pito
palm	palma
palm	da
palm	palm
projektili	mísiles
stvorenje	criatura
duhovnost	espiritualidade
vuna	la
trijumf	triunfo
štrajk	folga
štrajk	ataque
štrajk	¡
štrajk	que
štrajk	empece
slomio	a
slomio	rompeu
slomio	crebou
slomio	entraron
slomio	rompín
zaposleni	empregados
zaposleni	os
napadnut	atacado
kenny	kenny
turisti	turistas
mack	mackie
mack	navalla
mack	mack
raspoloženja	humor
raspoloženja	ánimo
dostojanstvo	dignidade
cliff	cliff
hrabri	valentes
hrabri	valente
masnih	graxos
osamdeset	aquí
prozore	fiestras
ponoć	noite
ponoć	ano
ponoć	reloxo
ponoć	doce
ponoć	media
ponoć	medianoite
ponoć	da
ponoć	á
hodati	camiñando
hodati	pola
hodati	andar
hodati	andando
hodati	subindo
hodati	camiñaba
hodati	camiñar
hodati	polas
diskriminacije	discriminación
rockefeller	rockefeller
slijepi	cegas
slijepi	cega
slijepi	cego
slijepi	invidentes
slijepi	cegos
slon	elefante
obaveza	compromiso
obaveza	mecanismo
obaveza	de
obaveza	mecanismos
obaveza	cos
izravna	directa
vježbanje	unha
vježbanje	práctica
vježbanje	practicar
vježbanje	exercen
vježbanje	exercicio
pjege	manchas
isporuka	entrega
isporuka	despachos
napredni	avanzado
napredni	avanzada
zvjezdica	estrela
zvjezdica	star
demonstracija	manifestación
demonstracija	demostración
gravitacija	gravidade
gravitacija	a
paralelne	paralelo
sine	fillo
naoružana	armados
naoružana	armado
naoružana	armada
naoružana	armadas
čamci	barcos
materija	importa
materija	materia
materija	che
materija	pasa
smrtnosti	infantil
smrtnosti	mortalidade
praktična	práctica
koridor	corredor
kovčeg	maleta
prijava	aplicación
gas	gus
gas	gas
gas	gasolina
gas	de
gas	gases
psihologiju	psicoloxía
psihologiju	de
barrett	barrett
barrett	barret
omiljeno	favorito
omiljeno	favoritos
omiljeno	favorita
omiljeno	preferido
silovanja	violación
silovanja	viólanme
munja	lóstrego
opasni	perigoso
opasni	perigosos
opasni	perigosa
opasni	perigosas
moda	moda
moda	a
ideal	ideal
ideal	ideais
drug	compañeira
drug	camarada
drug	compañeiro
potencijalna	potencial
modifikacija	modificación
libanonu	líbano
izvršenje	execución
tragično	tráxico
tragično	tráxica
izvukao	o
izvukao	sacou
ukloni	se
ukloni	e
ukloni	quitar
ukloni	quitamos
krokodila	crocodilo
napor	esforzo
čamac	barco
čamac	bote
čamac	chalana
urota	conspiración
principi	principios
principi	principio
kapitalizam	o
kapitalizam	capitalismo
kontrast	contraste
seljacima	campesiños
seljacima	dos
seljacima	labregos
seljacima	aldeáns
tajnica	de
tajnica	secretaria
tajnica	secretario
tajnica	estado
stanovanje	vivenda
dinosaur	de
dinosaur	dinosauro
dinosaur	dinosauros
čestitke	parabéns
pick	recoller
prestalo	parei
prestalo	de
prestalo	parou
prestalo	detívose
prestalo	paramos
stela	stella
neto	rede
pogledao	mirei
pogledao	parecía
pogledao	cara
učinkovit	efectivas
učinkovit	efectiva
učinkovit	efectivo
učinkovit	efectivos
učinkovit	eficaces
učinkovit	eficaz
učinkovit	a
obožavatelj	fan
dijamant	diamante
dijamant	verdade
upozna	se
upozna	coa
zatvorenik	preso
zatvorenik	prisioneira
zatvorenik	prisioneiro
zatvorenik	prisioneiros
analizira	analizar
analizira	analizando
tamni	escuras
tamni	escuro
tamni	escura
tamni	escuridade
tamni	noite
šala	broma
šala	chiste
šala	bromas
šala	gracia
šala	conto
uzorke	patróns
benzina	gasolina
efikasnost	eficiencia
efikasnost	eficacia
fašisti	fascistas
aferu	asunto
fantasy	fantasía
vrline	virtude
gusta	groso
spasa	exército
spasa	de
spasa	salvacionista
spasa	salvación
vjerojatnosti	probabilidade
laž	mentiras
laž	mentira
laž	mentir
otmice	secuestro
uska	estreito
candy	candy
polovina	media
polovina	metade
polovina	medio
polovina	a
nekretnine	propiedade
neprofitna	sen
neprofitna	ánimo
neprofitna	lucro
abecednim	alfabética
obavještajna	intelixencia
satova	ve
satova	reloxos
satova	mira
mikroorganizama	microorganismos
sorte	variedades
twitteru	twitter
beethoven	beethoven
beethoven	novena
grlo	gorxa
registriran	rexistrado
slikanje	cadro
slikanje	pintura
zaslon	pantalla
zaslon	da
zaslon	ecrán
terorizma	terrorismo
mehanizmi	mecanismos
hodanje	camiñando
hodanje	pola
hodanje	andar
hodanje	andando
hodanje	subindo
hodanje	camiñaba
hodanje	camiñar
hodanje	polas
vaša	a
vaša	túa
vaša	teu
vaša	o
vaša	seu
vaša	súa
stiglo	cheguei
stiglo	á
stiglo	chegou
stiglo	chegamos
stiglo	chegaron
stiglo	a
stiglo	chegar
uspomena	lembranzas
uspomena	recordos
uspomena	memoria
pokriven	cuberto
hvatanje	coller
hvatanje	pescar
hvatanje	a
hvatanje	capturar
hvatanje	collendo
hvatanje	capturar
minutu	minuto
minutu	momento
minutu	intre
minutu	agarda
propovjednik	sacerdote
uzorci	mostra
uzorci	patróns
uzorci	mostras
nadahnuće	inspiración
revolucionarna	revolucionario
revolucionarna	revolucionaria
zbogom	deica
zbogom	bico
zbogom	adeus
otrovan	envelenáronme
