mdr	mdr
monarchie	monarchia
republikanischen	republikanów
republikanischen	republikanie
bestätigen	zweryfikować
bestätigen	uznać
bestätigen	potwierdzić
bestätigen	potwierdzam
scharf	ostre
scharf	sharp
scharf	ostry
scharf	ostra
scharf	ostre
scharf	ostra
vermittelt	pośredniczył
frisch	świeżo
frisch	świeże
frisch	świeża
frisch	świeży
frisch	świeżo
frisch	frisch
kelly	kelly
alabama	alabamie
alabama	alabamy
dokument	dokumenty
dokument	dokument
dokument	dokumentu
loire	loire
audio	audio
audio	dźwięk
kurfürsten	elektor
kette	naszyjnik
kette	łańcuchów
kette	łańcuchy
kette	łańcuchy
kette	łańcuch
kette	łańcucha
kette	łańcuszek
moderner	nowoczesne
moderner	nowocześnie
moderner	nowoczesny
moderner	współczesna
moderner	nowoczesna
herrenhaus	rezydencja
herrenhaus	rezydencji
herrenhaus	dwór
herrenhaus	manor
schicht	przesunięcie
schicht	shift
schicht	warstwa
schicht	warstwy
schicht	warstwa
justiz	sprawiedliwości
justiz	sprawiedliwość
justiz	sądowy
justiz	sądowej
justiz	sądowe
justiz	sądowa
justiz	sądownictwa
justiz	sądy
alberto	alberto
offizieller	oficjalne
offizieller	oficjalna
offizieller	urzędnik
offizieller	urzędowym
offizieller	oficjalnie
offizieller	oficjalny
bewaffneten	uzbrojone
bewaffneten	uzbrojona
bewaffneten	uzbrojeni
bewaffneten	uzbrojony
mittelmeer	atlantyku
mittelmeer	atlantic
mittelmeer	atlantyk
mittelmeer	atlantycki
mittelmeer	śródziemnego
faktor	czynnik
faktor	współczynnik
ermordung	morderstwa
ermordung	zabójstwo
ermordung	morderstwo
ermordung	zabójstwa
ermordung	zamachu
ermordung	zabójstwo
ermordung	zamach
connecticut	connecticut
persönlichkeit	osobistości
persönlichkeit	osobowości
persönlichkeit	osobowość
persönlichkeit	osobowości
etablierte	ustanowiono
etablierte	ustanowione
etablierte	ustalono
etablierte	ustanowiony
kaliningrad	kaliningradu
zusatz	dodawanie
zusatz	dodanie
zusatz	uzupełnienie
zusatz	dodatek
zusatz	dodatku
guido	guido
gefangenen	więzień
