anita	anita
lausanne	lausanne
készülék	dispozitivul
készülék	dispozitiv
készülék	aparate
készülék	aparat
hétvégén	weekenduri
hétvégén	weekendul
hétvégén	weekend
házas	casatorita
házas	maritata
házas	casatorit
házas	casatorit
extrém	extrema
extrém	extrem
extrém	extrema
extrém	extreme
aug	aug
márka	brand
márka	marca
márka	marca
terra	terra
sawyer	sawyer
birkózó	wrestling
birkózó	lupte
birkózó	luptatorul
birkózó	luptator
vladimir	vladimir
vincze	vincze
atom	atomice
atom	atomic
atom	atomica
atom	atomica
atom	atom
menő	fain
menő	misto
hotspur	hotspur
basszusgitáros	basistul
janus	janus
szabványos	standardul
szabványos	standard
októberi	octombrie
arabul	araba
arabul	araba
milliméter	milimetri
kábel	cablu
büntetést	pedepsit
büntetést	pedepsita
nyak	gat
nyak	gat
nyak	gatul
légitársaság	airlines
érsekség	arhiepiscopia
többségi	majoritate
többségi	majoritatea
spears	spears
univerzum	univers
univerzum	universul
indulás	plecare
indulás	plecarea
indulás	plecari
kenny	kenny
jakob	jakob
műholdas	satelitul
műholdas	satelit
cső	pipe
cső	conducta
cső	pipa
cső	pipa
cső	tub
cső	tubul
könyvtárosok	bibliotecari
gyümölcs	fructul
gyümölcs	fructe
gyümölcs	fructele
gyümölcs	fruct
gyümölcs	fructe
gyümölcs	fructele
model	model
model	modelul
model	fotomodel
szociológiai	sociologic
elisabeth	elisabeth
elisabeth	elisabeta
specifikus	specific
specifikus	specifica
specifikus	specifice
természettudós	naturalist
diktatúra	dictatura
diktatúra	dictatura
ömlik	tasneste
házassági	matrimoniale
rachel	rachel
projektek	proiectele
projektek	proiecte
viselkedése	comportamentul
viselkedése	comportament
montréal	montréal
oldódik	solubil
firenzei	florentine
#fff	#fff
holló	crow
holló	cioara
holló	corb
holló	cioara
holló	corbul
holló	corb
holló	raven
anti	anti
hírességek	celebritate
hírességek	celebritatea
hírességek	vedete
auguste	auguste
werder	werder
térbeli	spatial
térbeli	spatiala
térbeli	spatiale
hetente	saptamanale
hetente	saptamanala
hetente	saptamanal
köd	ceata
köd	ceata
köd	ceata
köd	ceata
köd	nebuloasa
köd	nebuloasa
tang	tang
demográfiai	demografice
demográfiai	demografica
demográfiai	demografice
értékelte	apreciata
értékelte	apreciat
értékelte	apreciate
baptista	baptist
mostanában	recent
kompatibilis	compatibile
kompatibilis	compatibila
kompatibilis	compatibil
edge	marginea
edge	edge
edge	margine
edge	muchie
fokozott	crescuta
fokozott	majorat
jam	jam
jam	gem
creek	parau
creek	creek
ajánlom	recomanda
ajánlom	recomanda
ajánlom	recomand
sarki	polar
sarki	polare
sarki	polara
figyelmeztetés	avertizare
figyelmeztetés	avertisment
figyelmeztetés	alerta
figyelmeztetés	alert
figyelmeztetés	avertismente
figyelmeztetés	avertismentele
narancssárga	orange
narancssárga	portocala
narancssárga	portocaliu
narancssárga	portocalie
meggyilkolták	ucis
meggyilkolták	ucisa
meggyilkolták	omorat
scooby	scooby
lent	dedesubt
