que	той
del	дель
del	del
los	на
las	на
una	одна
una	one
una	одне
una	один
categoría	категорія
para	для
como	як
como	подобається
como	зразок
como	like
fue	був
fue	була
fue	було
más	більше
sus	своїх
sus	їхньому
sus	свої
sus	їхнє
sus	його
sus	твій
sus	твоя
sus	твої
sus	твоє
sus	ваша
sus	ваші
sus	свої
sus	його
también	також
también	теж
también	надто
también	занадто
entre	серед
entre	ентре
entre	поміж
entre	між
este	цей
este	ця
este	схід
pero	але
años	роки
dos	dos
dos	дос
dos	два
dos	дві
dos	двоє
dos	двох
dos	двійка
son	надаються
sobre	приблизно
sobre	інфо
sobre	про
sobre	щодо
sobre	конвертів
sobre	конверт
año	рік
desde	відтоді
desde	відколи
desde	від
esta	цей
esta	ця
enlaces	лінки
enlaces	посилання
enlaces	посиланнями
enlaces	посилань
hasta	навіть
hasta	даже
hasta	доки
hasta	до
hasta	поки
externos	зовнішнє
externos	зовнішні
externos	зовнішній
externos	зовнішня
ciudad	містечко
ciudad	місто
ciudad	місто
ciudad	сьюдад
ser	проводиться
ser	будучи
ser	буття
ser	сір
parte	вечірка
parte	партії
parte	вечірки
parte	партія
parte	party
parte	частина
durante	підчас
sin	без
sin	гріхом
sin	гріха
sin	гріх
donde	звідки
donde	де
donde	where
donde	куди
san	сан
san	святий
san	saint
san	сен
era	був
era	була
era	було
nacional	національна
nacional	націонал
nacional	національне
nacional	національний
nacional	національні
nacional	насьйональ
primera	перше
primera	перша
primera	перший
team	команда
cuando	коли
nombre	назва
estados	стани
estados	штати
utc	utc
siglo	ст
siglo	століття
siglo	century
después	після
después	згодом
después	пізніше
después	потому
españa	іспанію
españa	іспанія
españa	іспанії
tiene	має
otros	інший
otros	інша
otros	інші
otros	інше
otros	інших
otros	інших
otros	інші
otros	іншими
gran	великі
gran	велике
gran	велика
gran	великий
gran	біг
gran	великий
gran	чудово
gran	гран
gran	гран
gran	гранд
gran	grand
unidos	united
unidos	юнайтед
puede	можна
estado	стан
estado	статус
estado	стану
estado	статусі
estado	стан
estado	держава
estado	умова
uno	uno
uno	одна
uno	one
uno	одне
uno	один
lugar	місце
lugar	розміщення
lugar	місцезнаходження
lugar	локація
lugar	місце
lugar	розташування
primer	перше
primer	перша
primer	перший
población	населення
muy	дуже
había	мали
había	мав
mismo	збігається
mismo	однаковий
mismo	однакові
mismo	same
mismo	самий
nueva	нові
nueva	нове
nueva	нова
nueva	новий
nueva	створити
fueron	були
historia	публікації
historia	історія
historia	сюжет
historia	розповідь
historia	публікація
historia	журнал
historia	історія
historia	історії
club	club
club	клуб
eran	були
cual	какой
cual	який
cual	які
cual	яке
cual	яка
universidad	університет
universidad	коледж
universidad	коледжі
universidad	внз
forma	форму
forma	форма
forma	форму
forma	форма
tres	три
tres	втрьох
tres	трійка
grupo	grupo
grupo	група
grupo	групова
grupo	груповий
grupo	групу
grupo	спільнота
general	загальні
general	генерал
general	загальний
general	загальне
guerra	війна
guerra	війна
aunque	хоча
aunque	хоча
aunque	щоправда
tras	після
familia	сімей
familia	родин
familia	родини
familia	сімейство
familia	сімейний
familia	сімейні
familia	родина
además	також
además	плюс
además	plus
todo	everything
todo	все
todo	усе
todo	усі
todo	всі
todo	все
todo	всіх
sur	південна
sur	південний
sur	сюр
sur	південна
sur	південь
sur	південний
mayor	мажор
mayor	майор
tiempo	погода
tiempo	тайм
tiempo	час
provincia	провінція
partido	вечірка
partido	партії
partido	вечірки
partido	партія
partido	party
partido	збіг
partido	відповідність
partido	матч
partido	двобій
partido	сірники
contra	лічильник
contra	проти
contra	contra
encuentra	пошук
encuentra	знайти
encuentra	знайдіть
encuentra	find
encuentra	знаходить
encuentra	виявить
encuentra	знайде
municipio	муніципалітет
municipio	край
otras	інший
otras	інша
otras	інші
otras	інше
otras	інших
otras	інших
otras	інші
otras	іншими
todos	everybody
todos	усі
todos	усі
todos	всі
todos	все
todos	всіх
todos	всім
todos	усіх
todos	усі
todos	усім
todos	всіх
juan	джон
juan	іоанн
juan	іван
juan	іванна
juan	джоан
sido	був
sido	було
sido	були
josé	джозеф
josé	йосип
josé	жозеф
josé	йозеф
josé	йозеф
josé	жозе
josé	хосе
bajo	під
bajo	under
bajo	низький
bajo	низька
bajo	low
bajo	бахо
bajo	бас
bajo	басс
serie	серія
serie	серії
serie	ряд
serie	ряди
serie	послідовний
serie	серійний
serie	серія
cada	кожен
cada	кожні
cada	кожну
cada	кожного
cada	кожному
cada	кожен
cada	кожна
fútbol	футбол
fútbol	футбол
equipo	обладнання
equipo	інвентар
equipo	команда
norte	норте
norte	північна
norte	норт
norte	північний
norte	північ
norte	північна
norte	північний
norte	північне
norte	nord
río	ріо
río	річка
río	ріка
méxico	мексики
méxico	мексиці
méxico	мексика
han	маю
han	маєш
han	have
han	хан
han	хана
argentina	аргентині
argentina	аргентина
argentina	аргентини
argentina	аргентинське
argentina	аргентини
inglés	англійською
inglés	англійська
nuevo	нові
nuevo	нове
nuevo	нова
nuevo	новий
nuevo	створити
véase	подивитися
véase	див
véase	бачите
véase	бачу
véase	переглянути
junto	вздовж
junto	уздовж
septiembre	вересня
septiembre	вересні
septiembre	вересень
octubre	жовтень
octubre	жовтня
octubre	жовтні
segunda	сегунда
segunda	другий
segunda	друге
segunda	друга
segunda	секунда
discusión	дискусії
discusión	дискусія
discusión	обговорення
gobierno	управління
gobierno	правління
gobierno	уряд
condado	графство
condado	повіт
condado	жупанія
final	завершити
final	кінець
final	закінчити
final	закінчиться
final	закінчення
final	фінал
final	фінал
final	остаточний
final	final
vida	життя
vida	лайф
vida	віда
vida	vida
personas	осіб
personas	особи
personas	народ
personas	людей
personas	люди
español	іспанською
español	іспанської
español	іспанська
centro	centro
centro	центр
centro	центр
julio	хуліо
julio	юліус
julio	юлій
julio	липень
julio	липні
julio	липня
hay	хей
hay	сіно
lincoln	лінкольн
